country,iso code,observations,exchange rate growth,inflation rate,interest rate,money growth,real gdp growth
Albania,ALB,15,-0.01873,0.02698,0.1443098,0.09268,0.04651
Algeria,DZA,20,0.04394,0.05834,0.1037917,0.1569,0.03584
Angola,AGO,19,0.7886,0.96711,0.6678909000000001,1.14981,0.08908
Antigua and Barbuda,ATG,16,0.0,0.02063,0.1121738,0.07329,0.01947
Armenia,ARM,19,0.00051,0.05535,0.3140255,0.19348,0.06683
Aruba,ABW,16,0.0,0.03269,0.11388019999999999,0.08693,0.0088
Australia,AUS,39,0.00805,0.05049,0.11026709999999999,0.11245,0.03159
Azerbaijan,AZE,15,-0.0035,0.06195,0.1849672,0.31945,0.11918
"Bahamas, The",BHS,38,0.0,0.03725,0.0764309,0.08381,0.03096
Bahrain,BHR,28,0.0,0.01143,0.0916497,0.10034,0.05257
Bangladesh,BGD,28,0.03556,0.06302,0.1482798,0.12807,0.0514
Barbados,BRB,29,0.0,0.03753,0.1016437,0.09765,0.01396
Belarus,BLR,19,0.44672,0.45203,0.3420965,0.61521,0.06297
Belize,BLZ,28,0.0,0.02152,0.144933,0.10762,0.0553
Bhutan,BTN,31,0.06036,0.06437,0.1508065,0.19161,0.07381
Bolivia,BOL,35,0.45425,0.4932,0.3920513,0.5971,0.02716
Botswana,BWA,34,0.07479,0.09622,0.1327818,0.16107,0.06392
Brazil,BRA,17,0.04428,0.06234,0.5494363,0.12825,0.02929
Brunei Darussalam,BRN,15,-0.02145,0.00685,0.055,0.03415,0.01359
Bulgaria,BGR,23,0.22234,0.34677,0.4592812,0.37421,0.01954
Burkina Faso,BFA,16,0.00498,0.04728,0.143099,0.08855,0.03556
Burundi,BDI,15,0.07519,0.10703,0.16124,0.18096,0.03224
Cabo Verde,CPV,31,0.00492,0.04438,0.1072848,0.09369,0.06931
Cameroon,CMR,29,0.02943,0.05622,0.1675017,0.06302,0.02492
Canada,CAN,49,0.00199,0.04242,0.08206630000000001,0.09929,0.03545
