country,iso code,observations,exchange rate growth,inflation rate,interest rate,money growth,real gdp growth
Albania,ALB,15,-0.01873,0.02698,0.1443098,0.09268,0.04651
Algeria,DZA,20,0.04394,0.05834,0.1037917,0.1569,0.03584
Angola,AGO,19,0.7886,0.96711,0.6678909000000001,1.14981,0.08908
Armenia,ARM,19,0.00051,0.05535,0.3140255,0.19348,0.06683
Azerbaijan,AZE,15,-0.0035,0.06195,0.1849672,0.31945,0.11918
Belarus,BLR,19,0.44672,0.45203,0.3420965,0.61521,0.06297
Belize,BLZ,28,0.0,0.02152,0.144933,0.10762,0.0553
Bhutan,BTN,31,0.06036,0.06437,0.1508065,0.19161,0.07381
Bolivia,BOL,35,0.45425,0.4932,0.3920513,0.5971,0.02716
Botswana,BWA,34,0.07479,0.09622,0.1327818,0.16107,0.06392
Brazil,BRA,17,0.04428,0.06234,0.5494363,0.12825,0.02929
Bulgaria,BGR,23,0.22234,0.34677,0.4592812,0.37421,0.01954
Cabo Verde,CPV,31,0.00492,0.04438,0.1072848,0.09369,0.06931
Cameroon,CMR,29,0.02943,0.05622,0.1675017,0.06302,0.02492
China,CHN,28,0.02189,0.05511,0.07495,0.18007,0.09781
Colombia,COL,24,0.05879,0.11237,0.24840579999999998,0.17751,0.0359
"Congo, Rep.",COG,10,-0.02282,0.02393,0.1886667,0.17866,0.0328
Costa Rica,CRI,32,0.08722,0.13482,0.2416316,0.20602,0.04657
Cote d'Ivoire,CIV,16,0.00498,0.06699,0.1430729,0.01647,0.00537
Dominica,DMA,34,0.0,0.02821,0.1031959,0.06847,0.02893
Dominican Republic,DOM,23,0.05568,0.09099,0.236381,0.14518,0.05393
Ecuador,ECU,27,0.30432,0.32073,0.2636141,0.02338,0.02876
"Egypt, Arab Rep.",EGY,22,0.03521,0.07917,0.137753,0.13382,0.04377
El Salvador,SLV,18,0.07651,0.13578,0.17017130000000003,0.03604,0.0342
Fiji,FJI,21,0.00892,0.03571,0.0865316,0.12171,0.02088
