Date,pound spot,pound forward,pound interest,franc spot,franc forward,franc interest,dollar interest
1994-01-31,1.4939,1.48,5.3126,0.6799945600435197,0.678195998643608,3.89,3.43
1994-02-28,1.4799,1.4693,5.2004,0.6867188572998215,0.6850253459377997,4.05,3.75
1994-03-31,1.4917,1.4839,5.1913,0.6995942353435007,0.6996921354603974,4.05,4.14
1994-04-30,1.4837,1.4773,5.3639,0.6949270326615705,0.6969126768415917,4.05,4.51
1994-05-31,1.5029,1.5002,5.3915,0.7072135785007071,0.7111869710546903,4.07,5.03
1994-06-30,1.5252,1.5217,5.4191,0.7275372862859221,0.7289161017566879,4.44,4.97
1994-07-31,1.5463,1.5443,5.4915,0.755287009063444,0.7580926389204761,4.41,5.28
1994-08-31,1.5427,1.5378,5.9552,0.7589556769884638,0.7621951219512196,4.49,5.28
1994-09-30,1.5651,1.5598,6.195,0.7754342431761786,0.7782706825433886,4.39,5.49
1994-10-31,1.6057,1.6017,6.4245,0.7900142202559646,0.7970032677133977,4.29,5.9
1994-11-30,1.5886,1.5865,6.5253,0.7716644802839725,0.7807010695604654,4.15,6.21
1994-12-31,1.5595,1.5591,6.9258,0.7527853056308341,0.7614986293024673,4.44,6.86
1995-01-31,1.5747,1.5731,7.0276,0.7775445144234507,0.7867820613690009,4.3,6.8
1995-02-28,1.5719999999999998,1.5679,7.1058,0.7869058860560277,0.7965588657001752,4.13,6.55
1995-03-31,1.6005,1.5959,7.0833,0.8544817568144921,0.8647526807333102,3.9,6.46
1995-04-30,1.6074,1.6025,7.0255,0.8795848359574281,0.8942944017170452,3.54,6.4
1995-05-31,1.5868,1.5805,7.0271,0.8541168431841476,0.8689607229753215,3.49,6.18
1995-06-30,1.5949,1.5877,6.8198,0.8642295393656555,0.8755034144633164,3.25,5.9
1995-07-31,1.5953,1.5871,6.93,0.8652015919709293,0.8776549060909251,3.02,5.86
1995-08-31,1.5681,1.5609,6.8839,0.8362602441879913,0.8473140145738011,2.96,5.93
1995-09-30,1.5584,1.5521,6.7181,0.8417508417508418,0.8539709649871904,2.77,5.87
1995-10-31,1.5779,1.5713,6.7541,0.8732861758798358,0.8892841262783459,2.27,5.9
1995-11-30,1.5623,1.5559,6.575,0.8742787200559539,0.8921402444464269,2.02,5.73
1995-12-31,1.5398,1.5342,6.3345,0.8596234849136078,0.875196919306844,1.97,5.61
1996-01-31,1.5306,1.5242,6.2691,0.8475294516484448,0.8630361612151549,1.75,5.42
1996-02-29,1.5364,1.5297,6.0717,0.8364700961940611,0.8509914049868096,1.8,5.18
1996-03-31,1.5271,1.5223,6.059,0.8364001338240215,0.8513536523071683,1.82,5.41
1996-04-30,1.5145,1.5108,6.0645,0.8190008190008191,0.8358408559010365,1.84,5.56
1996-05-31,1.5152,1.5115,6.0905,0.7973845785822502,0.8119519324455992,2.15,5.6
1996-06-30,1.5418,1.5409,5.8848,0.7951653944020356,0.8085381630012938,2.68,5.76
1996-07-31,1.5539,1.5547,5.7448,0.8110300081103001,0.8236553825879253,2.73,5.85
1996-08-31,1.5502,1.5488,5.779,0.831186102568365,0.8457374830852504,2.42,5.7
1996-09-30,1.5597,1.5596,5.8226,0.8116224332440549,0.8279516476237788,2.01,5.83
1996-10-31,1.5862,1.5829,6.042999999999999,0.7947862025115244,0.8110300081103001,1.69,5.64
1996-11-30,1.6626,1.655,6.4819,0.7843752451172642,0.7988496564946477,2.04,5.55
1996-12-31,1.6647,1.6569,6.5343,0.7528986598403855,0.7668123610152595,2.1,5.6
1997-01-31,1.6587,1.652,6.5023,0.7189589474441009,0.7318501170960187,1.85,5.68
1997-02-28,1.6246,1.6187,6.3468,0.6875214850464078,0.7017543859649122,1.75,5.6
1997-03-31,1.6063,1.6014,6.3974,0.6826870562534134,0.6960395350455906,1.9,5.78
1997-04-30,1.6295,1.6249,6.603,0.6844158510711108,0.6992029086841002,1.92,6.01
1997-05-31,1.6334,1.6282,6.627000000000001,0.6988120195667366,0.713368526180625,1.72,6.0
1997-06-30,1.6446,1.6369999999999998,6.8205,0.6934812760055479,0.7096728408203818,1.45,5.91
1997-07-31,1.6702,1.6594,7.148,0.6753106428957321,0.6901787562978812,1.61,5.84
1997-08-31,1.6034,1.5918,7.2893,0.6612007405448295,0.6743997841920691,1.63,5.84
1997-09-30,1.6015,1.5899,7.329,0.6797634423220719,0.6936736958934517,1.64,5.84
1997-10-31,1.6329,1.6208,7.3698,0.688989940746865,0.702000702000702,1.95,5.84
1997-11-30,1.689,1.6746,7.65,0.7108330963889679,0.7241653993772178,2.12,5.88
1997-12-31,1.6597,1.6457,7.6786,0.6947339169098236,0.709622480840193,1.77,5.92
1998-01-31,1.6353,1.6207,7.4898,0.6779661016949152,0.6926646810279143,1.49,5.66
1998-02-28,1.6407,1.6262,7.4527,0.6837139340899768,0.6985191394244202,1.19,5.64
1998-03-31,1.662,1.6473,7.4841,0.6714563889075404,0.6875687568756876,1.29,5.71
1998-04-30,1.6733,1.6592,7.4374,0.6654245408570668,0.6782419967444384,1.6,5.74
1998-05-31,1.6366,1.6232,7.4032,0.676818950930626,0.6904646827314783,1.72,5.77
1998-06-30,1.6507,1.6348,7.6784,0.6692544505420961,0.682407533779173,1.96,5.75
1998-07-31,1.6437,1.6273,7.7788,0.6609385327164573,0.6723141051499261,2.16,5.75
1998-08-31,1.632,1.6166,7.6488,0.6684938832809679,0.6822213125938055,1.94,5.71
1998-09-30,1.6822,1.6671,7.2714,0.7140816909454442,0.7265857734505557,1.68,5.42
1998-10-31,1.6952,1.68,6.9093,0.7479431563201197,0.7614986293024673,1.39,5.06
1998-11-30,1.662,1.6501,6.6395,0.7223867658744492,0.7358893222459342,1.59,5.15
1998-12-31,1.6705,1.6629,6.0774,0.7357268981753973,0.7491759065028468,1.55,5.09
1999-01-31,1.6509,1.6432,5.5665,0.722334585379948,0.7364854912358227,1.39,5.01
1999-02-28,1.6276,1.6256,5.3015,0.700770847932726,0.7145409074669525,1.34,5.05
