year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,2339.76099,9540.3407,7544.11503,582.05461,7402.36624,1400.91853,661.02104,1530.84114,1171.79915,1657.137,9965.52807,479.5801,1043.07721,10470.7857,13125.10414,5042.99862,861.3818,1417.38079,1300.67864,1666.3839,1459.02814,2803.20198,1580.68451,749.20156,4711.84752,2320.47058,6208.28828,9176.03607,1698.62304,3274.78876,2748.76282,583.82068,4689.87852,426.57254,5359.67153,1796.36161,6898.19627,1766.23374,9917.74646,2212.98662,2839.34878,2472.28551,648.60476,903.81484,3575.06691,2137.17598,3208.03016,1827.09827,1150.10225,813.06151,927.32253,5968.65874,2418.97891,7007.72468,6086.69759,5042.71673,3487.06875,3184.10992,3810.83026,1479.34679,1145.51645,2577.77549,796.55577,10881.70561,1163.31899,1586.5938,4789.94429,579.3045,1731.05427,524.08921,827.41531,3553.52424,864.76612,2008.24961,3543.89243,1064.95239,3074.78569,3294.84576,7482.85315,7709.76062,688.71494,10353.57645,1094.93512,2636.47518,2264.32898,1472.41087,3481.69165,1313.0408,1184.60044,871.90052,2293.62002,2275.04742,1789.81965,8960.82149,2717.10466,1565.48391,1288.02604,905.97451,881.71995,6356.05964,1421.74498,3354.05175,2051.99589,887.10774,863.05868,6645.64068,13090.7242,4170.75929,4065.2366,1930.54341,1528.00637
1961,2452.1866,9678.46463,7949.90868,494.3668,7584.14348,1423.66373,637.31817,1505.72867,1257.17105,1878.87805,9832.93765,511.47354,1084.01341,10696.91884,13867.34992,5215.22234,777.54032,1443.04543,1317.45694,1506.31875,1410.38437,2928.60335,1674.01335,763.47917,4453.90889,2441.35825,6620.64396,9894.61927,1662.46314,2454.16109,2865.7651,616.41586,5196.09893,441.10469,5780.12612,2035.70661,7311.42042,1870.95066,10054.05316,2353.59967,2971.65141,2339.87008,616.6998,904.52316,3822.2651,2184.37423,3396.02439,1862.60249,1199.69929,844.25761,949.67296,6262.85397,2373.35972,6972.80609,6757.42892,5427.20705,3622.69011,3433.176,4175.59301,1473.62718,1155.14844,2409.09471,829.76497,11430.45416,1526.44589,1639.95609,4740.39024,574.08564,1798.03195,526.54752,571.69817,3492.83729,838.24146,2106.53018,3652.39854,1146.51714,2973.91045,3396.09225,7871.30358,8209.833,694.57675,10523.75432,1136.12433,2773.79778,2414.75156,1518.92061,3793.50946,1383.50844,1236.1944,841.7745,2309.58624,2464.70367,1739.75935,9484.67559,2775.57067,1577.81407,1363.81881,968.82588,908.40462,7164.6009,1525.48037,3345.21442,2159.85562,940.20083,863.35786,6491.16999,13318.5144,4085.91543,4108.60223,1920.77726,1568.52247
1962,2443.23495,10058.93913,8185.58882,531.83292,7944.297,1402.42671,683.17956,1528.20977,1188.81216,1940.63744,10294.51326,540.43831,1109.61856,11017.21552,14421.15637,5341.00061,849.50497,1504.70292,1344.18429,1938.41138,1525.12019,3054.13318,1724.12522,736.0628,4559.96017,2652.07987,7009.59109,10459.70635,2209.99395,1864.43039,2963.88222,649.69086,5609.98639,452.81355,6132.57943,1969.73919,7695.44122,2120.95191,10260.99422,2191.15045,3145.89476,2228.12397,631.52427,927.33703,3982.75143,2203.99678,3601.51835,1867.19637,1156.98349,896.69401,962.15872,6440.74136,2361.97508,7582.01398,7197.53177,5761.46214,3639.16321,3412.71336,4468.14474,1540.56094,1165.93132,2560.44518,922.41227,11784.83609,1683.27369,1723.64668,4794.63593,570.6236,1830.29762,562.07435,576.40099,3880.02857,873.72441,2160.17815,4025.54715,1204.2218,2936.30886,3703.05995,8263.3357,8460.66999,702.53933,10702.20398,1158.71398,2869.23293,2575.22954,1560.35104,3995.52356,1473.16767,1353.44551,959.61863,2269.29164,2512.24976,1870.37252,9844.40519,3050.29812,1766.60325,1579.91568,955.66958,943.47039,7008.78921,1464.92372,3513.87018,2274.42886,1024.30313,886.67968,6753.3347,13860.49644,4011.08102,4210.79335,1938.84778,1541.92408
1963,2320.84581,10506.04921,8525.59094,564.34137,8304.47584,1451.64588,653.24519,1616.85981,1265.33074,2048.16662,10246.61313,557.97395,1011.78024,11200.89944,14748.85466,5365.21363,919.6723,1609.03464,1357.76688,1834.12006,1534.88296,3088.19473,1952.93858,751.78009,4732.55552,2810.08052,7153.08296,10469.29322,2419.5833,2716.2609,2914.47269,688.83945,6135.29368,454.89256,6356.41035,2056.07708,8060.78801,2707.12341,10534.32042,2227.49917,3116.95676,2564.58981,761.5595,1040.75621,4156.42856,2244.5949,3792.74521,1902.16603,1150.03418,854.72435,995.46745,6617.53286,2311.79295,8183.23308,7606.33875,6147.95549,3972.21843,3607.04273,4773.26855,1490.80163,1137.81614,2367.62478,1002.00038,12093.46573,1886.863,1701.53623,4991.74289,574.10401,1852.94852,570.07536,735.97243,3776.98761,860.42127,2186.7072,4264.3703,1169.82929,2995.02,3831.67241,8723.53066,8695.50513,710.94325,11041.51939,1160.64709,3068.66227,2715.50096,1593.82815,4145.14732,1486.00917,1397.04394,856.70674,2287.12598,2582.54954,1897.7597,10275.83405,3631.87716,1391.27679,1388.91115,1012.8307,974.43136,7841.9115,1519.86033,3742.47859,2344.15444,1053.17568,887.96521,6369.90955,14095.80195,4162.51268,4313.20527,1966.27835,1513.1587
1964,2437.51755,10815.01202,8717.87898,517.84349,8437.99409,1449.31533,672.36466,1577.36782,1265.35962,2054.61761,10020.55147,576.1206,1020.40399,11540.34044,15075.28648,5228.78097,1012.35518,1782.67602,1363.79727,1702.17466,1580.81885,3248.29064,2022.81517,779.44362,4872.87828,2566.10247,7391.75309,11022.64301,2532.04476,2958.38806,3076.85245,747.12178,6289.40024,474.9415,6593.61127,2089.86736,8368.00558,2864.28944,10702.34953,2092.00418,2959.90049,2431.43146,838.23718,1042.7206,4535.99414,2281.1733,4006.12589,1967.11827,1166.21896,830.331,1038.54706,6816.09801,2194.54257,8720.80355,7888.23974,6299.97538,4109.18867,3631.12197,5111.9956,1565.01938,1239.44111,2420.96713,1029.66817,12821.15174,1915.48238,1667.61297,5417.26854,465.48879,1896.88598,575.61046,1044.8395,4935.36063,816.90685,2271.13289,4476.52297,1216.99937,3181.83033,4002.50954,9017.25611,8967.28748,747.4923,11213.78239,1197.49742,3156.89545,2817.68983,1603.11118,4097.04586,1545.30334,1510.42358,707.03199,2287.89897,2403.65721,1968.33442,10546.62659,3544.9552,2049.33187,1401.47532,974.81511,1001.45564,8152.81579,1500.73238,3696.67552,2526.03365,1103.79396,903.4126,6630.61307,14567.3578,4282.95504,4520.23138,2107.34778,1435.12389
1965,2718.04271,11002.87592,9055.4564,541.33532,8762.46546,1494.85344,625.23146,1522.01298,1436.858,2134.18599,10180.43289,600.46438,990.93054,11989.28141,15461.32761,5206.98592,1074.95353,1619.26646,1381.46611,1787.63056,1559.33081,3108.57853,1969.26643,768.35346,5287.21605,2852.58779,7818.91089,11274.66311,2144.974,3159.10908,3087.79157,768.56568,6604.46459,502.4668,6937.6039,1855.83176,8642.2208,3264.97462,10831.13746,2086.955,2909.94577,2792.02123,928.25275,1124.41447,4851.20691,2309.71934,4390.94867,1958.61121,1174.57085,801.78058,987.93245,6872.52877,2283.80452,9215.32917,7496.96106,6472.66779,3933.35991,3884.76665,5326.1539,1613.41024,1271.99919,2351.92387,1042.65544,13056.9309,1824.49765,1623.13369,5425.3875,488.70484,1981.01944,571.69843,1303.48092,4166.59183,894.80713,2348.845,4565.1638,1283.98112,3201.68883,4440.44803,9501.67007,9282.96367,721.32392,11681.66448,1282.88552,3325.20211,2945.82636,1626.38138,4267.98342,1512.59845,1648.49002,767.79933,2184.4927,2456.77964,2051.45689,10926.99916,2640.51354,2014.97378,1393.77791,1008.50403,1045.3951,7739.95503,1569.05746,3714.41072,2690.37085,1105.74981,941.6604,6223.82132,15250.5359,4470.58461,4588.10656,2129.41826,1484.3213
1966,2648.96891,11335.27193,9412.47593,528.48283,9022.52404,1554.88525,622.20823,1516.97752,1480.03125,2167.43776,10675.40921,574.31542,1004.16607,12453.12938,15781.05786,5694.42511,1080.87787,1725.01704,1401.35783,1923.21786,1498.21286,3285.55117,2054.74994,821.38486,5285.17582,3102.55383,8031.67498,11747.76898,2353.57851,2691.49663,3083.38299,758.64503,6982.08302,511.99551,7145.36407,1807.70329,9006.05393,2946.13352,11060.52395,1956.68485,2877.68893,2826.19228,868.70474,1239.53256,5160.83711,2352.63292,4877.77299,1963.69638,1169.96814,805.88945,964.38101,6957.27016,2416.67709,10211.62835,8104.64341,6867.89058,3750.05324,4074.69219,5759.91799,1681.15165,1319.15954,2508.17163,1110.75842,13215.41788,1767.93662,1634.75,5538.42959,479.69207,2105.46602,576.88057,1265.57804,4323.52677,970.67443,2422.18783,4470.10073,1224.94168,2824.29679,4416.97612,9694.31885,9573.92886,745.38737,12175.67789,1367.57294,3313.21592,3075.11168,1647.02468,4362.94447,1552.59126,1719.99636,818.78419,2218.41126,2596.30126,2149.58766,11186.34851,2654.88952,1748.59106,1259.9013,1177.44133,1105.03468,7826.07132,1573.49601,3960.99876,2813.42322,1144.05926,1011.00118,6590.62944,16042.46853,4600.70615,4682.06828,2513.09459,1423.0192
1967,2708.51324,11827.67168,9737.99701,575.14875,9367.41844,1626.56044,698.36771,1439.07281,1531.14033,2310.50871,11532.54035,695.34373,1017.58746,12848.96848,16113.54268,5779.99626,1102.72964,1776.46905,1238.99287,1863.70937,1466.19654,3210.66322,2334.26367,1075.95263,5393.96933,3462.0872,8169.90041,12525.12497,2250.98735,2722.5985,3201.43349,812.09374,7324.00509,501.65135,7351.56118,1869.48545,9450.46764,3664.75306,11391.41071,2023.56117,2738.09646,2749.58239,1002.10173,1379.46821,5508.98643,2433.57915,4863.60455,1941.37019,1116.27794,844.49223,1033.16955,7238.62239,2608.69869,10362.04137,8463.06397,7334.52707,3736.68119,3841.89914,6244.38732,1725.78904,1359.31197,2481.90562,1156.21449,13125.52591,1795.88223,1640.63709,5724.24598,489.26429,2301.40274,617.49462,1338.00112,4453.30802,977.24806,2402.37178,4418.91328,1262.18057,2607.35059,4761.60407,10140.70746,10080.07514,698.78868,11628.79668,1402.0175,3505.39451,3223.45043,1704.53243,4700.91953,1629.22792,1877.20424,834.97046,2198.78913,2783.68285,2199.43509,11538.79957,3551.51413,1991.70031,1146.49133,1270.41464,1164.66131,8497.04018,1550.81058,4038.81192,3041.9231,1219.35761,989.08646,6441.80286,16611.58224,4659.33255,4802.13751,2927.85691,1399.73396
1968,2790.55084,12239.48603,10100.60484,571.44032,9855.68411,1637.48844,723.92529,1419.09499,1356.16991,2492.53902,11896.25247,779.94953,1070.61856,13267.54222,16599.37737,5926.85811,1045.32701,1860.0818,1334.6495,2006.44452,1604.80586,3323.75155,2278.23268,1045.76373,5537.09761,3707.16592,8474.45312,13071.22041,2239.40042,2813.30491,3347.26559,864.32336,7644.96288,515.00976,7455.88734,1811.37386,9811.94795,3701.32026,11650.51051,2076.44817,2661.33262,2820.90355,1052.72898,1449.67712,5884.29019,2488.98945,5241.70817,2015.23386,1100.1349,860.25373,1070.19858,7873.85595,2624.14614,9896.50175,9677.90219,7706.69817,3587.18069,3730.75092,6676.79187,1593.42031,1434.54854,2654.4411,1133.70053,13810.65616,1907.18653,1756.53898,5937.66992,525.1962,2571.13516,647.12318,1448.79437,3620.85074,968.99972,2384.47085,4344.40091,1265.09197,2872.31004,4596.75023,10691.50538,10430.75301,693.52284,11744.15455,1451.83111,3525.72424,3212.58786,1748.08561,5796.53442,1707.42837,1978.54848,852.35615,2127.29652,3055.00764,2156.72411,12083.34558,3990.82202,1944.19353,1114.62955,1335.71068,1237.30807,8673.25046,1573.31006,4249.38796,3260.95339,1307.98998,991.02879,6468.68141,17442.96291,4893.68806,5030.19963,2993.94383,1242.2929
1969,2930.87881,12685.79021,10276.27984,526.49084,10339.05826,1587.6184,726.92413,1458.66209,1369.31934,2350.64091,13882.19947,888.07625,1105.19282,13653.355,17185.95721,6119.03629,1116.2552,2050.84357,1367.97273,2088.13689,1695.36167,3476.3387,2227.04573,1070.566,5602.41887,3949.57925,9006.36784,13765.73293,2316.64135,2870.8324,3415.72201,913.99499,8076.87439,531.17412,8101.74363,1944.95657,10303.97344,3797.9969,11574.52807,2178.56556,2592.64099,2795.61635,1194.25175,1498.67866,6220.89068,2588.44088,5572.15599,1972.44187,1107.59258,818.95623,1152.94004,8209.77875,2784.84602,9417.02263,10480.54304,8065.50102,3677.60761,3609.79636,7155.83567,1616.09461,1644.41542,2799.93942,1088.02744,14515.4975,2035.18964,1768.75102,6104.22099,524.48195,2935.92741,664.56157,1442.55301,3405.13412,991.43669,2449.19991,4367.25287,1193.58914,3908.06102,4505.76267,11325.98365,11022.80707,736.64828,12281.37765,1535.27139,3782.36553,3234.27974,1761.01546,6038.51114,1744.91132,2079.44297,924.73651,1832.17262,3320.44613,2146.25642,12509.60036,3810.40616,2311.8934,1060.5887,1384.70653,1273.70831,9669.59345,1620.91094,4359.40593,3405.0683,1349.9735,1036.57002,6801.07331,17790.26031,5100.22688,5200.84802,2678.87547,1508.41202
