year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,0.06912,0.0577,0.04561,0.03958,0.0451,0.03914,0.03889,0.03744,0.04767,0.0421,0.03958,0.03958,0.03958,0.04228,0.04949,0.04237,0.02988,0.03958,0.03958,0.0698,0.03958,0.04176,0.03958,0.03958,0.04106,0.06258,0.04618,0.04035,0.04371,0.03958,0.04187,0.04072,0.04911,0.03239,0.05189,0.03958,0.0446,0.03958,0.04881,0.03462,0.03798,0.03958,0.03958,,0.03049,0.05758,0.03958,0.03694,0.03958,0.03958,0.03667,0.05035,0.04299,0.04019,0.0391,0.04475,0.0409,0.04349,0.0546,0.03502,0.03615,0.03498,0.03958,0.04263,0.03774,0.03958,0.03834,0.03958,0.0378,0.03958,0.03958,0.03283,0.03756,0.03549,0.03958,0.03958,0.02778,0.02947,0.04932,0.05617,0.03958,0.04648,0.03032,0.03267,0.05364,0.04181,0.03521,0.05494,0.03958,0.03958,0.03958,0.03958,0.04738,0.04508,0.03958,0.03958,0.03958,0.03958,0.0399,0.06397,0.03958,0.05088,0.04478,0.03958,0.06168,0.0524,0.04771,0.04047,0.0458,0.03858,0.03299
1961,0.07227,0.05667,0.04666,0.0389,0.04573,0.03874,0.03864,0.03556,0.04691,0.04207,0.0389,0.03895,0.04314,0.0418,0.05001,0.04335,0.02958,0.03977,0.03867,0.06781,0.04623,0.04011,0.03809,0.04008,0.0403,0.05986,0.04664,0.04084,0.04028,0.04102,0.04235,0.04126,0.04904,0.03257,0.05209,0.04458,0.04479,0.05715,0.04967,0.03417,0.037,0.03872,0.03638,,0.03035,0.0524,0.03877,0.03648,0.03744,0.03718,0.03612,0.05137,0.04236,0.03944,0.0394,0.04486,0.04054,0.04357,0.05599,0.03407,0.03827,0.03513,0.03822,0.04279,0.03693,0.03878,0.03838,0.04035,0.03774,0.03751,0.04329,0.03278,0.03851,0.03551,0.04027,0.03852,0.02758,0.02907,0.0499,0.0553,0.03761,0.047,0.03055,0.03303,0.05459,0.04308,0.03531,0.05522,0.04258,0.03926,0.03869,0.03889,0.04841,0.04548,0.03846,0.04003,0.03807,0.0386,0.04026,0.06484,0.03846,0.05179,0.04689,0.03842,0.06067,0.04798,0.04812,0.03938,0.04616,0.03797,0.03235
1962,0.07186,0.05605,0.04752,0.03854,0.04641,0.03842,0.03861,0.03393,0.0484,0.04239,0.03812,0.03874,0.04625,0.0416,0.05074,0.04324,0.02938,0.0396,0.038,0.06368,0.04654,0.03868,0.03815,0.0397,0.04014,0.06201,0.04696,0.04134,0.03737,0.041,0.04242,0.04204,0.04956,0.0328,0.05199,0.0471,0.04467,0.06821,0.04987,0.03332,0.03684,0.03831,0.0337,,0.03068,0.05893,0.0387,0.0368,0.03558,0.03513,0.03691,0.05288,0.04196,0.03824,0.04222,0.04447,0.03997,0.04375,0.05722,0.03317,0.03694,0.03515,0.03795,0.04346,0.03656,0.03802,0.03813,0.04071,0.03761,0.03572,0.04735,0.03253,0.03812,0.03576,0.04103,0.03826,0.02739,0.02888,0.05015,0.05368,0.03596,0.04698,0.03094,0.0335,0.05569,0.04579,0.03513,0.05438,0.04522,0.0396,0.03775,0.03816,0.04901,0.04578,0.03772,0.04141,0.03667,0.03812,0.04113,0.06618,0.03843,0.05198,0.04901,0.03725,0.06022,0.04507,0.04824,0.0385,0.04613,0.0372,0.03161
1963,0.06936,0.05579,0.0473,0.03781,0.04677,0.03844,0.03844,0.03253,0.04907,0.04267,0.03774,0.0388,0.0485,0.04153,0.0507,0.04281,0.02927,0.03978,0.03743,0.06047,0.04517,0.03842,0.03806,0.03881,0.04033,0.06078,0.04623,0.04124,0.03796,0.04154,0.04276,0.04309,0.04989,0.03302,0.05079,0.05,0.04429,0.07364,0.05007,0.03313,0.03556,0.03763,0.03153,,0.03137,0.06831,0.03915,0.03749,0.03396,0.03341,0.03744,0.05465,0.04165,0.03799,0.04202,0.04429,0.0393,0.04213,0.05748,0.03253,0.04015,0.03536,0.03874,0.04382,0.03687,0.03749,0.03784,0.04096,0.03758,0.03419,0.04629,0.03224,0.03785,0.03573,0.04173,0.03824,0.02729,0.02877,0.05032,0.05417,0.03458,0.04726,0.03167,0.03407,0.05681,0.04642,0.03303,0.05385,0.04865,0.03962,0.03725,0.03831,0.04991,0.04604,0.03731,0.04137,0.03546,0.03782,0.0427,0.06616,0.03888,0.05228,0.04926,0.03613,0.06115,0.04311,0.04843,0.03763,0.04679,0.03607,0.03096
1964,0.06773,0.05577,0.04858,0.03705,0.04691,0.03795,0.03821,0.03136,0.04972,0.04236,0.03732,0.0393,0.05062,0.04173,0.05105,0.04284,0.02936,0.04084,0.0371,0.05844,0.04374,0.03722,0.03872,0.03809,0.04054,0.06279,0.04591,0.04169,0.03803,0.04171,0.04369,0.04444,0.05035,0.03311,0.0493,0.05347,0.04391,0.07644,0.05079,0.03281,0.03475,0.03738,0.02969,,0.03216,0.07043,0.03959,0.03793,0.03259,0.03196,0.03732,0.05659,0.04278,0.0383,0.04053,0.04269,0.03919,0.0416,0.05777,0.0321,0.04155,0.03518,0.04016,0.04447,0.03686,0.03713,0.03819,0.04199,0.03924,0.03291,0.04381,0.03166,0.03735,0.03582,0.04234,0.03821,0.02731,0.02891,0.05075,0.05308,0.03415,0.04818,0.03271,0.03415,0.05725,0.04654,0.03453,0.05286,0.05086,0.03948,0.03693,0.0381,0.05289,0.04656,0.03709,0.04146,0.0344,0.03888,0.04424,0.06603,0.03987,0.05228,0.04995,0.036,0.0628,0.04402,0.04835,0.03732,0.04747,0.0351,0.03039
1965,0.0662,0.05587,0.04693,0.03612,0.04705,0.03739,0.03903,0.03044,0.05056,0.04188,0.03704,0.03809,0.05223,0.04245,0.05105,0.04273,0.02965,0.0416,0.03767,0.0566,0.04278,0.03731,0.04028,0.03767,0.04145,0.0579,0.04642,0.04265,0.03673,0.04185,0.04425,0.04615,0.05178,0.03333,0.04887,0.05649,0.04366,0.07898,0.05147,0.03318,0.03437,0.03761,0.02819,,0.03234,0.06399,0.04065,0.03865,0.03141,0.03122,0.0376,0.05908,0.04434,0.03716,0.04087,0.04188,0.03944,0.04057,0.05714,0.03171,0.04095,0.03476,0.04254,0.04471,0.037,0.03679,0.03892,0.0424,0.04134,0.03186,0.04157,0.03185,0.03885,0.03621,0.04323,0.03815,0.02748,0.02916,0.05115,0.05295,0.03396,0.04978,0.03442,0.03472,0.05816,0.04694,0.0356,0.05373,0.05311,0.03991,0.03672,0.03967,0.05471,0.04731,0.03706,0.0409,0.03347,0.04039,0.04573,0.06668,0.04073,0.05068,0.05234,0.03644,0.06367,0.04147,0.04849,0.03717,0.04808,0.03634,0.03006
1966,0.06317,0.05592,0.04782,0.03556,0.04743,0.03692,0.03981,0.0298,0.05024,0.04229,0.03672,0.03925,0.05357,0.04334,0.05153,0.04366,0.02994,0.04233,0.03859,0.0566,0.04313,0.03846,0.04187,0.03759,0.04243,0.05872,0.04644,0.04299,0.03929,0.04161,0.04401,0.04698,0.0531,0.03363,0.04891,0.05896,0.04363,0.08391,0.05184,0.03291,0.03444,0.03773,0.02691,,0.03171,0.06429,0.04053,0.03967,0.03044,0.0301,0.03805,0.06019,0.04644,0.03557,0.04104,0.04085,0.03983,0.04062,0.05643,0.03201,0.0428,0.03472,0.04341,0.04455,0.03689,0.03628,0.03937,0.04302,0.04252,0.03106,0.03964,0.0311,0.04174,0.03676,0.04451,0.03789,0.02755,0.02944,0.05148,0.05299,0.0338,0.05127,0.03505,0.03612,0.05959,0.04723,0.03657,0.05481,0.05524,0.03984,0.03624,0.04105,0.05758,0.04768,0.03698,0.04067,0.03273,0.0405,0.04777,0.0664,0.04114,0.04952,0.0555,0.03716,0.06391,0.04262,0.04916,0.03666,0.04845,0.03813,0.02973
1967,0.05994,0.05604,0.04826,0.03518,0.04748,0.03752,0.04022,0.02924,0.04978,0.04265,0.03648,0.04092,0.05399,0.0437,0.05221,0.0443,0.03018,0.04278,0.03906,0.05459,0.04418,0.03751,0.0427,0.03733,0.04292,0.06022,0.04665,0.0427,0.03839,0.04182,0.04279,0.04693,0.05368,0.03416,0.04813,0.06108,0.04386,0.08486,0.05219,0.03239,0.034,0.03755,0.02581,,0.03191,0.07293,0.04285,0.04162,0.02958,0.02917,0.03811,0.06122,0.04785,0.03581,0.0408,0.04009,0.04024,0.04035,0.05643,0.03117,0.04501,0.03465,0.04529,0.04351,0.0377,0.03593,0.03969,0.04389,0.04301,0.03038,0.03904,0.03119,0.04274,0.03683,0.04602,0.03794,0.02755,0.02972,0.05176,0.05453,0.03366,0.05097,0.03562,0.03699,0.06064,0.04814,0.03504,0.057,0.05787,0.0393,0.03569,0.04124,0.05873,0.04774,0.03682,0.04135,0.03223,0.03967,0.04967,0.06513,0.04124,0.05006,0.05721,0.03835,0.06534,0.03935,0.04989,0.03629,0.04864,0.04074,0.02952
1968,0.05724,0.0558,0.04871,0.03511,0.04744,0.03816,0.04061,0.02901,0.04997,0.04358,0.03637,0.04362,0.05458,0.04373,0.0525,0.04504,0.03034,0.04275,0.03941,0.05239,0.04449,0.03759,0.04258,0.03727,0.04276,0.06056,0.0456,0.04297,0.0383,0.04238,0.04232,0.04673,0.0536,0.03456,0.04851,0.06504,0.04271,0.08586,0.05258,0.03197,0.03353,0.03764,0.02486,,0.03182,0.08147,0.04624,0.04293,0.02888,0.02836,0.03806,0.06262,0.04926,0.03731,0.04255,0.03964,0.04129,0.03954,0.05663,0.03132,0.04716,0.0347,0.04664,0.04249,0.03837,0.03605,0.03996,0.04377,0.04391,0.02991,0.03945,0.03051,0.04488,0.03739,0.04759,0.03816,0.02743,0.02999,0.05219,0.05349,0.03313,0.04973,0.03571,0.03798,0.05982,0.04891,0.03545,0.05852,0.06004,0.03917,0.03534,0.04383,0.05742,0.04768,0.03655,0.04218,0.03173,0.03868,0.05129,0.06413,0.04133,0.0496,0.05933,0.04005,0.06613,0.03822,0.04996,0.03647,0.04884,0.04283,0.02953
1969,0.05599,0.05644,0.04951,0.03502,0.04775,0.03861,0.04104,0.02886,0.04969,0.04472,0.03637,0.04426,0.05504,0.04391,0.05199,0.04547,0.03065,0.04338,0.03938,0.05003,0.0442,0.03751,0.0424,0.03758,0.04394,0.06014,0.04568,0.04285,0.0393,0.04359,0.04197,0.04713,0.05417,0.03477,0.04797,0.06753,0.04301,0.08723,0.05287,0.03238,0.03297,0.03798,0.02407,,0.03155,0.07921,0.0491,0.04408,0.02822,0.02776,0.03783,0.06541,0.04957,0.03727,0.0457,0.039,0.04242,0.04075,0.05708,0.03107,0.04933,0.03626,0.04756,0.0419,0.03896,0.03651,0.03967,0.04399,0.04518,0.02964,0.03942,0.03044,0.04737,0.03823,0.04902,0.03753,0.02735,0.03016,0.05164,0.05308,0.03285,0.04968,0.03572,0.03928,0.05918,0.0509,0.03575,0.0597,0.06193,0.0389,0.03513,0.04935,0.05681,0.04782,0.03753,0.04372,0.0315,0.03844,0.05291,0.06277,0.04131,0.04969,0.06133,0.04139,0.06796,0.03993,0.04983,0.03724,0.0499,0.04311,0.02959
