year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,1.95387,2.74676,2.40394,1.09549,2.30735,1.0652,1.00704,1.12923,1.48056,1.3961,1.87697,1.19057,1.07182,2.62957,2.99225,1.94241,1.23037,1.03839,1.13174,1.07074,1.08026,1.58133,,,1.63964,1.78463,2.62844,2.5719,1.38077,1.13728,1.66427,1.11206,1.94168,1.01588,2.19785,1.53649,2.11761,1.07203,2.55014,1.09972,,1.05196,,,1.96639,1.18181,1.78497,1.25601,1.14415,1.15858,1.13394,2.26518,1.06874,2.05332,2.41909,1.91244,1.81004,1.20939,2.58314,1.19695,1.58931,1.59121,1.42744,1.7357,1.04607,1.22185,1.57722,1.01749,1.68657,1.08073,1.1994,1.37817,1.32446,1.35359,1.50184,1.00929,1.15172,1.29553,2.48172,2.58844,1.01068,2.84867,1.12235,1.80121,1.47719,1.49771,1.29879,1.51787,1.83277,1.04907,1.05257,1.45771,1.26957,2.51888,,1.22566,,1.0476,1.34628,1.92711,1.08958,1.22145,1.58619,1.3049,1.14724,1.8077,2.72125,1.29479,1.73875,1.27785,1.24262
1961,1.96493,2.76815,2.42698,1.09549,2.30883,1.06925,1.00708,1.13452,1.49661,1.40659,1.92393,1.1912,1.07184,2.64927,3.01037,1.96003,1.25271,1.03856,1.13908,1.0748,1.08427,1.59135,,,1.64657,1.80244,2.65571,2.58985,1.38878,1.14064,1.67716,1.11807,1.9526,1.01591,2.21826,1.55331,2.13618,1.07621,2.57157,1.11352,,1.0523,,,1.97813,1.18267,1.79632,1.27566,1.14578,1.17686,1.14029,2.27824,1.07261,2.06679,2.43449,1.92709,1.8276,1.22119,2.60401,1.20565,1.63209,1.60141,1.43232,1.76599,1.04997,1.22187,1.59283,1.01796,1.71328,1.08571,1.20232,1.39005,1.32472,1.36699,1.50693,1.00931,1.15172,1.30673,2.50299,2.60644,1.01274,2.86057,1.12973,1.81256,1.49058,1.51684,1.30788,1.52825,1.84687,1.05433,1.05269,1.47826,1.27412,2.54613,,1.23545,,1.04978,1.35477,1.93908,1.09229,1.23432,1.5921,1.3049,1.14589,1.81417,2.75556,1.30171,1.74422,1.28917,1.25464
1962,1.97605,2.78971,2.45024,1.09549,2.3103,1.07331,1.00711,1.13984,1.51282,1.41717,1.97207,1.19182,1.07185,2.66912,3.02859,1.9778,1.27546,1.03873,1.14646,1.07887,1.08829,1.60142,,,1.65352,1.82042,2.68327,2.60793,1.39683,1.14401,1.69014,1.12411,1.96358,1.01594,2.23886,1.57031,2.15492,1.0804,2.58992,1.1275,,1.05264,,,1.98995,1.18353,1.80775,1.29563,1.14743,1.19542,1.14669,2.29137,1.07648,2.08035,2.45,1.94185,1.84534,1.23311,2.62504,1.21442,1.67602,1.61168,1.43721,1.79682,1.05387,1.22189,1.60859,1.01844,1.73472,1.09071,1.20525,1.40203,1.32498,1.38053,1.51203,1.00933,1.15173,1.31803,2.52444,2.62457,1.01481,2.87253,1.13715,1.82399,1.50409,1.53621,1.31704,1.5387,1.86108,1.05962,1.05281,1.4991,1.27869,2.5692,,1.24532,,1.05196,1.36331,1.95112,1.095,1.24733,1.59804,1.3049,1.14455,1.82066,2.79029,1.30866,1.74971,1.3006,1.26677
1963,1.98724,2.81144,2.47373,1.09549,2.31178,1.07739,1.00715,1.14518,1.52921,1.42782,2.02141,1.19245,1.07187,2.68911,3.04693,1.99574,1.29862,1.0389,1.1539,1.08296,1.09233,1.61156,,,1.66051,1.83858,2.71112,2.62614,1.40494,1.14738,1.70323,1.13018,1.97462,1.01597,2.25965,1.5875,2.17381,1.08461,2.6084,1.14165,,1.05299,,,2.00184,1.1844,1.81926,1.31591,1.14907,1.21428,1.15312,2.30457,1.08037,2.09399,2.4656,1.95673,1.86324,1.24515,2.64624,1.22325,1.71817,1.62202,1.44211,1.82818,1.0578,1.22191,1.62451,1.01892,1.75643,1.09573,1.20818,1.41411,1.32523,1.39419,1.51716,1.00935,1.15173,1.32943,2.54607,2.64282,1.01688,2.88453,1.14463,1.8355,1.51772,1.55583,1.32626,1.54921,1.8754,1.06494,1.05293,1.52023,1.28327,2.58788,,1.25527,,1.05415,1.3719,1.96323,1.09772,1.26047,1.604,1.3049,1.14321,1.82717,2.82547,1.31565,1.75522,1.31213,1.27902
1964,1.99849,2.83334,2.49744,1.09549,2.31326,1.08149,1.00719,1.15055,1.54578,1.43855,2.07199,1.19307,1.07189,2.70926,3.06537,2.01384,1.32221,1.03907,1.16138,1.08706,1.09639,1.62176,,,1.66752,1.85693,2.73925,2.64447,1.41309,1.15077,1.71463,1.13629,1.98572,1.01601,2.28063,1.60487,2.19287,1.08884,2.62701,1.15598,,1.05333,,,2.0138,1.18526,1.83083,1.33651,1.15072,1.23343,1.15958,2.31786,1.08428,2.10773,2.4813,1.97172,1.88132,1.25731,2.66762,1.23215,1.75292,1.63242,1.44704,1.86009,1.06174,1.22194,1.64059,1.0194,1.77841,1.10078,1.21113,1.42629,1.32549,1.40799,1.5223,1.00936,1.15173,1.34093,2.56531,2.6612,1.01896,2.89658,1.15215,1.84707,1.53147,1.5757,1.33555,1.5598,1.88983,1.07028,1.05305,1.54166,1.28787,2.6067,,1.2653,,1.05634,1.38055,1.97542,1.10044,1.27375,1.60998,1.3049,1.14187,1.83371,2.86109,1.32268,1.76074,1.32377,1.29139
1965,2.00981,2.85541,2.52138,1.09549,2.31474,1.0856,1.00722,1.15595,1.56253,1.44936,2.12384,1.1937,1.07191,2.72955,3.08393,2.03211,1.34622,1.03924,1.16891,1.09118,1.10046,1.63203,,,1.67457,1.87546,2.76767,2.66293,1.42129,1.15417,1.72463,1.14243,1.99689,1.01604,2.30181,1.62244,2.2121,1.09308,2.64576,1.17049,,1.05368,,,2.02583,1.18612,1.84248,1.35743,1.15236,1.25289,1.16608,2.33122,1.0882,2.12155,2.4971,1.98682,1.89957,1.26958,2.68916,1.24111,1.78837,1.64289,1.45198,1.89255,1.06569,1.22196,1.65683,1.01988,1.80067,1.10586,1.21408,1.43858,1.32575,1.42193,1.52746,1.00938,1.15173,1.35252,2.58009,2.67971,1.02104,2.90869,1.15973,1.85872,1.54534,1.59582,1.3449,1.57047,1.90437,1.07565,1.05317,1.56339,1.29249,2.62565,,1.27542,,1.05854,1.38925,1.98769,1.10317,1.28717,1.61599,1.3049,1.14054,1.84026,2.89715,1.32975,1.76628,1.3355,1.30388
1966,2.02271,2.87765,2.54554,1.09549,2.32343,1.08602,1.00726,1.15831,1.57946,1.46191,2.19699,1.19434,1.07192,2.75,3.1026,2.05054,1.36638,1.03942,1.17648,1.09602,1.11326,1.64236,,,1.66442,1.89417,2.79639,2.68152,1.43737,1.15758,1.73468,1.1486,2.00812,1.01607,2.32318,1.6402,2.2315,1.10305,2.66464,1.19012,,1.05476,,,2.03793,1.18863,1.85761,1.37867,1.15401,1.27265,1.169,2.34465,1.09213,2.13751,2.52322,2.00204,1.918,1.28558,2.71088,1.25013,1.82453,1.71425,1.46738,1.92494,1.0683,1.22198,1.67322,1.02123,1.82798,1.10966,1.21659,1.45098,1.32601,1.43694,1.53762,1.0094,1.15174,1.36701,2.59495,2.69835,1.02357,2.9411,1.16606,1.87044,1.56296,1.6191,1.35505,1.58634,1.94224,1.07993,1.05328,1.58136,1.29712,2.64475,,1.28561,,1.06024,1.39801,1.99578,1.11124,1.29194,1.6239,1.3049,1.14259,1.85936,2.92837,1.33973,1.77184,1.36002,1.31488
1967,2.0357,2.90006,2.56668,1.09549,2.33215,1.08643,1.0073,1.16067,1.59658,1.47457,2.27266,1.19497,1.07194,2.7706,3.12138,2.06914,1.38685,1.03959,1.18411,1.10088,1.1262,1.65276,,,1.65434,1.91307,2.82541,2.70024,1.45364,1.16099,1.7448,1.1548,2.01941,1.01611,2.34475,1.65815,2.25107,1.11311,2.68365,1.21008,,1.05584,,,2.05011,1.19115,1.87287,1.40025,1.15567,1.29273,1.17192,2.35817,1.09608,2.15359,2.54961,2.01738,1.93661,1.30177,2.73278,1.25922,1.86143,1.77137,1.48294,1.95788,1.07092,1.222,1.68978,1.02259,1.8557,1.11349,1.21911,1.46348,1.32627,1.4521,1.54785,1.00941,1.15174,1.38166,2.60991,2.71712,1.0261,2.97388,1.17244,1.88223,1.58078,1.64272,1.36528,1.60238,1.98086,1.08423,1.0534,1.59955,1.30177,2.66398,,1.29588,,1.06194,1.40682,2.0039,1.11938,1.29672,1.63185,1.3049,1.14465,1.87864,2.95993,1.3498,1.77742,1.38498,1.32597
1968,2.04878,2.92265,2.58322,1.09549,2.3409,1.08685,1.00733,1.16303,1.61388,1.48734,2.35093,1.19561,1.07196,2.79136,3.14028,2.08791,1.40763,1.03976,1.19179,1.10577,1.1393,1.66322,,,1.64432,1.93215,2.85473,2.71909,1.47009,1.16442,1.75497,1.16104,2.03076,1.01614,2.36652,1.6763,2.27081,1.12326,2.7028,1.23037,,1.05692,,,2.06235,1.19366,1.88824,1.42217,1.15732,1.31312,1.17485,2.37176,1.10004,2.16979,2.57094,2.03283,1.9554,1.31817,2.75485,1.26838,1.89907,1.83039,1.49867,1.99138,1.07355,1.22202,1.70651,1.02395,1.88385,1.11732,1.22163,1.47609,1.32653,1.46742,1.55815,1.00943,1.15174,1.39646,2.62494,2.73602,1.02865,3.00702,1.17884,1.8941,1.59879,1.66668,1.37559,1.61858,2.02025,1.08855,1.05352,1.61794,1.30644,2.68335,,1.30623,,1.06364,1.41569,2.01205,1.12757,1.30152,1.63984,1.3049,1.14672,1.89813,2.99182,1.35993,1.78301,1.4104,1.33715
1969,2.06193,2.94542,2.59986,1.09549,2.34969,1.08727,1.00737,1.16541,1.63136,1.50021,2.4319,1.19625,1.07197,2.81227,3.15929,2.10684,1.42871,1.03993,1.19951,1.11067,1.15256,1.67375,,,1.63436,1.95143,2.88435,2.73807,1.48672,1.16786,1.7652,1.16731,2.04218,1.01617,2.3885,1.69465,2.29072,1.1335,2.72208,1.25101,,1.05801,,,2.07467,1.19619,1.90375,1.44443,1.15898,1.33383,1.17779,2.38543,1.10402,2.18611,2.58902,2.0484,1.97437,1.33478,2.7771,1.27761,1.93747,1.89138,1.51457,2.02545,1.07618,1.22204,1.71988,1.02531,1.91241,1.12117,1.22416,1.48881,1.32678,1.4829,1.56852,1.00945,1.15174,1.41142,2.64007,2.75505,1.03119,3.04052,1.18528,1.90605,1.61702,1.69099,1.38597,1.63494,2.06042,1.09288,1.05364,1.63654,1.31112,2.70286,,1.31667,,1.06534,1.42461,2.02024,1.13582,1.30634,1.64788,1.3049,1.14879,1.91782,3.02406,1.37014,1.78862,1.43629,1.34843
