year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,2073.0,2104.39022,2069.72948,,1999.60723,,,,,2134.0,,,,2090.59532,1918.07995,2297.0441,,,,,,2218.0,,,,2005.03135,2181.12221,1944.60615,,,,,1953.92895,,2059.11662,,2190.8798,,2208.75451,,,,,,2227.89258,,2779.11215,,,,,2364.93175,,2581.71603,,2172.52327,,,2280.4477,,2751.24153,,,2038.71296,,,2270.49394,,2527.14509,,,,,,,,,,1852.21154,2023.9511,,1956.63914,,,2104.87901,,2203.7309,,,,,2273.78579,,1723.96609,,,,,,,,2214.47122,2440.59981,,,,1930.09625,2024.0,,,
1961,2066.20051,2098.29446,2057.01301,,1987.74583,,,,,2135.09746,,,,2092.0077,1920.82066,2289.11832,,,,,,2213.1526,,,,1996.12,2154.50472,1957.70786,,,,,1960.21435,,2058.11753,,2169.12931,,2173.66124,,,,,,2217.99072,,2758.26777,,,,,2367.9646,,2563.11286,,2155.78135,,,2282.98204,,2791.27113,,,2026.61959,,,2261.46324,,2535.27442,,,,,,,,,,1850.54181,2009.36704,,1950.97136,,,2099.73668,,2191.59385,,,,,2267.30268,,1725.78175,,,,,,,,2204.62901,2438.39229,,,,1915.40419,2016.57874,,,
1962,2059.42333,2092.21635,2044.37468,,1975.9548,,,,,2136.19548,,,,2090.99167,1923.5653,2281.21989,,,,,,2208.3158,,,,1987.24825,2117.40154,1970.89784,,,,,1966.51997,,2051.12393,,2183.49625,,2156.25746,,,,,,2208.13287,,2737.57972,,,,,2371.00135,,2544.64374,,2106.52013,,,2259.24905,,2831.88314,,,2014.59796,,,2252.46846,,2543.42989,,,,,,,,,,1848.87358,1994.88806,,1945.32001,,,2094.60692,,2179.52365,,,,,2260.83805,,1714.88781,,,,,,,,2194.83055,2436.18677,,,,1934.78616,2009.18469,,,
1963,2052.66837,2086.15585,2031.81399,,1964.2337,,,,,2137.29406,,,,2073.71914,1926.31385,2273.34871,,,,,,2203.48957,,,,1978.41594,2086.95274,1984.17669,,,,,1972.84588,,2047.12758,,2167.15918,,2166.42184,,,,,,2198.31884,,2717.04685,,,,,2374.04199,,2533.16414,,2091.72823,,,2252.56122,,2873.08604,,,2002.64764,,,2243.50946,,2551.61161,,,,,,,,,,1847.20686,1985.88857,,1939.68502,,,2089.4897,,2167.51993,,,,,2254.39185,,1709.44084,,,,,,,,2185.07564,2433.98324,,,,1923.1733,2001.81775,,,
1964,2045.93557,2080.11291,2019.33048,,1952.58213,,,,,2138.39321,,,,2065.59089,1929.06634,2265.50469,,,,,,2198.67389,,,,1969.62288,2098.44666,1997.545,,,,,1979.19213,,2073.10382,,2175.71387,,2168.52713,,,,,,2188.54842,,2696.66798,,,,,2377.08653,,2545.91925,,2085.57456,,,2260.11919,,2782.35701,,,1990.76821,,,2234.58609,,2559.81964,,,,,,,,,,1845.54163,1995.88801,,1934.06636,,,2084.38497,,2155.58231,,,,,2247.96403,,1681.29816,,,,,,,,2175.36408,2431.78171,,,,1929.15015,1994.47783,,,
1965,2039.22485,2074.08747,2006.92366,,1940.99968,,,,,2139.49293,,,,2048.31837,1931.82275,2257.68773,,,,,,2193.86873,,,,1960.8689,2084.2305,2011.00338,,,,,1985.5588,,2073.10382,,2163.41203,,2138.42588,,,,,,2178.82143,,2676.44196,,,,,2380.13497,,2518.20021,,2027.77665,,,2240.80126,,2903.32905,,,1978.95924,,,2225.69821,,2568.05407,,,,,,,,,,1843.87791,1950.89053,,1928.46397,,,2079.29272,,2143.71044,,,,,2241.55454,,1671.31205,,,,,,,,2165.69568,2429.58216,,,,1948.83881,1987.16481,,,
1966,2032.53615,2068.07948,1994.59307,,1929.48594,,,,,2140.59321,,,,2033.0779,1934.58311,2249.89775,,,,,,2189.07407,,,,1952.15383,2057.91547,2024.55243,,,,,1991.94595,,2048.12667,,2156.18221,,2107.15616,,,,,,2169.13767,,2656.36764,,,,,2383.18732,,2503.55009,,2046.47855,,,2249.01368,,2885.18325,,,1967.22033,,,2216.84568,,2576.31499,,,,,,,,,,1842.21569,1951.89047,,1922.87781,,,2074.2129,,2131.90396,,,,,2235.16333,,1658.60245,,,,,,,,2156.07026,2427.38461,,,,1957.36243,1979.87862,,,
1967,2025.86938,2062.0889,1982.33825,,1918.04049,,,,,2141.69406,,,,2024.94966,1937.34741,2242.13464,,,,,,2184.28989,,,,1943.47749,2020.20736,1995.18644,,,,,1998.35365,,2031.1422,,2122.76485,,2088.97739,,,,,,2159.49695,,2636.44388,,,,,2386.24359,,2460.93374,,2071.00663,,,2263.31173,,2921.47486,,,1955.55104,,,2208.02836,,2584.60249,,,,,,,,,,1840.55497,1935.89137,,1917.30783,,,2069.1455,,2120.1625,,,,,2228.79034,,1630.45977,,,,,,,,2146.48762,2425.18904,,,,1934.91249,1972.61913,,,
1968,2019.22448,2056.11567,1970.15871,,1906.66294,,,,,2142.79547,,,,1989.38857,1940.11566,2234.39832,,,,,,2179.51617,,,,1934.83972,2007.7052,1949.78545,,,,,2004.78196,,2015.15683,,2099.74942,,2079.95723,,,,,,2149.89907,,2616.66956,,,,,2389.30378,,2404.84991,,2064.54338,,,2267.26719,,2975.91228,,,1943.95098,,,2199.24611,,2592.91664,,,,,,,,,,1838.89574,1896.89356,,1911.75399,,,2064.09048,,2108.4857,,,,,2222.43552,,1591.42315,,,,,,,,2136.94757,2422.99546,,,,1931.21219,1965.38627,,,
1969,2012.60138,2050.15975,1958.05401,,1895.35287,,,,,2143.89745,,,,1974.14811,1942.88786,2226.6887,,,,,,2174.75288,,,,1926.24033,1987.94373,1909.75247,,,,,2011.23095,,1996.17419,,2025.77613,,2075.933,,,,,,2140.34386,,2597.04356,,,,,2392.36789,,2370.91712,,2063.42055,,,2253.27924,,3042.44691,,,1932.41973,,,2190.4988,,2601.25754,,,,,,,,,,1875.04395,1848.89625,,1906.21623,,,2059.0478,,2096.87322,,,,,2216.09881,,1570.5431,,,,,,,,2127.44991,2420.80386,,,,1931.61395,1958.17992,,,
