year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,3143.5745,15809.15243,10305.04314,680.9076,11321.50642,1588.15628,893.64005,1667.4772,1479.96559,2330.88954,9061.78107,481.1317,1360.97217,15070.84836,24328.56816,5454.65044,1014.38989,1962.92706,1505.05246,2680.0127,1004.76658,3801.2774,1742.85819,1196.47614,4973.02965,4194.18898,11170.15899,13593.33556,2538.74914,5730.44466,4319.1962,683.27784,6350.38511,499.56201,10071.52698,2762.91161,11165.71833,2817.45927,12679.65627,4641.3242,3093.93963,2735.6098,868.21638,1250.43213,5199.90469,2442.86708,4389.16786,2231.88774,1447.57276,1054.51414,1161.39054,7198.9413,2734.35778,11897.15647,8920.58924,7881.85011,5348.58693,2731.36477,5805.97722,1818.39584,1302.07321,3007.30724,811.0322,21626.31409,1477.43433,1535.10486,6447.92599,603.72053,2292.42422,625.56743,1878.0598,3949.01895,874.48325,2981.73721,4628.37813,1849.9696,2125.11379,4825.05617,12328.04483,12401.34536,749.65202,14495.52449,1256.05006,2955.7687,2810.27267,2028.76159,4565.62893,2137.83139,1438.82146,978.18679,2865.10529,2880.63163,769.25006,14364.93962,5828.99182,1985.11188,1430.73898,1129.12316,1217.1492,7816.3406,1641.19699,5068.98688,2454.24651,1162.42876,876.24672,7703.00653,19313.31722,7576.52439,6368.75068,2773.168,2414.72607
1961,3253.83007,15760.50905,10862.71418,577.59954,11738.37181,1591.79862,871.39536,1652.16068,1534.68523,2557.7172,9492.43639,511.8513,1450.08139,15304.82617,25386.90389,5214.73247,874.92939,1934.53447,1543.46812,2308.46937,1035.50594,3908.45483,1836.7646,1371.01996,4771.74071,4604.94036,11448.79445,14327.22391,2418.35551,4998.44223,4374.62381,703.93241,7024.70062,514.60111,10917.01976,2741.60024,11547.29749,2981.37096,12930.95512,4274.34879,3193.93071,2487.6025,876.86383,1271.15641,5859.71513,2470.33264,4513.79691,2295.4602,1320.67312,1058.9901,1186.34401,7629.55429,2741.15766,12372.3519,9759.70101,8493.86212,5548.52785,3050.09566,6370.84611,1788.8081,1333.02965,2921.73678,806.76756,21175.79934,1819.42029,1584.86218,6440.72071,593.93456,2370.37936,628.05358,1885.85861,4531.7007,880.56772,2905.38482,4521.61049,1944.80619,2099.29583,5056.89408,12534.50424,13037.33082,746.3042,14905.15774,1284.75692,3223.34062,2908.62348,2039.57762,4840.10444,2210.13744,1579.09052,941.85082,2899.66473,2992.37013,772.04919,15034.32349,5649.0931,2096.86571,1486.62877,1199.6671,1265.88323,9031.54612,1762.98288,5017.82409,2605.29459,1156.08535,871.14939,7754.4681,19474.51722,7411.32479,6452.64909,2655.1174,2480.50573
1962,3055.20617,16320.94363,11113.70194,615.35636,12251.39901,1497.17958,938.39327,1728.44058,1543.21761,2641.88143,9925.13481,543.02461,1430.55829,15938.12233,25808.13975,6327.16903,939.89887,1969.20357,1508.11908,2776.04886,1172.97702,3971.67703,2112.17348,1120.65507,4929.11566,5378.85794,11741.02874,14989.3015,2915.50266,3909.05756,4417.93811,727.05667,7641.05536,523.28038,10959.83701,2690.76686,12023.57919,3316.88724,12993.39683,4203.36138,3238.67465,2438.14437,862.4254,1297.40204,5723.77806,2493.63174,4955.48304,2353.3753,1422.00157,1138.61256,1210.57757,7829.7371,2776.22057,12535.81162,9770.38055,8911.61003,5457.18789,3034.08468,6904.2041,1853.74671,1309.89006,3056.13869,912.04853,20245.00173,2014.55669,1633.60923,6494.33072,580.35688,2320.83054,669.29948,2065.30871,4771.13017,878.63871,2952.20026,5011.13029,2093.13263,2118.64518,5523.19535,13003.98674,13246.19845,757.92945,15069.74935,1326.14235,3420.92062,3081.5346,2110.11637,5213.86621,2228.48777,1719.81463,1039.3917,2821.41375,3170.87381,827.25857,15434.39576,5827.04782,2520.46299,1676.57093,1195.51213,1282.07632,8651.00792,1756.12616,5180.91658,2741.88041,1236.76702,868.83795,7823.4532,20314.26496,7441.20607,6532.6161,2534.30559,2387.66336
1963,2972.2523,17357.36003,11517.41862,621.39091,12561.99619,1533.27416,898.73854,1784.14076,1603.28109,2729.10108,10373.26617,562.00211,1320.51186,16381.42018,26490.41485,6520.09803,1021.07982,2212.67085,1582.93972,2710.12059,1228.82495,3953.5516,2282.79323,899.42384,5024.17964,5414.67664,11894.71705,15154.03578,3013.63911,4634.6462,4364.84689,770.17049,8280.89686,526.16806,11132.61221,3109.8231,12594.39667,3958.78435,13363.63145,4453.16824,3489.31443,2483.71022,943.17078,1694.15098,6442.49762,2584.41983,5605.30025,2332.90339,1383.33804,1076.68963,1263.33174,8106.28208,2784.96606,13790.97785,10450.70843,9311.68145,5949.52588,3033.22762,7414.31657,1833.24313,1437.22989,2859.32191,986.03748,20465.90293,2292.19622,1609.86808,6862.01135,600.7855,2318.79949,671.48998,1939.96766,5719.86822,868.43035,2976.03561,5243.84494,2240.31795,2169.79979,5819.07602,13405.95269,13570.35587,748.8806,15989.11204,1369.31069,3599.77915,3165.43971,2171.18659,5494.55603,2287.57976,1846.64716,903.47926,2802.1813,3436.10703,824.06245,16102.41541,6188.30659,1970.39839,1501.64933,1250.0739,1319.62355,9620.31169,1884.66488,5521.7852,2997.87733,1304.02142,873.43795,7481.8174,20855.09553,7665.14086,6783.88643,2603.09927,2363.50933
1964,3112.83789,17757.88307,11982.05612,621.04282,13348.48951,1587.59297,935.57507,1732.17926,1690.68857,2784.14012,9967.59615,593.00648,1361.63479,17158.77729,27637.74916,6506.5152,1113.09252,2534.46573,1609.49112,2487.33189,1279.08102,4173.09426,2489.82139,940.20779,5145.21688,4697.75807,12671.8069,16340.63677,3059.25445,4791.01786,4551.9063,850.18621,8607.756,551.52769,11633.39471,3438.83189,13294.91266,4312.26563,14039.79668,4697.47843,3117.82861,2669.80136,1010.88728,1610.10714,6881.5706,2614.86943,5954.408,2408.181,1363.37915,1057.84618,1322.60238,8426.35469,2768.98211,15592.61291,11080.11363,9482.9612,5944.50777,3388.04716,8183.14702,1918.38587,1511.80547,2890.29985,1037.53455,21869.15575,2389.59798,1601.68449,7505.81634,493.21648,2366.01503,681.75136,2673.07713,5846.95141,842.52675,3066.2466,5881.41745,2145.95303,2117.7282,6330.42572,14225.92363,14384.41795,803.05891,16467.9557,1428.59559,3672.39362,3359.90471,2127.05776,5607.95122,2311.13151,1946.35233,783.08065,2803.00745,3251.76236,864.70278,17043.08426,6595.11137,2713.62675,1480.3251,1400.16441,1393.16455,9744.39734,1861.74588,5614.9375,3326.4431,1455.94244,968.70439,7699.43452,21732.93116,8175.26821,7064.34803,2957.15121,2225.07538
1965,3532.26285,17680.07416,12319.80066,624.05794,13799.67,1678.67049,924.7169,1677.2022,1832.06831,2895.66899,9987.01038,557.29776,1342.3692,17990.71928,28167.99033,6417.32697,1195.0943,2182.49003,1655.04028,2629.55794,1275.26716,4038.47783,2443.18951,955.78685,5366.09023,5947.55434,13197.47585,17001.4962,2610.60537,5064.40859,4550.2877,866.15035,8999.74018,578.70085,12391.55436,2689.64752,13802.91229,4803.91517,14354.11653,4397.48938,3179.323,2891.88032,1054.57294,1458.51602,7588.56839,2642.60497,6766.97273,2502.81264,1329.71024,1026.66539,1271.64988,8512.73744,3000.49298,17075.06986,10978.04675,9683.32388,5903.79928,3627.39127,8638.46601,1930.20427,1547.67159,2906.58459,1026.75646,22062.98024,2307.66278,1546.10004,7663.64835,519.94745,2507.02742,676.61221,3091.20972,5053.29541,952.94191,3269.57027,6072.92243,2188.86842,2293.75834,6905.24244,15120.90961,15140.04777,779.93812,17080.50689,1519.50582,3914.50548,3418.87739,2166.30897,5964.56238,2396.41533,2133.58031,809.1229,2711.30179,3457.33805,899.03236,17576.11508,6007.23756,2650.00118,1526.90915,1542.92277,1498.54652,8748.78784,1892.55246,5620.09983,3555.84723,1417.77954,939.65413,7543.21492,22904.66599,8100.4853,7211.52253,3099.22189,2377.39658
1966,3460.05021,18509.71807,12865.98712,617.61817,14168.32006,1692.22643,925.97007,1668.37314,1894.8503,2933.38624,10422.22164,584.91272,1305.58273,18834.42336,28679.34102,6957.71322,1197.0552,2346.50953,1706.47791,2945.16835,1240.11361,4109.87447,2685.57448,1170.99304,5553.09493,6302.86349,13503.75178,17436.1059,2749.64346,4363.71765,4571.19741,880.85028,9642.28864,585.56244,12692.83278,2733.38048,14428.55263,4289.7495,14642.90319,4273.47422,3111.76534,2878.02595,974.63855,1672.10265,8159.15243,2724.34829,6998.55801,2476.67336,1312.75577,955.81112,1239.98178,8715.51715,3161.87166,18070.92591,11871.79434,10174.07062,6061.01272,3568.96866,9449.23811,2063.67618,1706.87929,2924.9756,1036.36152,22025.71629,2190.61336,1598.80329,7892.50762,521.65759,2778.75981,680.52526,3049.99745,5209.98468,1053.73448,3352.89193,6210.55856,2112.19749,2229.44535,6640.99021,15514.78382,15644.32126,821.43737,17834.10748,1665.08414,4085.72302,3613.04683,2209.38419,6123.18971,2382.76659,2244.00422,842.76957,2735.46349,3808.4042,923.87258,17792.03634,5628.94877,2303.5333,1427.29281,1690.85349,1658.46181,10042.48719,1936.66665,6250.29732,3806.34962,1491.45463,973.49897,7830.88751,24151.9504,7857.15633,7368.62111,3798.39686,2211.90757
1967,3576.85268,18923.75467,13220.83918,680.03463,14655.3304,1720.13129,1012.99636,1601.00274,1956.93648,3095.05473,11723.55472,667.17215,1188.94998,19076.99239,29441.84253,7193.48644,1204.59728,2367.65441,1512.51173,2663.85398,1245.41065,4170.33503,2906.57797,1263.60446,5660.46045,6868.34933,13350.15794,18317.99498,2739.26905,4883.90516,4786.1421,898.73392,10099.14173,582.94175,12901.64125,2858.91453,15061.2553,4843.55907,14962.33274,3895.67731,3076.10079,2838.75499,1105.0446,1788.63041,8524.93044,2759.96582,7222.63363,2509.20069,1280.00664,994.11871,1312.39347,9288.69011,3377.54564,17457.99977,11384.37467,10880.61634,5986.8058,3716.46048,10351.72026,2084.0068,1772.19022,2931.60314,1123.71707,22369.99123,2217.68753,1647.25041,8066.38444,533.48111,2965.39532,735.28865,3340.79288,5229.3577,1055.90553,3296.03071,5843.29811,2103.01469,1864.78869,6878.68773,16337.62352,16694.68043,795.50488,16473.16619,1655.57663,4371.98011,3700.18676,2215.71818,6561.77648,2499.79764,2485.18569,888.59305,2664.20479,4240.32899,947.73528,18294.10643,5797.74501,2571.56659,1356.94887,1728.87433,1677.83182,10906.25444,1908.57013,6380.51599,4186.05323,1532.727,931.91485,7494.59568,24570.95603,7836.69714,7748.75373,4100.99805,2191.22773
1968,3630.47914,20080.09076,13784.63936,670.16727,15236.16919,1844.29808,1029.05128,1613.00046,1718.07444,3320.34177,11939.17941,776.93563,1435.98393,19677.81738,30307.92723,7415.86998,1141.28703,2606.72254,1578.15121,2780.86185,1318.87288,4305.42272,2802.37429,1371.18281,5833.54641,7079.5651,14053.89312,19267.06151,2665.21854,5122.84922,4890.24563,977.53333,10690.17724,598.46536,13399.41026,3125.16827,15622.48888,4818.58655,15463.5594,3880.16147,3046.04936,2818.30088,1138.16775,1989.3933,9052.78097,2920.93131,7543.44634,2602.93439,1289.44388,1061.73812,1348.44183,9909.45229,3606.98794,15699.84665,11656.27171,11528.31314,5823.14335,3622.53991,11547.26447,2014.54752,1938.02628,3131.33625,1106.79142,23700.2175,2320.091,1760.89425,8472.93932,594.70269,3246.46328,768.10291,3804.18778,4332.17956,1056.44321,3312.71977,5869.96213,2107.32103,1813.1244,6891.46141,17563.22768,17272.96323,784.79409,16186.48435,1711.17151,4554.43462,3687.22397,2304.63717,7664.89074,2544.65109,2611.92822,921.96617,2523.97281,4787.53217,921.20045,18896.11931,6857.58072,2605.45668,1331.24298,1772.85665,1739.19361,11334.30369,2042.87783,6673.26939,4560.89027,1606.9699,947.78429,7559.5988,25566.67247,8416.16749,7903.14832,4202.78053,1990.44667
1969,3876.58422,21119.94799,14391.3609,624.68299,16286.86944,1866.45462,1025.37218,1636.83352,1744.32174,3294.09467,13380.32694,769.93564,1414.39544,20366.28015,31445.1973,7791.63728,1218.8922,2796.92958,1666.01204,3019.46164,1391.10122,4470.55853,2650.88348,1445.26057,5963.18777,7896.2534,15095.71085,20639.2574,2852.79054,5407.73142,4862.42305,1031.99971,11567.51738,631.94391,14858.87891,3213.66771,16618.12983,5047.83549,15712.29179,4072.53883,2919.93603,2727.48707,1263.91556,2056.54717,10075.89067,3009.78467,8267.92074,2492.11233,1297.16618,1018.56312,1461.13256,10406.16613,3667.42769,15983.36857,13154.34667,12190.77835,5975.92515,3360.38668,12809.82661,2066.43727,2174.3047,3190.813,1094.16254,26861.70952,2523.51392,1790.04859,8519.12439,598.36105,3585.33507,793.03453,3513.42955,4382.74106,1108.3268,3550.35467,6047.72695,1881.68547,2184.76617,6989.88925,18245.58734,17670.01068,808.89973,17730.45708,1796.45425,4826.5061,3781.02375,2370.77724,7990.5723,2613.22554,2759.12062,988.30839,2182.13318,5410.95449,915.1751,19762.44803,5831.55171,3083.31805,1314.40567,1895.57927,1858.97957,11668.3908,2073.42598,6841.98422,4916.51363,1639.63809,982.91905,8004.07378,26112.09141,8539.48649,8247.03398,4728.30485,2425.1726
