year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,8.05312,9.66834,9.24039,6.52343,9.33446,7.37033,6.7953,7.41907,7.29977,7.75401,9.11182,6.17614,7.21595,9.62052,10.09941,8.60422,6.92204,7.58219,7.31658,7.89358,6.91251,8.24309,7.46328,7.08714,8.51178,8.34146,9.321,9.51733,7.83943,8.65355,8.37082,6.5269,8.75627,6.21373,9.21747,7.92404,9.3206,7.94359,9.44775,8.44275,8.0372,7.91411,6.76644,7.13124,8.5564,7.80093,8.38689,7.7106,7.27764,6.96084,7.05737,8.88169,7.91365,9.38405,9.09612,8.97232,8.58459,7.91256,8.66664,7.50571,7.17171,8.0088,6.69831,9.98167,7.29806,7.33635,8.77151,6.40311,7.73737,6.43866,7.53799,8.28122,6.77363,8.00026,8.43996,7.52292,7.66158,8.48158,9.41963,9.42556,6.61961,9.5816,7.13573,7.99151,7.94104,7.61518,8.42631,7.66755,7.27158,6.8857,7.96036,7.96576,6.64542,9.57255,8.6706,7.59343,7.26595,7.0292,7.10427,8.96397,7.40318,8.5309,7.80558,7.05827,6.77565,8.94937,9.86855,8.93281,8.75916,7.92775,7.78934
1961,8.08759,9.66526,9.29309,6.35888,9.37062,7.37262,6.7701,7.40984,7.33608,7.84687,9.15825,6.23803,7.27937,9.63592,10.14199,8.55924,6.77414,7.56762,7.34179,7.74434,6.94265,8.2709,7.51576,7.22331,8.47047,8.43488,9.34564,9.56992,7.79084,8.51688,8.38358,6.55668,8.85719,6.24339,9.29808,7.9163,9.35421,8.00014,9.46738,8.36039,8.06901,7.81907,6.77635,7.14768,8.67586,7.81211,8.41489,7.73869,7.1859,6.96507,7.07863,8.93978,7.91614,9.42322,9.18602,9.0471,8.62129,8.02293,8.75949,7.4893,7.19521,7.97993,6.69304,9.96061,7.50627,7.36825,8.7704,6.38677,7.77081,6.44263,7.54214,8.41885,6.78057,7.97432,8.41662,7.57292,7.64936,8.52851,9.43624,9.47557,6.61513,9.60946,7.15832,8.07817,7.97544,7.6205,8.48469,7.70081,7.3646,6.84785,7.97235,8.00382,6.64905,9.61809,8.63925,7.6482,7.30427,7.0898,7.14353,9.10848,7.47476,8.52075,7.8653,7.05279,6.76981,8.95602,9.87686,8.91076,8.77225,7.88424,7.81622
1962,8.0246,9.7002,9.31593,6.4222,9.4134,7.31134,6.84417,7.45497,7.34162,7.87925,9.20283,6.29715,7.26582,9.67647,10.15845,8.75261,6.84577,7.58538,7.31862,7.92878,7.0673,8.28694,7.65547,7.02167,8.50291,8.59023,9.37084,9.61509,7.9778,8.27105,8.39343,6.589,8.94129,6.26012,9.30199,7.89758,9.39462,8.10678,9.4722,8.34364,8.08292,7.79899,6.75975,7.16812,8.65238,7.8215,8.50825,7.76361,7.25982,7.03757,7.09885,8.96568,7.92885,9.43634,9.18711,9.09511,8.60469,8.01767,8.83989,7.52496,7.1777,8.02491,6.81569,9.91566,7.60815,7.39855,8.77868,6.36364,7.74968,6.50623,7.63303,8.47034,6.77837,7.99031,8.51942,7.64642,7.65853,8.61671,9.47301,9.49147,6.63059,9.62044,7.19003,8.13766,8.03318,7.6545,8.55908,7.70908,7.44997,6.94639,7.94499,8.06176,6.71812,9.64435,8.67027,7.8322,7.42451,7.08633,7.15624,9.06543,7.47087,8.55274,7.9164,7.12026,6.76716,8.96488,9.91908,8.91479,8.78456,7.83767,7.77807
1963,7.99708,9.76177,9.35162,6.43196,9.43843,7.33516,6.80099,7.48669,7.37981,7.91173,9.24699,6.33151,7.18577,9.7039,10.18454,8.78264,6.92862,7.70196,7.36704,7.90475,7.11381,8.28237,7.73316,6.80175,8.52202,8.59687,9.38385,9.62602,8.0109,8.44132,8.38134,6.64661,9.02171,6.26562,9.31763,8.04232,9.44101,8.28369,9.50029,8.40137,8.15746,7.81751,6.84925,7.43494,8.77067,7.85726,8.63147,7.75487,7.23225,6.98165,7.14151,9.00039,7.93199,9.53177,9.25443,9.13902,8.69107,8.01738,8.91117,7.51384,7.27047,7.95834,6.89369,9.92652,7.73727,7.38391,8.83376,6.39824,7.7488,6.5095,7.57043,8.6517,6.76669,7.99835,8.56481,7.71437,7.68239,8.6689,9.50345,9.51564,6.61858,9.67966,7.22206,8.18863,8.06005,7.68303,8.61151,7.73525,7.52113,6.80625,7.93815,8.14209,6.71425,9.68672,8.73042,7.58599,7.31432,7.13096,7.1851,9.17163,7.54151,8.61646,8.00566,7.17321,6.77244,8.92023,9.94535,8.94444,8.82231,7.86446,7.7679
1964,8.04329,9.78458,9.39117,6.4314,9.49916,7.36997,6.84116,7.45714,7.43289,7.93169,9.20709,6.38521,7.21644,9.75027,10.22694,8.78056,7.0149,7.83774,7.38367,7.81897,7.1539,8.33641,7.81997,6.8461,8.54582,8.45484,9.44713,9.70141,8.02593,8.4745,8.4233,6.74546,9.06042,6.31269,9.36164,8.14289,9.49514,8.36922,9.54965,8.45478,8.04489,7.88976,6.91858,7.38406,8.8366,7.86897,8.69189,7.78663,7.21772,6.96399,7.18736,9.03912,7.92624,9.65455,9.31291,9.15725,8.69022,8.12801,9.00983,7.55924,7.32106,7.96912,6.9446,9.99283,7.77888,7.37881,8.92343,6.20095,7.76896,6.52467,7.89099,8.67368,6.73641,8.02821,8.67955,7.67134,7.6581,8.75312,9.56282,9.5739,6.68843,9.70917,7.26445,8.2086,8.11967,7.66249,8.63194,7.74549,7.57371,6.66324,7.93845,8.08695,6.76239,9.7435,8.79408,7.90604,7.30002,7.24434,7.23933,9.18445,7.52927,8.63319,8.10966,7.28341,6.87596,8.9489,9.98658,9.00887,8.86282,7.99198,7.70755
1965,8.16969,9.78019,9.41896,6.43624,9.5324,7.42576,6.82949,7.42488,7.5132,7.97097,9.20904,6.3231,7.20219,9.79761,10.24594,8.76676,7.08598,7.68822,7.41158,7.87457,7.15091,8.30362,7.80106,6.86253,8.58785,8.69074,9.48778,9.74106,7.86734,8.52999,8.42295,6.76406,9.10495,6.36079,9.42477,7.89717,9.53263,8.47719,9.57179,8.38879,8.06442,7.96966,6.96089,7.28517,8.9344,7.87952,8.81981,7.82517,7.19272,6.93407,7.14807,9.04932,8.00653,9.74537,9.30365,9.17816,8.68335,8.19627,9.06398,7.56538,7.34451,7.97473,6.93416,10.00166,7.74399,7.34349,8.94424,6.25373,7.82685,6.5171,8.03632,8.5278,6.85955,8.09241,8.7116,7.69114,7.73795,8.84004,9.62383,9.6251,6.65921,9.74569,7.32614,8.27244,8.13707,7.68078,8.69359,7.78173,7.66556,6.69595,7.90518,8.14825,6.80132,9.7743,8.70072,7.88232,7.331,7.34143,7.31225,9.07667,7.54568,8.6341,8.17635,7.25685,6.84551,8.9284,10.0391,8.99968,8.88344,8.03891,7.77376
1966,8.14904,9.82605,9.46234,6.42587,9.55876,7.4338,6.83084,7.4196,7.5469,7.98391,9.2517,6.37146,7.1744,9.84344,10.26393,8.84761,7.08762,7.76068,7.44219,7.98792,7.12296,8.32115,7.89565,7.06561,8.62211,8.74876,9.51072,9.7663,7.91923,8.38108,8.42753,6.78089,9.17391,6.37257,9.44879,7.91329,9.57696,8.36398,9.59171,8.36018,8.04295,7.96486,6.88207,7.42184,9.0069,7.90998,8.85346,7.81467,7.17988,6.86256,7.12285,9.07286,8.05892,9.80206,9.38192,9.2276,8.70963,8.18003,9.15369,7.63224,7.44242,7.98104,6.94347,9.99997,7.69194,7.37701,8.97367,6.25701,7.92976,6.52286,8.0229,8.55833,6.9601,8.11758,8.73401,7.65548,7.70951,8.80102,9.64955,9.65786,6.71106,9.78887,7.41763,8.31525,8.19231,7.70047,8.71984,7.77602,7.71602,6.73669,7.91406,8.24497,6.82857,9.78651,8.63568,7.7422,7.26353,7.43299,7.41365,9.21458,7.56872,8.74038,8.24443,7.30751,6.8809,8.96583,10.09212,8.96918,8.90499,8.24233,7.70161
1967,8.18224,9.84817,9.48955,6.52214,9.59256,7.45016,6.92067,7.37839,7.57914,8.03756,9.36936,6.50305,7.08083,9.85624,10.29017,8.88093,7.0939,7.76966,7.32153,7.88753,7.12722,8.33575,7.97473,7.14172,8.64126,8.83468,9.49928,9.81564,7.91545,8.4937,8.47348,6.80099,9.22021,6.36809,9.46511,7.9582,9.61988,8.48541,9.61329,8.26762,8.03142,7.95112,7.00764,7.48921,9.05075,7.92297,8.88497,7.82772,7.15462,6.90186,7.17961,9.13655,8.1249,9.76755,9.34,9.29474,8.69731,8.22053,9.24491,7.64205,7.47997,7.9833,7.0244,10.01548,7.70422,7.40686,8.99546,6.27942,7.99477,6.60026,8.11396,8.56204,6.96215,8.10047,8.67305,7.65113,7.5309,8.83618,9.70123,9.72285,6.67898,9.70949,7.4119,8.38297,8.21614,7.70333,8.78902,7.82397,7.8181,6.78964,7.88766,8.3524,6.85408,9.81433,8.66522,7.85227,7.21299,7.45523,7.42526,9.29709,7.55411,8.761,8.33951,7.3348,6.83724,8.92194,10.10932,8.96657,8.95529,8.31899,7.69222
1968,8.19712,9.90748,9.53131,6.50753,9.63143,7.51985,6.93639,7.38585,7.44896,8.10782,9.38758,6.65536,7.26961,9.88725,10.31916,8.91138,7.03991,7.86585,7.36401,7.93052,7.18453,8.36763,7.93822,7.22343,8.67138,8.86497,9.55065,9.86615,7.88804,8.54147,8.495,6.88503,9.27708,6.39437,9.50297,8.04724,9.65647,8.48024,9.64624,8.26363,8.0216,7.94389,7.03718,7.59558,9.11083,7.97966,8.92843,7.86439,7.16197,6.96766,7.20671,9.20124,8.19063,9.66141,9.3636,9.35256,8.6696,8.19493,9.3542,7.60815,7.56943,8.04922,7.00922,10.07324,7.74936,7.47358,9.04463,6.38806,8.08532,6.64392,8.24386,8.37383,6.96266,8.10552,8.6776,7.65317,7.50281,8.83804,9.77356,9.7569,6.66542,9.69193,7.44493,8.42386,8.21263,7.74268,8.94441,7.84175,7.86784,6.82651,7.83359,8.47377,6.82568,9.84671,8.83311,7.86536,7.19387,7.48035,7.46118,9.33559,7.62211,8.80587,8.42527,7.38211,6.85413,8.93057,10.14904,9.03791,8.97502,8.3435,7.59611
1969,8.26271,9.95797,9.57438,6.43724,9.69811,7.5318,6.93281,7.40052,7.46412,8.09989,9.50154,6.64631,7.25446,9.92164,10.356,8.96081,7.1057,7.93628,7.41819,8.01283,7.23785,8.40527,7.88265,7.27604,8.69336,8.97414,9.62217,9.93495,7.95605,8.59558,8.48929,6.93925,9.35596,6.4488,9.60635,8.07517,9.71825,8.52671,9.6622,8.31202,7.97932,7.91114,7.14197,7.62878,9.2179,8.00962,9.02014,7.82089,7.16794,6.92615,7.28697,9.25015,8.20725,9.6793,9.48451,9.40844,8.69549,8.11981,9.45797,7.63358,7.68446,8.06803,6.99774,10.19846,7.83341,7.49,9.05007,6.39419,8.18461,6.67587,8.16435,8.38543,7.01061,8.1748,8.70744,7.53992,7.68926,8.85222,9.81168,9.77962,6.69567,9.78304,7.49357,8.48188,8.23775,7.77097,8.98602,7.86834,7.92267,6.89599,7.68806,8.59618,6.81912,9.89154,8.67104,8.03376,7.18114,7.54728,7.52778,9.36464,7.63696,8.83083,8.50035,7.40223,6.89053,8.98771,10.17015,9.05246,9.01761,8.46132,7.79366
