year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,8593.88567,37309.04843,19251.09517,,26999.21548,,1426.75609,4283.42915,3565.34805,6448.09454,25674.28616,,,38586.70158,39076.27489,16660.76845,2761.6964,4411.62572,2675.09599,6214.98349,,12030.15704,,,16287.13802,15368.941,19955.17171,26502.2707,11161.02717,29013.29669,9589.54328,2071.42067,14090.99976,1068.18081,18653.99625,,23551.47136,,25458.68086,7511.01765,,,,,10521.47566,9812.8933,10676.63577,,,2986.08809,2798.4946,17115.66584,10401.19832,27462.7885,20948.76166,17085.00985,12821.38614,15360.87152,10382.51464,4483.09971,4367.72615,8706.59444,,47059.44495,6276.41897,2633.96343,24361.69451,1571.01831,8430.51261,1112.1768,,,2010.26732,8572.87147,,3585.56365,9029.60555,,25772.68047,26958.84993,,31345.16955,3840.1642,,8202.77706,6239.15243,11409.40058,,2042.94904,,8540.79006,9262.08814,,26722.00394,,6753.01615,,,2351.6886,21250.31587,5561.7125,11789.5912,7520.00309,2699.4295,2077.86195,19478.05617,45912.47041,23639.83574,14394.14542,7993.60329,
1961,8913.62468,37936.16908,20303.05117,,27956.33256,,1407.47684,4272.808,3725.44254,6873.78249,26559.88839,,,39361.43456,39976.76261,16095.64793,2045.61997,4331.20272,2775.2949,5335.26726,,12442.8602,,,15744.44858,16892.1105,20417.16101,27729.20312,10673.59505,25829.76763,9817.37131,2298.97485,15700.55459,1104.64499,19986.00571,,24653.40181,,25889.44279,7141.37888,,,,,11930.34506,10012.35055,11138.85596,,,2997.67672,2838.41739,18147.69306,10474.40094,28532.72128,23023.48425,18433.23373,13310.2275,17000.63008,11385.30519,4421.76055,4483.97615,8578.79855,,46065.01604,8819.49811,2718.20578,24428.79579,1551.2911,8612.56112,1121.27627,,,2026.47222,8342.06938,,3779.45692,8860.25516,,26187.55511,28205.07947,,32419.50237,3973.597,,8588.52836,5977.48138,12073.63868,,2269.30857,,8659.57832,9601.76093,,27896.28624,,7226.31228,,,2457.58995,24758.28765,6004.54803,11870.47772,7820.9889,2677.19487,2069.41595,19694.20494,47034.55427,23392.88725,14865.42467,7670.25672,
1962,8389.20309,39067.01325,20981.80514,,28901.19544,,1521.24705,4490.89388,3789.65186,7184.05044,27601.41993,,,40597.83742,40266.76544,19656.95603,2282.10259,4382.05637,2725.03689,6381.79694,,12698.47609,,,16337.85524,19545.96528,21078.40827,28810.38973,12727.36479,19857.51216,10066.7967,2264.46133,17107.53842,1121.40065,20289.82655,,26220.91326,,26093.8465,7040.55555,,,,,11830.94236,10186.54047,12438.50071,,,3225.2392,2933.22277,18514.52593,10657.37586,28855.29885,23287.84691,19526.67036,13086.79566,16853.60182,12288.41284,4598.3562,4396.27928,8968.86432,,44527.46254,8654.37922,2807.36166,24694.90244,1519.17995,8333.20519,1199.10889,,,2019.51397,8487.92144,,4100.28418,8917.98056,,27027.45309,28731.63616,,32752.35417,4140.22803,,9196.46454,6102.61772,13002.6673,,2485.14811,,8417.9255,10157.78047,,28649.80583,,8795.3586,,,2502.13027,24099.00229,6011.14281,12579.05558,8283.96288,2917.63652,2064.44996,19920.84331,49089.39845,23750.25256,15409.34269,7321.70081,
1963,8182.98252,41159.60247,22031.0908,,29605.52138,,1466.34169,4700.2265,3969.08315,7058.22105,29162.58957,,,41548.12172,41598.36839,20460.41185,2469.3309,4931.78781,2846.03158,6357.65931,,12708.38086,,,16723.91977,19615.16892,21494.92538,28970.39761,12992.65109,23918.86211,10023.32025,2360.49227,18580.331,1127.60424,20651.29091,,27656.93454,,26924.70364,7260.32014,,,,,13577.51208,10672.35909,14297.09174,,,3058.13313,3103.44892,19204.7017,10756.75857,31803.33288,25063.60706,20880.80226,14429.72338,16558.22994,13194.78787,4582.83293,4837.64763,8490.11019,,45607.3163,9713.3438,2764.06785,26218.7593,1576.05273,8212.5811,1207.61991,,,2001.71624,8580.89383,,4428.89207,9085.47698,,27832.85147,29507.42633,,34966.15357,4324.59595,,9545.72909,6230.24945,13848.42986,,2689.29013,,8353.67912,11129.64952,,29888.90343,,6961.8356,,,2593.30634,26939.67103,6498.44794,13531.41398,9055.31506,3134.03268,2079.22043,19118.83386,50418.72198,24607.33451,16325.74537,7526.10683,
1964,8599.31406,41451.11621,23120.66693,,31322.95138,,1535.77673,4603.67796,4225.69066,7180.49748,28347.40038,,,42830.91125,43420.02208,20588.75872,2708.10196,5659.72794,2907.90416,5829.60139,,13489.36119,,,17144.4205,16923.69811,23073.61524,30890.21253,13097.91714,25270.33072,10521.88387,2599.63132,19405.25381,1179.96003,21711.34067,,29220.00556,,28142.68356,7733.10526,,,,,14750.26716,10920.27592,15293.6029,,,3014.32873,3294.93102,19972.28606,10771.36742,34128.38035,26703.10646,21484.35585,14641.97968,18273.47546,14530.93209,4821.67015,5123.82997,8613.54597,,48502.21738,10878.8167,2763.95163,28827.76218,1297.68981,8180.09865,1228.95093,,,1936.75447,8834.53165,,4233.92482,9272.11211,,29435.96092,31434.64214,,35760.39323,4559.39339,,10235.26832,5983.20756,14248.43768,,2845.99016,,8418.36547,10471.54632,,31445.0979,,9699.53731,,,2751.93426,27522.68714,6472.09017,13912.84303,10109.65762,3522.48604,2313.18799,19706.48423,52084.58577,26473.98783,17191.46694,8554.2444,
1965,9776.92004,40829.35627,24079.5873,,32495.82118,,1533.95176,4484.88944,4614.13562,7203.1586,28643.59481,,,44116.52268,45045.52925,20398.10127,2836.68679,4889.94082,3014.34607,6108.93161,,13110.84918,,,17873.71604,21434.74518,24113.92303,31834.70891,11233.79474,27366.38342,10590.69965,2714.35677,20360.899,1236.58053,22933.84551,,30492.70477,,28657.15457,7296.94353,,,,,16461.3071,11026.15212,17310.24089,,,2936.78054,3212.37255,20304.47458,11741.6941,36374.03309,26420.06345,22626.98018,14729.94005,19288.56654,15223.28563,4888.47903,5104.05812,8722.66088,,49003.33727,10597.26263,2672.47072,29503.77023,1370.32963,8443.1292,1222.41205,,,2199.8736,9430.07273,,4313.33327,9337.99579,,31422.37548,33038.21096,,36674.72324,4903.92146,,10529.01384,6436.926,15218.41849,,3132.8621,,8174.87717,11147.98656,,32492.38915,,9584.53522,,,2978.89937,24840.77691,6629.79622,14115.43939,10831.10054,3439.48925,2249.43033,19332.81728,54280.76336,26299.58848,17762.1463,8982.49178,
1966,9604.51141,42024.91613,25545.1704,,33456.86163,,1546.03272,4498.85325,4817.57787,7504.74835,30123.22484,,,45206.74748,46468.12952,22269.80493,2955.02698,5292.29667,3105.49577,6817.97501,,13292.59534,,,18470.21248,22556.9058,24889.84759,32349.10236,11635.85979,23890.12721,10733.24463,2916.78996,21861.17786,1253.96853,23520.10726,,31916.87726,,29312.05849,7223.62761,,,,,17977.66048,11301.06036,17607.42583,,,2742.79832,3163.42127,20902.04937,12450.36192,38133.61651,28331.68597,24325.35704,15362.22896,18675.8458,16473.36292,5272.24967,5647.32352,8778.92704,,48996.61823,11075.22556,2736.73177,30416.18675,1379.97718,9208.41172,1230.59201,,,2443.20933,9663.29884,,4172.85583,8508.76641,,32423.45308,34280.744,,37589.71122,5425.24485,,11243.21225,6357.99818,15664.71027,,3315.2414,,8299.5789,12240.20668,,33132.31594,,8442.45079,,,3325.4748,28532.972,6854.70814,15875.67586,11733.86843,3645.98185,2334.91146,20095.46204,56184.67716,25687.89698,18490.0338,11051.63945,
1967,9937.11033,42449.64466,26894.21469,,34966.15719,,1690.56606,4346.02749,5023.28995,7812.9457,34197.07818,,,45194.6842,47963.46192,23087.09942,2758.69451,5386.33758,2794.95647,6203.87777,,13404.4857,,,18768.01487,24451.67709,25252.23103,34309.12293,11555.96108,27599.53937,11298.16214,3147.2769,23010.63496,1259.76475,24499.75495,,33508.32195,,30515.60171,6952.75938,,,,,19239.51084,11413.62117,17704.99054,,,2858.06423,3391.85475,22521.90666,13372.69908,37660.39137,26882.6873,25889.13222,15368.85086,20894.73876,17945.64642,5360.41528,5800.0011,8871.91782,,50375.3338,10839.49037,2825.26354,31036.47116,1419.98225,9762.8438,1338.16649,,,2500.7536,9502.53291,,4180.92228,7918.31515,,34679.37977,36774.9356,,34204.4756,5462.06195,,11646.82976,6265.59289,16873.0055,,3711.8042,,8147.82908,13619.5668,,34743.8555,,9539.3715,,,3388.67394,30763.41015,6837.6498,16530.13064,12396.52921,3776.98939,2239.96369,19271.83703,56495.92323,25920.90057,19739.25616,11984.83386,
1968,10116.52038,44811.84231,28572.09306,,36499.72327,,1754.34919,4423.87972,4458.64975,8295.95754,35119.93451,,,46405.98882,49663.70981,23876.57444,2558.95825,5995.66262,2949.51233,6470.37224,,13774.82802,,,19266.39955,25066.69628,26645.33221,36044.84536,11100.14038,29697.97719,11573.81419,3484.51597,24482.03677,1293.17013,25881.50505,,35103.01278,,31838.73885,7190.99271,,,,,20737.67228,12062.4289,17958.93165,,,3068.12516,3534.84601,24082.29311,14362.25991,34016.6339,26981.29944,27612.61354,15091.64085,21336.71566,19919.2081,5233.71953,6193.06929,9417.17632,,53730.75742,10013.58976,3029.70403,32707.58067,1589.39486,10587.0917,1403.03952,,,2534.63344,9544.0525,,4201.60519,8426.6462,,37315.14064,38303.7271,,33904.86314,5710.91187,,11728.91817,6740.84753,19844.6393,,3988.99654,,7687.71814,15218.75986,,35682.46869,,9795.36207,,,3537.44829,31717.07692,7386.71947,17607.41145,13219.86359,3917.88143,2287.5994,19462.22094,58207.37817,28083.11646,20433.05675,12399.60496,
1969,10844.44933,46930.97665,29995.67669,,38453.09033,,1778.77612,4535.52216,4570.84306,8487.93739,39322.56977,,,47256.24332,51407.32068,25176.38991,2764.75691,6498.03969,3119.78213,7067.10603,,14203.86781,,,19582.70363,28034.01394,28485.85425,38076.47511,11751.50185,32184.30397,11571.7738,3574.85853,26537.78841,1356.25019,28263.4646,,37112.04747,,32487.56252,7351.19029,,,,,23274.75522,12362.25542,19142.32474,,2770.27607,2955.36284,3870.56589,25356.5743,14681.06634,34661.03003,30204.08688,29601.04792,15573.74103,19638.04948,22201.05895,5409.73191,6930.61992,9564.65541,,60399.10442,11874.19697,3082.15009,32885.42601,1601.08357,11675.17482,1454.00079,,,2668.45709,10197.29141,,3739.28668,10620.52152,,38543.29923,39095.05903,,37436.09517,6060.31296,15233.45108,12145.80184,7296.14129,20782.1682,,4267.51344,,6661.82796,17135.67419,,36878.41947,,11743.93254,,,3810.55014,32224.01286,7544.72306,18440.81864,13881.96853,3976.90112,2379.12337,20606.15561,58626.46588,28674.65479,21720.64678,14277.13418,
