year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,0.44148,0.68582,0.63662,0.75031,0.65071,0.64964,0.65571,,0.51319,0.51366,0.73722,0.34919,0.23189,0.76754,0.66013,0.47839,0.59217,0.56877,0.55501,,,0.47513,,0.56401,0.57548,0.50766,0.67236,0.64475,0.64338,,0.59269,0.39244,0.63952,,0.66912,0.67285,0.67104,0.49964,0.55074,,0.38622,,,,0.48759,0.46268,0.46128,0.57905,,0.44482,0.75585,0.55735,0.34872,0.65652,0.58556,0.59907,0.55415,0.50128,0.61832,0.77735,0.66267,0.31044,0.71741,0.45792,0.50755,,0.42977,,0.5453,0.41793,0.6052,0.50611,,0.30495,0.56994,0.57902,0.24934,0.5415,0.72841,0.59943,,0.62739,,0.44598,0.74352,0.43748,0.64254,0.47934,0.50782,0.80092,0.35606,0.40207,,0.64286,,,0.4552,0.8062,0.46101,0.5579,0.5515,0.40284,0.74627,0.53355,,0.51689,0.63674,0.42262,0.60317,,0.67476
1961,0.44148,0.68052,0.63662,0.75031,0.65071,0.64964,0.65571,,0.51319,0.51366,0.73722,0.34919,0.23189,0.76754,0.66013,0.47839,0.59217,0.56877,0.55501,,,0.47513,,0.56401,0.57548,0.50766,0.67236,0.64475,0.64338,,0.59269,0.39244,0.63952,,0.66912,0.67285,0.67933,0.49964,0.55074,,0.38622,,,,0.48759,0.46268,0.46128,0.57905,,0.44482,0.75585,0.55735,0.34872,0.65652,0.58556,0.59907,0.55415,0.50128,0.61832,0.77735,0.66267,0.31044,0.71741,0.45792,0.50755,,0.42977,,0.5453,0.41793,0.6052,0.50611,,0.30495,0.56994,0.57902,0.24934,0.5415,0.72841,0.59943,,0.62739,,0.44598,0.74352,0.43748,0.64254,0.47934,0.50782,0.80092,0.35606,0.40207,,0.65253,,,0.4552,0.8062,0.46101,0.5579,0.5515,0.40284,0.74627,0.53355,,0.51689,0.6337,0.42262,0.60317,,0.67476
1962,0.44148,0.67064,0.63662,0.75031,0.65071,0.64964,0.65571,,0.51319,0.51366,0.73722,0.34919,0.23189,0.76754,0.66013,0.47839,0.59217,0.56877,0.55501,,,0.47513,,0.56401,0.57548,0.50766,0.67236,0.64475,0.64338,,0.59269,0.39244,0.63952,,0.66912,0.67285,0.69006,0.49964,0.55074,,0.38622,,,,0.48759,0.46268,0.46128,0.57905,,0.44482,0.75585,0.55735,0.34872,0.65652,0.58556,0.59907,0.55415,0.50128,0.61832,0.77735,0.66267,0.31044,0.71741,0.45792,0.50755,,0.42977,,0.5453,0.41793,0.6052,0.50611,,0.30495,0.56994,0.57902,0.24934,0.5415,0.72841,0.59943,,0.62739,,0.44598,0.74352,0.43748,0.64254,0.47934,0.50782,0.80092,0.35606,0.40207,,0.66731,,,0.4552,0.8062,0.46101,0.5579,0.5515,0.40284,0.74627,0.53355,,0.51689,0.62911,0.42262,0.60317,,0.67476
1963,0.44148,0.6617,0.63662,0.75031,0.65071,0.64964,0.65571,,0.51319,0.51366,0.73722,0.34919,0.23189,0.76754,0.66013,0.47839,0.59217,0.56877,0.55501,,,0.47513,,0.56401,0.57548,0.50766,0.67236,0.64475,0.64338,,0.59269,0.39244,0.63952,,0.66912,0.67285,0.69417,0.49964,0.55074,,0.38622,,,,0.48759,0.46268,0.46128,0.57905,,0.44482,0.75585,0.55735,0.34872,0.65652,0.58556,0.59907,0.55415,0.50128,0.61832,0.77735,0.66267,0.31044,0.71741,0.45792,0.50755,,0.42977,,0.5453,0.41793,0.6052,0.50611,,0.30495,0.56994,0.57902,0.24934,0.5415,0.72841,0.59943,,0.62739,,0.44598,0.74352,0.43748,0.64254,0.47934,0.50782,0.80092,0.35606,0.40207,,0.67053,,,0.4552,0.8062,0.46101,0.5579,0.5515,0.40284,0.74627,0.53355,,0.51689,0.62638,0.42262,0.60317,,0.67476
1964,0.44148,0.66819,0.63662,0.75031,0.65071,0.64964,0.65571,,0.51319,0.51366,0.73722,0.34919,0.23189,0.76754,0.66013,0.47839,0.59217,0.56877,0.55501,,,0.47513,,0.56401,0.57548,0.50766,0.67236,0.64475,0.64338,,0.59269,0.39244,0.63952,,0.66912,0.67285,0.68903,0.49964,0.55074,,0.38622,,,,0.48759,0.46268,0.46128,0.57905,,0.44482,0.75585,0.55735,0.34872,0.65652,0.58556,0.59907,0.55415,0.50128,0.61832,0.77735,0.66267,0.31044,0.71741,0.45792,0.50755,,0.42977,,0.5453,0.41793,0.6052,0.50611,,0.30495,0.56994,0.57902,0.24934,0.5415,0.72841,0.59943,,0.62739,,0.44598,0.74352,0.43748,0.64254,0.47934,0.50782,0.80092,0.35606,0.40207,,0.66357,,,0.4552,0.8062,0.46101,0.5579,0.5515,0.40284,0.74627,0.53355,,0.51689,0.62438,0.42262,0.60317,,0.67476
1965,0.44148,0.68054,0.63662,0.75031,0.65071,0.64964,0.65571,,0.51319,0.51366,0.73722,0.34919,0.23189,0.76754,0.66013,0.47839,0.59217,0.56877,0.55501,,,0.47513,,0.56401,0.57548,0.50766,0.67236,0.64475,0.64338,,0.59269,0.39244,0.63952,,0.66912,0.67285,0.68277,0.49964,0.55074,,0.38622,,,,0.48759,0.46268,0.46128,0.57905,,0.44482,0.75585,0.55735,0.34872,0.65652,0.58556,0.59907,0.55415,0.50128,0.61832,0.77735,0.66267,0.31044,0.71741,0.45792,0.50755,,0.42977,,0.5453,0.41793,0.6052,0.50611,,0.30495,0.56994,0.57902,0.24934,0.5415,0.72841,0.59943,,0.62739,,0.44598,0.74352,0.43748,0.64254,0.47934,0.50782,0.80092,0.35606,0.40207,,0.67045,,,0.4552,0.8062,0.46101,0.5579,0.5515,0.40284,0.74627,0.53355,,0.51689,0.61936,0.42262,0.60317,,0.67476
1966,0.44148,0.67606,0.63662,0.75031,0.65071,0.64964,0.65571,,0.51319,0.51366,0.73722,0.34919,0.23189,0.76754,0.66013,0.47839,0.59217,0.56877,0.55501,,,0.47513,,0.56401,0.57548,0.50766,0.67236,0.64475,0.64338,,0.59269,0.39244,0.63952,,0.66912,0.67285,0.67787,0.49964,0.55074,,0.38622,,,,0.48759,0.46268,0.46128,0.57905,,0.44482,0.75585,0.55735,0.34872,0.65652,0.58556,0.59907,0.55415,0.50128,0.61832,0.77735,0.66267,0.31044,0.71741,0.45792,0.50755,,0.42977,,0.5453,0.41793,0.6052,0.50611,,0.30495,0.56994,0.57902,0.24934,0.5415,0.72841,0.59943,,0.62739,,0.44598,0.74352,0.43748,0.64254,0.47934,0.50782,0.80092,0.35606,0.40207,,0.68374,,,0.4552,0.8062,0.46101,0.5579,0.5515,0.40284,0.74627,0.53355,,0.51689,0.62289,0.42262,0.60317,,0.67476
1967,0.44148,0.67035,0.63662,0.75031,0.65071,0.64964,0.65571,,0.51319,0.51366,0.73722,0.34919,0.23189,0.76754,0.66013,0.47839,0.59217,0.56877,0.55501,,,0.47513,,0.56401,0.57548,0.50766,0.67236,0.64475,0.64338,,0.59269,0.39244,0.63952,,0.66912,0.67285,0.67398,0.49964,0.55074,,0.38622,,,,0.48759,0.46268,0.46128,0.57905,,0.44482,0.75585,0.55735,0.34872,0.65652,0.58556,0.59907,0.55415,0.50128,0.61832,0.77735,0.66267,0.31044,0.71741,0.45792,0.50755,,0.42977,,0.5453,0.41793,0.6052,0.50611,,0.30495,0.56994,0.57902,0.24934,0.5415,0.72841,0.59943,,0.62739,,0.44598,0.74352,0.43748,0.64254,0.47934,0.50782,0.80092,0.35606,0.40207,,0.67351,,,0.4552,0.8062,0.46101,0.5579,0.5515,0.40284,0.74627,0.53355,,0.51689,0.63008,0.42262,0.60317,,0.67476
1968,0.44148,0.66425,0.63662,0.75031,0.65071,0.64964,0.65571,,0.51319,0.51366,0.73722,0.34919,0.23189,0.76754,0.66013,0.47839,0.59217,0.56877,0.55501,,,0.47513,,0.56401,0.57548,0.50766,0.67236,0.64475,0.64338,,0.59269,0.39244,0.63952,,0.66912,0.67285,0.67845,0.49964,0.55074,,0.38622,,,,0.48759,0.46268,0.46128,0.57905,,0.44482,0.75585,0.55735,0.34872,0.65652,0.58556,0.59907,0.55415,0.50128,0.61832,0.77735,0.66267,0.31044,0.71741,0.45792,0.50755,,0.42977,,0.5453,0.41793,0.6052,0.50611,,0.30495,0.56994,0.57902,0.24934,0.5415,0.72841,0.59943,,0.62739,,0.44598,0.74352,0.43748,0.64254,0.47934,0.50782,0.80092,0.35606,0.40207,,0.67723,,,0.4552,0.8062,0.46101,0.5579,0.5515,0.40284,0.74627,0.53355,,0.51689,0.63423,0.42262,0.60317,,0.67476
1969,0.44148,0.65689,0.63662,0.75031,0.65071,0.64964,0.65571,,0.51319,0.51366,0.73722,0.34919,0.23189,0.76754,0.66013,0.47839,0.59217,0.56877,0.55501,,,0.47513,,0.56401,0.57548,0.50766,0.67236,0.64475,0.64338,,0.59269,0.39244,0.63952,,0.66912,0.67285,0.67564,0.49964,0.55074,,0.38622,,,,0.48759,0.46268,0.46128,0.57905,,0.44482,0.75585,0.55735,0.34872,0.65652,0.58556,0.59907,0.55415,0.50128,0.61832,0.77735,0.66267,0.31044,0.71741,0.45792,0.50755,,0.42977,,0.5453,0.41793,0.6052,0.50611,,0.30495,0.56994,0.57902,0.24934,0.5415,0.72841,0.59943,,0.62739,,0.44598,0.74352,0.43748,0.64254,0.47934,0.50782,0.80092,0.35606,0.40207,,0.67078,,,0.4552,0.8062,0.46101,0.5579,0.5515,0.40284,0.74627,0.53355,,0.51689,0.64388,0.42262,0.60317,,0.67476
