year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,7310.50706,36103.32744,18916.12086,,24888.23716,,1299.71749,3601.37426,4341.4371,5637.28821,22959.11933,,,36335.74642,41627.91165,15961.02751,2252.83001,4184.44817,2964.67971,6755.39449,,12306.38645,,,15852.12439,16738.68691,19824.82374,26018.22988,12519.16294,56221.92625,14017.37,2104.02348,14330.83462,1282.81796,17987.4561,,22936.37563,,24782.60306,11951.47526,,,,,10682.53543,6777.99483,14076.59389,,,4057.23149,2360.67584,15735.01656,11813.39042,27695.39239,18978.56389,16614.80729,13651.83435,14068.99449,10014.20719,4016.63116,4328.3574,8845.53148,,34484.41926,5672.57179,2678.81102,25034.96719,2280.50314,994.37837,1126.42473,,,2004.04906,7138.12958,,3004.60297,8937.60252,,27207.78346,24585.79178,,29947.02393,3998.63366,,7455.52917,5956.27431,11146.64674,,1796.05778,,10737.50539,5530.0713,,23856.90098,,7066.1207,,,2412.6486,26652.4623,6331.45293,12432.74317,6924.35506,2588.05169,2038.00625,18123.10811,45442.04887,20411.64032,14501.38909,5067.10032,5121.7043
1961,7468.46556,36838.73841,19951.27181,,26182.85062,,1238.90518,3574.332,4403.395,6292.04709,24035.87471,,,37766.07276,42829.26214,15364.06273,2034.53138,4265.34743,3033.30006,5598.87096,,12740.04784,,,15264.47169,18568.95943,20289.34328,27387.2303,11795.78152,48017.16928,14333.70302,2344.8413,15804.30828,1322.00441,19281.59291,,24043.83699,,25205.64695,11241.61441,,,,,12142.82401,7045.22211,14296.87618,,,4348.37247,2403.00182,16750.15172,12118.38763,28292.34993,20680.88218,17908.18384,14179.07743,16247.63446,10996.25026,3922.05457,4532.10747,8646.79959,,34590.3692,8189.29581,2820.63304,25093.43695,2265.37396,1313.47911,1148.16599,,,2017.33816,7606.20455,,3171.49816,8788.42037,,27448.64925,25730.03612,,31171.63753,4122.24703,,7886.39352,5796.90316,11804.50222,,1981.9785,,10772.06599,6288.15296,,25270.66314,,7265.53525,,,2513.36168,30400.02256,6511.43081,12523.87368,7190.93639,2599.18419,2037.65058,18359.59238,46558.99329,20396.67925,15023.14389,5151.43312,5295.15164
1962,7535.02708,37942.61325,20852.3554,,28020.92946,,1337.35156,3786.51777,4469.50723,6634.60694,25633.01687,,,39492.60926,43675.22352,19104.37947,2279.30328,4392.96915,3018.99739,6736.0493,,13026.6675,,,15997.47053,21855.2937,21099.12385,28883.20217,12695.28415,24327.66602,14524.80828,2320.17367,17310.0625,1352.46716,19873.32114,,25852.56593,,25503.10894,11211.07001,,,,,12130.37497,7234.31102,15860.46051,,,4020.92104,2490.14887,17558.56731,11856.7336,29529.27765,22334.26741,19136.09629,14428.40656,16086.01427,11967.98479,4205.39074,4454.655,9119.2814,,36654.36104,8260.13967,2967.6548,25334.17,2255.0267,2950.75488,1269.52449,,,2011.89834,7980.42813,,3486.22224,8832.26158,,28478.81311,26415.09531,,31634.9902,4342.20257,,8486.4932,6021.709,12843.90914,,2160.57194,,10803.49361,7665.64801,,26711.04435,,9067.85546,,,2617.87253,29116.94138,6618.48152,13359.66086,7604.34992,2833.27272,2034.06176,18597.35937,48685.37861,20754.72036,15735.71867,5119.59978,5124.6634
1963,7172.82382,39628.19181,21830.30276,,29059.16889,,1291.15581,3966.91385,4736.95769,6904.85819,25454.55715,,,40797.92648,45081.1508,19461.24105,2530.7137,4814.37753,3180.60264,6343.21529,,13058.33843,,,16431.88376,22031.74509,21575.76403,29046.97935,11930.3974,28319.61925,14529.05978,2404.60378,18793.83198,1354.19899,20032.89539,,27301.9127,,26478.255,11848.50323,,,,,13925.72359,7544.74667,17246.29271,,,3619.36708,2629.45596,18273.87339,12472.79092,32758.37059,24158.0704,20346.48048,15442.40506,16237.6623,12842.63708,4198.90776,4801.97398,8599.86305,,37401.16625,9299.41407,2899.91514,26878.50227,2170.361,376.6026,1263.90207,,,1991.69783,8394.78486,,3741.92118,8991.61828,,28652.84828,27499.32254,,33091.36355,4528.8463,,8814.09488,6135.61222,13611.41664,,2323.06683,,10579.97931,9151.68086,,28020.90274,,7908.58274,,,2727.71828,31573.45352,7207.56651,14411.4886,8103.62929,3021.56649,2015.27022,18036.74821,50094.32621,21975.79969,17007.70062,5277.44084,5096.0098
1964,7410.32917,40156.23212,22894.82796,,30675.15764,,1331.92523,3877.9265,4955.80271,7025.18706,25389.45966,,,42148.60497,46967.71775,19771.98387,2812.00949,5360.12137,3256.85599,5613.24084,,13749.10932,,,16715.43287,18661.03069,23172.47885,30809.37226,11831.75393,29563.30004,15333.24862,2657.24277,19627.44011,1397.95395,20711.64814,,28799.73604,,27752.34474,12910.83871,,,,,15138.44992,7643.32961,18123.46979,,,3389.8542,2790.47095,18730.637,12699.09772,34204.99423,25596.84427,20963.98303,16119.04843,17695.58692,14116.41999,4455.1433,5120.57536,8886.81056,,39877.03866,10376.39777,2891.27922,29600.97865,1718.62363,2533.98483,1287.84516,,,1926.91688,8878.9329,,3623.89968,9212.55571,,31565.5623,29252.41164,,33577.81707,4755.72378,,9210.28111,5941.06393,14180.59697,,2448.04888,,10668.29821,9171.37953,,29680.07711,,9601.41797,,,2877.84346,33655.68149,7319.14559,14666.80035,8924.63508,3424.44706,2117.96396,18491.34359,51820.3681,23860.87879,17899.06561,5836.18587,4812.0571
1965,8206.469,39362.76065,23830.02001,,31641.22612,,1332.45784,3772.34349,5126.7838,7291.8731,26710.46442,,,42817.91598,48465.57935,18805.92395,3051.67997,4925.42009,3397.12507,6250.74688,,13407.7196,,,17909.21732,23855.48117,24268.24908,31668.77825,10636.96247,31204.8552,15470.72414,2756.64306,20612.21916,1463.47727,21818.54593,,30079.0559,,28177.27897,12562.62412,,,,,16943.22744,7750.11315,19839.29248,,,3917.62381,2724.9074,19150.01099,13579.10409,35724.43602,24959.23652,22108.24175,16467.74718,18902.53978,14791.98316,4588.85322,5121.52497,8626.06447,,40471.89889,10118.52784,2837.20111,30227.23555,1841.82364,6067.83115,1281.165,,,2185.28281,9197.12831,,3690.30064,9224.78941,,32508.86231,30444.24309,,34702.23111,5111.76091,,9624.21891,6371.69356,15248.22219,,2680.00059,,10533.57037,9562.76224,,30511.8826,,9231.34349,,,3137.60698,32028.68048,7514.21274,14858.11667,9910.4166,3395.94121,2078.03152,18324.16499,53900.83254,23630.88254,18625.86896,6835.07065,5173.56856
1966,8295.47225,40741.93857,25382.94812,,32722.85214,,1342.27746,3768.28536,5502.56107,7473.01254,28511.83843,,,44374.14046,49916.698,20839.99973,3080.97592,5341.91477,3536.09844,6535.06473,,13693.09744,,,18385.10176,24777.45403,25060.39599,32161.62447,10648.0857,27627.65325,15617.50331,2956.78559,22015.09504,1484.51869,22571.34535,,31561.09725,,28746.41401,12362.26305,,,,,18473.94729,8019.90223,20483.12361,,,3218.16502,2693.44624,19651.81714,14638.29933,37473.01578,26917.94959,23834.14769,16720.81751,18939.45903,16045.68768,4953.19677,5704.07252,9176.86544,,41518.83085,10586.07126,2908.6693,31153.68941,1822.33122,7007.8677,1269.43222,,,2471.08259,9617.47796,,3599.77601,8396.09784,,33438.4813,31797.38609,,35855.036,5534.81515,,10231.47439,6258.73675,15762.75848,,2822.80432,,10814.83146,10938.40242,,31209.39467,,8181.39545,,,3599.46283,33640.78207,7777.35024,16944.3653,10598.34249,3613.59243,2137.71515,18935.40788,55762.70804,23421.29021,19357.29011,7014.54096,4972.57662
1967,8492.37626,41386.87551,26775.28173,,34403.13302,,1470.08439,3614.87773,5869.87012,7933.5865,32045.31195,,,44970.47725,51405.78233,21835.00474,3069.54195,5436.73496,3206.20315,5887.61903,,13762.5315,,,18733.3687,27370.75675,25422.50463,34176.88114,10672.62155,31122.62761,16499.12593,3180.76954,23045.10303,1482.14697,23794.1033,,33177.39779,,30013.38781,11080.45617,,,,,19722.77465,8191.14631,20459.35791,,,3368.33354,2886.35625,21149.8571,15812.52362,36463.90337,26465.61828,25398.12134,16783.86703,20041.72786,17483.86099,5060.9246,5843.70088,9120.96422,,44218.06488,10390.75468,3025.17289,31877.46373,1872.65687,7816.72342,1416.1346,,,2540.81059,9687.7944,,3634.42374,7814.16549,,35794.07901,33880.72535,,33411.47976,5560.36709,,10610.97936,6130.33765,17153.31618,,3148.2902,,10578.49191,12582.68559,,33023.74606,,9015.0998,,,3633.75347,35049.66982,7770.94478,17413.07235,11310.80391,3757.65172,2052.13061,18315.49883,55991.14658,23646.27498,20628.18794,8199.638,4924.01227
1968,8652.45826,43570.2203,28428.29744,,36098.52175,,1527.06825,3704.67836,5140.56618,8563.48327,33609.68259,,,47487.99815,53067.21895,22102.35857,2864.78569,5980.10513,3312.00788,6229.6774,,14189.81595,,,19325.54006,28094.98394,26885.99076,36033.54198,10112.52997,34779.09041,16942.8125,3507.82883,24540.54573,1519.19854,25501.8686,,34773.64656,,31575.48234,11011.9295,,,,,21353.42683,8662.5459,20921.09205,,,3449.75984,2998.08347,22859.91756,17085.50924,33511.01052,26909.33553,27158.38742,16884.68939,19000.80651,19437.97492,4950.02384,6248.40305,9740.1062,,47108.96718,9617.43242,3235.50801,33670.39519,2005.95447,8940.27862,1459.35882,,,2566.71901,9930.12171,,3639.38335,8319.48597,,38138.14214,35350.99923,,33436.18436,5745.65452,,10433.73331,6579.79333,19648.24557,,3366.55992,,10503.23902,13961.4714,,33974.36959,,9279.93303,,,3821.24353,37054.41827,8365.33116,18601.93754,12082.3981,3890.56149,2113.0754,18514.35413,57600.66901,25824.38729,21076.67871,8692.30216,4462.16937
1969,9362.70545,45627.31733,29930.62047,,37793.06313,,1563.75557,3806.97842,5205.43118,8490.68413,38718.16132,,,48361.82549,55244.41422,23262.67406,3001.12329,6295.0437,3483.92454,6777.79234,,14603.90507,,,19675.1329,31931.39258,28692.96486,37776.18142,10531.0691,37690.64883,16980.01285,3609.25398,26593.53785,1577.24485,27724.08655,,36759.265,,32167.56678,11368.67943,,,,,23958.25656,8915.65732,22574.8491,,,3470.96751,3267.5704,23983.25817,17805.19271,35010.94544,30113.86793,29058.81476,17467.39062,18695.81609,21713.34792,5151.74829,6946.99196,10159.4885,,53235.63313,11441.28678,3284.84404,33860.68281,2020.08575,9565.22486,1513.72157,,,2688.04309,9965.49893,,3285.63988,10421.46112,,38793.22628,36364.06397,,36816.12314,6054.53938,,10696.11432,7092.32694,20368.10144,,3581.90424,,9266.02854,16019.91036,,35037.08358,,10746.09151,,,4137.49305,38969.08798,8585.24338,19444.82215,12495.12151,3950.91455,2242.79424,19548.4723,58022.71108,26453.54383,22362.0759,8227.12858,5477.82234
