year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,5254.77798,71098.7851,24817.59511,2143.66122,54105.41505,1330.19847,490.78826,1089.32379,4508.86834,5596.17529,11225.38102,1227.69058,4072.03532,52119.64832,109436.72355,10250.31218,2729.94484,721.82266,2336.07398,3644.75646,2308.50907,21429.97582,13153.82556,5433.28047,9029.11068,46159.61826,47433.30071,48435.0861,9182.55887,37735.54565,12562.73945,260.57861,19011.0637,317.31987,44193.04636,2120.63432,50614.0885,6910.35742,42306.20247,16002.64751,1783.46792,2899.807,668.50405,,29778.1682,3772.37281,12858.36927,3483.68458,5065.96835,3643.2646,2512.13178,15822.33864,10602.98262,59206.0353,39516.48849,31978.96163,16630.06264,2966.2052,14709.57002,3983.61638,8424.87796,3392.18785,1879.74863,100443.12355,1900.65914,2325.69253,16291.36876,145.82554,6243.95677,428.28028,6778.48975,5358.61656,435.9395,11455.1215,5827.44269,11891.29569,8015.80508,7960.09249,57683.88684,61161.49838,380.91018,34715.42081,1170.31737,4555.2281,4367.4072,5702.5381,11578.29932,3140.74017,3047.95295,147.64009,9605.44036,8950.21778,636.72669,54342.55089,14207.9298,7900.91065,1144.47414,4520.20461,2718.75306,10457.01127,3496.59125,11926.41379,4925.88488,2032.38286,943.23729,13255.87434,79699.68486,24352.4179,14430.45565,4969.42659,3827.59303
1961,5561.94683,71048.81832,26057.20738,2050.03806,55709.79684,1427.5439,492.94881,1058.37664,4522.65815,5765.09744,11681.97,1223.98175,4175.88227,52993.32991,112397.2804,10558.77791,3048.371,850.03392,2373.29595,3600.30798,2800.61734,22048.20959,13132.40406,5804.18347,9109.76667,46764.03852,50966.90088,50715.03089,7423.31667,38333.67196,12879.89544,266.33946,19978.82971,335.46997,47023.05569,2575.48578,52411.76358,7696.26335,44001.72106,16215.30835,1854.67156,2853.47535,846.84659,,30662.3665,3753.95343,13270.73323,3456.07593,4941.36935,3560.96909,2645.91208,16483.96615,10953.39114,61072.92881,40830.23065,33998.61803,17060.77379,3100.37363,16283.61562,3893.42258,8103.38065,3427.71444,1788.06206,104353.14818,1859.57756,2252.52649,16598.64467,159.80111,6515.90716,442.36946,7948.5218,5471.71223,457.20099,11572.15999,6095.05957,11408.24177,8456.8495,8092.95561,60044.86474,62730.39326,383.51247,35565.76783,1273.11436,4778.45123,4429.28169,5798.54695,12571.92461,3222.73109,3184.43548,154.07822,9177.16689,9010.00741,654.45712,56646.55641,14119.89654,7880.7725,1224.0351,4326.34932,2785.84744,10941.21962,3498.14431,12292.06529,5089.46636,2055.63327,961.07687,13742.29641,81016.66631,23963.25253,14625.85102,4905.95225,3660.54304
1962,5766.75791,72259.35642,27039.33423,1986.13812,57395.84442,1511.59291,498.29504,1053.10621,4736.65343,5936.41819,12025.06133,1238.9278,4283.47855,54294.3998,114957.98874,10646.15202,3300.29266,901.12307,2412.18339,3498.68604,2961.69964,22544.2781,13613.39871,5919.95014,9267.53768,49420.36912,54451.39155,53255.28547,8620.21997,38986.65136,13157.5033,275.51585,21309.18641,354.17224,49613.13919,2828.17223,54171.42892,8451.71836,45302.55053,16258.27785,1972.09981,2858.4226,1028.7621,,31467.31451,3741.30293,13864.45957,3498.96007,4857.31256,3492.31719,2771.32468,17139.23908,11464.7331,62329.07672,42038.44876,36221.02288,17392.51453,3227.85949,17891.36624,3808.38776,7972.47208,3467.72672,1727.32326,108068.61007,1855.77372,2170.06792,17139.84918,172.1806,6820.43812,454.28868,9392.15657,5505.88895,458.68333,11872.32831,6393.50157,11100.54386,8825.15299,8401.71232,62477.65886,64013.89935,387.36208,36185.09657,1391.37904,5045.38719,4520.33023,5866.73084,13431.66671,3230.94721,3331.50431,165.088,8754.80105,9134.41149,669.0085,58895.4376,14347.28253,8046.75987,1274.98105,4175.33198,2921.58586,11439.46787,3578.88337,12692.53022,5255.81438,2065.40245,980.77705,14364.49392,82688.39234,23716.20542,14709.12937,4849.71556,3481.70737
1963,5858.13381,73855.59857,27957.15421,1929.59505,58864.84849,1601.23881,501.09331,1030.59496,4877.0187,6017.67473,12274.01872,1265.94662,4353.14604,55658.29999,117629.18399,10770.05555,3427.02423,992.88698,2451.76061,3543.88895,2968.77006,22683.28181,14007.0545,5825.84899,9394.03754,50776.13699,57592.00227,55053.94443,8669.60198,38458.84547,13384.85737,289.57716,22734.41009,372.63935,51548.77744,3120.95137,56401.55789,8956.58226,46779.47302,16567.15636,2005.85895,2821.62184,1187.39162,,32933.37534,3808.65209,15000.14247,3568.03909,4775.61411,3392.01344,2898.63303,17866.09244,12024.18222,65078.35397,43037.67813,38479.44818,17518.07842,3335.55878,19606.79632,3749.57503,7969.07822,3527.48975,1688.0938,111096.60778,1873.02401,2117.90195,17830.73907,185.60385,7126.10093,466.47004,9996.36624,5621.69193,465.64025,12163.31975,6697.00834,10907.46949,9228.30251,8731.69548,64749.43471,65257.84376,396.01755,37070.61492,1544.62909,5342.34111,4569.13131,6022.44928,14373.17904,3258.04733,3547.28274,168.39921,8412.51084,9646.27368,686.19885,61141.91159,14504.38234,8042.10946,1352.86436,4064.96705,3113.66096,11778.52383,3680.06629,13205.38401,5502.42895,2066.83691,1019.87735,14413.79343,84618.50358,23462.97805,15063.31347,4742.54175,3313.99218
1964,6055.02578,76141.28409,29308.63653,1853.30028,60964.27918,1660.75422,504.0543,1023.92308,5035.57221,6132.23603,12457.80434,1319.69895,4421.79262,57227.97566,121292.89613,11363.89838,3317.68074,1145.80042,2500.07664,3629.90248,2949.16353,23261.84193,14665.18696,5745.23829,9391.94286,51152.68417,61280.47241,57985.75859,8756.12816,37358.4103,13596.59324,303.72615,24220.70858,387.83067,53792.65808,3455.60195,59158.49241,9324.5177,49196.019,17019.86481,2051.9933,2824.71443,1412.26976,,34764.18898,3925.07493,16354.74543,3610.49062,4691.24371,3305.40447,3074.03757,18736.13738,12941.90842,69264.07829,45082.16503,40266.02935,17748.20373,3521.12577,21591.735,3663.87436,7858.45548,3569.29247,1662.11979,114880.90183,1866.26351,2076.04768,18562.06269,207.01482,7617.91917,479.70558,10099.80511,5547.6762,461.15785,12429.5519,6995.35878,10662.37122,9755.78733,9304.18856,67898.87165,66529.33476,422.49025,38371.03946,1697.25553,5544.75655,4610.80841,6206.15993,15377.39857,3248.1992,3710.25661,170.86766,8040.11928,9952.19152,734.36624,63760.40096,14672.28177,8093.56866,1418.5021,4081.34104,3283.41217,12038.04047,3799.86728,13682.10354,5758.71148,2141.18032,1093.33335,15163.14231,86828.74804,23685.87552,15553.9492,4601.1792,3169.63974
1965,6241.16839,77581.43331,30391.88318,1784.43668,62845.51896,1701.62838,517.4498,1026.63837,5120.98723,6280.75067,12740.13719,1281.10858,4436.42714,59564.59146,124808.6607,11782.17717,3269.31961,1260.78272,2632.29546,3698.2671,2954.43875,23325.41702,15508.65004,5730.82599,9594.85582,52537.46411,65092.61293,61107.53349,7343.63464,36297.32688,13757.62768,321.04825,25887.99684,404.65021,57033.19495,3762.05564,61838.41205,9626.75822,51428.85825,17334.8471,2115.30398,2878.63223,1572.97022,491.36954,37089.3211,4064.54456,17784.38004,3663.9964,4604.40556,3214.43147,3230.60846,19749.21757,14007.08312,73672.13165,46952.19616,41626.01444,18064.17273,3706.07169,23487.51206,3581.39757,7818.6786,3576.3113,1650.02447,117455.83994,1866.41394,2029.0038,19577.41323,218.96243,8034.35531,496.27028,10177.27106,5581.78548,482.52278,12718.31475,7370.9346,10347.8648,10572.06066,9951.49994,70968.34834,68417.63692,439.74876,40243.30057,1878.27343,5782.28445,4676.37285,6377.13739,16628.63223,3348.35276,3888.74754,174.8878,7722.78093,10399.04622,765.17598,66571.03484,15010.55425,8027.75593,1439.53351,4145.70841,3466.32547,12548.70288,3903.7353,14079.258,6129.18816,2238.64008,1146.54864,15128.49927,89421.00629,23839.38774,16175.27632,4654.04462,3030.36282
1966,6394.5824,79079.85311,31951.47002,1733.31883,65137.40868,1743.03098,529.55174,1026.7641,5205.79946,6447.79858,13035.32467,1371.79383,4407.706,62000.05056,127704.77011,12696.14973,3211.71833,1365.96751,2798.56726,3738.38459,3076.55052,23380.35001,16527.60029,5824.97001,9757.94671,53956.50804,68502.50988,63805.59141,8154.4522,34957.76506,14004.1898,328.79725,27720.89521,423.30051,59935.73512,4015.87637,64758.14024,10234.18529,53420.49162,17331.25369,2199.49005,2949.55399,1734.12111,519.54639,39427.28291,4136.68612,19007.74572,3742.26823,4520.91443,3145.31906,3395.65582,20505.92396,15255.0428,78452.08188,48394.06311,43137.52977,18414.80159,3847.06767,25621.3628,3579.05044,8091.09751,3612.63542,1618.90188,118912.72212,1854.10321,1983.88454,20453.56353,234.89306,8463.20181,520.1489,10259.8034,5431.1947,517.79341,13055.0456,7874.83366,10053.02553,11238.6236,10680.42163,74382.5472,70346.7406,450.10882,42224.54144,2008.42234,6180.50001,4808.71016,6523.50776,17893.66759,3460.54986,4083.25932,178.39982,7403.27303,10901.34343,801.59261,68805.67112,15261.5968,8063.26863,1475.22563,4139.79428,3753.07144,12801.87628,3980.73009,14902.75333,6617.78123,2350.86686,1185.79204,15542.13995,92270.14546,23735.70563,16561.02554,4722.37039,2910.83512
1967,6544.59237,80873.3075,33287.89147,1691.17809,67339.68941,1831.28677,537.24893,1032.34524,5235.06268,6545.37274,13391.23596,1513.81129,4341.14927,63675.25618,130888.40113,13158.89714,3381.28238,1436.17877,2905.22917,3724.51131,3316.15142,23744.19133,17362.78227,5824.3998,9934.99525,55742.56505,70940.57639,66535.29328,7755.71588,34038.77889,14462.70967,332.86548,29350.42735,448.72989,62255.73385,4261.03338,67782.28865,10445.08656,55647.53,16844.89582,2244.64203,3005.35971,1888.34221,549.03372,41151.58479,4267.10483,19542.81769,3907.67615,4435.25056,3054.53009,3539.8184,21248.85467,16530.81965,83921.85473,49124.06969,45022.17211,18845.12587,3622.79972,28314.23187,3613.89418,8364.02283,3661.45471,1609.73536,119274.34917,1888.85,1951.64962,21366.75764,251.03974,8989.75054,538.40263,10699.57458,5452.89202,532.3166,13388.60154,8388.61663,9780.84331,11615.07789,11285.20055,78101.24598,72834.02994,461.4404,43129.42978,2118.53528,6555.21856,4895.75347,6690.3815,19056.99035,3612.11725,4352.20043,178.19914,7123.51289,11682.45421,816.61014,71047.80525,15403.77458,8049.81305,1528.38797,4068.68775,4040.39564,12821.05726,4047.53221,15663.17036,7265.55585,2488.95018,1239.38038,15490.41323,94878.76281,23670.23771,17195.97401,4818.50399,2807.4674
1968,6728.91313,82802.83314,34657.89591,1664.79561,69543.99221,1925.59409,545.67763,1058.39242,5263.74793,6738.72325,14024.91661,1763.94757,4352.54124,65519.0697,133657.26212,13830.30196,3467.34225,1489.38843,2995.67261,3713.51398,3499.93061,24311.78882,17780.54785,5923.83716,10051.5523,57424.51783,73935.46547,69625.04236,7554.29113,33574.20052,14853.00806,334.77185,31167.64158,472.5361,64635.86761,4767.66937,71141.14017,10655.42377,58195.61226,16254.36684,2282.13141,3101.22827,2012.55832,588.8906,43515.79352,4492.12522,19968.65373,4032.5448,4367.57198,2997.57746,3640.51699,22312.19036,18283.61054,87732.08307,49231.12637,47035.21949,19658.36917,3640.08638,31622.79731,3684.83519,8847.36737,3750.14636,1592.26465,119672.22822,1911.94621,1941.49227,22686.23979,263.05564,9726.83913,563.34642,11497.79457,5380.56723,562.84282,13730.22339,8929.93428,9537.94967,11823.12425,11635.48581,82444.0391,74561.30306,473.03743,43510.79147,2182.45783,6980.3135,4838.62284,6826.02114,20218.81998,3718.41528,4554.47847,180.76278,6887.60678,12621.39491,801.24328,73333.26112,15553.15461,8144.07854,1572.40719,3977.29377,4347.88411,13061.73046,4120.31136,16507.80391,8028.93596,2638.21501,1289.73059,15567.61502,97601.39975,24052.10544,17620.62937,4906.08547,2721.17032
1969,7027.45377,85119.47547,36360.58236,1645.04228,72257.84782,2016.29982,560.08535,1074.50663,5284.80955,7167.97438,14777.65369,1853.00092,4360.5408,67760.63037,136097.01323,14526.01312,3334.25674,1568.07947,3050.01626,3779.1675,3630.92261,24786.17387,18090.04429,6186.5677,10284.81826,60013.13158,77672.85532,73560.39951,7801.24119,33522.87818,15033.25256,343.53721,33440.23443,492.95084,67819.22708,5138.98071,74746.71186,10950.00615,60534.43505,15876.62832,2306.63725,3221.6846,2184.45373,626.15646,46977.39916,4566.22734,20489.47849,4130.15725,4328.63045,2957.33609,3749.9847,23804.11792,19824.37052,89446.33097,50277.72964,49465.03538,20622.22006,4052.11182,35464.27514,3764.74547,9269.76962,3888.50566,1571.4086,120996.99823,1938.8065,1937.93116,23419.47577,274.463,10522.88403,595.70419,12008.7428,5391.69212,603.71768,13988.12451,9478.81375,9199.36545,12133.81845,12069.71008,86206.29114,75538.75929,479.26594,44648.94991,2224.6882,7473.57004,4802.71112,6949.75102,21410.80286,3833.71205,4792.36257,180.58734,6667.9421,14098.67479,794.7095,75819.46602,16544.85252,8383.40092,1636.50865,3937.91021,4726.86293,13120.30588,4201.73585,17286.38019,8725.63674,2733.34874,1359.14847,15928.56408,100249.75637,24375.79811,18198.22392,4873.49729,2628.85028
