year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,20.54567,10.47002,7.09383,2.78116,9.11338,2.28456,5.16013,52.08007,3.54294,71.26694,0.23248,0.53388,1.44503,17.95127,5.26262,7.92101,656.36935,3.27036,5.43619,15.26072,1.04512,15.99025,0.1781,0.19659,1.32847,0.57208,73.19635,4.58331,3.28772,11.32677,4.51271,27.59812,30.64776,23.3047,4.43543,0.39302,46.6193,0.51078,52.31689,6.91597,3.45072,0.3373,0.70114,0.27412,8.20501,4.3782,2.98979,1.92053,3.80709,94.47304,446.43946,2.79199,21.29345,0.17614,2.07535,50.06465,1.57458,0.9718,94.6185,8.19614,24.7493,9.80902,0.82781,0.31443,12.49798,5.32831,37.64167,4.82133,0.33007,7.24605,0.99377,0.66077,3.60025,8.34654,0.63151,3.64603,41.84385,1.75012,11.45921,3.58001,10.16602,2.36364,44.58649,1.1388,10.13198,26.45961,8.64417,1.90798,18.67272,3.0223,3.22408,1.64463,2.63112,7.49166,0.04032,4.59954,2.97404,1.56812,27.3597,0.83266,4.11318,27.52107,10.6677,10.05799,7.01043,2.51854,184.60188,8.00488,16.90338,3.19848,3.84711
1961,20.87911,10.71005,7.13295,2.85895,9.16046,2.33654,5.18652,53.14493,3.62415,73.39228,0.22973,0.54236,1.47201,18.31312,5.40984,8.1173,650.32619,3.38845,5.52381,15.58572,1.06848,16.51488,0.1823,0.20296,1.38016,0.57778,73.80954,4.61214,3.39869,11.54724,4.6458,28.2933,30.91053,23.76771,4.46687,0.40702,47.16372,0.51591,52.75143,7.11,3.51242,0.34758,0.70727,0.2788,8.27462,4.51915,3.08001,1.98651,3.88362,96.58268,455.49293,2.77848,21.91909,0.17919,2.14857,50.38938,1.59015,1.01564,95.47493,8.45251,25.57784,10.0832,0.84394,0.31731,12.81276,5.43367,38.86885,4.91831,0.32901,7.39676,1.00662,0.67876,3.6854,8.57916,0.64765,3.72043,43.07665,1.80654,11.61157,3.60857,10.30935,2.42414,45.76487,1.17211,10.42428,27.27718,8.63891,1.95743,18.83864,3.03636,3.3014,1.70057,2.71598,7.53132,0.04162,4.75034,3.02588,1.60621,28.21824,0.85269,4.18724,28.31387,11.03038,10.34792,7.21284,2.5512,187.68758,8.31352,17.34336,3.28006,3.97102
1962,21.21117,10.90827,7.1768,2.92589,9.21302,2.39218,5.21722,54.1889,3.70785,75.5856,0.22888,0.55115,1.5002,18.65793,5.56099,8.31356,659.03413,3.51432,5.61537,16.06549,1.09279,17.0499,0.18666,0.20969,1.4319,0.57508,74.45691,4.64924,3.51353,11.42193,4.78428,28.96195,31.16475,24.24649,4.49735,0.42151,48.12512,0.52184,53.23592,7.31052,3.57621,0.35845,0.71381,0.28014,8.32406,4.66352,3.2133,2.05684,3.96246,98.49125,464.90944,2.79002,22.56725,0.18234,2.23952,50.70853,1.60675,1.0692,96.36837,8.72039,26.38317,10.3551,0.86116,0.32122,13.13494,5.54371,40.12289,5.01847,0.32689,7.55318,1.0199,0.69842,3.78615,8.81978,0.66429,3.79825,44.34731,1.8649,11.77816,3.63767,10.46724,2.48005,46.98786,1.20639,10.72933,28.12564,8.628,2.00817,18.95409,3.04168,3.38227,1.74832,2.80042,7.57298,0.04247,4.90607,3.07973,1.64588,29.10061,0.87854,4.25728,29.05388,11.39251,10.65042,7.42258,2.58571,190.59652,8.6266,17.81569,3.36263,4.10302
1963,21.54266,11.11695,7.22305,2.97186,9.27769,2.44874,5.25228,55.50811,3.79423,77.84921,0.23087,0.56025,1.52963,19.00876,5.68171,8.50788,680.16451,3.65948,5.71108,16.56228,1.1181,17.58729,0.1912,0.21673,1.48326,0.58137,75.11534,4.68594,3.63133,11.70426,4.92794,29.62743,31.43658,24.74241,4.52926,0.43609,48.83597,0.52836,53.56857,7.51784,3.64181,0.36997,0.72076,0.28148,8.35499,4.81249,3.32579,2.1314,4.04532,100.44342,474.72636,2.80974,23.23496,0.18577,2.33232,51.06269,1.63832,1.11614,97.35404,9.00035,27.17307,10.6221,0.87935,0.32457,13.46567,5.65825,41.40379,5.12193,0.32583,7.71616,1.03363,0.71249,3.88818,9.0595,0.68143,3.87924,45.65659,1.92527,11.93806,3.66529,10.63772,2.53267,48.24775,1.24167,11.04489,29.00481,8.68712,2.06022,19.08844,3.1192,3.46685,1.79308,2.89052,7.61578,0.0438,5.06691,3.13566,1.68721,30.00591,0.89525,4.3446,29.75663,11.7621,10.96538,7.63995,2.61919,193.35936,8.94545,18.301,3.44814,4.2322
1964,21.87436,11.33604,7.27135,3.05126,9.36154,2.50764,5.2918,56.62664,3.8834,80.18553,0.23341,0.56964,1.5604,19.37061,5.77789,8.69906,702.17214,3.81446,5.8112,16.93482,1.14446,18.13255,0.19593,0.22406,1.53302,0.58556,75.75769,4.72255,3.75116,12.05725,5.07655,30.35978,31.74767,25.25604,4.55453,0.45027,49.39435,0.5355,53.93418,7.73449,3.70931,0.38218,0.69387,0.28284,8.38535,4.96602,3.40716,2.21029,4.12992,102.43962,485.18706,2.82354,23.93208,0.18914,2.42103,51.46353,1.67803,1.16497,98.37404,9.29209,27.94466,10.87974,0.89846,0.32823,13.80482,5.77741,42.71155,5.2288,0.32372,7.88124,1.04793,0.73346,3.98188,9.30609,0.69909,3.96236,47.00836,1.9877,12.09884,3.69308,10.81686,2.58309,49.54314,1.27811,11.36902,29.91479,8.72624,2.11363,19.20405,3.17401,3.58529,1.83963,2.97998,7.67289,0.04525,5.23303,3.19795,1.7301,30.93357,0.91456,4.43788,30.45705,12.13714,11.29522,7.86526,2.65053,196.06396,9.2714,18.79966,3.53759,4.35195
1965,22.20708,11.55945,7.31875,3.13209,9.44259,2.56873,5.33587,57.50973,3.97547,82.59702,0.23512,0.57838,1.60267,19.72444,5.83286,8.88653,721.82458,3.98394,5.91598,17.32331,1.17191,18.69003,0.20087,0.23151,1.5835,0.58986,76.36184,4.7605,3.87211,12.42089,5.22991,31.11235,32.0914,25.78437,4.56974,0.46305,49.83957,0.54328,54.2928,7.96089,3.77869,0.3948,0.68647,0.2842,8.42466,5.068,3.49786,2.29203,4.21629,104.48027,496.12624,2.83537,24.65465,0.19259,2.49855,51.8494,1.71509,1.21568,99.43622,9.59521,28.66465,11.14201,0.91836,0.33198,14.15055,5.90013,44.04616,5.33921,0.32266,8.05017,1.06282,0.75273,4.08403,9.55384,0.7173,4.04766,48.40689,2.05225,12.26333,3.72188,11.00452,2.63138,50.87627,1.3158,11.69937,30.85452,8.73231,2.16841,19.30581,3.25441,3.69161,1.88488,3.07577,7.7455,0.04625,5.40459,3.26947,1.77478,31.88362,0.92977,4.53457,31.16257,12.51186,11.63709,8.09883,2.67991,198.53047,9.60581,19.31184,3.63097,4.49391
1966,22.53446,11.77741,7.37026,3.21403,9.50226,2.63236,5.38461,58.66574,4.07056,85.04685,0.23637,0.58683,1.65936,20.09531,5.88487,9.07032,742.36055,4.17346,6.02566,17.77154,1.20049,19.2469,0.20602,0.23902,1.63761,0.59405,76.91974,4.79992,3.99472,12.81133,5.38816,31.85377,32.45894,26.33161,4.58689,0.4736,50.29306,0.55145,54.5855,8.19534,3.84997,0.40783,0.68003,0.28815,8.48705,5.17173,3.52897,2.37516,4.30426,106.56579,507.31209,2.84325,25.40463,0.19592,2.55954,52.19299,1.75627,1.26828,100.34908,9.91118,29.39462,11.41194,0.93911,0.33438,14.50112,6.02649,45.4077,5.45328,0.3216,8.22951,1.0783,0.77129,4.19766,9.80354,0.73607,4.13522,49.84418,2.11877,12.42575,3.75234,11.20216,2.67837,52.24896,1.35469,12.03513,31.81603,8.71313,2.22649,19.42088,3.34768,3.80259,1.93233,3.18824,7.81956,0.04723,5.58178,3.34264,1.82117,32.85202,0.94292,4.64408,31.87167,12.87415,11.99097,8.341,2.70784,200.83658,9.94421,19.83811,3.72926,4.63818
1967,22.85598,11.99687,7.42556,3.29047,9.55093,2.69837,5.43812,59.87669,4.16876,87.52435,0.23836,0.59498,1.70715,20.46017,5.95063,9.25093,761.94723,4.38075,6.14057,18.32066,1.23027,19.81051,0.21168,0.24657,1.69112,0.59844,77.4304,4.84124,4.11961,13.24881,5.55145,32.56803,32.85732,26.86436,4.6118,0.48459,50.68879,0.56002,54.90116,8.43858,3.92312,0.4213,0.68364,0.2921,8.58833,5.27793,3.61929,2.46082,4.39427,108.69659,518.80197,2.85913,26.16427,0.19899,2.61038,52.5276,1.79585,1.4374,101.38985,10.24064,30.08865,11.68236,0.9607,0.3355,14.85892,6.15728,46.83003,5.57116,0.3216,8.41815,1.09442,0.78639,4.33182,10.05614,0.75542,4.22509,51.31204,2.1872,12.56745,3.78472,11.40904,2.71883,53.66096,1.3947,12.37773,32.79203,8.70759,2.28612,19.56702,3.44026,3.91038,1.97548,3.29497,7.87978,0.04829,5.76477,3.4172,1.86933,33.83498,0.95046,4.7543,32.58713,13.21034,12.3595,8.59214,2.73508,203.0354,10.28571,20.37853,3.83345,4.7914
1968,23.18116,12.22867,7.46422,3.35941,9.58421,2.76688,5.49655,61.12311,4.27029,90.02858,0.24001,0.60401,1.73613,20.77792,6.01835,9.4292,782.96266,4.60755,6.26099,18.89906,1.26129,20.36946,0.21758,0.25408,1.74409,0.60333,77.88377,4.86975,4.24595,13.64934,5.71955,33.2431,33.24643,27.43419,4.63255,0.49458,51.07309,0.56901,55.15589,8.69112,3.99822,0.4352,0.69487,0.29605,8.61229,5.38758,3.69697,2.5498,4.48617,110.87308,530.6052,2.87135,26.93257,0.20156,2.66213,52.84626,1.8271,1.58341,102.5316,10.58316,30.79465,11.95792,0.98289,0.33636,15.22809,6.29202,48.31629,5.69298,0.32054,8.61473,1.11117,0.8012,4.45821,10.30812,0.77537,4.31734,52.81917,2.2578,12.69501,3.81768,11.62324,2.74957,55.11269,1.43565,12.72849,33.78241,8.71911,2.34734,20.00958,3.53681,4.01685,2.00984,3.41156,7.92413,0.04948,5.95376,3.49207,1.91933,34.83358,0.95336,4.86076,33.32199,13.54854,12.73284,8.8526,2.76297,205.07278,10.63707,20.93382,3.94059,4.96058
1969,23.51951,12.50931,7.49004,3.41806,9.60709,2.83825,5.56004,62.40603,4.37532,92.55855,0.23946,0.61468,1.76725,21.07763,6.09687,9.6062,805.64769,4.84609,6.38728,19.45782,1.29348,20.91823,0.22371,0.26137,1.79585,0.60843,78.26877,4.89315,4.37293,14.046,5.89227,33.88905,33.57329,27.92695,4.62987,0.50557,51.50929,0.57693,55.40263,8.95426,4.07535,0.44957,0.70008,0.30001,8.64382,5.50109,3.75647,2.64251,4.57998,113.09567,542.73121,2.88427,27.71544,0.20324,2.73003,53.17578,1.85232,1.66473,103.74954,10.94041,31.49966,12.22624,1.0057,0.33799,15.61026,6.43073,49.86975,5.81889,0.32054,8.81757,1.12862,0.81301,4.5837,10.55863,0.79602,4.41249,54.37517,2.33082,12.84298,3.84966,11.845,2.77897,56.60592,1.47737,13.08873,34.78619,8.70204,2.41021,20.303,3.64534,4.13409,2.04031,3.53575,7.98002,0.05082,6.14895,3.56745,1.97147,35.84941,0.95321,4.96218,34.09012,14.06898,13.12636,9.12279,2.7881,207.08667,11.00503,21.50438,4.05265,5.13417
