year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,0.15841,0.35593,0.22329,0.07739,0.29831,0.04307,0.04776,0.01616,0.15975,0.19205,0.10045,0.11453,0.23888,0.248,0.39921,0.12243,0.17523,0.10745,0.10937,0.11416,0.23076,0.27045,0.23267,0.78943,0.09469,0.58429,0.43119,0.28184,0.1081,0.31066,0.24562,0.03653,0.17804,0.05402,0.44316,0.28136,0.30007,0.19649,0.24754,0.2763,0.0375,0.06061,0.30074,0.049,0.27487,0.10352,0.20201,0.10994,0.10721,0.04887,0.20307,0.16076,0.21199,0.41761,0.37208,0.30604,0.21701,0.1016,0.26175,0.14014,0.11702,0.08373,0.01544,0.28743,0.08495,0.10723,0.20593,0.03343,1.56284,0.05869,0.27317,0.18896,0.13009,0.19758,0.26203,0.12606,0.0702,0.14007,0.32379,0.36872,0.0274,0.24756,0.10506,0.17259,0.13761,0.19233,0.2164,0.09653,0.10999,0.01334,0.02706,0.49696,0.12102,0.36936,0.08901,0.16255,0.08837,0.12271,0.16813,0.13284,0.12392,0.2143,0.16984,0.11673,0.11027,0.15958,0.24996,0.38596,0.20245,0.05569,0.20663
1961,0.16048,0.30231,0.21186,0.08065,0.30791,0.03963,0.06024,0.01826,0.12026,0.14003,0.08329,0.13153,0.24524,0.22837,0.41819,0.13571,0.09314,0.12576,0.10317,0.10694,0.28995,0.26829,0.19756,0.69954,0.09744,0.60807,0.40807,0.26451,0.07746,0.34065,0.23179,0.03913,0.19615,0.05256,0.42689,0.2774,0.28328,0.2212,0.23929,0.22308,0.04386,0.05919,0.2504,0.0534,0.3246,0.08271,0.19272,0.09029,0.096,0.06113,0.18643,0.16702,0.2118,0.37505,0.37726,0.30263,0.18231,0.08718,0.28413,0.08685,0.13082,0.08871,0.03192,0.30291,0.05864,0.0839,0.19926,0.03219,1.1285,0.05406,0.54556,0.12614,0.16233,0.1896,0.25524,0.12034,0.07678,0.13599,0.32022,0.37369,0.02571,0.24499,0.10896,0.18609,0.12827,0.20273,0.23387,0.09052,0.15577,0.01368,0.02932,0.40485,0.09547,0.34234,0.10639,0.18807,0.08743,0.0828,0.15646,0.09829,0.15355,0.20801,0.15507,0.12323,0.1206,0.16244,0.24082,0.35103,0.18358,0.04945,0.18914
1962,0.14141,0.32123,0.19194,0.08374,0.29011,0.03888,0.06116,0.02719,0.20039,0.17629,0.07621,0.15012,0.255,0.22869,0.40367,0.09755,0.05431,0.08165,0.1056,0.05626,0.1448,0.23431,0.26852,0.58977,0.09799,0.67252,0.39523,0.26966,0.11768,0.38426,0.20795,0.04148,0.21347,0.05343,0.39978,0.22253,0.28275,0.20693,0.22178,0.20954,0.05346,0.0739,0.2505,0.04726,0.29678,0.07902,0.21864,0.10958,0.09502,0.05794,0.19456,0.17554,0.23405,0.31699,0.36658,0.29797,0.16215,0.08993,0.2745,0.07174,0.12349,0.07867,0.05212,0.29671,0.06844,0.0652,0.18687,0.03565,0.54333,0.04548,0.58348,0.10375,0.10376,0.20752,0.23271,0.16495,0.06958,0.1514,0.30731,0.3524,0.02554,0.21752,0.11427,0.1834,0.12625,0.18274,0.19484,0.07059,0.14749,0.0165,0.02267,0.34327,0.08288,0.32534,0.11677,0.19818,0.06304,0.10074,0.18517,0.11217,0.19381,0.20461,0.145,0.10317,0.12214,0.13899,0.24437,0.35873,0.16196,0.04484,0.13336
1963,0.12122,0.316,0.19097,0.06959,0.28147,0.04048,0.06043,0.01967,0.17065,0.15486,0.08212,0.16758,0.26545,0.22733,0.40126,0.11353,0.07753,0.10593,0.10579,0.17021,0.09051,0.22174,0.2389,0.4658,0.09492,0.64103,0.38403,0.2404,0.17243,0.37351,0.21146,0.0468,0.2178,0.05446,0.36844,0.23029,0.28703,0.1405,0.22369,0.23744,0.03461,0.05593,0.2151,0.04305,0.3571,0.09979,0.2631,0.12392,0.09659,0.04856,0.19997,0.188,0.23613,0.37601,0.34193,0.30325,0.14683,0.08194,0.28767,0.08434,0.23197,0.09185,0.06308,0.2935,0.06936,0.08791,0.20173,0.0437,2.74386,0.0472,0.33329,0.10652,0.12216,0.20337,0.23487,0.21342,0.07258,0.15346,0.3072,0.34071,0.03074,0.22734,0.13768,0.19263,0.11819,0.20446,0.21342,0.07419,0.1793,0.01641,0.03126,0.43083,0.08774,0.32312,0.12305,0.1836,0.08757,0.12359,0.21999,0.09044,0.20125,0.20949,0.1614,0.09183,0.15252,0.12859,0.24956,0.33204,0.19038,0.03316,0.11688
1964,0.1493,0.34187,0.21628,0.06547,0.31851,0.03479,0.0605,0.0251,0.17635,0.15711,0.0812,0.20846,0.28152,0.23565,0.41683,0.13315,0.08633,0.13229,0.11201,0.20227,0.07727,0.23348,0.27856,0.44454,0.08031,0.55879,0.40668,0.28544,0.2079,0.28157,0.21029,0.04576,0.22433,0.05072,0.38817,0.23758,0.30591,0.11247,0.2672,0.27455,0.04159,0.0655,0.21669,0.04614,0.38328,0.11682,0.27051,0.11763,0.08892,0.05814,0.20721,0.20427,0.30363,0.4284,0.38056,0.27329,0.17153,0.09104,0.30266,0.06557,0.16205,0.08267,0.0708,0.29947,0.06027,0.09446,0.21477,0.07661,0.8212,0.04812,0.12751,0.06924,0.08899,0.19504,0.22343,0.18635,0.08002,0.18587,0.32894,0.33772,0.04577,0.25492,0.14197,0.16845,0.11821,0.22254,0.22988,0.06264,0.159,0.01734,0.03299,0.37533,0.11897,0.34991,0.12574,0.16751,0.08528,0.20604,0.21122,0.08529,0.21712,0.20809,0.15892,0.12278,0.19591,0.10714,0.25268,0.40413,0.21085,0.02169,0.12149
1965,0.13702,0.32913,0.21318,0.06977,0.3057,0.03003,0.0878,0.02829,0.15358,0.16092,0.08334,0.07174,0.27386,0.25736,0.3871,0.13365,0.11003,0.13342,0.14629,0.17772,0.08397,0.2245,0.32667,0.4944,0.09606,0.62369,0.40832,0.29336,0.10275,0.27435,0.20776,0.05071,0.24443,0.05137,0.43342,0.2872,0.29859,0.10049,0.26149,0.27137,0.04715,0.0767,0.1759,0.05386,0.41342,0.1145,0.26435,0.11744,0.08758,0.05073,0.21545,0.21994,0.32838,0.42665,0.37525,0.24604,0.17955,0.08762,0.29454,0.06636,0.15778,0.07692,0.0849,0.27881,0.06452,0.08472,0.22866,0.05825,0.35111,0.05339,0.10431,0.09295,0.15817,0.20201,0.24556,0.1476,0.10278,0.19046,0.33032,0.36294,0.03952,0.28194,0.15644,0.17297,0.12183,0.2243,0.24797,0.08982,0.15653,0.02049,0.03256,0.42326,0.10494,0.36017,0.14412,0.14387,0.0599,0.22558,0.2108,0.1016,0.21023,0.20183,0.17492,0.14079,0.18367,0.10058,0.26041,0.39289,0.2271,0.05194,0.13619
1966,0.12886,0.32691,0.22609,0.08311,0.31829,0.03002,0.08683,0.02904,0.14614,0.16528,0.07869,0.25338,0.27402,0.26247,0.3757,0.1691,0.1275,0.12873,0.16766,0.15016,0.12611,0.23318,0.34046,0.501,0.09504,0.59549,0.3881,0.28066,0.17285,0.23272,0.20844,0.04129,0.25377,0.05391,0.41539,0.27877,0.30702,0.15095,0.25351,0.25388,0.05359,0.08228,0.18816,0.04793,0.38037,0.09445,0.21662,0.12713,0.07737,0.0686,0.21886,0.20024,0.34593,0.42246,0.33732,0.24322,0.18606,0.07885,0.30007,0.08911,0.24035,0.07929,0.06439,0.25081,0.06324,0.08292,0.23177,0.07231,0.33823,0.06384,0.10138,0.05488,0.18743,0.1978,0.27666,0.14199,0.10353,0.21116,0.34369,0.36954,0.03102,0.28052,0.12875,0.21121,0.1352,0.21493,0.24424,0.09716,0.16373,0.01979,0.02689,0.39976,0.11426,0.345,0.14348,0.19156,0.06945,0.17049,0.23594,0.08339,0.19579,0.23348,0.17228,0.1442,0.17017,0.10063,0.26534,0.34194,0.20157,0.05319,0.153
1967,0.12752,0.3223,0.21219,0.08045,0.30336,0.03824,0.07338,0.03351,0.12543,0.15018,0.07896,0.28737,0.22429,0.23578,0.37514,0.14256,0.09305,0.11358,0.16156,0.1436,0.16696,0.22739,0.28858,0.36944,0.09514,0.58344,0.3437,0.27403,0.17301,0.30093,0.22624,0.0347,0.23938,0.0615,0.3789,0.2525,0.30509,0.09596,0.26183,0.18201,0.04643,0.08258,0.18096,0.04925,0.3645,0.1083,0.17123,0.15597,0.07833,0.05118,0.20014,0.19382,0.33342,0.47379,0.27547,0.25145,0.19985,0.06543,0.32142,0.08977,0.25463,0.08321,0.0789,0.19508,0.0833,0.08663,0.22649,0.07095,0.35602,0.05327,0.14936,0.07375,0.14617,0.20193,0.29165,0.15029,0.09562,0.1943,0.34294,0.3859,0.03365,0.22855,0.12404,0.19945,0.12325,0.22842,0.22344,0.10475,0.17956,0.01478,0.02895,0.42146,0.09186,0.33115,0.12954,0.16244,0.07996,0.12517,0.24762,0.06016,0.19297,0.22657,0.19584,0.15679,0.20011,0.11011,0.25269,0.33959,0.22789,0.05193,0.18818
1968,0.13371,0.3327,0.21127,0.09338,0.28994,0.03811,0.07395,0.04323,0.1438,0.16636,0.09633,0.39609,0.21783,0.23043,0.36359,0.14951,0.09762,0.10116,0.15447,0.1383,0.14042,0.24599,0.2434,0.41597,0.08696,0.56853,0.35532,0.27312,0.17477,0.32279,0.22602,0.02917,0.23787,0.05917,0.35862,0.32077,0.30613,0.09614,0.26849,0.15529,0.04524,0.08936,0.16688,0.05294,0.37986,0.1279,0.1447,0.14383,0.08271,0.06791,0.18126,0.20839,0.38803,0.42355,0.20253,0.24607,0.24178,0.09277,0.34151,0.12487,0.30644,0.0878,0.07278,0.17714,0.07423,0.09694,0.23934,0.06617,0.37707,0.05991,0.18408,0.06418,0.18969,0.1973,0.30444,0.15655,0.07724,0.16499,0.35105,0.33745,0.03439,0.18604,0.10271,0.20783,0.0913,0.21539,0.20488,0.09536,0.17662,0.01634,0.0309,0.42618,0.06759,0.31896,0.11679,0.1893,0.07589,0.10693,0.2558,0.06469,0.17937,0.23188,0.20776,0.15948,0.19747,0.09515,0.24894,0.39432,0.20667,0.04989,0.24872
1969,0.15174,0.33211,0.21676,0.09894,0.30274,0.03891,0.08788,0.03877,0.13885,0.22071,0.08547,0.25121,0.22336,0.2425,0.36667,0.15138,0.10197,0.11197,0.14041,0.17621,0.12373,0.23858,0.23997,0.52075,0.09616,0.61615,0.37447,0.29709,0.21733,0.36961,0.21255,0.03404,0.25507,0.05367,0.3666,0.29894,0.32276,0.10147,0.26581,0.16834,0.04386,0.1065,0.18089,0.05276,0.42927,0.09369,0.13654,0.14647,0.09507,0.07835,0.18174,0.24329,0.36144,0.34789,0.26331,0.261,0.25547,0.14446,0.35894,0.12115,0.28473,0.10198,0.07268,0.18001,0.07338,0.10134,0.21492,0.06639,0.39626,0.06789,0.15761,0.08156,0.21865,0.1816,0.31026,0.10722,0.06797,0.18307,0.32044,0.30637,0.02873,0.21598,0.09189,0.21961,0.09414,0.21607,0.20242,0.09858,0.17807,0.01348,0.03679,0.49186,0.07393,0.3293,0.22755,0.20572,0.08386,0.12153,0.27848,0.04894,0.17994,0.22985,0.21034,0.13772,0.21878,0.11479,0.25028,0.38604,0.22125,0.03878,0.17921
