year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,0.14899,0.35618,0.21591,0.07305,0.29009,0.04199,0.02941,0.01593,0.15534,0.21515,0.0976,0.10974,0.23813,0.24166,0.40736,0.11067,0.20132,0.10405,0.14756,0.10241,0.41109,0.27845,0.28846,0.78506,0.09569,0.54657,0.42586,0.2696,0.07734,0.30386,0.31323,0.0324,0.17473,0.06413,0.43282,0.27325,0.29457,0.19419,0.25093,0.49129,0.03729,0.06161,0.30654,0.03741,0.26866,0.1136,0.2003,0.10673,0.10491,0.04683,0.1574,0.15616,0.19629,0.4118,0.35326,0.30288,0.19706,0.1209,0.26949,0.13363,0.11123,0.09561,0.01103,0.31239,0.08238,0.06654,0.19329,0.0326,1.66722,0.09922,0.25332,0.18069,0.12298,0.15883,0.18063,0.10105,0.48305,0.15885,0.31411,0.34973,0.02581,0.2425,0.1029,0.16484,0.13544,0.17525,0.20994,0.13458,0.10504,0.01249,0.02849,0.47295,0.11678,0.35745,0.12282,0.16149,0.11428,0.19034,0.15994,0.12791,0.11986,0.2064,0.19112,0.11061,0.10597,0.15408,0.24393,0.37783,0.20372,0.0532,0.20106
1961,0.15116,0.30283,0.2051,0.07624,0.29968,0.03884,0.03718,0.01799,0.11699,0.1974,0.08071,0.12639,0.24479,0.22264,0.42549,0.12295,0.16924,0.1219,0.14022,0.09608,0.55553,0.2763,0.25043,0.69595,0.09858,0.56954,0.40335,0.25304,0.05608,0.33731,0.29667,0.03487,0.19287,0.06254,0.41735,0.27004,0.27839,0.21927,0.24286,0.40824,0.0433,0.06073,0.2563,0.04226,0.31813,0.09077,0.19026,0.08769,0.0939,0.05882,0.14418,0.16236,0.19692,0.36973,0.35936,0.30007,0.16627,0.10357,0.29412,0.08258,0.12469,0.10225,0.02167,0.32925,0.05686,0.05209,0.18703,0.0315,1.11297,0.09171,0.44313,0.12083,0.154,0.15242,0.17599,0.09674,0.51717,0.15433,0.31108,0.35484,0.02429,0.24042,0.10695,0.17786,0.12647,0.18502,0.2271,0.12692,0.14943,0.01284,0.03116,0.37076,0.09204,0.33156,0.14463,0.18684,0.11283,0.13088,0.14889,0.09472,0.14897,0.20057,0.1816,0.11907,0.11608,0.15704,0.23529,0.34487,0.18481,0.04731,0.18434
1962,0.13159,0.32044,0.18499,0.0787,0.28137,0.03802,0.03752,0.02661,0.19446,0.18708,0.07327,0.14389,0.25406,0.22207,0.41008,0.08783,0.14797,0.07864,0.1431,0.04984,0.23575,0.23981,0.32372,0.58469,0.09865,0.63116,0.38953,0.25699,0.08457,0.37272,0.26749,0.03693,0.20911,0.06296,0.38946,0.21539,0.27694,0.20382,0.22422,0.37765,0.05301,0.07561,0.25642,0.03933,0.28959,0.08627,0.21547,0.10594,0.09242,0.05529,0.14964,0.17002,0.21946,0.31044,0.34842,0.29455,0.14728,0.10674,0.28303,0.0678,0.11714,0.08995,0.03611,0.32404,0.06625,0.04077,0.17435,0.03483,0.53459,0.07725,0.4709,0.09905,0.0977,0.16608,0.16082,0.13318,0.4612,0.17078,0.29764,0.3334,0.02401,0.21238,0.11158,0.17459,0.1239,0.16574,0.18811,0.09687,0.14084,0.0154,0.02396,0.3075,0.07947,0.31438,0.15753,0.1962,0.07998,0.15678,0.17574,0.10744,0.18764,0.1962,0.1624,0.09968,0.11696,0.13365,0.23782,0.3517,0.16238,0.04271,0.1292
1963,0.11324,0.31564,0.18425,0.06553,0.27297,0.03958,0.03714,0.01931,0.16558,0.16005,0.07921,0.16091,0.26304,0.22105,0.4084,0.10261,0.15985,0.10234,0.1423,0.15334,0.13746,0.22721,0.29191,0.46127,0.09572,0.60028,0.37861,0.22824,0.12393,0.35969,0.27203,0.04182,0.21367,0.06518,0.35895,0.22319,0.28145,0.13812,0.22641,0.42102,0.034,0.05847,0.22027,0.03919,0.34948,0.10933,0.25841,0.12009,0.09421,0.04624,0.15408,0.18242,0.22449,0.36966,0.32447,0.29999,0.13455,0.09737,0.29641,0.0799,0.22165,0.10607,0.04494,0.32064,0.06714,0.05456,0.18854,0.04234,3.16501,0.08025,0.30735,0.10156,0.11528,0.16406,0.16312,0.17312,0.48288,0.17364,0.29783,0.32198,0.02894,0.22254,0.13469,0.18366,0.11603,0.18596,0.20649,0.10112,0.17159,0.01535,0.03278,0.39004,0.08434,0.31232,0.16352,0.18222,0.1135,0.1913,0.20946,0.08643,0.19499,0.20122,0.17881,0.08934,0.14626,0.12374,0.24322,0.32475,0.1913,0.03163,0.11331
1964,0.13978,0.34154,0.20862,0.06129,0.30914,0.03393,0.03702,0.02465,0.17154,0.16756,0.07827,0.20012,0.27165,0.22925,0.42339,0.1204,0.16012,0.12783,0.15061,0.1826,0.11636,0.23924,0.32875,0.43966,0.08085,0.51996,0.40087,0.27242,0.1494,0.27271,0.26963,0.04073,0.21996,0.06065,0.3782,0.23005,0.29986,0.11163,0.27094,0.46929,0.04135,0.06782,0.22137,0.04082,0.37492,0.12818,0.26644,0.11387,0.08673,0.05549,0.15981,0.19809,0.28064,0.42211,0.36096,0.26986,0.15265,0.10915,0.31171,0.06201,0.15412,0.09602,0.05138,0.32708,0.05817,0.05875,0.20097,0.07388,0.80341,0.08165,0.1315,0.06618,0.08377,0.15475,0.15493,0.1509,0.56921,0.20942,0.32008,0.32014,0.04309,0.24968,0.13876,0.16023,0.11583,0.20256,0.22238,0.08569,0.15178,0.0162,0.03472,0.3394,0.11439,0.33832,0.1667,0.166,0.10968,0.30461,0.20086,0.08211,0.21044,0.19992,0.18586,0.11903,0.1879,0.10293,0.24612,0.39774,0.21203,0.02067,0.11767
1965,0.12881,0.32918,0.20596,0.06571,0.29692,0.02931,0.05402,0.02791,0.14926,0.17298,0.08043,0.06853,0.2643,0.25071,0.39517,0.121,0.17214,0.12913,0.19663,0.15962,0.12984,0.23063,0.37568,0.49005,0.09703,0.58434,0.40295,0.28058,0.0747,0.26512,0.26619,0.04533,0.24023,0.0612,0.42313,0.27734,0.29297,0.09938,0.26532,0.4627,0.04666,0.08035,0.1802,0.04567,0.40534,0.12607,0.26104,0.11392,0.08569,0.04869,0.16643,0.21385,0.31076,0.42115,0.35652,0.24306,0.16072,0.10476,0.30316,0.06293,0.15027,0.08941,0.06018,0.30514,0.06237,0.05295,0.21441,0.05631,0.33744,0.0907,0.10869,0.08888,0.14962,0.16039,0.17247,0.11922,0.6865,0.21525,0.3213,0.34418,0.03724,0.27696,0.15322,0.16498,0.11965,0.20454,0.24051,0.1238,0.14952,0.01918,0.03419,0.38638,0.1011,0.34869,0.19505,0.14233,0.07766,0.32923,0.20088,0.09781,0.20382,0.19422,0.21818,0.13618,0.17652,0.09673,0.25407,0.38629,0.22869,0.04962,0.13201
1966,0.12099,0.32728,0.21883,0.07754,0.30964,0.02935,0.05337,0.0287,0.14214,0.17498,0.07618,0.24417,0.26686,0.25601,0.38451,0.15371,0.18133,0.12482,0.22488,0.13461,0.20926,0.24022,0.38898,0.49724,0.09616,0.55616,0.38319,0.26868,0.12501,0.22237,0.26779,0.03689,0.24981,0.06508,0.4058,0.26981,0.30167,0.14927,0.25744,0.43081,0.05296,0.08613,0.19313,0.04109,0.37308,0.10389,0.21525,0.12359,0.07589,0.06563,0.169,0.19481,0.33457,0.41729,0.32078,0.2406,0.17002,0.09466,0.30941,0.08476,0.2302,0.09305,0.04894,0.27495,0.06123,0.05147,0.2178,0.06989,0.32564,0.10797,0.1069,0.0526,0.17787,0.158,0.19688,0.11498,0.63815,0.23803,0.33468,0.35037,0.02927,0.27591,0.12609,0.20202,0.13294,0.19621,0.23721,0.13406,0.15663,0.01856,0.02797,0.36024,0.11034,0.3342,0.19563,0.18965,0.09367,0.25626,0.22577,0.08009,0.18992,0.22507,0.21123,0.14006,0.16371,0.09691,0.25924,0.33521,0.20315,0.05095,0.14901
1967,0.11969,0.32284,0.2053,0.07491,0.29532,0.03749,0.04468,0.03303,0.1224,0.14919,0.07648,0.27821,0.22434,0.23007,0.38364,0.12937,0.16346,0.1101,0.2181,0.1289,0.27939,0.23386,0.34149,0.36612,0.0962,0.54351,0.33912,0.26236,0.12558,0.29183,0.29018,0.03127,0.23534,0.07525,0.37014,0.24315,0.29985,0.09563,0.26627,0.329,0.04604,0.08521,0.18674,0.04247,0.3573,0.1192,0.17061,0.15164,0.07674,0.04906,0.15447,0.1884,0.30916,0.46942,0.26219,0.24892,0.18198,0.07772,0.3323,0.08527,0.24401,0.09804,0.05818,0.21316,0.08095,0.05386,0.21239,0.06874,0.34303,0.09049,0.15276,0.07075,0.13845,0.1623,0.20869,0.1223,0.61867,0.2188,0.3353,0.36843,0.03178,0.22438,0.12158,0.19051,0.12136,0.20868,0.21677,0.14505,0.1723,0.01385,0.03014,0.3882,0.08856,0.32109,0.17517,0.16114,0.11345,0.19264,0.23676,0.05811,0.18763,0.21821,0.24412,0.1525,0.19238,0.10612,0.24676,0.33623,0.22964,0.0498,0.18352
1968,0.12598,0.33398,0.20506,0.08741,0.28274,0.0375,0.04567,0.04281,0.14067,0.16048,0.0936,0.38581,0.21298,0.22547,0.3733,0.13625,0.16552,0.09837,0.21014,0.12379,0.22768,0.25413,0.29251,0.41354,0.08824,0.5293,0.3516,0.26212,0.12674,0.31267,0.29037,0.02643,0.23464,0.07329,0.35095,0.30972,0.30167,0.09567,0.27404,0.28639,0.04485,0.09576,0.17282,0.04556,0.37346,0.14145,0.14661,0.14028,0.08143,0.06518,0.14025,0.20332,0.36766,0.42098,0.19189,0.24427,0.22109,0.11173,0.3542,0.11924,0.29526,0.10304,0.05499,0.19417,0.07235,0.06018,0.22559,0.06403,0.36393,0.10171,0.18545,0.06176,0.18065,0.1604,0.21959,0.12752,0.53874,0.18715,0.34357,0.32189,0.0326,0.18284,0.101,0.19931,0.09012,0.1973,0.19921,0.13227,0.16995,0.01537,0.03209,0.39458,0.06535,0.30984,0.15692,0.18823,0.10949,0.1663,0.24538,0.06256,0.17477,0.22404,0.25418,0.15529,0.19066,0.09197,0.2438,0.38995,0.20883,0.04803,0.24333
1969,0.14267,0.33271,0.20977,0.09167,0.29414,0.03808,0.0545,0.03835,0.13547,0.22261,0.08271,0.24204,0.21848,0.2367,0.3759,0.13756,0.16902,0.10851,0.18936,0.15759,0.19487,0.24595,0.28819,0.51688,0.09734,0.57502,0.36972,0.28501,0.15692,0.35854,0.27081,0.03073,0.25127,0.06587,0.35772,0.28784,0.31729,0.10098,0.27057,0.30676,0.0432,0.11173,0.18576,0.0451,0.42161,0.10309,0.13871,0.14245,0.09355,0.07525,0.14,0.23684,0.34846,0.34461,0.24845,0.2584,0.23337,0.17261,0.37142,0.1153,0.2733,0.11951,0.05534,0.19632,0.07112,0.06235,0.20181,0.06387,0.37988,0.11467,0.16464,0.07811,0.20788,0.14733,0.22331,0.08693,0.50276,0.20672,0.31158,0.29095,0.02713,0.21184,0.09009,0.21008,0.09263,0.19746,0.19631,0.13622,0.17059,0.01265,0.03831,0.46058,0.07125,0.31871,0.29598,0.20373,0.12766,0.1871,0.26678,0.04727,0.1746,0.22163,0.25507,0.13367,0.21072,0.11067,0.24449,0.38033,0.22307,0.03708,0.17451
