year,Algeria - DZA,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia (Plurinational State of) - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Central African Republic - CAF,Chile - CHL,China - CHN,"China, Hong Kong SAR - HKG",Colombia - COL,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,D.R. of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Haiti - HTI,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Nicaragua - NIC,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,United Kingdom - GBR,United States - USA,Uruguay - URY,Venezuela (Bolivarian Republic of) - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960-01-01,10835.013633183686,3211.930775507562,15799.374510796093,10212.92521198049,1563.253365595595,9351.603195688913,10628.077352980672,1780.0140364152935,1958.6905886228153,513.3025428780762,2336.849966124406,977.4671957677649,754.9921744379988,1570.6016006725101,15393.973192521895,1550.245513429595,5178.162829936312,994.1747140205078,6004.624433349654,3875.5614332038112,2057.4998636466116,5185.354081755708,1785.9730084896653,4254.508417912428,2983.8123022354216,13568.789122898259,3234.1205889489515,4364.314424301439,766.933911608117,745.048020745054,536.4224875644738,3122.213016042743,9945.214430959666,11134.624050936734,3861.6458780966577,2815.831946703694,11158.833284129516,4536.673351832927,5481.607557801854,2376.8977614275886,1479.2900589245362,2242.8163930354676,12724.488362265993,1168.0719462378117,1387.893312183978,4052.0596225895624,6697.144402329041,9298.082822812814,7582.857308474729,5523.094350527174,5473.626462291499,3028.679177702212,1738.9977864532011,1021.4302886760327,18467.47447639993,1609.1783993695808,899.3621208197593,2690.403151844371,776.5977973915318,857.511908734051,2018.1347651490162,4113.9783884170765,6676.688864510053,1398.9198958414727,659.2042801206318,4204.313344237906,761.8358797889018,13113.134947343253,14358.213238956743,4851.699442586415,2008.3547298869723,2001.7720356596044,12448.9086736746,1308.8777807858773,2888.1547559225824,2345.64838499891,2903.3360037279144,2024.0105350944102,4576.53675387729,1256.0478444634368,1517.1483359615777,1039.6910766083474,2868.1330402951116,2764.530869471329,6773.040108663382,6368.10714075959,2969.9832898611216,13470.279251760483,23249.107344520788,2598.1777103657405,2606.6373123952153,1205.705733128822,1238.233994187606,10928.016108943326,1871.893469345097,5130.867881304077,1161.4685061725431,867.9748637074764,13277.7853357746,19079.524914628913,7470.180074040475,7649.257842925855,1838.1288612130302,2448.016819493434
1961-01-01,9263.024992756978,3262.946915419454,15902.03933522357,10715.417911626078,1521.760194681546,9709.269725556267,11145.608203449361,1762.4698509297089,1977.9058921508367,544.948259253236,2584.339334440875,917.6735560633465,636.785506498983,1591.0732895974409,15714.856692992196,1647.5245046475948,4882.831288503491,852.9159226235089,6103.35494141427,3992.607644628347,1877.9156234945235,4906.37919750826,1813.3946354789655,4748.788760219323,2467.328731730175,14338.302010941965,3069.6611723614915,4446.181565681038,782.7292946140703,766.5433058895186,546.8912912291702,3090.666674929988,10861.012825961468,11547.518795795066,4130.442968586278,2554.50394756356,11515.061291651044,4289.859502531432,6185.301835682456,2422.1728096459706,1408.7339580074656,2260.7328029870996,13089.694147724344,1181.8859321062507,1499.3442710428342,4232.080617241818,7039.008934568591,10007.00883757637,8164.42019517717,5730.764145637825,6018.174327118993,3432.5584969191505,1672.1247372196742,1017.6111281347322,18254.886037262182,1648.1664721413977,899.3642286355514,2858.1550977324664,759.3292831951234,856.9958128222368,1978.537997768307,4470.916837043264,6648.700167433972,1748.6621300132506,656.6640112396859,4100.177574015596,749.2343623037837,13240.119112287523,14852.987148881777,5047.619505939009,2100.130490928026,2039.7078230539591,13045.533954245459,1329.9050706596402,3114.8834070355942,2433.1852751410975,3022.784536555584,2060.022815936597,4831.077328851956,1303.51495888088,1655.267496841736,989.3544716413759,2800.4656551528356,3142.45666792025,6882.577609069647,7055.688746833806,2863.179627224282,14261.629821757266,24572.081489100892,2662.6546438512514,2748.349714787834,1243.5004925051687,1314.0375875588577,12403.596489018777,1898.7611288764192,5082.403741947776,1159.6581153532986,859.9452129890025,13502.722845574373,19246.521317467766,7475.181316832813,7612.769444276094,1842.407953817979,2509.4571803542867
1962-01-01,5283.8633490059865,3271.1163327274357,16466.98254038086,10950.801768648485,1580.8968062453682,10035.758089586263,11681.076149750383,1676.566399371868,2005.947730933178,577.5032235723614,2700.08406602481,977.3566161551485,678.6529983688802,1575.525258493187,16413.34419101821,1613.8640699820999,5957.8875731052485,911.3737965995709,6458.037041853527,4050.590173421612,2366.4443439751435,5046.152334048033,1839.7876539409344,5603.0358750965715,2954.01064341194,14907.130833245383,3272.0633673869106,4491.628687888505,804.3969527015034,834.4741209034161,557.5590293403255,3041.5786391811007,11008.036390649984,12086.585527047324,4574.972409110389,2503.19988584208,11832.689129968625,4214.489394401309,6046.603455647743,2424.9991844302726,1461.8575577269198,2294.935562363235,13375.869182192573,1204.7656850468313,1437.8583689834718,4493.593074350987,7185.552266275745,10388.284148681425,8569.289079550057,5760.776096237825,6534.113127412732,3338.196617700963,1748.5249940960741,1152.476221070875,17689.721678271464,1689.9931231233568,895.2736177168455,2977.105426578749,742.2926942340468,1219.5593166881347,2219.331241057062,4734.043890237932,6688.895069060565,1951.7324161761942,698.8744728041167,4555.435203362284,757.8338168594073,13629.311374373361,14933.23165439277,5532.101123487989,2273.297826546657,2087.752666391643,13182.24962944043,1380.225892629693,3288.9432003645315,2377.402226899628,3197.574557463192,2151.5844646294604,5178.275332259633,1274.54303865364,1803.1816768322478,1087.564713764334,2747.6542436503933,3564.539676255647,7013.7173239210315,7679.2600835230505,2983.4005257662175,14746.92146160927,25068.270393604722,3368.5010993419114,2853.012537433576,1274.0046488215971,1319.9994773254093,12162.547437648387,1885.9642048591265,5268.025228443576,1235.448665562572,855.5330412218987,13551.653640249779,20092.721038700845,7465.9181452313815,7885.256389547169,1746.6327515106518,2415.8564492671703
1963-01-01,5965.947146323159,3109.2354380263832,17306.359632965894,11330.010681483413,1646.4864735215997,9852.283412874544,12054.987565567288,1731.4055293295542,2089.3809903811375,594.6554980295533,2803.253040888784,943.1620399802811,689.2862132500409,1649.3594227035462,16961.062620255198,1489.3706186517898,6038.201295535243,992.0712998845506,7040.475254714012,4043.3643421829674,2560.723623110459,5172.911933741915,2005.4402122326348,5615.771015007867,2761.4469785135316,15032.260232239427,3069.144038494332,4451.653088092232,849.2601191326486,835.5054446676282,560.7894308514946,3365.2610346573283,11041.996534612044,12666.50923722857,5453.89245248221,2562.695776116839,11997.434078890172,4474.987698725721,6801.451669171923,2502.055769450327,1422.66357021805,2266.010406827769,14696.489747557907,1258.7201335591194,1284.5340921190875,4475.358189295759,7465.894906759324,11103.576808106576,8901.15423529969,6091.414745112767,7003.397575217547,3407.0558484575686,1734.6393535972238,1264.4597778374748,17681.901836419056,1655.269319202556,888.0661946769455,3092.9109939481664,713.8992689715515,214.55312090628155,2057.610623183473,4751.022737707465,7078.616666380452,2227.9691041238916,697.3182958783717,4732.74185215957,752.6649500229972,13537.518498665331,15467.823529820465,5848.845133683282,2418.6572072476333,2142.7012608913565,13531.329456582684,1435.721006146195,3452.000914085368,2440.9929179319865,3281.8304834312576,2213.8292981450477,5441.703872278411,1379.2558641345852,1936.9294340469455,950.9832512783677,2707.3693160677235,3960.3470316414705,7403.9109913803695,8340.459245371234,2810.6992733283846,15432.917429167454,25664.08197628144,2838.7535621247634,3034.302250188976,1320.2527256483813,1375.5248848597525,12956.706847077781,2032.9137294310324,5642.660587634741,1288.0675369058913,849.658115227372,13989.652743439725,20687.402595674317,7232.202018776925,8175.08348080287,1783.7515591429842,2397.569223151161
1964-01-01,6087.378182967305,3214.9655199662043,17813.994185313357,11792.523816933473,1604.1669599778681,9764.13288727894,12765.856174456248,1785.87863499785,2168.1430795839824,623.2690839543977,2844.5909415267283,974.6383938569827,686.0522334584753,1682.5292501637537,17812.47382441984,1526.492617662838,6100.685165226963,1085.6556061108479,7490.209578892956,4250.177661970519,2662.774447149218,5278.288393212977,2235.7708846019696,4778.306649494892,2452.7302392431766,16132.698244859599,3070.542351822694,4669.4227987663435,936.6064432953544,866.3125639557192,583.905109786705,3773.285936842461,11329.445740897872,13353.873097899983,6013.185493495445,2771.771980794984,12782.994461433913,4658.623443750738,7266.037864456596,2516.067430273812,1387.1984009942132,2326.426294785251,16238.448321362666,1320.739700699738,1207.8230145215207,4712.06701806178,7654.143536789471,11661.447584542531,9080.25369296359,6278.6895663441255,7711.307608808273,3741.7017434013683,1835.7885331681564,1331.330979440098,18909.07317761836,1648.628030782349,864.3766507317353,3280.825352147237,564.5291068560335,945.3377790193165,2767.8725119793544,5281.208938578213,7782.872532497945,2312.6381831040017,710.6757445929125,5218.285442799147,818.4234702047737,14872.657963527405,15829.945926334085,6383.223677533484,2341.7621337669866,2081.6824207089257,14254.883933130091,1504.5686731696412,3524.020728476734,2459.835287767661,3400.3631337479706,2193.725621377044,5632.28963459501,1461.6118263136898,2045.0873809719965,831.5259641959112,2694.0982326122153,3972.3451312915995,7712.554400773704,8685.451652319223,2912.3985152138453,16430.747980592594,26737.00473931872,3445.2053718004486,3318.7282135713485,1387.7429003836326,1547.6357366957375,13678.785447681325,2046.015149902476,5693.9031989879895,1446.3667802694658,894.7027384191474,14730.599328111526,21628.648863211154,7426.666257139187,8764.632646601533,1978.8350318028345,2263.4636125063253
1965-01-01,6427.353393645498,3558.590323912042,17704.10753768454,12086.680475827274,1553.0166903699594,10169.499741931351,13103.903736132515,1889.0533424498083,2254.911253993009,588.3716669510464,2937.4859130847576,962.89936738754,693.0626238612634,1748.8476507679554,18586.8737018342,1502.003575904019,5764.074469827863,1168.039678845475,8302.589653875146,4134.59690091249,2577.4720711133677,5652.584360887455,2044.7188766401744,6091.982627824432,2736.6893675152937,16703.31145715877,2784.4499286698983,4684.808417658241,945.2157434350198,890.7801563525486,613.4500857380262,3134.864513677528,11993.564762711496,13855.951225390041,6641.612690840774,2995.769258830685,13321.435021429672,4470.426017479899,8015.466076945067,2551.4522635498283,1372.0122702969686,2423.1350885046286,17447.117078845484,1271.1739476630337,1406.216503285638,5176.020806226493,7732.918957782357,11298.196276720006,9266.724334396176,6344.890895295936,8102.635124423389,4015.68554824689,1873.9448999031752,1330.4616215386413,18992.670586218966,1596.860115863954,976.6089796742581,3416.875577495023,601.8162606407938,2114.257735087178,3174.211256217741,4850.342263308677,7951.686372397832,2220.668321382629,703.0273086027544,5287.985624592929,791.2252110356784,15301.046438291221,16518.57909858443,6964.355747388268,2383.3454438660283,2284.2542655769375,14929.268230287045,1605.9020042816398,3733.2334035119816,2546.884610699257,3522.4773476770824,2226.5184383698,6021.004147187743,1499.8172985269007,2234.936425344534,861.2242503043643,2651.5140394474083,4186.448817077988,7941.853252674945,9079.128671845277,2821.4989004165914,16803.095744512375,27104.66858226437,3331.958634893381,3663.0326979483393,1501.5001284726425,1723.807996651814,13286.244588444568,2083.9084723370124,5695.850275078387,1419.2964416409015,877.724778754542,15018.665961104232,22745.728165483277,7337.605029605708,8758.558672570152,2321.020341079196,2415.8372799604076
1966-01-01,5564.532471009707,3583.6449423807494,18576.497141574866,12608.718111685292,1536.9905628718534,10697.431194621915,13376.342815601256,1894.1551071434558,2377.8524489225647,629.3266411552905,2993.1566079324116,963.2374919917305,701.0033400690403,1796.7898468976048,19461.906390972326,1447.2139528585963,6318.592557846776,1168.1666956014371,8605.645738638932,4236.1854072658825,2329.524999620064,5786.358827803109,2188.6125307426046,6331.121861598568,2848.189657095346,17004.726438541828,2778.405525794041,4687.968854368739,947.723430119676,915.4214927023172,622.2391163702518,3146.145663007874,12316.556972642964,14475.217865320523,6080.482738523497,2951.437874180253,13593.178588600354,4303.353543760214,8580.298667660918,2641.6718945795583,1350.0503961177048,2424.9904730975163,18353.04668146629,1241.6760063168708,1152.1919358548794,5320.510832189235,7836.779705850722,12167.411655343914,9722.435517288135,6316.194980939314,8851.913891270591,4017.6445306489745,1996.4226020277522,1383.494937159275,19168.236595602662,1640.1215193628595,1096.773005394653,3543.6827340816662,588.8040927257626,2421.7375502507925,3115.9208821048633,4854.982928297024,8184.536117814387,2091.658345225431,694.6081845420429,5431.234363127421,836.2813995758241,15368.931259919858,17280.467358670307,6849.484475451638,2303.7478779510952,2230.901134321204,15334.51284931037,1726.1285705105647,3905.332904078741,2488.5197361629075,3682.986911615914,2250.80936036464,6183.918788744789,1661.8095302661982,2340.7140984349016,907.0735044480675,2722.7519305968694,4642.976062122424,8081.258458540048,9655.600655341532,2985.5697020657244,16935.93556198045,27506.023128202487,2894.351709242467,3841.663530214376,1702.9967457590853,1847.8579871883599,13814.52301389318,2117.6009962569774,6418.128077261494,1481.221828273702,899.9848836795554,15258.810858113131,23932.8020652169,7547.306714201244,8513.01086241943,2355.348227789864,2287.864606801325
1967-01-01,6055.44667316965,3653.059486764701,19066.34266434904,12899.655409890749,1453.7062656842052,11741.523918041885,13816.648774361947,1921.2375287589223,2510.4423625108666,721.6462768712086,3158.6145456763747,1048.9030865650661,770.4237397215451,1609.6601474590402,19671.782089609544,1397.1484503611073,6552.34234551241,1171.2876407593042,8663.268231550743,4272.456465124375,2309.8839905063114,5870.213577761231,2196.1093597439917,6994.229527010632,2533.349010166248,17770.528851316518,2783.0281730648126,4902.5313280346345,957.1372083147563,945.5709656711471,619.1666719119785,3517.8339640671115,12618.391247442103,15079.872585140758,6570.142958483996,2837.9034149703098,13405.284061196311,3910.0199150162634,8910.031555322796,2687.0670575570625,1294.4592581803013,2436.5693012172906,17458.09669515219,1307.1123081723395,1210.1932261866943,6197.413904918437,8260.908504952891,11997.752483829543,10357.854279049396,6237.795169217791,9667.973942578185,3982.055885505412,2008.9561467032552,1458.3800169428791,19881.857869673167,1681.032509231276,1096.147481153662,3551.6481017473734,596.8760300034786,2645.592782014394,3425.8253166410955,5141.409832678523,8366.52034747946,2103.908270570754,758.2632840771328,5283.5933630123545,799.1898478392887,16021.926898537678,16251.158213902094,7117.50344410881,2294.8841020149466,1873.9387400714734,16158.050551937433,1712.7837518124602,4151.35748125052,2615.6700679162914,3759.6780525551435,2233.207896990327,6658.661293148745,1712.5852222125652,2583.7587396405247,939.710633751475,2630.274648727821,5203.216576506618,8448.66010663315,10012.231874613852,2945.167598914145,17452.133443105697,28115.78082630778,3155.887255638994,4243.84352235642,1697.0647577658935,1887.1837841076897,14528.932764943818,2075.818740335917,6451.163593160263,1517.615590801648,857.3015180353591,15526.915516717841,24255.710516124225,7244.74454643258,8517.952340684287,2704.9956239430194,2240.195256329989
1968-01-01,6584.987939117548,3707.1466843831454,20122.675108153424,13388.819562259214,1469.7690288206047,12114.931949662492,14354.844703609775,2021.4348813982458,2168.0949879059654,786.7058063711657,3392.4844886152264,1065.2208832833844,761.2255679578781,1642.6576461688412,20403.550141209616,1560.1610010216643,6588.699507541802,1106.6547112771048,8942.51711767224,4422.080945590447,2537.6212787557492,6056.067248901028,2380.4071121252846,7183.466835298108,2651.954784146101,18674.50866148221,2646.452965525044,4991.662040855849,1030.0620307479069,956.7006178976413,635.1501589221472,3855.621554830793,13243.684056853113,15609.670242244341,6629.936825493566,2933.5077485183097,14106.713823421665,3831.814722025726,9474.47370432437,2833.2472288596045,1302.8357385406327,2521.026829402255,15876.971182723593,1334.6228235268525,1236.7851882288269,6449.964101845479,8859.890292010994,12306.788203404649,10963.985083122843,6198.145074483801,10765.293348190233,3625.422280642753,1936.552480875005,1430.542075417708,20885.20831673088,1779.9627557406782,1089.4487211356982,3625.6662019119854,632.7701767195472,2999.865029371364,3906.3097743716144,4107.512809577499,8798.254050544918,2190.1581683206764,776.5096022639557,5322.609958207429,788.3028551953934,16874.312537805272,16054.549098985168,7006.917810201735,2284.0781882131096,1824.5787254755903,16619.058131994007,1754.6997929084287,4324.67627204802,2626.7243974968374,3646.2228080207083,2308.574594445109,7553.136428735229,1869.6484394468273,2704.411674585177,981.4205701281248,2609.385163792798,5654.125097301396,8501.06324613736,10581.901518447048,3129.948245813206,17964.948906166414,28823.642079282596,3191.3937581797604,4599.341438581155,1766.3206989542787,1892.449221175297,15421.49429533851,2200.524149161041,6761.1303774606695,1574.1365033640204,878.0134655225638,16086.74303043405,25147.79434723046,7289.050443265143,9180.132875446085,2807.548368812922,2005.167800373041
1969-01-01,7002.075907455312,4011.5021340871585,21175.37420336451,14010.391261975794,1502.0055402278015,13965.377258572638,15203.514815113756,2049.9127187187873,2192.188842755817,738.1397056152529,3358.197000948806,1076.6678175220814,721.8870042117492,1719.1019064295674,21165.02847800452,1535.0063047199965,6914.160428849254,1181.0592834123906,9774.2944160572,4598.512875590589,2724.3717225720507,6218.5889345652095,2486.5050669617376,8117.170260748271,2870.289844309182,19775.55823767882,2780.4594313321745,4985.009559672976,1089.6380495250328,958.6729455406785,663.4111873979933,3913.1706173065973,14580.725670312766,16579.015518856624,7010.50971662697,2792.0692523263206,15100.144292150237,4027.141441061356,10512.2399625931,2938.9984459799794,1326.4661459860365,2442.337425241977,16534.828836449007,1442.872835270525,1249.5915262281987,6809.003949579624,9250.64760533249,13779.04551513366,11560.775880745163,6384.527006371311,11935.014304072374,3531.530090053425,2000.6708601366327,1401.297930430681,23684.151546923862,1806.6988475222201,1137.7822692855218,3665.068315557731,635.1970516159665,3166.241406237814,3608.572710409526,4085.167090713391,8885.19300636211,2382.4165452601464,803.3588229434308,5552.927606290299,815.3471866722778,18204.071465468776,17540.983094971583,7140.576981832209,2062.363391678796,2197.437538749602,17136.207436085777,1844.4483468572153,4585.889556485969,2694.5253295991906,3715.8311142055836,2365.612430341203,7796.1683121816095,2080.5385612945256,2851.6754406153127,1051.1891455367497,2287.1853322570505,6453.5406029377655,8869.98273626511,11453.876999598515,3271.4096757714096,18685.74119385717,30071.38553732992,3683.1648979962524,4869.814604238658,1896.147413605201,2075.9956852656264,16716.186122830717,2243.9277384611346,6927.579491941529,1598.0135305790955,932.8651734563582,16329.384544793224,25697.337520184836,7707.103654302992,9391.735634049668,2600.5677391488694,2443.5271286144252
