year,Algeria - DZA,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia (Plurinational State of) - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Central African Republic - CAF,Chile - CHL,China - CHN,"China, Hong Kong SAR - HKG",Colombia - COL,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,D.R. of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Haiti - HTI,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Nicaragua - NIC,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,United Kingdom - GBR,United States - USA,Uruguay - URY,Venezuela (Bolivarian Republic of) - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960-01-01,37735.54565076834,5254.777982612178,71098.78510467,24817.59511327952,1089.3237904880389,11225.381024368953,54105.41504668929,1330.1984730041004,4508.868344976778,1227.6905807786577,5596.175291538928,490.7882561831142,2143.6612171637967,2336.0739779119017,52119.64832052232,4072.0353210913913,10250.312176679196,2729.944840369218,12858.369265288287,21429.97581951945,2308.509066347531,9029.110681528862,721.822657794722,46159.61826091877,3644.756459875617,48435.08609911567,9182.558869475808,12562.739452319322,260.5786136116711,636.7266901423105,317.31987141720174,2120.6343248934586,44193.046358201354,50614.088504377934,6910.3574241264105,2899.807002742346,47433.30070702236,16002.647513659409,29778.168203446276,3772.372805075826,5065.968348831265,3483.684583745298,59206.03529983498,2512.131780961578,3643.2646000800605,10602.982623189317,15822.338636823682,39516.48849388776,31978.961625080163,16630.06263883167,14709.570017988704,2966.205196932295,3983.6163792847956,1879.748632517202,100443.12354849749,2325.6925345787804,435.9394970110252,11455.121495116491,145.82554360021769,6243.956771290947,6778.489753873677,5358.616562679457,16291.368759455643,1900.6591426080124,428.28028431919165,5827.442686116975,380.91018293389766,57683.88683709563,34715.42081034429,7960.092485546012,11891.295685692396,8015.805075281234,61161.4983815918,1170.3173707347923,4555.228103081726,3140.740168046065,4367.407199984527,5702.538096333743,11578.299319591395,8424.8779637699,3047.952954347745,147.6400904369628,9605.440363299795,8950.217777525226,14430.455654891239,19011.063696288453,3392.1878538208443,54342.550893810236,109436.72354742122,7900.910652275992,4925.8848757769365,2718.753056476079,4520.204606164821,10457.011273592323,3496.5912450843616,11926.413789042126,2032.3828600043817,943.2372869000544,42306.202465655326,79699.68486013482,13255.874340759869,24352.417902962436,4969.42659464888,3827.5930296689808
1961-01-01,38333.671955307735,5561.946825757221,71048.81831648968,26057.207377267547,1058.3766350099702,11681.96999744805,55709.79683638652,1427.5438986550885,4522.658148829836,1223.9817495343714,5765.097438908126,492.94881145767425,2050.0380624710324,2373.295946294946,52993.32990859154,4175.882274999248,10558.777905476438,3048.371002041579,13270.733232202801,22048.20959171286,2800.6173360942835,9109.76667455729,850.0339230365068,46764.03851817635,3600.307980626393,50715.03088620629,7423.316669274759,12879.895442622164,266.33946121903296,654.4571204259745,335.46996595892455,2575.4857822451377,47023.05568784599,52411.76357811055,7696.2633468087,2853.475348205908,50966.90087609467,16215.308347071763,30662.366498126765,3753.9534295428243,4941.369352353744,3456.0759254562486,61072.92881436676,2645.9120824493575,3560.9690945097054,10953.391135341093,16483.966152953086,40830.23064972696,33998.618025373384,17060.7737901343,16283.615616951849,3100.373633104308,3893.422583393451,1788.0620614980112,104353.1481782683,2252.526493024465,457.20099024115154,11572.159985216978,159.80111188489954,6515.907158930088,7948.521797281967,5471.712232289755,16598.6446717185,1859.5775559299623,442.3694561713425,6095.059568924735,383.512467508565,60044.8647436447,35565.76782779458,8092.955611632903,11408.241773800948,8456.849498326223,62730.39325542122,1273.114359971522,4778.451226445151,3222.731093117404,4429.281693076745,5798.546950321274,12571.924607245843,8103.380648095855,3184.4354753524617,154.07822125171623,9177.166887424175,9010.007410206743,14625.85101996041,19978.82970812329,3427.7144369112,56646.55640515838,112397.28039718306,7880.772498202852,5089.466363821391,2785.8474449602854,4326.349324638327,10941.219618381036,3498.1443057446136,12292.065292683441,2055.6332662436753,961.0768702940496,44001.721063319965,81016.66631305042,13742.296414527773,23963.252530781218,4905.952254848829,3660.5430416875374
1962-01-01,38986.65135610308,5766.757907688655,72259.35641789375,27039.334227907962,1053.1062062140372,12025.061332092802,57395.84441693284,1511.5929119041184,4736.653429731992,1238.9277979578703,5936.418189317255,498.29504395617545,1986.138124836935,2412.1833864693904,54294.3998011275,4283.478552953607,10646.152023443467,3300.292655132997,13864.45956859583,22544.278095596525,2961.6996443184003,9267.53767860276,901.1230653000558,49420.369115535126,3498.6860438465746,53255.28546512166,8620.219974602895,13157.503302019675,275.51584788023416,669.0085012400095,354.1722428058384,2828.172233046281,49613.139191646056,54171.4289208491,8451.718364097278,2858.4225967755015,54451.391551745124,16258.277849885735,31467.314505958548,3741.3029268047826,4857.312558245931,3498.960073740824,62329.07671733011,2771.3246813687483,3492.3171944994683,11464.733100968448,17139.239084376542,42038.448760905085,36221.022875031966,17392.514534314927,17891.36624373744,3227.8594944275746,3808.3877576690315,1727.3232627267405,108068.61006885336,2170.067919012396,458.6833266979451,11872.328313748381,172.18059855470415,6820.438116552237,9392.15657272934,5505.888947862204,17139.849179121913,1855.7737211835085,454.2886834715628,6393.501567662205,387.3620825140616,62477.658864344245,36185.096570327296,8401.712317979709,11100.543859566222,8825.152988520822,64013.89934660425,1391.3790403743908,5045.387190984074,3230.9472108805944,4520.330234724369,5866.730840331376,13431.666706755877,7972.472078596319,3331.504307537503,165.0880039556844,8754.801053566563,9134.411490115019,14709.129373719275,21309.186407506706,3467.7267221059788,58895.43760383569,114957.98874213293,8046.759872481499,5255.814375085638,2921.5858587706452,4175.331975589488,11439.467865527004,3578.8833703721243,12692.530223870457,2065.4024460184337,980.77704913872,45302.55052964958,82688.3923395057,14364.493919277196,23716.205420731512,4849.715563374344,3481.7073714431417
1963-01-01,38458.84546755723,5858.133811989702,73855.59856832556,27957.15421201616,1030.5949594587794,12274.018719422924,58864.84848804435,1601.2388146900755,4877.018702460606,1265.946622601515,6017.6747302306585,501.0933098619568,1929.5950470562948,2451.76061422852,55658.29998584297,4353.146039339592,10770.055547746977,3427.0242314675056,15000.14247328657,22683.281813330388,2968.7700630615013,9394.037535882559,992.8869803792523,50776.136992126005,3543.888953038481,55053.944427480106,8669.60198026529,13384.857367937255,289.5771633466332,686.1988517402323,372.6393520290723,3120.9513732968117,51548.77743624777,56401.55788856507,8956.582264670871,2821.621840687739,57592.00227026615,16567.1563566204,32933.37533878015,3808.65208992536,4775.614111089745,3568.0390880865243,65078.353968516145,2898.6330255852463,3392.013438217209,12024.182224615935,17866.092436531606,43037.67813040908,38479.4481793304,17518.078416197328,19606.796322904745,3335.558780784292,3749.5750279205417,1688.0938033298871,111096.60777792598,2117.901953470397,465.6402517110852,12163.3197494148,185.60385207760368,7126.100933540948,9996.366241835502,5621.691927185148,17830.73907067306,1873.0240142558407,466.4700377108974,6697.008336280496,396.01754899837226,64749.43470755763,37070.61492250316,8731.69548068134,10907.469491209038,9228.302512324864,65257.84376233764,1544.629089618872,5342.34111378777,3258.047328910648,4569.131306656919,6022.449281128135,14373.17903966981,7969.078221939002,3547.2827391708875,168.39921483839052,8412.510842446703,9646.27368380166,15063.313468380567,22734.41008816536,3527.4897511162976,61141.91158520223,117629.18399428084,8042.109462983485,5502.428945304925,3113.660957296476,4064.9670473175092,11778.523834466103,3680.066293923612,13205.384009886973,2066.836909952727,1019.8773530769397,46779.473017797915,84618.50358399574,14413.793425553666,23462.97805424479,4742.54174790017,3313.9921848167514
1964-01-01,37358.41030355867,6055.025781982679,76141.28409177031,29308.63652898237,1023.9230790258946,12457.804335096032,60964.27917635979,1660.754223678349,5035.572205913878,1319.6989481018377,6132.236027739549,504.05429939103664,1853.3002761588014,2500.076641015847,57227.97566373602,4421.792618313569,11363.898383707736,3317.680740611104,16354.745431529318,23261.841930673887,2949.1635300669736,9391.942863532126,1145.800422726045,51152.68417393272,3629.9024849361413,57985.75858721852,8756.128163505939,13596.593241370188,303.72614956352515,734.3662366250819,387.8306745092345,3455.6019545284958,53792.658081459376,59158.49240802521,9324.51769635957,2824.7144255117646,61280.47241182006,17019.86480755952,34764.188984338885,3925.074929289098,4691.243711386548,3610.490615921644,69264.07829295546,3074.0375676659028,3305.4044674565143,12941.908420887601,18736.13737763207,45082.165026201066,40266.029346370386,17748.203733233957,21591.735002966485,3521.125771310863,3663.8743633281824,1662.1197897182055,114880.90182906672,2076.0476775342154,461.1578496258002,12429.551901607736,207.01482248867816,7617.919169417229,10099.80510569231,5547.676199349791,18562.062686905734,1866.2635066015714,479.70558084836006,6995.35877895987,422.49024792435824,67898.8716465969,38371.03946076554,9304.188563334177,10662.371218611346,9755.787329221897,66529.33476083221,1697.2555258931015,5544.756548640652,3248.1992019549843,4610.808413290589,6206.15992669319,15377.398568717732,7858.455484391203,3710.256610112418,170.86766009019848,8040.119281977182,9952.191524506152,15553.94919713634,24220.708582892577,3569.292474600922,63760.40095764511,121292.89612645545,8093.5686550829405,5758.711476621805,3283.412172578181,4081.341040501354,12038.040465194075,3799.8672848404944,13682.103537994059,2141.1803194095633,1093.3333464037862,49196.01899562394,86828.74804193803,15163.142311787655,23685.87551571812,4601.179199920243,3169.639742001418
1965-01-01,36297.3268817536,6241.168394733013,77581.43331066969,30391.883180832032,1026.6383700396907,12740.137190506932,62845.518957114866,1701.6283832559996,5120.987229013677,1281.108582335653,6280.7506723717015,517.4497988930733,1784.4366758328686,2632.2954600526286,59564.59145731996,4436.427141031059,11782.17717091389,3269.3196062900734,17784.380037950275,23325.417022583624,2954.43874763882,9594.855817653459,1260.782719556695,52537.464111851754,3698.2670987833444,61107.53349377097,7343.634638265824,13757.627684029887,321.0482495005831,765.1759751843531,404.65021359640343,3762.055640911331,57033.194951707614,61838.41205092686,9626.758215864036,2878.632233469189,65092.612931708376,17334.84709704227,37089.3211004226,4064.544557155734,4604.4055567424075,3663.996400569145,73672.13164675394,3230.6084589340394,3214.4314667849294,14007.083116590125,19749.21757069244,46952.1961619417,41626.01443592393,18064.17273176365,23487.512063917464,3706.071688431654,3581.397571702031,1650.0244748402033,117455.8399409889,2029.0038022777644,482.52277798407323,12718.314746880975,218.96243208225818,8034.355313969305,10177.271057301507,5581.785481741034,19577.41323108451,1866.4139439614105,496.2702803653907,7370.934603564389,439.7487612313544,70968.3483402405,40243.30057154818,9951.499943640792,10347.864798071438,10572.060664963747,68417.6369174857,1878.2734274359611,5782.2844450626735,3348.3527643126217,4676.372848883735,6377.137385044326,16628.6322277435,7818.678604106208,3888.7475411685436,174.88779832905024,7722.780932692107,10399.046216322886,16175.27631517071,25887.99684175399,3576.311304651791,66571.03483764218,124808.66069769168,8027.755926077466,6129.188155273119,3466.3254660588173,4145.708414246877,12548.702876426003,3903.7352998205697,14079.257999005566,2238.6400807328687,1146.5486394353557,51428.85824728154,89421.00628511567,15128.49926749329,23839.387743442014,4654.044621972055,3030.362821698483
1966-01-01,34957.76505938268,6394.582397274155,79079.85310675851,31951.470016005034,1026.7641016880566,13035.324673747788,65137.408676125,1743.0309810288063,5205.7994595592545,1371.7938288157134,6447.798579669755,529.5517418878133,1733.3188287925436,2798.5672604752203,62000.050557087976,4407.706003396156,12696.149728644674,3211.7183328347232,19007.74571932237,23380.350011721046,3076.5505227961835,9757.946711183316,1365.9675092542486,53956.50803858732,3738.38458500845,63805.591410872374,8154.452201116542,14004.189798209964,328.7972456695807,801.5926066690931,423.30051177433694,4015.876368516704,59935.73512025126,64758.140235512394,10234.18528625105,2949.553989892127,68502.50988344307,17331.253692752318,39427.28290506478,4136.68612207766,4520.914434594659,3742.2682308699723,78452.08188364826,3395.655817383638,3145.319064020224,15255.042800049776,20505.923955015816,48394.063111614974,43137.52977289757,18414.801585412428,25621.362802086544,3847.067674693857,3579.0504397015584,1618.9018754565361,118912.72212101395,1983.884538616424,517.7934069079587,13055.045604590696,234.89306034016428,8463.201814698681,10259.803404261864,5431.194703602686,20453.563530625088,1854.103210313852,520.1488982265996,7874.8336645596455,450.10881661629946,74382.54720328996,42224.541444523726,10680.42163354778,10053.025532824728,11238.623604023951,70346.74060225236,2008.4223441959343,6180.500009089532,3460.5498637956903,4808.710157095072,6523.507762754467,17893.667590865472,8091.097505455243,4083.2593175232696,178.39982022187738,7403.273033672441,10901.343429749211,16561.02554361938,27720.895214947745,3612.6354182987748,68805.67111997088,127704.77011323381,8063.268632122085,6617.78123384117,3753.0714429720792,4139.794284922158,12801.876282989904,3980.730090683573,14902.753327832996,2350.8668621040747,1185.7920411025034,53420.491621432164,92270.14545616589,15542.139948569133,23735.705626589344,4722.3703860003625,2910.835117760215
1967-01-01,34038.778893187206,6544.59236982629,80873.30750124359,33287.89146638627,1032.3452356654884,13391.235963534387,67339.68940785744,1831.2867743895965,5235.062684592599,1513.8112921463953,6545.3727430361105,537.248932061033,1691.1780911157211,2905.2291725232553,63675.256184454964,4341.149271714566,13158.897141184707,3381.2823827830707,19542.81769208671,23744.191325311014,3316.1514158602686,9934.995252999082,1436.1787676951533,55742.565053269136,3724.5113127954446,66535.29328101849,7755.7158840072425,14462.709665111235,332.86547653360407,816.6101416674524,448.72989206943765,4261.033383952032,62255.73384698452,67782.28865246437,10445.086558289573,3005.359709773304,70940.57639049893,16844.895822346403,41151.58479021684,4267.104827590298,4435.250557374935,3907.6761540626158,83921.85472696419,3539.8183975672723,3054.530090274653,16530.81964759347,21248.854674665323,49124.0696870773,45022.1721064954,18845.12587343115,28314.231865563634,3622.79972126655,3613.89418207378,1609.7353559951928,119274.34917495739,1951.6496167510884,532.3165970050093,13388.601538039378,251.03973730388296,8989.750540939192,10699.57458360023,5452.892021685317,21366.757641202144,1888.8500024312398,538.4026293142642,8388.616626811368,461.4404040133012,78101.24597791271,43129.429783234766,11285.200549587797,9780.84330882161,11615.077893138807,72834.0299411235,2118.5352774050475,6555.218563631915,3612.117252318948,4895.753465783655,6690.381495884583,19056.990349096894,8364.02283042586,4352.200429090084,178.1991407368277,7123.51289214713,11682.454206802284,17195.97400607443,29350.427351198825,3661.4547067715234,71047.80525280414,130888.4011268026,8049.81304669472,7265.555854374421,4040.395638170204,4068.6877485810073,12821.057259587742,4047.532210343045,15663.17036435967,2488.9501814343594,1239.3803771452629,55647.53000400616,94878.7628053884,15490.413234609969,23670.237707475197,4818.5039935712575,2807.467398863341
1968-01-01,33574.20052264273,6728.913126979267,82802.83313922964,34657.895906574464,1058.3924173191795,14024.916608605774,69543.99220748026,1925.5940851000971,5263.747931548717,1763.9475730040813,6738.72324635217,545.6776267966055,1664.795609541238,2995.6726145324747,65519.06969929529,4352.541236408253,13830.301962191295,3467.3422514865215,19968.653725330998,24311.788819734888,3499.930611841315,10051.552295804662,1489.3884324517437,57424.5178271213,3713.51397680393,69625.042360832,7554.291128826121,14853.008059052394,334.77185207362885,801.2432788111057,472.53609733480147,4767.669367917049,64635.86760857838,71141.14017488917,10655.42377304516,3101.2282746552974,73935.46547156523,16254.366844603937,43515.793522954475,4492.125215424329,4367.571976397762,4032.5448030432985,87732.08307021685,3640.51698651222,2997.577460892584,18283.610538146113,22312.190358573633,49231.12636536236,47035.21948511552,19658.369166189615,31622.79730626133,3640.086377887948,3684.8351880403825,1592.2646454839487,119672.22822351819,1941.4922682375884,562.8428158318519,13730.223385991992,263.0556372212176,9726.839128476502,11497.794565618979,5380.567229255217,22686.239788322906,1911.94621208653,563.3464249716372,8929.934284086046,473.0374339394879,82444.03909938123,43510.79147283068,11635.485806147432,9537.949672739749,11823.124254170218,74561.30306449822,2182.4578342949767,6980.313500516598,3718.4152809490547,4838.6228415105725,6826.021144545995,20218.81997959148,8847.367371918739,4554.478471157247,180.76278349074212,6887.606781658138,12621.394911011643,17620.629370980154,31167.64158370964,3750.1463634284787,73333.26111721505,133657.26212115164,8144.078536549824,8028.935960945451,4347.8841058216185,3977.293772943354,13061.730457565312,4120.311360894867,16507.80390508705,2638.215005154005,1289.730594149397,58195.61226429341,97601.39975187994,15567.615023355236,24052.1054402959,4906.085469730719,2721.1703238889063
1969-01-01,33522.878179860774,7027.453770495424,85119.47546588947,36360.582359040636,1074.5066279493926,14777.653688183607,72257.84781939171,2016.299819541982,5284.809545789988,1853.0009204237736,7167.97438178764,560.0853459198858,1645.04228021095,3050.0162612221757,67760.63037230527,4360.540795762964,14526.01312019524,3334.256737609397,20489.47848506977,24786.173868604255,3630.9226083603708,10284.818264008576,1568.0794740640665,60013.13157888549,3779.1675032573185,73560.39950776921,7801.241190773098,15033.252557417183,343.5372080854361,794.7095023195155,492.9508409728048,5138.980705712698,67819.22707854818,74746.71186149209,10950.006146224367,3221.684599796202,77672.85532418625,15876.628318320643,46977.3991627889,4566.2273356633,4328.630448054615,4130.15725469633,89446.33097020874,3749.984704929529,2957.3360931109505,19824.370520945096,23804.117916005474,50277.7296407842,49465.03537825344,20622.220056034857,35464.275137950346,4052.1118230362476,3764.7454744087495,1571.4085955918226,120996.99823194405,1937.931161205438,603.7176768121737,13988.124513246916,274.46299562641434,10522.884029787161,12008.742799677104,5391.692119969989,23419.47577097832,1938.8065019307976,595.7041920789751,9478.813751733556,479.26594484067084,86206.29113690782,44648.94990912483,12069.710082320202,9199.365454129578,12133.818454402814,75538.75929102617,2224.688197508041,7473.570043455026,3833.712047838095,4802.711119715546,6949.751019861453,21410.80286137236,9269.769624693652,4792.362571732263,180.5873424630281,6667.942101691487,14098.674789498558,18198.2239229063,33440.23442907735,3888.5056562236255,75819.46602411341,136097.01322913246,8383.400918879839,8725.636744629179,4726.862930541792,3937.9102051035293,13120.305875404389,4201.735851486298,17286.380186410803,2733.3487416939133,1359.1484674227725,60534.43505400398,100249.7563665341,15928.564081849978,24375.79810742632,4873.497288441933,2628.8502826451586
