year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,0.04052,0.0596,0.03779,0.03702,,0.03867,0.03488,0.03647,,0.03323,0.03653,,,0.03669,,,,0.05095,0.02996,,0.03979,,,0.03775,,0.03139,0.02473,0.03665,0.0356,0.03131,0.03962,0.03718,,0.02906,,0.03492,0.0305,,,0.03855,0.03861,0.03462,0.03511,0.03516,,0.02676,0.03118,0.03721,,0.03331,0.04338,0.03571,0.03835,0.03547,0.04901,0.02684,0.04078,,0.04055,,0.03785,0.03374,,0.02984,,0.02713,0.03849,0.03542,,,,0.04473,0.03987,,0.0281,0.03796,0.03057,0.03461,0.04126,0.03605,0.04964,0.03682,0.02828,,,,,0.04079,0.0435,0.03371,0.04349,0.04196,,0.0386,0.0318,,0.05477,,0.03725,0.04998,0.0396,,0.03556,0.0531,0.03676,0.03278,0.03217
1961,0.03991,0.06411,0.03856,0.03604,0.03514,0.03874,0.0337,0.03745,0.03636,0.03508,0.03559,0.0365,0.03618,0.03673,0.02936,0.03438,0.03678,0.04465,0.03202,0.03412,0.03858,0.03536,0.02933,0.0373,0.03481,0.03067,0.02441,0.03752,0.03492,0.03126,0.03985,0.03947,0.03497,0.02897,0.03497,0.03501,0.03044,0.03219,0.03607,0.0391,0.04076,0.0343,0.03594,0.03693,0.03447,0.02643,0.03195,0.03826,0.03603,0.033,0.04373,0.03529,0.03847,0.03591,0.05135,0.02555,0.04135,0.03697,0.04046,0.03609,0.03808,0.03378,0.03618,0.02942,0.03026,0.02799,0.04055,0.03514,0.0366,0.03509,0.0361,0.04562,0.0398,0.0368,0.02757,0.03762,0.03102,0.03381,0.042,0.03507,0.04966,0.03707,0.02718,0.03426,0.03662,0.03685,0.03561,0.04094,0.04348,0.03357,0.04442,0.04236,0.03534,0.03978,0.03184,0.0366,0.05827,0.03497,0.03759,0.04961,0.04028,0.03541,0.03543,0.04659,0.03613,0.03203,0.0315
1962,0.03885,0.0634,0.03946,0.03506,0.03417,0.03929,0.03254,0.03678,0.03613,0.03331,0.03505,0.03509,0.03571,0.03646,0.03117,0.03459,0.0356,0.04433,0.03174,0.03261,0.03904,0.03351,0.03889,0.03712,0.03551,0.0298,0.02422,0.03729,0.0336,0.03136,0.0405,0.03974,0.03527,0.02892,0.03719,0.03582,0.0302,0.04007,0.03572,0.0395,0.04181,0.03501,0.03548,0.03971,0.03227,0.0265,0.0324,0.03866,0.03529,0.03255,0.04384,0.03539,0.03878,0.03598,0.05499,0.02439,0.04056,0.03487,0.04085,0.03563,0.04094,0.03378,0.03687,0.02891,0.03121,0.02798,0.03935,0.03428,0.03544,0.03608,0.03429,0.04683,0.04034,0.03549,0.02754,0.03783,0.03164,0.03571,0.04377,0.03502,0.05089,0.03873,0.02669,0.03323,0.03592,0.03595,0.03429,0.04114,0.04265,0.03366,0.04468,0.04358,0.03483,0.04104,0.03125,0.03562,0.05909,0.03416,0.03783,0.05001,0.04092,0.03574,0.03508,0.04381,0.03526,0.03132,0.03112
1963,0.04372,0.06384,0.03976,0.03495,0.03328,0.03987,0.03139,0.03873,0.03637,0.03419,0.03488,0.03423,0.0354,0.03637,0.03228,0.03515,0.03426,0.03441,0.03027,0.03143,0.03764,0.0335,0.04185,0.03766,0.03444,0.0301,0.02293,0.03883,0.03308,0.03131,0.04131,0.04061,0.03518,0.02895,0.03772,0.0365,0.03021,0.04683,0.03614,0.04004,0.04189,0.03436,0.03428,0.0453,0.03071,0.0269,0.03172,0.0392,0.03452,0.03219,0.04454,0.03623,0.03916,0.03579,0.05699,0.02374,0.03941,0.03291,0.04154,0.03463,0.04114,0.03435,0.03733,0.02834,0.03836,0.02772,0.03798,0.03412,0.03436,0.03717,0.03251,0.04714,0.04004,0.0346,0.02701,0.03775,0.03206,0.03723,0.04327,0.03528,0.05131,0.03879,0.02484,0.03171,0.03615,0.03481,0.03296,0.04045,0.0429,0.03343,0.04505,0.04463,0.03599,0.04124,0.03122,0.03469,0.06167,0.03413,0.03833,0.04979,0.03879,0.03576,0.03504,0.04328,0.03475,0.03083,0.03058
1964,0.04198,0.06279,0.03948,0.03436,0.03276,0.03979,0.03083,0.03967,0.03652,0.03317,0.03432,0.03322,0.0352,0.03611,0.03166,0.03523,0.03328,0.0352,0.02907,0.03145,0.03783,0.03309,0.0419,0.03894,0.03346,0.0308,0.02264,0.03832,0.03335,0.03149,0.04293,0.04061,0.03539,0.02911,0.03871,0.03617,0.02998,0.05078,0.03567,0.03983,0.04271,0.03424,0.03474,0.04545,0.02934,0.02811,0.03173,0.03968,0.03345,0.03117,0.04483,0.03606,0.04017,0.03506,0.05734,0.02263,0.03902,0.03126,0.04166,0.03403,0.0425,0.03493,0.03738,0.02751,0.04077,0.02783,0.03898,0.03481,0.03347,0.03833,0.03031,0.04567,0.0398,0.03417,0.02641,0.03757,0.03341,0.03766,0.0428,0.03517,0.05244,0.03906,0.02641,0.03155,0.03612,0.03388,0.03272,0.04071,0.04384,0.03368,0.04514,0.04521,0.03581,0.04197,0.03238,0.03304,0.06228,0.03424,0.03887,0.04975,0.03876,0.03462,0.03488,0.04598,0.03346,0.03024,0.03008
1965,0.0408,0.06349,0.03998,0.03415,0.03207,0.04049,0.03008,0.04144,0.03901,0.03217,0.03334,0.03209,0.03478,0.0359,0.03071,0.03557,0.03255,0.03809,0.02816,0.03148,0.04458,0.03343,0.04104,0.03832,0.03458,0.02964,0.02248,0.03903,0.03451,0.03222,0.04412,0.04375,0.03518,0.02903,0.04031,0.0362,0.03012,0.05309,0.03547,0.04011,0.04412,0.03384,0.03649,0.04573,0.02854,0.02903,0.03221,0.04048,0.03274,0.03136,0.04559,0.03718,0.04088,0.03496,0.05907,0.02198,0.03827,0.02968,0.04229,0.03393,0.04033,0.0355,0.03921,0.0273,0.03825,0.02726,0.03774,0.0348,0.03263,0.03912,0.02989,0.04638,0.03979,0.0342,0.02589,0.03711,0.03431,0.03899,0.04097,0.03508,0.05406,0.03921,0.02633,0.03087,0.0356,0.0332,0.03139,0.04128,0.04393,0.03352,0.04579,0.04639,0.03627,0.04198,0.03302,0.03279,0.06207,0.03521,0.03903,0.05251,0.03989,0.03467,0.03478,0.04363,0.0334,0.02845,0.02959
1966,0.04105,0.06245,0.04002,0.03417,0.03184,0.0406,0.02928,0.04136,0.03596,0.03214,0.03357,0.03101,0.03528,0.03611,0.02972,0.03576,0.03157,0.03544,0.0277,0.03235,0.04341,0.03452,0.03949,0.03934,0.03478,0.02964,0.02247,0.03921,0.03325,0.0325,0.0467,0.04499,0.03576,0.02899,0.04201,0.03617,0.03005,0.05306,0.03605,0.04111,0.04572,0.03447,0.03697,0.04648,0.02768,0.02991,0.03256,0.04118,0.03192,0.03204,0.04816,0.03821,0.04012,0.03514,0.05664,0.02174,0.03721,0.02893,0.04271,0.03354,0.04019,0.03622,0.03929,0.02691,0.03638,0.02769,0.03899,0.03502,0.03184,0.03992,0.02946,0.04641,0.04039,0.0342,0.02686,0.03718,0.03693,0.03839,0.04189,0.03581,0.05544,0.04055,0.02518,0.03026,0.03576,0.03263,0.03066,0.04258,0.04445,0.033,0.04657,0.04678,0.03551,0.04272,0.03286,0.03365,0.06411,0.03601,0.03807,0.05454,0.04056,0.03515,0.03494,0.0457,0.03371,0.02835,0.02928
1967,0.04086,0.06284,0.04076,0.03431,0.03128,0.04124,0.02812,0.04155,0.03584,0.03065,0.03385,0.03022,0.0367,0.03703,0.02996,0.03642,0.03071,0.0386,0.02859,0.03279,0.04282,0.03635,0.03895,0.04004,0.03543,0.02941,0.02245,0.03941,0.03322,0.03264,0.04842,0.04708,0.03574,0.02886,0.04303,0.03666,0.03047,0.05823,0.03666,0.04245,0.04689,0.03473,0.03669,0.04928,0.02674,0.0308,0.03285,0.04207,0.03144,0.03324,0.0492,0.03835,0.03917,0.03542,0.05472,0.02157,0.03721,0.02816,0.04319,0.03289,0.04344,0.03662,0.03979,0.02638,0.03358,0.02687,0.03898,0.03441,0.03146,0.04106,0.02867,0.04626,0.04218,0.03414,0.02751,0.03704,0.03754,0.04025,0.04228,0.03756,0.05594,0.04175,0.02673,0.02941,0.03646,0.03182,0.02966,0.04211,0.04603,0.03305,0.04699,0.04692,0.03601,0.04452,0.03424,0.03403,0.06457,0.03618,0.03982,0.05522,0.04085,0.03562,0.03585,0.04062,0.03338,0.02836,0.02885
1968,0.04101,0.06234,0.04087,0.03422,0.03042,0.04158,0.02807,0.04535,0.03526,0.03081,0.0337,0.02943,0.03764,0.03723,0.02944,0.03654,0.03015,0.03802,0.02838,0.03237,0.04176,0.03839,0.04085,0.04062,0.03554,0.02942,0.02226,0.0389,0.03327,0.03318,0.04867,0.04904,0.03596,0.02917,0.04273,0.03724,0.03055,0.05903,0.03649,0.04113,0.04675,0.03459,0.03644,0.0495,0.02616,0.0321,0.03412,0.04276,0.03079,0.03362,0.04831,0.03689,0.03884,0.03536,0.0565,0.02057,0.03663,0.02794,0.04255,0.03214,0.04269,0.03693,0.04047,0.02584,0.03188,0.02706,0.03686,0.03533,0.03086,0.04211,0.02796,0.04539,0.04242,0.03418,0.02783,0.03807,0.03863,0.0416,0.04372,0.03865,0.05757,0.0421,0.02761,0.02929,0.03629,0.03093,0.02932,0.04293,0.0464,0.03279,0.04699,0.04717,0.03551,0.04587,0.03536,0.03349,0.06248,0.03597,0.04032,0.0567,0.0412,0.0364,0.03602,0.04045,0.03255,0.02909,0.0285
1969,0.0391,0.06136,0.04082,0.03486,0.03049,0.04155,0.02805,0.04547,0.03897,0.03057,0.03352,0.029,0.03844,0.03724,0.02816,0.03657,0.0295,0.03704,0.02787,0.03155,0.04116,0.03924,0.04147,0.04094,0.03516,0.02907,0.02175,0.03886,0.03284,0.03381,0.0477,0.04831,0.03664,0.02958,0.04519,0.03663,0.03062,0.05932,0.03703,0.04043,0.04592,0.03432,0.03892,0.04984,0.02541,0.03287,0.03472,0.04263,0.0306,0.03613,0.0481,0.03513,0.03824,0.03644,0.05914,0.01933,0.03744,0.0276,0.04148,0.03185,0.04395,0.03744,0.03958,0.02592,0.03197,0.02655,0.03809,0.03562,0.03044,0.04309,0.02754,0.04223,0.04105,0.03499,0.02704,0.03808,0.0387,0.04361,0.0446,0.03855,0.05862,0.04261,0.03046,0.02915,0.03673,0.0302,0.02884,0.04293,0.04598,0.03248,0.04577,0.0472,0.03523,0.04764,0.03627,0.03245,0.0625,0.03569,0.04129,0.05702,0.0419,0.03796,0.03604,0.0402,0.03269,0.03025,0.02845
