year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,2.02224,2.79455,1.73136,1.14624,1.92191,2.30189,1.09168,1.51597,1.193,1.31681,,1.09179,1.1561,2.62373,,1.05622,,1.93382,1.36819,1.87327,1.50866,,1.16521,1.69402,1.13296,1.9046,1.11461,2.47116,1.44863,1.53916,1.11444,1.30193,,,1.78248,2.02278,1.74341,1.16591,1.05392,1.91377,1.15561,2.40539,1.21522,,,1.30027,2.12238,1.16062,1.23379,1.13129,2.55883,2.4431,1.86433,1.67365,2.56119,1.38076,1.22641,1.48668,2.25758,,1.15751,1.46275,1.02647,1.7396,1.21426,1.60536,1.44886,1.07068,1.12051,1.50467,1.01815,2.14545,2.96699,1.05194,,2.4565,1.16693,1.81453,1.58277,1.59569,1.74809,1.53834,1.76841,1.93626,1.10776,1.2815,1.6338,1.7798,1.55542,1.82822,2.37317,2.45107,1.20227,1.88639,1.74236,1.0683,2.01597,1.12931,1.26742,1.16833,2.1559,1.25385,2.77364,1.86048,1.51925,1.35369,1.40228
1961,2.03324,2.80676,1.77304,1.15336,1.98085,2.31277,1.09497,1.53644,1.19997,1.32828,,1.09615,1.1669,2.63465,,1.06009,,1.95053,1.3844,1.90383,1.52334,,1.1798,1.70259,1.13619,1.92222,1.11917,2.49142,1.4608,1.56645,1.12133,1.3156,,,1.80846,2.0463,1.75943,1.17726,1.05556,1.91852,1.19194,2.35917,1.21756,,,1.3064,2.13986,1.16613,1.25382,1.14649,2.57229,2.46539,1.87788,1.7001,2.55238,1.40139,1.23244,1.49772,2.27302,,1.16115,1.48357,1.02769,1.76306,1.21708,1.63646,1.4645,1.07595,1.12496,1.52124,1.02188,2.19258,2.9849,1.05262,,2.47751,1.17386,1.82391,1.59421,1.61576,1.76655,1.54932,1.80938,1.95294,1.1128,1.28683,1.66249,1.78146,1.56991,1.84485,2.39103,2.47895,1.21329,1.90522,1.7263,1.07147,2.02913,1.14085,1.27831,1.17089,2.179,1.25997,2.80621,1.87348,1.52818,1.36499,1.40937
1962,2.0443,2.81902,1.81573,1.16054,2.04159,2.32369,1.09826,1.55719,1.20698,1.33985,,1.10053,1.17781,2.64563,,1.06398,,1.96739,1.4008,1.93488,1.53817,,1.19457,1.7107,1.13942,1.94001,1.12375,2.51184,1.47307,1.59422,1.12825,1.32941,,,1.83483,2.07009,1.77561,1.18871,1.05721,1.92328,1.22942,2.31384,1.2199,,,1.31256,2.15749,1.17167,1.27418,1.16188,2.58543,2.48788,1.89153,1.72256,2.54301,1.42233,1.23851,1.50885,2.28856,,1.16479,1.50468,1.02891,1.78683,1.21991,1.66816,1.4803,1.08124,1.12942,1.538,1.02563,2.24075,3.00292,1.0533,,2.49871,1.18084,1.83334,1.60573,1.63608,1.78521,1.56037,1.8513,1.96977,1.11787,1.29219,1.69169,1.78313,1.58454,1.86164,2.40902,2.50715,1.22441,1.92423,1.71039,1.07465,2.04236,1.1525,1.2893,1.17345,2.20233,1.26613,2.83916,1.88657,1.53716,1.37638,1.4165
1963,2.05542,2.83133,1.85945,1.16776,2.10419,2.33467,1.10157,1.57823,1.21403,1.35152,,1.10493,1.18882,2.65665,,1.06789,,1.98439,1.41739,1.96643,1.55314,,1.20952,1.71721,1.14267,1.95796,1.12834,2.53243,1.48545,1.62248,1.13523,1.34337,,,1.86158,2.09416,1.79194,1.20028,1.05887,1.92805,1.26808,2.26938,1.22225,,,1.31874,2.17525,1.17723,1.29487,1.17749,2.59864,2.51057,1.90528,1.74304,2.53368,1.44357,1.2446,1.52006,2.30421,,1.16844,1.5261,1.03013,1.81092,1.22274,1.70047,1.49628,1.08656,1.13391,1.55495,1.02939,2.28997,3.02105,1.05398,,2.52008,1.18786,1.84282,1.61734,1.65666,1.80406,1.57151,1.89419,1.98674,1.12296,1.29756,1.71838,1.7848,1.59931,1.87859,2.42715,2.53567,1.23563,1.94344,1.6899,1.07784,2.05569,1.16427,1.30037,1.17603,2.22592,1.27231,2.8725,1.89976,1.54618,1.38787,1.42366
1964,2.0666,2.8437,1.90422,1.17502,2.16871,2.34569,1.10489,1.59954,1.22113,1.36329,,1.10934,1.19994,2.66771,,1.07181,,2.00154,1.43418,1.99851,1.56826,,1.22466,1.72375,1.14593,1.97607,1.13296,2.55319,1.49793,1.65125,1.14224,1.35747,,,1.88871,2.1185,1.80841,1.21195,1.06052,1.93283,1.30795,2.22578,1.2246,,,1.32496,2.19317,1.18281,1.31589,1.1933,2.61192,2.53348,1.91913,1.76376,2.52439,1.46514,1.25072,1.53136,2.31996,,1.17211,1.54782,1.03135,1.83534,1.22558,1.7274,1.51243,1.0919,1.13841,1.57208,1.03316,2.34028,3.03929,1.05466,,2.54164,1.19492,1.85235,1.62903,1.6775,1.82311,1.58272,1.93807,2.00386,1.12808,1.30296,1.74107,1.78647,1.61421,1.89568,2.44541,2.56303,1.24695,1.96284,1.66927,1.08104,2.0691,1.17617,1.31155,1.1786,2.24976,1.27852,2.90623,1.91303,1.55527,1.39946,1.43086
1965,2.07784,2.85612,1.95006,1.18233,2.23521,2.35677,1.10822,1.62115,1.22826,1.37516,,1.11377,1.21116,2.67882,,1.07574,,2.01883,1.45117,2.0311,1.58352,,1.23999,1.73032,1.1492,1.99435,1.13759,2.56949,1.51052,1.68052,1.1493,1.37172,,,1.91625,2.14314,1.82504,1.22375,1.06218,1.93763,1.34907,2.18301,1.22696,,,1.3312,2.21123,1.18843,1.33726,1.20933,2.62527,2.55659,1.93308,1.78473,2.51513,1.48702,1.25688,1.54273,2.33582,,1.17579,1.56986,1.03258,1.86009,1.22842,1.75257,1.52875,1.09727,1.14293,1.58939,1.03695,2.39169,3.05763,1.05534,,2.56227,1.20203,1.86193,1.6408,1.6986,1.84236,1.59401,1.98297,2.02112,1.13321,1.30837,1.76407,1.78814,1.62925,1.91293,2.46381,2.58262,1.25838,1.98243,1.64889,1.08424,2.0826,1.18818,1.32281,1.18119,2.27386,1.28477,2.94036,1.9264,1.5644,1.41114,1.4381
1966,2.09311,2.87747,1.98923,1.18645,2.30821,2.37285,1.11054,1.63893,1.2485,1.39123,,1.12104,1.22356,2.69551,,1.08311,,2.03653,1.47677,2.05553,1.60433,,1.25622,1.72391,1.15621,2.00516,1.14377,2.58851,1.53293,1.70448,1.15756,1.38798,,,1.9329,2.16997,1.82896,1.23626,1.06381,1.92871,1.39855,2.18752,1.23473,,,1.3396,2.23066,1.19755,1.36165,1.22846,2.63861,2.57452,1.94908,1.79934,2.53423,1.50591,1.27273,1.55461,2.35599,,1.18716,1.60392,1.03403,1.89355,1.23287,1.77607,1.54473,1.10592,1.14312,1.61197,1.04333,2.43402,3.08754,1.05653,,2.57918,1.20846,1.87521,1.66061,1.72347,1.86718,1.60718,2.01821,2.06742,1.13997,1.31744,1.79537,1.79356,1.67798,1.99405,2.48663,2.60269,1.27518,2.0079,1.64417,1.09153,2.10161,1.20335,1.33512,1.18938,2.29508,1.30043,2.97059,1.94573,1.58122,1.42679,1.45423
1967,2.10848,2.89898,2.02919,1.19058,2.38358,2.38903,1.11287,1.6569,1.26907,1.40749,,1.12836,1.2361,2.7123,,1.09053,,2.05438,1.50282,2.08025,1.62541,,1.27266,1.71752,1.16326,2.01603,1.14998,2.60767,1.55567,1.72393,1.16587,1.40444,,,1.94971,2.19713,1.83288,1.2489,1.06545,1.91984,1.44983,2.19204,1.24256,,,1.34806,2.25025,1.20674,1.38649,1.2479,2.65201,2.59146,1.96521,1.81407,2.55347,1.52504,1.28879,1.56659,2.37633,,1.19864,1.63872,1.03549,1.92762,1.23733,1.79989,1.56088,1.11463,1.14332,1.63486,1.04976,2.47711,3.11773,1.05772,,2.59619,1.21492,1.8886,1.68066,1.74604,1.89234,1.62045,2.05407,2.11477,1.14677,1.32656,1.82722,1.799,1.72347,2.07861,2.50967,2.62292,1.29219,2.03369,1.63946,1.09885,2.1208,1.21872,1.34754,1.19763,2.3165,1.31628,3.00114,1.96526,1.59822,1.44261,1.47053
1968,2.12397,2.92065,2.06995,1.19473,2.46142,2.40532,1.11521,1.67508,1.28998,1.42393,,1.13572,1.24876,2.7292,,1.09801,,2.07239,1.52934,2.10528,1.64677,,1.28931,1.71116,1.17036,2.02696,1.15622,2.62697,1.57875,1.74242,1.17425,1.42109,,,1.96665,2.22464,1.83682,1.26168,1.06709,1.91101,1.503,2.19657,1.25043,,,1.35657,2.27002,1.216,1.41178,1.26764,2.66549,2.6085,1.98147,1.82893,2.56865,1.54441,1.30504,1.57865,2.39685,,1.21023,1.67428,1.03694,1.96229,1.2418,1.82402,1.5772,1.12341,1.14351,1.65808,1.05623,2.52095,3.14822,1.05892,,2.61332,1.22143,1.90208,1.70094,1.7689,1.91783,1.63384,2.09058,2.16322,1.15361,1.33575,1.85963,1.80446,1.76219,2.16676,2.53291,2.6433,1.30944,2.05981,1.63477,1.10623,2.14017,1.23429,1.36007,1.20593,2.33812,1.33233,3.03199,1.98498,1.61541,1.45861,1.48702
1969,2.13957,2.94248,2.11153,1.19889,2.54181,2.42173,1.11755,1.69345,1.31124,1.44057,,1.14313,1.26156,2.7462,,1.10554,,2.09056,1.55632,2.1306,1.66841,,1.30619,1.7034,1.1775,2.03794,1.1625,2.64641,1.60218,1.76111,1.18269,1.43793,,,1.98375,2.25249,1.84076,1.27458,1.06873,1.90221,1.55812,2.20111,1.25835,,,1.36513,2.28997,1.22533,1.43753,1.2877,2.67903,2.62566,1.99787,1.8439,2.58176,1.56402,1.3215,1.59081,2.41754,,1.22194,1.71025,1.0384,1.9976,1.24629,1.84849,1.59369,1.13226,1.14371,1.68163,1.06274,2.56375,3.17901,1.06011,,2.63056,1.22796,1.91565,1.71843,1.79206,1.94367,1.64733,2.12773,2.21277,1.16049,1.345,1.89262,1.80993,1.80177,2.25864,2.55638,2.66385,1.32692,2.08627,1.63009,1.11366,2.15971,1.25005,1.37272,1.21429,2.35994,1.34857,3.06317,2.0049,1.63277,1.47479,1.50369
