year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,2073.0,1945.16,2357.79,,,2225.87,,,,2134.0,,,,1984.79,,,,2031.0,,2613.2,2218.0,,,,,,,1998.16,,,,,,,,2060.88,2137.57,,,2177.22,,2601.63,,,,,2360.18,,,,2620.92,,2546.16,,2222.2,,,,2372.72,,,,,,,,2213.25,,,,,2135.55,1966.68,,,2030.19,,,,2104.88,,2148.29,,,,,2471.57,,1940.27,,1761.54,2047.19,,2771.83,,,,,2404.04,,2224.12,,1862.85,,2024.0,,
1961,2066.2,1932.69,2341.01,,,2186.69,,,,2135.1,,,,2093.76,,,,2023.99,,2596.15,2213.15,,,,,,,2004.57,,,,,,,,2059.23,2143.83,,,2150.65,,2590.87,,,,,2347.09,,,,2600.92,,2493.97,,2224.67,,,,2330.95,,,,,,,,2204.45,,,,,2109.81,1954.07,,,2018.93,,,,2099.74,,2134.64,,,,,2466.78,,1947.19,,1763.67,2039.79,,2773.72,,,,,2394.09,,2188.78,,1854.65,,2016.58,,
1962,2059.42,1920.31,2324.35,,,2148.19,,,,2136.2,,,,2094.88,,,,2017.01,,2579.21,2208.32,,,,,,,2011.0,,,,,,,,2052.33,2149.6,,,2113.62,,2580.16,,,,,2334.07,,,,2581.06,,2442.84,,2201.54,,,,2289.92,,,,,,,,2195.68,,,,,2084.38,1941.54,,,2007.73,,,,2094.61,,2121.08,,,,,2462.0,,1954.14,,1752.73,2032.42,,2775.61,,,,,2384.19,,2171.26,,1863.4,,2009.18,,
1963,2052.67,1908.0,2307.81,,,2110.38,,,,2137.29,,,,2077.8,,,,2010.05,,2562.38,2203.49,,,,,,,2017.45,,,,,,,,2048.15,2131.3,,,2083.22,,2569.49,,,,,2323.83,,,,2561.36,,2392.77,,2195.03,,,,2249.61,,,,,,,,2186.95,,,,,2059.26,1929.1,,,1998.93,,,,2089.49,,2107.6,2365.45,,,,2457.22,,1961.1,,1746.7,2025.07,,2777.5,,,,,2374.34,,2181.49,,1862.38,,2001.82,,
1964,2045.94,1895.76,2291.38,,,2073.23,,,,2138.39,,,,2068.66,,,,2003.11,,2545.66,2198.67,,,,,,,2023.92,,,,,,,,2074.75,2124.91,,,2094.7,,2558.86,,,,,2337.4,,,,2541.8,,2343.72,,2202.39,,,,2210.0,,,,,,,,2178.25,,,,,2034.44,1916.73,,,2010.6,,,,2084.38,,2094.21,2290.75,,,,2452.46,,1968.1,,1718.49,2017.74,,2779.4,,,,,2364.52,,2183.61,,1871.77,,1994.48,,
1965,2039.22,1883.61,2275.07,,,2036.73,,,,2139.49,,,,2052.09,,,,1996.2,,2529.05,2193.87,,,,,,,2030.42,,,,,,,,2074.47,2115.7,,,2080.51,,2548.28,,,,,2312.15,,,,2522.4,,2295.67,,2183.57,,,,2171.1,,,,,,,,2169.59,,,,,2009.92,1904.44,,,1964.24,,,,2079.29,,2080.9,2390.35,,,,2447.71,,1975.12,,1708.29,2010.45,,2781.29,,,,,2354.74,,2153.3,,1881.75,,1987.16,,
1966,2032.54,1871.54,2258.88,,,2000.87,,,,2140.59,,,,2036.84,,,,1989.31,,2512.54,2189.07,,,,,,,2008.49,,,,,,,,2049.94,2113.91,,,2054.24,,2537.74,,,,,2298.55,,,,2503.14,,2248.61,,2191.57,,,,2132.88,,,,,,,,2160.96,,,,,1985.7,1892.24,,,1964.86,,,,2074.21,,2067.68,2375.41,,,,2442.96,,1982.16,,1695.21,2003.18,,2783.19,,,,,2345.0,,2121.82,,1876.51,,1979.88,,
1967,2025.87,1859.54,2242.81,,,1965.65,,,,2141.69,,,,2028.5,,,,1982.45,,2496.15,2184.29,,,,,,,1983.66,,,,,,,,2032.52,2099.57,,,2016.6,,2527.25,,,,,2259.08,,,,2484.03,,2202.52,,2205.5,,,,2095.33,,,,,,,,2152.36,,,,,1961.77,1880.11,,,1949.06,,,,2069.15,,2054.54,2405.29,,,,2438.22,,1989.23,,1665.8,1995.93,,2785.09,,,,,2335.3,,2103.51,,1853.76,,1972.62,,
1968,2019.22,1847.62,2226.84,,,1931.05,,,,2142.8,,,,1992.62,,,,1975.61,,2479.86,2179.52,,,,,,,1941.38,,,,,,,,2016.21,2086.26,,,2004.12,,2516.79,,,,,2207.88,,,,2465.07,,2157.36,,2209.36,,,,2058.44,,,,,,,,2143.8,,,,,1938.12,1868.05,,,1907.12,,,,2064.09,,2041.49,2450.1,,,,2433.5,,1996.32,,1626.64,1988.72,,2786.99,,,,,2325.65,,2094.43,,1843.38,,1965.39,,
1969,2012.6,1835.78,2210.99,,,1897.05,,,,2143.9,,,,1975.95,,,,1968.79,,2463.68,2174.75,,,,,,,1901.84,,,,,,,,1997.31,2054.16,,,1984.39,,2506.39,,,,,2176.82,,,,2446.25,,2113.14,,2195.73,,,,2022.21,,,,,,,,2135.27,,,,,1914.76,1856.08,,,1857.18,,,,2059.05,,2028.52,2504.88,,,,2428.78,,2003.44,,1605.31,1981.52,,2788.89,,,,,2316.03,,2090.38,,1837.15,,1958.18,,
