year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,2391.24093,12371.26704,8465.82569,1324.95954,7644.76197,9372.7121,960.47165,1353.12683,388.69635,1982.40484,576.53884,600.31382,1116.44687,11806.60041,802.15131,1107.54466,1389.27759,4560.79805,1057.20699,3366.56958,3216.75548,962.71731,904.83512,4301.26367,1582.73457,3007.95649,1202.46684,11088.59439,2120.5119,2145.11978,556.27054,653.46308,408.76748,455.95468,2358.48061,8133.80505,9300.96148,2661.18576,1523.02425,8928.54306,2579.22527,4018.87935,2215.48168,1808.36261,1152.02943,1920.93938,9832.60069,975.13337,784.93851,2120.6032,5682.69348,7627.4996,6354.94249,4314.02763,4794.86124,2708.85513,1397.64587,565.63963,16712.25025,1144.89017,603.02081,2328.08214,449.6944,3629.33542,1048.10085,3221.74951,5070.21294,1266.44632,397.51062,3852.26374,685.59615,9648.83897,12217.84435,1276.36119,1568.07388,10180.45581,963.43385,2515.45249,1425.19031,2427.36775,1739.82566,3673.17563,1077.51405,1274.56062,909.46453,2049.65541,2444.79885,5024.92263,5079.95876,2421.07097,11414.93769,17192.75357,1712.82138,2275.27852,992.35145,868.75841,6431.36381,1404.55013,4062.79627,922.6502,10314.73123,888.92809,15254.09013,6447.03381,7301.52713,3050.55409,1808.89059
1961,2459.75118,12441.9483,8912.97131,1298.54722,7927.57435,9741.41202,951.3562,1396.24129,408.96567,2171.91795,561.10612,503.20562,1142.66605,11979.99207,940.98162,1180.19958,1398.95449,4325.13264,680.03438,3468.32289,3310.73576,1031.6854,938.44348,4090.5662,1549.54955,3354.41609,1031.16558,11705.46529,1998.21561,2176.96175,566.36109,650.43566,411.87603,465.74868,2340.79597,8902.88746,9648.21076,2824.38214,1367.22093,9242.09749,2446.09928,4545.30003,2222.3256,1829.66497,1138.81054,1961.33449,10296.2679,990.72034,783.07618,2120.89634,5982.01972,8363.40481,6869.07471,4472.15925,5276.83232,2982.891,1363.23762,561.47437,16423.44959,1164.50167,602.78606,2256.14511,436.53053,3728.53689,971.16988,3672.67537,5060.94968,1535.03699,396.53542,3744.96384,679.40521,9846.16137,12565.03269,1330.00102,1489.85548,10753.11878,978.16647,2730.74016,1467.13253,2496.44784,1745.88312,3886.46576,1095.7413,1392.27802,865.29635,2051.05375,2526.41502,5085.05599,5608.08608,2345.22787,11997.78339,18127.06099,1805.55089,2350.63669,1028.13521,931.90118,7383.17744,1498.81318,4021.92617,882.68428,10504.98359,883.19002,15354.15484,6455.85077,7178.34757,2877.87793,1853.50718
1962,2309.71083,12908.65752,9118.15065,1351.61469,8249.2124,10203.88441,896.06256,1406.43669,433.05626,2245.22455,602.16342,534.63665,1114.86068,12495.88474,775.73168,1169.29175,1513.86268,5229.95064,703.59767,3818.82808,3366.70669,1155.82984,1049.11725,4214.64616,1572.70895,3975.79732,1163.64028,12277.80483,2410.36647,2219.92991,583.92265,695.18381,417.69235,472.06129,2293.50412,8994.3887,10081.31577,3146.10274,1342.1747,9543.25146,2379.50086,4477.71248,2238.69826,1828.12207,1128.85493,2007.49449,10460.87073,1010.55809,839.78113,2149.57971,6125.58706,8404.49872,7231.67797,4394.51283,5730.17594,2962.88612,1407.90755,629.30191,15786.92251,1195.65305,599.09026,2293.73,424.60785,3656.14202,1049.25887,3865.16594,5101.64784,1698.5622,420.92189,4147.08278,685.33112,10248.36566,12708.01437,1441.54556,1484.50375,10965.13602,1008.3662,2895.75879,1462.48641,2642.41661,1805.12205,4186.16572,1074.82345,1514.75577,950.24719,1989.63594,2682.86897,5145.99543,6107.09551,2437.29422,12357.80585,18561.62554,2173.85323,2489.75382,1042.36081,915.33819,7062.85923,1493.66363,4154.55022,901.89646,10564.41267,944.96557,16064.27483,6501.87241,7227.16053,2745.73712,1782.21076
1963,2263.82459,13752.31739,9469.9294,1405.16638,8686.73069,10472.86453,916.13831,1463.73339,449.31444,2323.85267,579.5146,551.32845,1162.8531,12872.55964,619.56474,1078.07578,1427.61831,5441.59625,790.21734,4332.09522,3361.327,1255.11696,1080.01206,4315.4812,1774.61375,3986.71946,1211.55801,12420.98586,2507.90836,2199.8993,620.83021,695.88388,552.85977,477.75537,2661.11539,9125.79627,10568.22531,3740.76381,1345.60699,9663.59836,2481.69587,5035.66008,2334.856,2013.61789,1213.25154,1999.28996,11529.56145,1058.88515,798.25993,2159.40355,6356.26422,8968.05012,7558.65023,4811.89889,6147.55223,2960.52365,1400.475,681.07202,15965.19774,1177.54335,595.2151,2323.06034,441.16118,3671.07409,1057.44384,4640.98482,5408.94577,1934.81134,425.32061,4354.99993,683.07607,10563.48207,13514.37525,1558.54492,1555.43865,11235.57474,1044.95613,3059.4168,1496.59781,2722.72144,1865.34268,4427.50669,1186.28681,1630.90208,830.72665,1981.68043,2961.50744,5372.57929,6636.07141,2306.90734,12896.54537,19073.74898,1702.57438,2735.14077,1077.21911,955.97628,7881.74318,1607.79462,4441.37678,951.5758,10886.16887,1001.32337,16534.52655,6239.80641,7474.42978,2836.9097,1767.7805
1964,2388.64047,14064.41916,9877.02597,1372.9273,8393.56561,11145.68562,935.43082,1547.59234,475.01801,2377.49108,605.47145,557.91097,1185.99594,13516.16877,649.11391,1100.98253,1381.89953,5457.06077,892.52477,4613.07324,3560.65084,1341.51065,1127.14067,4436.38449,2038.009,3432.17609,1131.21003,13423.15927,2555.73113,2298.00363,685.3451,733.62174,525.70839,502.5371,2965.0263,9539.62133,11169.79939,4078.48054,1470.91012,10301.94806,2536.00479,5412.98272,2376.78954,1799.25263,1289.58425,2070.8515,13073.88663,1113.13369,787.70206,2153.4716,6619.74562,9519.25976,7706.16093,4825.55791,6792.32308,3325.99082,1470.79361,718.91918,17113.71078,1177.50638,579.0514,2396.93848,363.33678,3786.83944,1568.2525,4780.69137,5945.55663,2016.08574,433.78839,4899.00506,733.79245,11218.09485,13952.96622,1485.39176,1603.2465,11911.76038,1089.91593,3132.08307,1529.85641,2898.12224,1833.75098,4531.48772,1249.78688,1719.54763,722.59669,1986.42082,2800.29752,5614.23796,6917.77166,2343.93577,13667.63447,19913.99014,2352.19167,3008.61417,1140.01369,1031.08855,8018.59705,1591.7241,4530.57897,1043.60924,11455.28099,1117.00693,17281.19235,6440.55224,7902.03816,3240.69585,1669.70421
1965,2693.91177,14032.0712,10151.26515,1331.14276,8416.13156,11513.2854,979.5234,1675.38091,442.21236,2473.35622,600.71019,564.5673,1218.41032,14177.14319,661.73962,1082.3765,1417.44101,5363.30288,970.18569,5253.24422,3453.82659,1285.13223,1126.41848,4626.92619,1753.1095,4358.93491,1143.47983,13964.62161,2157.60126,2294.41351,694.97484,762.64813,476.82642,526.91546,2290.1109,10161.03993,11596.15418,4546.10357,1573.33856,10732.64976,2361.19484,5974.64188,2404.53458,1824.4294,1279.01203,2153.1433,14330.3631,1070.11526,764.96084,2333.50619,6675.26376,9380.50459,7862.29916,4793.32918,7152.02046,3545.72631,1474.00947,715.72095,17261.09789,1131.6314,655.98425,2557.09127,381.63907,4006.1806,1831.39607,4112.26953,6081.16883,1940.28831,432.15037,5083.23455,709.15523,11909.00033,14468.49893,1503.69805,1596.60309,12524.36992,1158.74944,3340.52965,1590.77831,2944.93687,1868.01764,4821.46444,1278.86282,1879.21993,743.36033,1913.50873,3000.04257,5739.61585,7237.07776,2363.28787,14074.10708,20356.25031,2297.11537,3141.9594,1226.38503,1118.58344,7211.0246,1615.11245,4537.42115,976.25105,11696.20164,1075.32049,18230.53219,6298.64962,7821.92669,3279.10188,1781.13687
1966,2634.2056,14679.18833,10589.58156,1326.32703,8798.90902,11800.51285,973.88213,1730.55874,461.07605,2503.23074,600.44378,555.76711,1242.42068,14830.5335,811.41811,1049.1067,1399.30597,5815.75635,1044.44464,5440.55053,3519.20806,1399.80643,1101.28957,4781.13826,1882.25974,4613.46853,1268.01827,14293.12041,2283.67387,2307.90413,701.30017,783.24526,544.51465,532.70806,2331.88288,10394.78308,12105.06369,4063.28098,1555.83586,10966.25406,2279.91254,6418.46892,2474.51998,1772.52382,1171.48476,2129.13199,15145.49708,1040.77513,710.18918,2462.39991,6837.56533,10041.55132,8248.98044,4924.34131,7810.14781,3456.29519,1577.85677,710.98828,17224.80052,1149.35273,723.94535,2617.68931,380.57752,4449.68644,1798.5391,4228.6678,6278.86217,1831.0093,435.70443,5233.51542,743.85941,12193.94902,15067.28402,1444.62676,1439.72033,12913.65293,1267.14714,3484.55176,1579.54668,3108.2719,1903.29993,4945.46497,1410.15426,1967.86018,773.15886,1922.53022,3307.34036,5854.44711,7752.28098,2363.90665,14193.71289,20753.08593,1994.2081,3374.35184,1357.95154,1260.73684,8273.77009,1646.32393,5049.00789,1016.73372,11907.53537,1122.33121,19200.13582,6523.904,7596.04726,4045.24719,1652.52364
1967,2713.60282,14997.91386,10836.84094,1266.35543,9854.69846,12188.36188,993.54731,1779.96032,522.321,2631.19328,647.89549,609.61964,1101.70683,14984.04819,872.75679,960.59734,1416.65219,5978.15924,923.74656,5600.27861,3560.05444,1557.6687,1094.33244,4848.14419,1890.38186,5050.66718,1133.44011,14981.96993,2263.66444,2405.04399,709.62961,799.31853,580.8514,526.56507,2431.49978,10560.24015,12615.10077,4563.04175,1525.89409,10832.85811,2196.4221,6703.92754,2498.24091,1751.78771,1311.1435,2149.14919,14677.12909,1096.99637,736.0517,2630.69575,7259.38114,9500.95201,8801.16865,4847.85799,8554.0066,3563.433,1586.32631,772.20262,17418.60944,1171.10455,720.08238,2565.35214,386.62842,4757.67805,1908.12935,4213.45682,6395.74838,1844.5982,467.69821,4923.51505,715.35592,12816.50887,13867.42392,1432.79038,1222.30211,13754.36272,1253.64561,3715.45899,1648.37449,3167.35568,1903.62211,5285.75524,1460.05666,2170.41638,812.06393,1862.3471,3704.80116,6155.60444,8098.56896,2364.85121,14547.61167,21308.71478,2219.48959,3630.55193,1370.84743,1311.75493,8935.02778,1614.24497,5142.29145,1016.05008,12127.48622,1141.46774,19462.72743,6211.47373,7561.67305,4341.18716,1630.58746
1968,2755.77598,15878.01673,11275.43488,1275.44264,10021.41341,12645.16712,1060.90411,1559.54644,606.75691,2818.54747,664.08516,597.34461,1149.90586,15430.16468,948.25287,1141.07243,1404.39402,6155.64807,865.76837,5847.35028,3675.86842,1517.19189,1144.98876,4985.98188,2075.01345,5208.35467,1085.30114,15732.2935,2202.1527,2442.66958,766.79443,775.07713,643.29552,538.87488,2655.61666,10949.50019,13054.36213,4546.17454,1504.44611,11392.15822,2230.47366,7131.13502,2643.39047,1735.28048,1324.43527,2226.64664,13215.50098,1124.33899,785.24143,2810.01402,7723.21938,9708.18678,9307.92189,4710.28155,9527.29827,3469.83185,1542.8899,756.89973,18436.87803,1244.27028,720.76268,2574.03944,428.07904,5228.56788,2120.92132,3478.20112,6734.56917,1924.49845,488.00158,4957.89208,703.51398,13753.92169,13582.73626,1429.58422,1242.86177,14188.8619,1293.7778,3865.29307,1675.53371,3144.53556,1976.20906,6168.55618,1595.72796,2271.8396,842.11066,1746.353,4188.10333,6262.37437,8566.42711,2496.66438,14977.99631,21948.53422,2243.57946,3896.7578,1418.88879,1358.48273,9278.06211,1721.40619,5375.14976,1024.21463,12505.00898,1183.87606,20241.89129,6243.202,8063.30465,4427.58024,1476.58916
1969,2954.02577,16706.96847,11781.04239,1303.20692,11294.33503,13512.23796,1074.92988,1586.363,599.24189,2801.78538,669.03499,560.1935,1207.90002,15989.73611,1001.09419,1123.21265,1499.95604,6479.05802,954.14009,6436.25142,3827.56111,1431.44108,1198.64798,5118.01565,2230.15276,5814.8993,1204.43272,16859.30303,2368.76708,2431.16914,807.69387,772.10348,662.68391,569.37687,2737.55831,12134.88851,13880.42505,4778.38242,1461.93684,12234.49243,2340.00805,7942.18956,2728.84447,1679.16039,1488.98179,2137.28222,13446.04043,1219.46518,756.21923,2861.40307,8103.65302,10903.09797,9845.89808,4841.09901,10558.95919,3219.86705,1586.30047,752.74837,20931.19422,1262.68959,758.88714,2760.01378,429.94291,5778.66892,1997.23888,3519.41359,6773.03191,2083.55368,509.05612,5130.77145,726.35901,14268.39276,14908.22204,1266.36346,1563.72887,14497.51933,1361.54921,4109.83361,1723.6556,3231.66414,2037.02093,6445.33955,1792.66267,2396.25449,907.69836,1511.79554,4779.65551,6549.07014,9292.04471,2542.20011,15633.16902,22790.51982,2661.2806,4167.99653,1519.13667,1438.64439,9588.66623,1746.91072,5520.21158,1085.33219,12705.78005,1202.76891,20725.87579,6627.94914,8152.66008,5001.09765,1800.81745
