year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,7.77957,9.42313,9.04379,7.18914,8.94178,9.14556,6.86742,7.21017,5.9628,7.59207,6.35704,6.39745,7.01791,9.37641,6.6873,7.0099,7.23654,8.42525,6.96339,8.12165,8.07613,6.86976,6.80775,8.36666,7.36691,8.00902,7.09213,9.31367,7.65941,7.67095,6.32125,6.48229,6.01315,6.12239,7.76577,9.00378,9.13787,7.88653,7.32845,9.09701,7.85524,8.29876,7.70323,7.50018,7.04928,7.56057,9.19346,6.88257,6.66561,7.65946,8.64518,8.93952,8.75699,8.36963,8.4753,7.90428,7.24254,6.33796,9.7239,7.04306,6.40195,7.7528,6.10857,8.1968,6.95474,8.07768,8.53114,7.14397,5.98522,8.25642,6.53029,9.17459,9.41065,7.15177,7.3576,9.22823,6.8705,7.83021,7.26206,7.79456,7.46154,8.20881,6.98241,7.15036,6.81286,7.62543,7.80172,8.52217,8.53306,7.79197,9.34268,9.75224,7.4459,7.72986,6.90008,6.76707,8.76894,7.24747,8.30963,6.82725,9.24133,6.79002,9.6326,8.77138,8.89584,8.02308,7.50047
1961,7.80782,9.42883,9.09526,7.169,8.9781,9.18414,6.85789,7.24154,6.01363,7.68337,6.32991,6.221,7.04112,9.39099,6.84692,7.07344,7.24348,8.3722,6.52214,8.15143,8.10493,6.93895,6.84422,8.31644,7.34572,8.11803,6.93845,9.36781,7.60001,7.68569,6.33923,6.47764,6.02072,6.14365,7.75825,9.09413,9.17453,7.94604,7.22054,9.13152,7.80225,8.42185,7.70631,7.51189,7.03774,7.58138,9.23954,6.89843,6.66323,7.65959,8.69651,9.03162,8.83478,8.40563,8.57108,8.00065,7.21762,6.33057,9.70647,7.06005,6.40156,7.72141,6.07886,8.22377,6.8785,8.20868,8.52931,7.33631,5.98277,8.22817,6.52122,9.19484,9.43867,7.19293,7.30643,9.28295,6.88568,7.91233,7.29107,7.82262,7.46502,8.26526,6.99919,7.2387,6.76307,7.62611,7.83456,8.53406,8.63196,7.76014,9.39248,9.80516,7.49862,7.76244,6.9355,6.83723,8.90696,7.31243,8.29952,6.78297,9.25961,6.78354,9.63914,8.77274,8.87882,7.96481,7.52483
1962,7.74488,9.46565,9.11802,7.20906,9.01787,9.23052,6.79801,7.24881,6.07087,7.71656,6.40053,6.28159,7.01648,9.43315,6.65381,7.06415,7.32242,8.56216,6.55621,8.2477,8.12169,7.05257,6.9557,8.34632,7.36055,8.28798,7.05931,9.41555,7.78753,7.70523,6.36977,6.54418,6.03475,6.15711,7.73784,9.10436,9.21844,8.05392,7.20205,9.16359,7.77465,8.40687,7.71365,7.51104,7.02896,7.60464,9.2554,6.91826,6.73314,7.67303,8.72023,9.03652,8.88623,8.38811,8.6535,7.99392,7.24986,6.44461,9.66694,7.08645,6.39541,7.73793,6.05117,8.20416,6.95584,8.25976,8.53732,7.43754,6.04245,8.33016,6.5299,9.23487,9.44999,7.27347,7.30284,9.30248,6.91609,7.971,7.28789,7.87945,7.49838,8.33954,6.97991,7.32301,6.85672,7.59571,7.89464,8.54597,8.71721,7.79864,9.42204,9.82885,7.68426,7.81994,6.94924,6.81929,8.86261,7.30899,8.33196,6.8045,9.26525,6.85115,9.68435,8.77985,8.8856,7.9178,7.48561
1963,7.72481,9.52896,9.15588,7.24791,9.06955,9.25654,6.82017,7.28875,6.10772,7.75098,6.36219,6.31233,7.05863,9.46285,6.42902,6.98293,7.26376,8.60183,6.67231,8.37381,8.12009,7.13498,6.98473,8.36996,7.48134,8.29072,7.09966,9.42714,7.8272,7.69617,6.43106,6.54518,6.3151,6.1691,7.8865,9.11886,9.26561,8.22705,7.2046,9.17612,7.8167,8.5243,7.75571,7.60769,7.10106,7.60055,9.35267,6.96497,6.68243,7.67759,8.7572,9.10142,8.93045,8.47885,8.72381,7.99312,7.24457,6.52367,9.67817,7.07119,6.38892,7.75064,6.08941,8.20824,6.96361,8.44268,8.59581,7.56777,6.05284,8.37908,6.52661,9.26516,9.51151,7.35151,7.34951,9.32684,6.95173,8.02598,7.31095,7.90939,7.5312,8.39559,7.07858,7.39689,6.7223,7.5917,7.99345,8.58906,8.80028,7.74366,9.46471,9.85607,7.4399,7.91394,6.98214,6.86273,8.9723,7.38262,8.39872,6.85812,9.29525,6.90908,9.71321,8.7387,8.91924,7.95047,7.47748
1964,7.77848,9.5514,9.19797,7.2247,9.03522,9.31881,6.84101,7.34446,6.16335,7.7738,6.40601,6.3242,7.07834,9.51164,6.47561,7.00396,7.23121,8.60467,6.79405,8.43665,8.1777,7.20155,7.02744,8.3976,7.61973,8.14095,7.03104,9.50474,7.84609,7.7398,6.52992,6.59799,6.26475,6.21967,7.99464,9.16321,9.32097,8.31348,7.29364,9.24009,7.83835,8.59656,7.77351,7.49513,7.16208,7.63572,9.47837,7.01493,6.66912,7.67484,8.79781,9.16107,8.94978,8.48168,8.82355,8.10952,7.29356,6.57775,9.74764,7.07115,6.36139,7.78195,5.89533,8.23929,7.35772,8.47234,8.6904,7.60891,6.07256,8.49679,6.59823,9.32528,9.54345,7.30343,7.37979,9.38528,6.99386,8.04945,7.33293,7.97182,7.51412,8.41881,7.13073,7.44982,6.58285,7.59409,7.93748,8.63306,8.84185,7.75959,9.52279,9.89918,7.7631,8.00923,7.0388,6.93837,8.98952,7.37257,8.41861,6.95044,9.34621,7.01841,9.75737,8.77037,8.97488,8.08354,7.4204
1965,7.89875,9.5491,9.22535,7.19379,9.03791,9.35126,6.88707,7.4238,6.09179,7.81333,6.39811,6.33606,7.1053,9.55939,6.49487,6.98691,7.25661,8.58734,6.87749,8.5666,8.14724,7.15862,7.0268,8.43965,7.46915,8.37998,7.04183,9.54428,7.67675,7.73823,6.54388,6.6368,6.16715,6.26704,7.73636,9.22632,9.35843,8.42203,7.36096,9.28105,7.76692,8.69528,7.78511,7.50902,7.15384,7.67468,9.57014,6.97552,6.63982,7.75513,8.80616,9.14639,8.96983,8.47498,8.87515,8.1735,7.29574,6.57329,9.75621,7.03142,6.48614,7.84663,5.94448,8.29559,7.51283,8.32173,8.71295,7.57059,6.06877,8.5337,6.56407,9.38505,9.57973,7.31568,7.37563,9.43543,7.0551,8.11388,7.37198,7.98784,7.53263,8.48083,7.15373,7.53861,6.61118,7.55669,8.00638,8.65515,8.88697,7.76781,9.55209,9.92114,7.73941,8.0526,7.11183,7.01982,8.88337,7.38716,8.42011,6.88372,9.36702,6.98037,9.81085,8.74809,8.96469,8.09532,7.48501
1966,7.87634,9.59419,9.26763,7.19017,9.08238,9.3759,6.88129,7.4562,6.13356,7.82534,6.39767,6.32035,7.12482,9.60444,6.69878,6.95569,7.24373,8.66833,6.95124,8.60164,8.16599,7.24409,7.00424,8.47243,7.54023,8.43674,7.14521,9.56753,7.73354,7.7441,6.55294,6.66345,6.29989,6.27797,7.75443,9.24906,9.40138,8.30975,7.34977,9.30258,7.73189,8.76693,7.8138,7.48016,7.06603,7.66347,9.62546,6.94772,6.56553,7.80889,8.83019,9.21449,9.01784,8.50195,8.96318,8.14795,7.36382,6.56666,9.75411,7.04695,6.58472,7.87005,5.94169,8.40059,7.49473,8.34964,8.74494,7.51262,6.07696,8.56284,6.61185,9.4087,9.62028,7.27561,7.2722,9.46604,7.14452,8.15609,7.36489,8.04182,7.55134,8.50623,7.25145,7.5847,6.65048,7.5614,8.1039,8.67496,8.95574,7.76807,9.56055,9.94045,7.598,8.12396,7.21373,7.13945,9.02085,7.4063,8.52695,6.92435,9.38493,7.02316,9.86267,8.78323,8.93538,8.3053,7.41006
1967,7.90603,9.61567,9.29071,7.1439,9.1957,9.40824,6.90128,7.48435,6.25828,7.87519,6.47373,6.41284,7.00462,9.61474,6.77166,6.86756,7.25605,8.69587,6.82844,8.63057,8.17753,7.35095,6.9979,8.48635,7.54453,8.52728,7.03301,9.6146,7.72474,7.78532,6.56474,6.68376,6.36449,6.26637,7.79626,9.26485,9.44265,8.42574,7.33034,9.29034,7.69458,8.81045,7.82334,7.46839,7.17865,7.67283,9.59405,7.00033,6.6013,7.875,8.89005,9.15915,9.08264,8.48629,9.05416,8.17848,7.36918,6.64925,9.76529,7.0657,6.57937,7.84985,5.95746,8.46752,7.55388,8.34604,8.76339,7.52002,6.14782,8.50178,6.57278,9.45849,9.5373,7.26738,7.10849,9.52911,7.13381,8.22026,7.40754,8.06065,7.55151,8.57277,7.28623,7.68267,6.69958,7.52959,8.21738,8.72512,8.99944,7.76847,9.58518,9.96687,7.70503,8.19714,7.22318,7.17912,9.09773,7.38662,8.54525,6.92368,9.40323,7.04007,9.87626,8.73415,8.93085,8.3759,7.3967
1968,7.92145,9.67269,9.33038,7.15105,9.21248,9.44503,6.96688,7.35215,6.40813,7.94398,6.49841,6.39249,7.04744,9.64408,6.85462,7.03972,7.24736,8.72513,6.76362,8.67374,8.20954,7.32462,7.04315,8.51439,7.63772,8.55802,6.98961,9.66347,7.69719,7.80085,6.64222,6.65296,6.4666,6.28948,7.88443,9.30105,9.47688,8.42204,7.31618,9.34068,7.70997,8.87223,7.87982,7.45892,7.18874,7.70825,9.48915,7.02495,6.66599,7.94094,8.95199,9.18072,9.13862,8.4575,9.16192,8.15186,7.34141,6.62923,9.82211,7.1263,6.58031,7.85323,6.05931,8.56189,7.65961,8.15427,8.81501,7.56242,6.19032,8.50874,6.55609,9.52908,9.51655,7.26514,7.12517,9.56021,7.16532,8.25979,7.42389,8.05342,7.58894,8.72722,7.37509,7.72835,6.73591,7.46528,8.34,8.74231,9.05561,7.82271,9.61434,9.99646,7.71583,8.2679,7.25763,7.21412,9.13541,7.4509,8.58954,6.93168,9.43388,7.07655,9.91551,8.73925,8.99508,8.39561,7.29749
1969,7.99092,9.72358,9.37425,7.17258,9.33206,9.51135,6.98001,7.3692,6.39567,7.93801,6.50584,6.32828,7.09664,9.6797,6.90885,7.02395,7.31319,8.77633,6.86081,8.7697,8.24998,7.26644,7.08895,8.54052,7.70983,8.66818,7.09376,9.73266,7.77012,7.79613,6.69418,6.64912,6.4963,6.34454,7.91482,9.40384,9.53823,8.47186,7.28752,9.41201,7.75791,8.97994,7.91163,7.42605,7.30585,7.66729,9.50644,7.10617,6.62833,7.95907,9.00007,9.2968,9.19481,8.4849,9.26473,8.0771,7.36916,6.62373,9.949,7.141,6.63185,7.92299,6.06365,8.66193,7.59952,8.16605,8.8207,7.64183,6.23256,8.54301,6.58804,9.5658,9.60967,7.1439,7.35483,9.58173,7.21638,8.32114,7.4522,8.08075,7.61924,8.77111,7.49146,7.78166,6.81091,7.32105,8.47212,8.78708,9.13691,7.84079,9.65715,10.0341,7.88656,8.33519,7.3259,7.27146,9.16834,7.4656,8.61617,6.98964,9.44981,7.09238,9.93914,8.79905,9.0061,8.51741,7.496
