year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,7.77248,9.43624,9.05101,7.2038,8.91637,9.13336,6.77177,7.16383,5.88283,7.55094,6.35712,6.35447,6.96712,9.38078,6.73482,6.93859,6.98296,8.4202,6.93829,8.16451,8.07684,6.77788,6.72977,8.3367,7.33057,8.02403,7.07651,9.29422,7.62859,7.65605,6.22169,6.43254,6.0038,6.06929,7.71228,9.00428,9.11427,7.84462,7.28896,9.09366,7.84158,8.2805,7.66027,7.48954,6.98622,7.52951,9.1764,6.86317,6.67554,7.62491,8.64269,8.86487,8.75345,8.31669,8.47286,7.80996,7.18935,6.30001,9.74712,6.97425,6.34354,7.77831,6.0419,8.18962,6.849,8.03532,8.53719,7.10186,5.96927,8.22814,6.51514,9.15825,9.39329,7.07995,7.30007,9.22292,6.84829,7.79117,7.25473,7.78005,7.44961,8.21978,7.00283,7.09614,6.74602,7.54641,7.82711,8.50189,8.54123,7.73746,9.31348,9.79148,7.39977,7.69493,6.91605,6.72894,8.76007,7.19894,8.30273,6.79779,9.21319,6.69551,9.62516,8.7605,8.83845,7.96388,7.46624
1961,7.80095,9.43814,9.10422,7.18616,8.9557,9.17111,6.77662,7.19725,5.94319,7.64402,6.33447,6.17978,6.99598,9.39449,6.87768,7.00585,7.0168,8.37259,6.49989,8.19114,8.10273,6.85745,6.77494,8.29081,7.31239,8.12601,6.92222,9.34801,7.57402,7.67196,6.25297,6.43215,6.02138,6.09624,7.70572,9.08865,9.15012,7.90203,7.19153,9.12307,7.78453,8.40175,7.66708,7.50301,6.96997,7.5537,9.21668,6.87994,6.67772,7.62328,8.69737,8.96064,8.83003,8.35111,8.57003,7.92254,7.16764,6.30051,9.72765,6.9994,6.34715,7.74784,6.02252,8.21601,6.77934,8.17206,8.53285,7.30357,5.96904,8.19955,6.51384,9.17765,9.42201,7.12936,7.25498,9.27559,6.86703,7.87494,7.28813,7.81248,7.45394,8.27541,7.02507,7.18986,6.70296,7.55905,7.85701,8.51271,8.64078,7.71449,9.36352,9.83627,7.45255,7.73709,6.95289,6.8032,8.89818,7.26965,8.29074,6.75699,9.23375,6.7065,9.63315,8.76491,8.82461,7.91099,7.49235
1962,7.7378,9.47261,9.12699,7.22796,8.99726,9.21593,6.7214,7.20451,6.00318,7.67713,6.40696,6.2417,6.97337,9.43564,6.67643,6.9961,7.10371,8.56426,6.53538,8.28535,8.11788,6.97268,6.88822,8.3224,7.32848,8.28962,7.04343,9.3946,7.76338,7.69125,6.28799,6.50038,6.03847,6.11194,7.68515,9.09496,9.1927,8.00818,7.17646,9.15167,7.75528,8.38488,7.67602,7.50278,6.95773,7.57814,9.2293,6.89985,6.7491,7.63529,8.72192,8.96476,8.87957,8.33302,8.65138,7.92059,7.20158,6.41795,9.6862,7.02899,6.3424,7.76401,5.99885,8.19546,6.85353,8.22503,8.53972,7.40881,6.0302,8.30082,6.52564,9.21595,9.43272,7.21172,7.25324,9.29289,6.89843,7.93374,7.28662,7.87058,7.48701,8.349,7.00733,7.27561,6.79955,7.53265,7.9154,8.52394,8.72535,7.75585,9.39207,9.8553,7.63712,7.79702,6.96658,6.7866,8.85408,7.26724,8.32195,6.77997,9.23947,6.7793,9.67824,8.7729,8.83039,7.86637,7.45358
1963,7.71559,9.53475,9.16307,7.26352,9.04552,9.24079,6.74157,7.24265,6.03745,7.70978,6.36581,6.2693,7.01284,9.46378,6.45042,6.91381,7.04348,8.60166,6.64915,8.40996,8.11433,7.05377,6.91528,8.34327,7.44704,8.2927,7.08183,9.40478,7.8009,7.68049,6.34712,6.49891,6.31716,6.12136,7.83211,9.10888,9.23863,8.17975,7.17635,9.16352,7.79568,8.50092,7.71538,7.59722,7.02905,7.57171,9.32591,6.94446,6.69587,7.63795,8.7566,9.02902,8.92277,8.42162,8.72066,7.91713,7.19371,6.49323,9.69636,7.01139,6.33327,7.77504,6.03445,8.19784,6.86186,8.40593,8.59617,7.53707,6.03742,8.34782,6.51937,9.24525,9.49276,7.28848,7.29796,9.31632,6.93183,7.98643,7.30727,7.89831,7.51804,8.40313,7.10391,7.34787,6.66217,7.52628,8.01279,8.56545,8.80669,7.69869,9.43355,9.88176,7.39122,7.88944,6.99772,6.82768,8.96131,7.33906,8.38703,6.83126,9.26788,6.8361,9.70544,8.72941,8.86373,7.89662,7.44361
1964,7.7664,9.55521,9.20284,7.23609,9.0069,9.30134,6.76045,7.29587,6.09026,7.73019,6.40614,6.27729,7.02937,9.51031,6.49388,6.9335,7.01033,8.6018,6.76822,8.47043,8.16906,7.11858,6.95595,8.36741,7.58289,8.14205,7.01069,9.48035,7.81708,7.72179,6.44394,6.54862,6.26537,6.16884,7.93842,9.15185,9.29211,8.26374,7.2623,9.22606,7.815,8.57104,7.72981,7.48185,7.08822,7.60382,9.45031,6.99168,6.67948,7.63256,8.79427,9.08775,8.94032,8.42145,8.81885,8.03086,7.23959,6.54266,9.76404,7.00875,6.30246,7.80403,5.83759,8.22647,7.25529,8.43299,8.68787,7.57644,6.05309,8.46288,6.58747,9.30379,9.52267,7.23875,7.32595,9.3732,6.97122,8.00673,7.32627,7.95799,7.4985,8.42376,7.15345,7.3989,6.51929,7.52618,7.95468,8.60724,8.84576,7.71224,9.48992,9.92311,7.71198,7.98304,7.05197,6.90067,8.97515,7.32672,8.40446,6.92088,9.3168,6.94496,9.74734,8.75809,8.91892,8.02697,7.3842
1965,7.88574,9.55063,9.22977,7.20471,9.00917,9.33254,6.81025,7.37476,6.02176,7.76932,6.3981,6.28896,7.05708,9.55661,6.50953,6.91695,7.04444,8.58483,6.85196,8.59729,8.13691,7.07569,6.95899,8.40999,7.43255,8.37742,7.01956,9.51868,7.64879,7.71997,6.46186,6.58743,6.17113,6.21714,7.67982,9.21243,9.32826,8.37177,7.33144,9.26455,7.74107,8.6671,7.74105,7.49561,7.07876,7.64261,9.53879,6.95185,6.65037,7.7101,8.80216,9.07329,8.95946,8.41337,8.86945,8.09853,7.24233,6.53855,9.77091,6.97102,6.42747,7.86813,5.88924,8.28094,7.41213,8.28362,8.70828,7.54156,6.04882,8.4986,6.55459,9.3622,9.55796,7.25182,7.32295,9.42207,7.03237,8.07051,7.36591,7.97471,7.51596,8.48436,7.17639,7.48911,6.54917,7.4918,8.02098,8.62776,8.88944,7.72291,9.51837,9.94141,7.68747,8.0281,7.12401,6.98122,8.86821,7.3413,8.40443,6.85403,9.3372,6.91216,9.80004,8.73646,8.90865,8.04015,7.44915
1966,7.86349,9.5958,9.27343,7.20043,9.05368,9.35857,6.8101,7.40857,6.07043,7.78235,6.39764,6.27325,7.07916,9.60212,6.71345,6.88986,7.04507,8.66769,6.92764,8.63138,8.15561,7.1647,6.94318,8.44432,7.50527,8.43401,7.12243,9.54318,7.70818,7.72769,6.47736,6.61508,6.31028,6.22987,7.69973,9.23571,9.37225,8.25994,7.32297,9.28682,7.7057,8.73876,7.77027,7.46762,6.99317,7.63215,9.594,6.92569,6.57686,7.76379,8.82731,9.14574,9.00895,8.44014,8.95908,8.07975,7.31142,6.5327,9.76919,6.99033,6.52745,7.89287,5.89101,8.38658,7.39745,8.31438,8.73952,7.48877,6.05671,8.52814,6.60461,9.3872,9.59988,7.21502,7.22256,9.45425,7.12398,8.11331,7.36057,8.03083,7.53545,8.51021,7.27551,7.53911,6.59118,7.50134,8.11853,8.64795,8.95841,7.72758,9.52874,9.95977,7.54681,8.10359,7.22656,7.10202,9.0057,7.36301,8.51113,6.89564,9.35704,6.96409,9.85294,8.77377,8.8838,8.25235,7.37619
1967,7.89394,9.61789,9.29903,7.15386,9.16799,9.3934,6.83889,7.43929,6.20529,7.83429,6.47413,6.36637,6.96367,9.61372,6.78718,6.80781,7.07841,8.69838,6.80789,8.6598,8.16761,7.27854,6.94774,8.46115,7.51249,8.52421,7.01008,9.59265,7.70273,7.77193,6.49961,6.63753,6.38543,6.22155,7.74486,9.25284,9.41545,8.37744,7.30778,9.2763,7.6688,8.78287,7.78126,7.45782,7.10979,7.6431,9.56274,6.98116,6.61464,7.83039,8.88939,9.09801,9.07622,8.42479,9.05241,8.12106,7.31874,6.61682,9.78165,7.01511,6.52506,7.87516,5.91414,8.4548,7.46109,8.31581,8.75739,7.50405,6.1278,8.46811,6.56946,9.4392,9.51959,7.21237,7.06395,9.51997,7.11718,8.17893,7.4065,8.05309,7.5373,8.57808,7.31257,7.64333,6.6443,7.47729,8.23234,8.69908,9.00277,7.73486,9.55675,9.98518,7.65553,8.18301,7.23724,7.14395,9.08331,7.34809,8.52961,6.89702,9.37871,6.99476,9.86875,8.72858,8.88661,8.3263,7.36639
1968,7.90914,9.67419,9.33921,7.1605,9.18479,9.43054,6.90845,7.30774,6.35818,7.90346,6.49873,6.34598,7.0083,9.64297,6.86925,6.98203,7.08002,8.72861,6.74385,8.70215,8.19895,7.25535,6.99776,8.49007,7.60672,8.55309,6.96611,9.64183,7.67605,7.78817,6.58237,6.60748,6.49257,6.24591,7.83348,9.28866,9.44969,8.37415,7.29502,9.32642,7.68397,8.84379,7.83785,7.44886,7.12094,7.67862,9.45672,7.00647,6.67977,7.89528,8.9517,9.1237,9.13251,8.39537,9.16006,8.09977,7.29179,6.59702,9.83856,7.07823,6.52681,7.87896,6.01936,8.54847,7.56773,8.12616,8.80784,7.54997,6.16997,8.47461,6.55436,9.50971,9.4996,7.21234,7.08312,9.5514,7.14967,8.21845,7.42401,8.04714,7.5748,8.7324,7.40146,7.69142,6.68184,7.41636,8.35377,8.71588,9.05838,7.79191,9.58677,10.01309,7.6666,8.25598,7.2715,7.17949,9.12097,7.41407,8.57317,6.90561,9.41018,7.03765,9.9084,8.73524,8.9533,8.34746,7.26826
1969,7.97526,9.72364,9.38095,7.17633,9.29882,9.49594,6.92004,7.32203,6.34432,7.89506,6.50164,6.27689,7.05493,9.67665,6.9218,6.96592,7.14895,8.77721,6.83829,8.79491,8.23639,7.19713,7.04341,8.51193,7.67609,8.66355,7.06745,9.70972,7.74551,7.78149,6.63359,6.59975,6.52229,6.2974,7.86315,9.39119,9.50988,8.42067,7.26222,9.39715,7.72901,8.95014,7.86562,7.41291,7.23697,7.63433,9.47376,7.08481,6.63818,7.91256,8.99676,9.24088,9.18732,8.42048,9.26244,8.02464,7.31663,6.58501,9.96369,7.09057,6.57557,7.9468,6.02194,8.64669,7.50617,8.13505,8.81044,7.62789,6.20691,8.50714,6.58234,9.54567,9.59088,7.08963,7.31199,9.57243,7.19744,8.27684,7.44927,8.07124,7.60268,8.77345,7.51611,7.74382,6.75208,7.2694,8.48567,8.75864,9.13724,7.80756,9.62873,10.04941,7.83498,8.32255,7.33809,7.23358,9.14956,7.42727,8.59756,6.96031,9.42475,7.05542,9.9299,8.79202,8.96604,8.46657,7.46539
1970,7.97606,9.73244,9.43579,7.21969,9.39465,9.55453,6.98814,7.34077,6.53015,8.00147,6.45106,6.51347,7.0755,9.68463,7.02329,6.98935,7.17083,8.75881,6.98553,8.85644,8.29026,7.25077,7.10533,8.56832,7.73119,8.67285,6.95908,9.72111,7.87596,7.82642,6.74152,6.65011,6.29678,6.26747,7.94075,9.47706,9.5585,8.54888,7.35575,9.45961,7.84703,9.0351,7.91697,7.35137,7.36141,7.61792,9.55578,7.07829,6.71839,7.98214,9.00221,9.31981,9.31241,8.54283,9.35325,7.87148,7.24336,6.56673,10.02916,7.13502,6.59855,7.97484,6.07196,8.72338,7.61333,8.22271,8.8349,7.55501,6.17846,8.52289,6.61075,9.59137,9.54161,7.11885,7.4036,9.60628,7.25953,8.3977,7.49832,8.1109,7.63943,8.83221,7.58296,7.79741,6.78362,7.34584,8.60234,8.77998,9.16862,7.83813,9.68781,10.09554,7.87552,8.39648,7.61222,7.1883,9.10469,7.67543,8.63758,6.94263,9.44909,7.11738,9.92027,8.85658,9.05247,8.2134,7.63367
1971,8.00977,9.74421,9.4799,7.17729,9.42774,9.58292,6.98987,7.37001,6.72372,8.08397,6.41992,6.51308,7.12145,9.71836,7.04458,6.9415,7.17806,8.83797,7.02278,8.93694,8.3582,7.27248,7.14174,8.5691,7.67966,8.75183,6.96982,9.7376,7.93126,7.83437,6.73893,6.63061,6.38849,6.27668,7.98632,9.48986,9.60837,8.63976,7.32022,9.49512,7.82356,9.10478,7.91766,7.39025,7.28969,7.59667,9.74596,7.08904,6.75783,8.10042,9.04707,9.4057,9.32869,8.55759,9.40228,7.82092,7.27496,6.43953,9.97637,7.13669,6.69486,8.13599,6.07308,8.63473,7.59096,8.23251,8.84818,7.58353,6.22394,8.54374,6.56524,9.63134,9.56644,7.12634,7.52802,9.65371,7.25137,8.47913,7.52928,8.1076,7.66132,8.90129,7.70609,7.90944,6.75711,7.30867,8.71384,8.76855,9.20645,7.82517,9.68546,10.13592,7.94323,8.50568,7.61917,7.20131,9.06229,7.7387,8.63861,6.8774,9.46131,7.13369,9.94523,8.85826,9.06348,7.98724,7.686
1972,8.00921,9.7718,9.53607,7.10475,9.41129,9.64143,7.03347,7.36095,6.91226,8.17188,6.55871,6.4008,7.18784,9.76084,7.03405,6.89866,7.08487,8.80604,6.9945,9.03143,8.43327,7.27549,7.15163,8.61186,7.67494,8.79807,6.89224,9.77514,8.00066,7.85966,6.78154,6.66371,6.4655,6.29669,8.04181,9.54696,9.65391,8.58815,7.29699,9.54141,7.69623,9.19408,7.94677,7.40054,7.28745,7.63051,9.72664,7.09101,6.82705,8.193,9.11026,9.50386,9.37112,8.63313,9.47553,7.84066,7.31487,6.59784,10.02728,7.1021,6.7513,8.17232,5.9318,8.53768,7.55907,8.28755,8.89324,7.58198,6.24253,8.52999,6.57035,9.66347,9.62213,7.07321,7.58686,9.68122,7.25068,8.50952,7.57276,8.09562,7.67329,8.96979,7.83093,8.00388,6.7594,7.31178,8.82198,8.78206,9.27417,7.83612,9.70219,10.16542,8.11712,8.62893,7.64143,7.18573,9.13981,7.88296,8.69521,6.90862,9.49221,7.17206,9.98939,8.83068,9.06435,8.01909,7.765
1973,8.0392,9.8337,9.58531,6.91179,9.44282,9.7093,7.06566,7.39263,7.07925,8.27952,6.48559,6.47582,7.19435,9.82825,7.01883,6.94605,6.98615,8.75697,7.05381,9.11274,8.5141,7.32304,7.15699,8.65144,7.71504,8.79253,6.97959,9.82413,8.07286,7.97169,6.76813,6.70341,6.58292,6.29788,8.13784,9.61363,9.71817,8.69561,7.30292,9.58819,7.77721,9.26623,7.97874,7.40516,7.25298,7.67729,9.84934,7.12076,6.93787,8.37495,9.17224,9.49474,9.42681,8.62507,9.53639,7.75726,7.29785,6.77605,10.14143,7.03624,6.67807,8.3491,5.92743,8.43354,7.53425,8.30066,8.93739,7.58626,6.25848,8.53371,6.53037,9.72396,9.70065,6.89542,7.53727,9.73176,7.27249,8.5215,7.6209,8.14538,7.75245,9.05558,8.01436,8.08733,6.76365,7.21754,8.90294,8.88921,9.33182,7.87997,9.73317,10.1824,7.98551,8.71405,7.71996,7.13256,9.22306,7.86887,8.72691,6.87999,9.53153,7.20812,10.03562,8.86332,9.09464,8.00871,7.77307
1974,8.06763,9.80153,9.61514,6.90641,9.38628,9.75178,7.0773,7.52541,7.16013,8.32305,6.53148,6.46107,7.20787,9.88375,7.03521,6.85578,7.09918,8.72329,7.06824,9.07733,8.56821,7.34024,7.36041,8.61217,7.77881,8.70693,6.98572,9.79082,8.1525,8.17535,6.85217,6.67346,6.65418,6.29445,8.21828,9.65455,9.74824,8.97405,7.34971,9.60277,7.83999,9.19779,7.98218,7.45748,7.24544,7.60265,9.91864,7.08262,7.0948,8.81403,9.10285,9.53002,9.47525,8.58753,9.511,7.74288,7.34611,6.75252,10.23849,6.99235,6.71464,8.44421,5.86736,8.44071,7.58074,8.36395,8.9795,7.66806,6.3001,8.58952,6.57486,9.7664,9.6799,6.99276,7.66584,9.76949,7.2737,8.50115,7.65917,8.19065,7.75905,9.04192,8.12567,8.19675,6.75255,7.29378,8.99025,8.93605,9.35569,7.87054,9.75519,10.19378,8.20803,8.65985,7.72063,7.38411,9.52618,7.97552,8.81298,6.82007,9.48484,7.22151,10.01706,8.84442,9.18342,7.92654,7.84282
1975,8.03204,9.79791,9.62479,6.84846,9.47584,9.73686,6.96511,7.47688,7.22263,8.35321,6.51967,6.38203,7.29817,9.88796,6.85213,6.82024,7.19884,8.49063,7.11603,9.10022,8.6082,7.38425,7.31225,8.65187,7.71934,8.53146,6.76902,9.7868,8.23313,8.16866,6.87565,6.69029,6.85007,6.29419,8.29701,9.65894,9.75071,8.97065,7.3744,9.61646,7.71231,9.24708,7.9837,7.48604,7.29738,7.59361,9.87891,7.16224,7.09483,8.77675,9.1541,9.5191,9.46941,8.60558,9.54333,7.67763,7.29364,6.82863,10.05067,6.95871,6.73235,8.38427,5.94254,8.62338,7.66762,8.31829,9.01003,7.67507,6.29432,8.59198,6.54876,9.77942,9.62113,6.82788,7.59315,9.79638,7.25605,8.49107,7.66688,8.16701,7.78906,8.96955,8.24462,8.28851,6.73094,7.31025,9.01678,8.90641,9.36438,7.81991,9.80661,10.12433,8.32067,8.72111,7.73273,7.16918,9.55399,8.0045,8.87139,6.76323,9.50485,7.27327,10.00784,8.87095,9.09025,7.66467,7.78925
