year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,48992.77734,130572.63281,60085.14062,72911.02344,1730.42871,84317.75781,1951.06091,4303.96191,211.47784,136963.375,3071.9751,1615.15015,6053.55908,216282.20312,168.85391,1504.73828,3217.15503,35188.92188,654109.25,10804.16309,51113.34375,161.83295,880.12561,5464.31738,5298.91455,1747.16785,18297.12109,49817.875,6777.8291,9384.88379,14464.69531,1664.07471,106.2334,10269.35547,878.63202,36045.07812,423178.25,1171.25183,487.71774,647961.3125,17487.67383,32861.92578,9004.20312,6172.68555,648.61865,3538.92749,1699.89526,425961.0,77234.14844,43848.28906,16123.66602,14877.90332,315883.5,6419.82715,447319.8125,2319.79614,10814.75391,452.61191,5370.58936,5670.96094,1972.74829,20127.60938,2057.26343,1126.49951,926.23901,2041.59973,193406.90625,14516.59961,2970.09863,2257.63135,6775.86865,108414.32812,28393.70703,4198.93604,63467.46094,36265.65234,42908.90234,2737.76831,2707.80859,23748.74805,45041.80469,32223.92773,26581.67188,22218.32812,2565.03564,5874.91113,4127.83643,84864.42969,156540.25,22612.50391,82931.54688,94378.78125,7543.76318,23438.82812,27610.58398,1300.04785,5433.02539,5572.18359,112916.09375,6307.3291,525343.5625,8176.08594,2794381.5,16057.65039,51722.26172,9107.77148,6619.18262
1961,51225.72656,133820.96875,63717.98438,73100.29688,1778.61511,88013.89062,2005.15869,4552.23389,228.20349,154807.23438,3018.55688,1394.19983,6331.25098,223687.15625,201.09709,1639.47437,3385.88232,34384.08203,418057.5625,11430.5498,54174.97656,179.36574,941.37372,5422.31299,5391.35693,1953.98499,16014.99902,52901.71875,6634.52637,9816.62695,15300.18066,1717.06628,109.96251,10759.50977,903.97424,39495.89844,443746.625,1252.91467,455.91489,672887.9375,16981.23828,37412.75781,9357.58105,6368.28223,643.73956,3750.15674,1800.40771,441949.75,79130.77344,45063.29688,16947.44141,16950.92773,343234.96875,6710.32324,497430.5,2713.36646,10913.40234,461.66165,5315.24365,5930.39551,2026.69873,20067.65625,2058.36694,1152.91956,875.08521,2404.47412,198848.07812,18208.25,3031.18604,2250.08325,6862.46631,112008.03125,29968.7793,4501.6626,62456.55078,38531.82422,44876.01172,3064.06567,2872.37231,25239.23438,46634.79688,34046.39844,28089.18945,24618.14453,2468.354,6092.31982,4397.77734,88021.1875,174409.35938,22716.77734,87648.625,101463.9375,8213.36523,25279.43359,29545.64844,1434.27393,6387.72803,6088.12891,114784.38281,6230.02393,540709.25,8504.7041,2863901.75,16337.77734,52978.23438,8858.93555,7013.14844
1962,48855.54297,141076.67188,65586.17188,77718.28906,1847.22034,92576.70312,1942.63013,4691.30029,246.24138,164799.76562,3264.69287,1517.99927,6292.29102,237474.125,169.88882,1654.6665,3759.06592,42655.64844,438964.28125,13103.25293,56783.48438,206.08792,1078.27307,5806.13916,5682.32666,2290.58838,18635.38477,55870.63281,8288.58105,10306.09375,16219.94922,1895.47388,112.39527,11149.94434,917.12122,40017.10938,472486.625,1409.24146,463.14694,698484.0,16956.91211,37007.08203,9743.22559,6482.44434,641.78522,3979.00635,1855.34961,460154.71875,86664.92188,46956.40234,17440.77344,17741.43164,362954.65625,6658.85205,544633.875,2850.85913,11648.00488,529.78687,5162.27979,6232.16748,2072.23804,20966.84375,2051.15332,1122.20105,954.91205,2608.70166,206677.71875,20737.66992,3290.47998,2553.84692,7050.26416,118050.39062,30990.27344,4990.35303,64187.28906,39520.50781,47545.04688,3344.69238,2942.35913,27531.85156,49702.35938,36600.17578,28464.20117,26986.74805,2723.41992,6078.92725,4793.12061,91438.98438,191362.01562,24314.37109,90686.21875,106301.83594,10201.98145,27721.8457,30889.47266,1445.5061,6297.41357,6175.0498,121518.41406,6560.17188,548803.4375,9414.30469,3042414.75,16691.50977,55291.79688,8685.59961,6970.69922
1963,48528.95703,152993.98438,68434.51562,82492.44531,1955.43164,95573.23438,2029.0769,4987.21191,259.03668,175369.6875,3154.14648,1584.99194,6657.21826,248843.32812,140.06876,1553.85059,3603.59351,45316.16016,507626.375,15361.65625,58366.13281,228.92822,1133.51685,6141.26221,6661.83057,2322.78052,19963.61133,56887.30469,8894.00098,10501.9209,17603.29492,1953.57617,149.23395,11485.63281,1099.03064,40866.25781,502000.40625,1693.91882,477.98022,713062.6875,18156.68555,41714.5,10458.11035,7255.18604,695.94537,4096.7915,2082.02002,491308.4375,83801.73438,48474.13672,18183.83398,19702.87891,381621.46875,7418.75439,589674.5,2965.76807,11927.75195,583.26971,5269.49951,6249.96631,2108.73975,21775.59766,2169.30322,1121.23853,975.86566,3188.97705,225662.60938,24169.18945,3385.86987,2745.82495,7120.30322,123210.77344,33605.91406,5503.37158,69104.21875,40764.375,50477.89844,3628.72388,3081.61353,29138.48633,52871.38281,38900.73047,32289.02734,29214.57422,2434.33691,6191.3999,5418.62402,97911.00781,209387.0,23555.6875,95060.47656,111522.42969,8239.57227,31392.42773,32857.9375,1543.94788,7143.60645,6770.97217,132825.96875,7107.70654,568147.0625,10259.25391,3171613.75,16188.12891,59279.28906,9180.0,7118.86328
1964,51845.01562,159234.59375,71687.08594,81877.17188,1901.98877,102456.51562,2117.48608,5383.43555,277.6579,184357.07812,3308.66797,1640.39648,6886.85107,265659.03125,151.2431,1616.62891,3555.35742,46340.95312,590315.0625,16718.67383,63560.80469,250.30273,1208.39404,6502.34033,7954.34668,2012.34912,19010.96484,61832.54688,9337.34277,11274.81348,19872.36914,2116.69189,142.38226,12294.20215,1262.0509,42898.20703,535636.625,1867.22681,538.07336,765569.6875,19044.30469,44907.41406,10948.58301,6584.42139,710.81372,4387.07715,2400.61743,526414.9375,84077.24219,49660.09375,18974.68555,21689.36328,391426.78125,7597.22314,657328.5,3468.34912,12892.47461,626.14471,5701.94727,6364.74561,2094.0437,23026.34961,1818.83911,1146.30627,1466.30408,3372.85596,255145.07812,25772.79492,3512.92603,3160.47998,7750.49658,132398.9375,35315.88672,5348.61035,73170.16406,43477.39844,53915.41797,3811.80151,3222.14062,31837.99219,53474.74609,39890.40234,34892.37109,30930.25,2147.31128,6402.25439,5245.46924,104870.75781,219886.01562,24456.29688,101327.36719,118197.89844,11727.79297,35571.73047,35762.41406,1703.0675,7399.36328,6831.47021,138343.54688,8003.30469,600702.25,11783.2002,3353604.0,16858.43555,64925.31641,10729.41016,6898.02295
1965,59304.92188,161630.26562,74123.64062,80585.57812,1920.28955,106619.03125,2279.82275,5963.50244,263.25558,197479.51562,3309.4873,1703.6167,7208.01611,283329.4375,158.73526,1633.16626,3760.98022,46543.00781,659842.5,19485.12891,63442.07422,245.8385,1241.13623,7008.6084,7148.1626,2565.05518,19620.27148,64764.75781,8145.53418,11594.31348,20733.12109,2271.18115,130.19987,13172.46777,1002.1463,45729.68359,560357.0625,2110.47754,595.62561,801962.8125,18204.95117,49666.70312,11299.71484,6800.56982,696.62207,4729.23291,2670.47632,517264.1875,83291.6875,55284.4375,19204.99414,22062.55469,401984.875,7702.49463,698915.625,3872.76831,13349.56934,637.38715,5806.96289,6259.30078,2433.76514,25204.14648,1955.70068,1206.52185,1739.65186,2981.21533,268543.3125,25512.84961,3572.93262,3360.73535,7629.85889,142270.10938,37268.10156,5535.63477,75121.22656,46011.14844,58857.62891,4182.65186,3439.3269,33315.80859,56126.29297,42411.91797,36621.88672,34029.67578,2268.4873,6369.3335,5742.90381,109961.3125,232189.0,25314.45117,105238.61719,121526.42969,11818.98535,38360.14844,39614.04297,1893.60559,6759.54199,7082.84375,141544.0625,7708.0918,617159.8125,11748.08691,3579563.5,16680.60352,66579.58594,11158.68848,7601.04932
1966,58855.14453,172287.29688,77976.33594,81854.39844,2018.35339,110122.17188,2335.94824,6316.11865,280.42386,206002.98438,3338.19995,1720.93848,7505.53662,302097.78125,200.95041,1645.73608,3847.58862,51609.46875,731967.6875,20340.2832,66565.36719,275.61569,1251.46753,7501.24463,8053.02295,2733.69214,22308.77734,66920.46094,8917.65723,12037.68164,21558.85938,2420.23022,151.72034,13624.41406,1045.58301,46982.38281,590890.125,1915.56445,610.09717,826011.8125,18089.68164,53751.86719,11872.94824,6737.55371,633.47522,4849.80957,2870.81055,515266.3125,78933.95312,60108.53125,19748.92383,24299.25781,425179.125,8101.47461,771466.1875,3965.13818,14775.64355,647.98669,5838.87891,6518.02246,2764.50684,26510.79102,2001.0105,1336.55737,1739.27686,3150.14648,285628.875,24800.40039,3681.45874,3552.04712,8165.30518,147803.9375,39557.70312,5451.01758,69963.67969,47905.08594,66245.00781,4494.61426,3512.63477,36250.17188,59014.49609,43427.10156,41467.66406,35987.50781,2433.6106,6623.7168,6490.70117,115262.57031,251617.84375,26049.01953,107351.74219,124881.3125,10604.83496,42565.84375,45225.125,2192.58276,7865.50537,7413.08154,161065.15625,8275.89355,632920.3125,12750.52344,3817841.25,17495.13477,67233.96875,14170.07812,7293.05664
1967,61540.375,179416.54688,80598.46875,79742.46094,2281.90747,114609.14844,2464.46777,6670.25,325.36481,223306.67188,3639.37402,1933.80408,6814.42578,311170.375,223.16051,1559.75476,4066.7749,54277.67578,666492.5625,21462.20898,69341.96875,317.32468,1288.37598,7877.88477,8514.24219,3013.86206,20554.15234,70919.71875,9146.46484,12963.48438,22538.08398,2558.05103,165.80309,13784.87695,1119.23315,48053.625,621828.8125,2187.87988,620.737,822790.0,17951.95312,56846.22266,12250.70312,6798.63477,715.60657,5080.02002,2826.08496,556993.5625,83612.04688,66168.97656,21131.0957,23627.01758,457677.28125,8157.89355,855716.6875,4683.42822,15378.87695,721.05872,5931.83643,6826.51807,2846.04663,26716.4375,2092.11255,1430.92603,1881.25818,3216.39258,299888.90625,25803.77734,4043.30957,3433.04419,8028.84131,157469.4375,37057.28516,5554.76904,61459.76562,51600.62891,67573.96094,4941.18408,3776.24048,38121.41016,60937.09375,46447.00391,44049.22266,40241.375,2637.35645,6649.5874,7435.5166,124612.69531,266259.40625,26861.19531,111251.375,129526.54688,12210.37305,47287.69922,47078.48438,2346.93408,8568.25781,7476.64502,167751.64062,8536.84473,650523.8125,13551.82129,3921134.0,16890.32617,69738.35156,15683.99023,7460.57031
1968,63371.65625,193474.45312,84340.42188,81944.80469,2336.56226,119359.77344,2709.06763,5990.50684,384.8638,246146.70312,3770.07129,1934.47375,7265.15625,325383.34375,249.62465,1888.12195,4162.56201,57021.35547,642385.625,22871.11719,73568.42969,318.70273,1388.61401,8362.99121,9839.93457,3127.5293,20291.00977,74933.38281,9178.73438,13574.66406,24990.2207,2570.14648,187.04918,14424.41895,1248.15784,50030.22656,648366.875,2215.6958,633.09723,870149.875,18771.68945,60585.45703,13233.20801,6867.00488,735.51605,5454.01416,2574.66821,584269.875,91025.4375,72678.53906,22585.91992,24722.45703,487119.5,8059.19092,963712.625,5050.47705,15470.7207,723.25397,6295.23145,7430.46191,2934.20947,27490.2793,2375.05859,1566.27026,2125.00684,2710.86328,325417.0,27687.37305,4315.92285,3546.69531,8057.04443,170687.67188,36734.56641,5675.85596,64489.96094,53711.68359,71693.78125,5291.29883,3945.83105,38968.80469,65176.79688,54269.32422,49273.50391,43178.87109,2815.09619,6426.86377,8541.60645,130177.82031,284819.59375,29108.97266,115287.49219,134709.21875,12751.04199,52169.60547,50157.32812,2496.89844,8924.21289,8165.45459,179173.15625,8871.51074,674437.4375,14572.93359,4120680.5,17176.57617,77094.3125,16467.08594,7001.98291
1969,68691.80469,207948.70312,88238.72656,84999.27344,2612.82373,127731.57031,2811.33618,6226.14844,386.2771,250946.54688,3824.7439,1836.85547,7765.46777,341382.65625,270.64651,1891.26514,4555.85059,60984.84375,726470.3125,25498.0332,78431.92969,309.13995,1490.5675,8801.50781,11092.83301,3522.28223,23118.95703,80582.57031,10133.19531,13891.49316,26814.64062,2643.19702,195.26801,15459.24512,1314.31897,55399.86328,694471.5625,2353.48828,632.89478,938536.5625,20231.12109,67630.48438,13892.46484,6752.26855,832.20288,5407.46436,2640.71069,646321.75,89068.03125,76094.77344,23733.24219,28504.95508,517769.8125,8378.2207,1080279.125,4925.49658,16395.20117,731.19696,7169.05078,7688.56348,3167.56689,30134.74805,2433.85669,1727.91248,2029.51978,2775.37451,336754.9375,30682.34766,4583.80371,3761.53931,8443.72559,179000.0,40675.82422,5131.05029,83463.84375,55312.41016,77239.15625,5772.43652,4155.16553,41049.23438,69010.74219,56432.46094,56524.39453,46168.78906,3112.59106,5710.47656,9893.61816,139567.65625,311218.96875,30231.51953,121076.13281,141513.60938,15584.20996,57903.17578,55174.49219,2707.26831,9181.5459,8446.61523,187828.20312,9656.29785,687399.0,15292.72363,4251592.5,18345.43359,80783.67969,19077.46484,8826.19336
