year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,0.50858,0.80187,0.6629,,0.73598,0.62545,0.64964,0.51851,0.25663,0.55196,0.65571,0.75031,0.55501,0.67209,,0.23189,0.5657,0.43602,0.5465,0.47964,0.51467,,,0.63905,0.60506,0.54271,,0.6406,0.50889,0.32406,0.34939,,,,0.68971,0.6945,0.67813,0.45439,,0.69017,,0.52307,0.46268,,,0.57904,0.65179,0.71751,0.46313,0.3342,0.47036,0.58787,0.64254,0.55826,0.60155,0.47304,0.82329,0.71741,0.60193,,,0.66285,,0.62045,0.6052,0.50611,0.43148,0.53364,0.40719,0.60124,,0.71068,0.58131,0.56131,0.36869,0.67176,,0.44598,0.47934,0.57697,0.43937,0.68953,0.66008,0.71086,0.68413,0.37469,0.40211,0.5977,0.64817,0.79556,0.6877,0.71937,,0.54621,0.46133,0.85197,0.56047,0.50536,0.34263,,0.63831,0.52846,0.65853,0.51689,0.40906,,0.67818
1961,0.50858,0.80187,0.6629,,0.73598,0.62545,0.64964,0.51851,0.25663,0.55196,0.65571,0.75031,0.55501,0.67209,,0.23189,0.5657,0.43602,0.5465,0.47964,0.51467,,,0.63905,0.60506,0.54271,,0.6406,0.50889,0.32406,0.34939,,,,0.68971,0.6945,0.68603,0.45439,,0.69017,,0.52307,0.46268,,,0.57904,0.65179,0.71751,0.46313,0.3342,0.47036,0.58787,0.64254,0.55826,0.60155,0.47304,0.82329,0.71741,0.60193,,,0.66285,,0.62045,0.6052,0.50611,0.43148,0.53364,0.40719,0.60124,,0.71068,0.58131,0.56131,0.36869,0.67176,,0.44598,0.47934,0.57697,0.43937,0.68953,0.66008,0.71086,0.68413,0.37469,0.40211,0.5977,0.64817,0.79556,0.6877,0.71937,,0.54621,0.46133,0.85197,0.56047,0.50536,0.34263,,0.63831,0.52846,0.65621,0.51689,0.40906,,0.67818
1962,0.50858,0.80187,0.6629,,0.73598,0.62545,0.64964,0.51851,0.25663,0.55196,0.65571,0.75031,0.55501,0.67209,,0.23189,0.5657,0.43602,0.5465,0.47964,0.51467,,,0.63905,0.60506,0.54271,,0.6406,0.50889,0.32406,0.34939,,,,0.68971,0.6945,0.69663,0.45439,,0.69017,,0.52307,0.46268,,,0.57904,0.65179,0.71751,0.46313,0.3342,0.47036,0.58787,0.64254,0.55826,0.60155,0.47304,0.82329,0.71741,0.60193,,,0.66285,,0.62045,0.6052,0.50611,0.43148,0.53364,0.40719,0.60124,,0.71068,0.58131,0.56131,0.36869,0.67176,,0.44598,0.47934,0.57697,0.43937,0.68953,0.66008,0.71086,0.68413,0.37469,0.40211,0.5977,0.64817,0.79556,0.6877,0.71937,,0.54621,0.46133,0.85197,0.56047,0.50536,0.34263,,0.63831,0.52846,0.6514,0.51689,0.40906,,0.67818
1963,0.50858,0.80187,0.6629,,0.73598,0.62545,0.64964,0.51851,0.25663,0.55196,0.65571,0.75031,0.55501,0.67209,,0.23189,0.5657,0.43602,0.5465,0.47964,0.51467,,,0.63905,0.60506,0.54271,,0.6406,0.50889,0.32406,0.34939,,,,0.68971,0.6945,0.70026,0.45439,,0.69017,,0.52307,0.46268,,,0.57904,0.65179,0.71751,0.46313,0.3342,0.47036,0.58787,0.64254,0.55826,0.60155,0.47304,0.82329,0.71741,0.60193,,,0.66285,,0.62045,0.6052,0.50611,0.43148,0.53364,0.40719,0.60124,,0.71068,0.58131,0.56131,0.36869,0.67176,,0.44598,0.47934,0.57697,0.43937,0.68953,0.66008,0.71086,0.68413,0.37469,0.40211,0.5977,0.64817,0.79556,0.6877,0.71937,,0.54621,0.46133,0.85197,0.56047,0.50536,0.34263,,0.63831,0.52846,0.64955,0.51689,0.40906,,0.67818
1964,0.50858,0.80187,0.6629,,0.73598,0.62545,0.64964,0.51851,0.25663,0.55196,0.65571,0.75031,0.55501,0.67209,,0.23189,0.5657,0.43602,0.5465,0.47964,0.51467,,,0.63905,0.60506,0.54271,,0.6406,0.50889,0.32406,0.34939,,,,0.68971,0.6945,0.69505,0.45439,,0.69017,,0.52307,0.46268,,,0.57904,0.65179,0.71751,0.46313,0.3342,0.47036,0.58787,0.64254,0.55826,0.60155,0.47304,0.82329,0.71741,0.60193,,,0.66285,,0.62045,0.6052,0.50611,0.43148,0.53364,0.40719,0.60124,,0.71068,0.58131,0.56131,0.36869,0.67176,,0.44598,0.47934,0.57697,0.43937,0.68953,0.66008,0.71086,0.68413,0.37469,0.40211,0.5977,0.64817,0.79556,0.6877,0.71937,,0.54621,0.46133,0.85197,0.56047,0.50536,0.34263,,0.63831,0.52846,0.64774,0.51689,0.40906,,0.67818
1965,0.50858,0.80187,0.6629,,0.73598,0.62545,0.64964,0.51851,0.25663,0.55196,0.65571,0.75031,0.55501,0.67209,,0.23189,0.5657,0.43602,0.5465,0.47964,0.51467,,,0.63905,0.60506,0.54271,,0.6406,0.50889,0.32406,0.34939,,,,0.68971,0.6945,0.68849,0.45439,,0.69017,,0.52307,0.46268,,,0.57904,0.65179,0.71751,0.46313,0.3342,0.47036,0.58787,0.64254,0.55826,0.60155,0.47304,0.82329,0.71741,0.60193,,,0.66285,,0.62045,0.6052,0.50611,0.43148,0.53364,0.40719,0.60124,,0.71068,0.58131,0.56131,0.36869,0.67176,,0.44598,0.47934,0.57697,0.43937,0.68953,0.66008,0.71086,0.68413,0.37469,0.40211,0.5977,0.64817,0.79556,0.6877,0.71937,,0.54621,0.46133,0.85197,0.56047,0.50536,0.34263,,0.63831,0.52846,0.6427,0.51689,0.40906,,0.67818
1966,0.50858,0.80187,0.6629,,0.73598,0.62545,0.64964,0.51851,0.25663,0.55196,0.65571,0.75031,0.55501,0.67209,,0.23189,0.5657,0.43602,0.5465,0.47964,0.51467,,,0.63905,0.60506,0.54271,,0.6406,0.50889,0.32406,0.34939,,,,0.68971,0.6945,0.68315,0.45439,,0.69017,,0.52307,0.46268,,,0.57904,0.65179,0.71751,0.46313,0.3342,0.47036,0.58787,0.64254,0.55826,0.60155,0.47304,0.82329,0.71741,0.60193,,,0.66285,,0.62045,0.6052,0.50611,0.43148,0.53364,0.40719,0.60124,,0.71068,0.58131,0.56131,0.36869,0.67176,,0.44598,0.47934,0.57697,0.43937,0.68953,0.66008,0.71086,0.68413,0.37469,0.40211,0.5977,0.64817,0.79556,0.6877,0.71937,,0.54621,0.46133,0.85197,0.56047,0.50536,0.34263,,0.63831,0.52846,0.64604,0.51689,0.40906,,0.67818
1967,0.50858,0.80187,0.6629,,0.73598,0.62545,0.64964,0.51851,0.25663,0.55196,0.65571,0.75031,0.55501,0.67209,,0.23189,0.5657,0.43602,0.5465,0.47964,0.51467,,,0.63905,0.60506,0.54271,,0.6406,0.50889,0.32406,0.34939,,,,0.68971,0.6945,0.67928,0.45439,,0.69017,,0.52307,0.46268,,,0.57904,0.65179,0.71751,0.46313,0.3342,0.47036,0.58787,0.64254,0.55826,0.60155,0.47304,0.82329,0.71741,0.60193,,,0.66285,,0.62045,0.6052,0.50611,0.43148,0.53364,0.40719,0.60124,,0.71068,0.58131,0.56131,0.36869,0.67176,,0.44598,0.47934,0.57697,0.43937,0.68953,0.66008,0.71086,0.68413,0.37469,0.40211,0.5977,0.64817,0.79556,0.6877,0.71937,,0.54621,0.46133,0.85197,0.56047,0.50536,0.34263,,0.63831,0.52846,0.65441,0.51689,0.40906,,0.67818
1968,0.50858,0.80187,0.6629,,0.73598,0.62545,0.64964,0.51851,0.25663,0.55196,0.65571,0.75031,0.55501,0.67209,,0.23189,0.5657,0.43602,0.5465,0.47964,0.51467,,,0.63905,0.60506,0.54271,,0.6406,0.50889,0.32406,0.34939,,,,0.68971,0.6945,0.68426,0.45439,,0.69017,,0.52307,0.46268,,,0.57904,0.65179,0.71751,0.46313,0.3342,0.47036,0.58787,0.64254,0.55826,0.60155,0.47304,0.82329,0.71741,0.60193,,,0.66285,,0.62045,0.6052,0.50611,0.43148,0.53364,0.40719,0.60124,,0.71068,0.58131,0.56131,0.36869,0.67176,,0.44598,0.47934,0.57697,0.43937,0.68953,0.66008,0.71086,0.68413,0.37469,0.40211,0.5977,0.64817,0.79556,0.6877,0.71937,,0.54621,0.46133,0.85197,0.56047,0.50536,0.34263,,0.63831,0.52846,0.66066,0.51689,0.40906,,0.67818
1969,0.50858,0.80187,0.6629,,0.73598,0.62545,0.64964,0.51851,0.25663,0.55196,0.65571,0.75031,0.55501,0.67209,,0.23189,0.5657,0.43602,0.5465,0.47964,0.51467,,,0.63905,0.60506,0.54271,,0.6406,0.50889,0.32406,0.34939,,,,0.68971,0.6945,0.68134,0.45439,,0.69017,,0.52307,0.46268,,,0.57904,0.65179,0.71751,0.46313,0.3342,0.47036,0.58787,0.64254,0.55826,0.60155,0.47304,0.82329,0.71741,0.60193,,,0.66285,,0.62045,0.6052,0.50611,0.43148,0.53364,0.40719,0.60124,,0.71068,0.58131,0.56131,0.36869,0.67176,,0.44598,0.47934,0.57697,0.43937,0.68953,0.66008,0.71086,0.68413,0.37469,0.40211,0.5977,0.64817,0.79556,0.6877,0.71937,,0.54621,0.46133,0.85197,0.56047,0.50536,0.34263,,0.63831,0.52846,0.67124,0.51689,0.40906,,0.67818
