year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,49381.91016,129726.4375,59706.92188,70820.53906,1600.20422,78873.17188,2037.67676,5226.69824,228.80322,132401.03125,3260.29761,1592.38037,5850.10938,215543.65625,175.38846,1563.08081,3240.61377,33646.78906,654965.0,14457.06934,51837.0,187.50659,977.06677,5395.73193,4787.70264,1741.30432,19995.88281,50216.82812,8496.17871,9208.97852,14188.99512,1467.48193,75.72458,10288.25781,904.80609,35422.87109,416557.6875,1497.30017,472.61069,653646.5,17816.58203,32809.83203,8370.00098,6170.01465,570.61395,3509.0686,1822.65637,429400.5,105499.10938,63312.51953,15716.32129,13960.18359,311324.84375,6401.6333,432237.3125,2302.47583,9684.37891,482.13666,4592.91309,5106.57764,1972.5863,17551.08789,2509.74512,215.93483,890.35577,2013.2179,194191.85938,13127.01465,2881.49463,2081.46582,6782.02002,109888.69531,27587.83398,4281.05713,60698.83984,33615.92188,42934.07422,2564.82593,3050.91553,23872.51562,43715.20312,32030.19531,27128.76367,22220.33203,2566.36255,5437.021,2953.50879,87776.63281,157737.32812,21944.20703,76361.04688,97950.27344,9102.64551,23889.92773,26659.90625,1330.25488,6711.20947,5794.46387,114090.10938,6134.00049,523350.53125,7816.23633,2787872.5,15547.72949,49878.39844,5375.60254,6619.18164
1961,50779.73047,133185.10938,63179.67188,70748.70312,1654.53699,83087.69531,2080.7876,5345.15869,250.24536,151209.89062,3101.62793,1375.11206,6063.19238,223447.90625,208.18901,1701.29578,3410.9519,32779.34375,418500.34375,14930.92969,54950.64062,207.51079,1012.79077,5334.29443,5044.78711,1955.66589,16496.79883,53387.16797,8249.86035,9617.625,15033.72266,1570.90271,80.14806,10771.0752,926.79901,38677.62891,436697.125,1571.23413,447.60641,676984.25,17620.16211,37355.55859,8843.13281,6375.56787,572.34247,3672.2771,1882.21326,443576.0625,114969.32031,64661.63672,16546.27344,15712.00977,337351.09375,6704.63379,481872.15625,2771.54834,9630.78613,502.56067,4594.50439,5386.28467,2027.85364,18950.92773,2529.50366,223.23334,785.76929,2256.76855,199225.70312,16956.07031,2947.26294,2102.61597,6868.45459,112147.85938,29227.51367,4606.98145,60016.75781,35441.02344,45037.54688,2870.87622,3257.13501,25592.86719,45948.64844,33868.71484,29406.5957,24625.34961,2469.72729,5559.95801,3141.65576,90999.8125,176669.67188,22033.54492,81412.47656,105552.38281,9445.50781,25711.24219,28395.48242,1471.53711,7611.22412,6026.90137,116090.72656,6103.15674,536811.5625,8259.50684,2855209.5,15828.50586,50854.60547,5778.43652,7013.14746
1962,51967.00781,139884.95312,65173.24609,75330.78125,1730.95874,88301.30469,2038.96228,5517.01416,273.8653,163083.6875,3334.60181,1501.00562,6126.85205,238052.85938,176.67549,1700.66699,3798.57739,41137.73438,438904.75,16656.30859,57469.28906,241.58514,1184.96045,5723.88135,5332.67627,2309.93018,19099.14062,56397.53906,9081.50098,10077.1875,15941.21484,1777.44971,84.76912,11230.61035,943.05841,39457.07031,467022.28125,1711.30933,457.28897,702474.1875,17473.86133,37044.42188,9195.70898,6498.8999,573.97736,3876.81274,1954.58252,462423.59375,109997.21875,65971.98438,17121.42188,17203.12695,357261.40625,6809.84326,528524.5,2894.63257,10502.52246,583.50592,4544.13672,5727.70752,2071.42041,20222.08594,2539.78516,344.71918,875.80811,2473.61792,206746.76562,19644.42383,3215.14648,2418.8042,7056.86182,117396.69531,30048.14844,5152.15527,61837.76953,36298.51953,48280.86719,3156.71973,3209.50952,27918.0918,49503.74219,36398.875,29757.32031,27006.1875,2726.81592,5654.30273,3711.26611,95064.3125,194361.73438,23595.71484,85328.85938,110739.17188,12222.18945,27896.15234,30162.85742,1503.15039,7596.00781,6132.7085,123370.38281,6426.88867,545186.0,9099.04102,3031644.0,16097.42871,53768.57031,5873.4668,6970.70166
1963,50319.16797,150280.92188,67790.9375,80069.66406,1708.60669,92256.84375,2148.7771,5957.31104,287.67969,174170.9375,3226.61523,1574.00208,6481.07373,251597.73438,146.50815,1601.9353,3603.09131,42768.00391,507794.46875,18695.52734,59165.27344,266.37479,1253.21948,6076.42871,6088.98438,2342.45923,19131.4668,57154.11719,8898.7627,10319.74219,17305.91797,1847.01074,109.36176,11546.66016,1089.1571,39955.41797,496381.8125,2132.1521,475.71231,718761.8125,18807.01953,41709.99219,9803.50781,7238.37158,615.2713,3962.47754,2214.00122,492846.09375,101254.5,71215.35156,17888.69922,19188.88867,373611.40625,7421.61621,570799.9375,3072.27295,10782.29688,647.0675,4605.73926,5691.86426,2106.77905,22091.36523,2467.53467,-73.69908,932.20728,2518.68286,225724.375,22987.55469,3298.96899,2607.34521,7129.59521,119929.8125,31912.87891,5635.72656,67093.38281,37898.07422,51458.42188,3404.62524,3357.19849,29602.87305,52565.35938,38481.12891,33312.57422,29218.67773,2438.0166,5680.44385,4626.0542,103783.63281,212634.21875,22959.88086,89872.85938,115992.57031,11028.73047,30749.78516,32269.24219,1598.22632,8432.58496,6782.39355,135204.125,6808.53467,567406.875,9838.36621,3165977.25,15760.53027,59012.21484,6300.07812,7118.86768
1964,52764.375,157164.21875,70940.20312,79263.23438,1708.18591,98526.28125,2233.12842,6324.35156,306.52106,181853.53125,3326.2771,1626.91699,6703.50488,268748.6875,158.22166,1657.25183,3557.98975,44224.53516,590498.875,20323.13281,63929.63672,292.84964,1330.28516,6380.13184,7025.59424,1993.87708,17314.48828,62073.83594,9168.31836,11107.13672,19564.31641,1964.84363,105.73898,12239.46191,1262.7699,41226.17578,528397.875,2411.9231,536.59656,771603.0,19414.82031,44928.32812,10158.94238,6576.74121,624.64667,4205.55029,2491.36157,527764.8125,96208.125,76168.01562,18361.66406,20968.9043,383404.375,7583.10254,634908.1875,3549.59644,11777.24902,692.00946,4998.15625,5804.80957,2090.98169,23567.9668,1970.54797,251.62531,1422.23706,2897.43115,255752.32812,24405.91211,3421.38354,2929.65381,7841.50098,134339.60938,33273.78906,5548.06641,71325.75781,40308.41797,55061.52344,3570.28271,3474.25415,31505.02734,53660.18359,39942.375,36105.63672,30957.72852,2159.22412,5869.64648,4733.10596,111028.125,223237.98438,24447.41016,96423.10938,122581.71094,13592.66016,34350.27344,34895.0,1760.97461,9123.61914,6979.3374,139429.71875,7112.68604,600887.125,11403.41309,3351968.0,16334.3584,65976.61719,7083.06592,6895.92041
1965,58657.97266,158686.15625,73343.92188,78039.41406,1802.86035,101869.96094,2415.19141,6624.08691,294.57489,193611.375,3332.58301,1693.19666,7058.88965,284233.96875,167.20096,1679.15991,3742.74023,42632.25391,660225.6875,23089.02344,63983.66797,299.80954,1341.2478,7074.19141,6744.24219,2562.92261,19497.3418,64881.90625,8561.55273,11422.57031,20370.59375,2094.76318,110.51866,13147.86328,1064.67017,43733.39844,553223.75,2567.07031,593.82672,810095.1875,19072.83789,49797.84766,10529.19727,6803.854,618.82416,4543.31787,2713.98218,519509.0,114519.14062,82693.92969,18702.21289,21038.08203,394234.6875,7835.52344,674146.0625,4017.84863,12429.05078,716.83179,5121.74561,5807.28467,2414.76709,24965.41016,2151.94678,735.26581,1674.09387,2725.53442,268494.15625,24196.5957,3488.74683,3089.5188,7693.38623,138676.3125,35449.83984,5745.88721,72562.36719,42170.65234,60469.88281,3919.2959,3697.28711,33513.72266,56177.16406,42764.57812,38211.58984,34050.73438,2288.96851,5974.32275,5024.62842,117148.67969,236005.01562,24264.96484,99610.125,125456.36719,13259.3418,38388.80078,38957.97266,1985.1283,8749.21387,7238.01807,142469.0,6974.17139,615107.8125,11589.93652,3569803.25,16335.38965,67527.96094,7353.88379,7514.65381
1966,60069.52344,170200.21875,77401.79688,78819.69531,1922.64758,105580.46875,2469.09351,7219.87305,324.57001,203436.1875,3357.35059,1725.63171,7394.59766,304357.40625,210.6515,1688.30249,3847.4978,48015.63672,731182.625,24420.41602,67658.8125,331.98596,1355.52539,7512.76758,7614.14893,2684.99194,19977.74805,66953.15625,8936.58887,11834.29297,21095.80664,2244.69043,125.11874,13674.15234,1106.20471,45326.28516,584572.25,2438.37817,600.48322,834476.625,18745.79883,53801.67578,11162.98438,6736.43799,563.61517,4724.69385,2915.56812,519586.8125,94937.67969,92372.02344,19141.61914,23316.83203,418116.5625,8167.82715,745771.875,4237.74707,13757.73242,751.90204,5243.63184,6126.5332,2777.28003,26948.29492,2162.77441,838.13397,1693.23889,2812.47974,285496.875,23522.94336,3578.17163,3308.30957,8293.14355,143435.85938,37893.98438,5704.78955,67960.09375,44186.73047,66949.84375,4242.21826,3715.11084,36277.48438,58713.15625,43948.83203,43820.75,36022.77344,2485.07764,6299.80029,5910.89209,122711.48438,254230.98438,26573.07617,101850.57031,128704.70312,11985.30469,41964.19531,45688.50391,2248.63037,9334.23535,7588.0127,164282.17188,7398.75488,631267.5625,12619.22168,3805424.5,17023.69727,69200.96875,8284.33301,7415.30762
1967,62085.61719,178239.98438,80096.46094,76176.42188,2152.56934,110398.82031,2631.39746,7801.59229,383.8837,221509.10938,3671.25439,1949.79102,6781.32812,313487.8125,235.64421,1703.78174,4089.86206,50983.70703,666342.125,25277.23438,70222.42188,382.71838,1400.84363,7912.71729,8055.20264,3005.40771,18125.58594,70960.0625,9273.2002,12730.74902,22113.27539,2413.06519,142.47559,13910.26367,1265.72729,46910.10547,615619.8125,2633.60669,592.0769,830567.25,18521.66992,56748.52344,11637.18652,6781.26465,643.61041,4932.88623,2836.86426,561228.375,100922.48438,103580.05469,20430.21875,23549.38281,450387.46875,8226.0459,827569.75,4804.72119,14398.8623,825.58508,5472.4707,6485.54639,2876.07373,27880.02539,2247.99805,1014.70514,1834.98706,3057.70166,300653.53125,24549.3125,3956.02124,3337.39258,8096.60107,152524.42188,36310.39844,5859.10547,59706.08203,47247.17188,68556.15625,4678.60107,4031.87891,38245.57031,60350.32422,47476.69922,46509.27734,40340.86719,2666.72876,6313.62207,6953.87061,132136.96875,267397.4375,27060.90234,106417.83594,133023.07812,13458.06836,47097.75781,47121.34375,2418.43408,9831.68066,7661.18213,168880.59375,7604.08984,649008.875,13481.08496,3902852.25,16584.58398,71967.46094,10073.22168,7537.37402
1968,64011.10938,191439.34375,83734.11719,78740.17188,2251.77686,115461.14062,2860.67725,6918.35596,431.84412,244951.95312,3805.2959,1948.3075,7125.50879,330562.78125,262.8923,1912.81177,4168.39111,52407.85156,641891.9375,27054.73633,74766.92969,371.72922,1561.52832,8435.73926,9190.03223,3111.62402,18228.11914,75199.61719,9113.05078,13351.65723,24567.92969,2546.13989,151.63803,14592.39746,1423.1001,49555.90625,642066.5,2717.29736,647.57581,880194.125,18961.21875,60730.625,12581.79883,6842.22314,664.59637,5299.07422,2624.81763,586642.4375,104524.96875,115624.85938,22059.01562,24849.05859,480395.8125,8311.23145,932895.0625,4905.28857,14535.37988,827.57355,5803.90625,7017.1333,2947.95532,29571.64062,2442.44678,1128.12549,2096.00024,2490.98608,326980.0,26405.66797,4195.20508,3472.40894,8151.00098,163449.21875,36283.52734,5968.14453,62952.32422,49306.96875,72310.15625,5039.82666,4155.60059,38217.55469,64382.65625,54010.23047,52103.09766,43290.35938,2871.28516,6439.80713,7978.23584,136420.54688,286220.375,29269.72656,110451.91406,137960.20312,14111.87988,52061.77734,50577.92969,2505.65967,10522.82617,8344.15723,180898.6875,7984.73193,677714.6875,14459.9707,4095048.75,16869.01953,79669.30469,10450.98633,6997.4126
1969,70057.34375,205858.29688,87836.71875,81809.59375,2598.50195,122585.44531,2995.81299,7089.62695,415.25406,248792.9375,3896.34009,1860.2345,7517.23096,346672.5625,288.67844,1922.01038,4623.58057,55995.62891,725649.375,30220.22852,79563.16406,366.41348,1672.49854,8888.57031,10057.33398,3573.55078,20704.58008,80359.52344,9872.8252,13647.93066,26528.45898,2640.91748,159.41652,15445.92969,1482.59302,54603.46875,687419.5625,2837.47437,625.27972,947771.875,20437.11133,67741.21094,13276.04102,6740.50146,744.09961,5316.93799,2758.13354,646360.125,107335.98438,123144.89062,23066.62109,28644.44922,509819.5,8670.3252,1047846.75,5061.44336,15531.69238,827.54364,6635.01904,7257.07422,3165.79272,30447.81836,2499.00708,1224.76599,2040.61133,2505.92529,338456.09375,29379.47266,4460.81348,3713.3877,8553.70215,178074.39062,40079.65625,5483.19141,80718.46875,51075.46875,77854.75781,5520.37256,4361.11133,39917.6875,67915.60156,55593.20703,59122.72656,46271.09766,3158.09253,5844.24365,9346.8877,145882.89062,312614.15625,31238.08594,115743.71875,145931.95312,16552.32812,56876.5,55961.375,2797.63916,11166.80469,8662.70605,189205.78125,8893.90625,689429.1875,15205.28027,4225062.0,17969.85156,83365.19531,8626.2793,8836.41406
