year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,9860.21773,102742.22815,32864.73032,,82664.56978,,1070.24709,3737.92325,7692.74921,12149.82902,16077.79945,,,86621.67526,82882.80325,15958.75849,2267.97565,3787.65995,4833.62959,5580.26462,,41327.22979,,,19005.46361,75820.72957,57350.42565,57055.49284,20142.74464,78989.74657,21155.46556,964.13201,24566.35716,725.91583,48419.543,,57938.81373,,68285.02699,21597.59702,,,,,28093.91059,11317.60165,20173.32186,,,6569.84853,8340.20109,32030.19001,25760.9637,87450.0109,35482.73131,44736.65317,29792.82077,12488.6845,16673.5436,11994.86902,7886.851,10340.15477,,119202.0101,7003.37823,3467.46054,50256.12355,968.32157,21607.14641,923.08386,,,1132.42657,22874.44302,,16965.12405,4026.58505,,71704.21619,74500.42906,,68217.1082,6330.89377,,10176.39383,12474.14996,22151.50361,,3174.40076,,23175.82413,29159.86785,,60217.61186,,21914.70894,,,4116.72037,23476.21995,7481.64248,20267.93322,8007.15905,4052.31487,1457.16392,25614.23007,123784.23234,55079.07309,21782.60945,10251.83144,
1961,10177.76128,104723.64791,34429.7114,,84947.09853,,1058.60262,3600.27385,7578.11751,12007.98098,16373.52147,,,88298.7258,85252.47158,16555.01634,2349.05934,3775.42894,4742.99058,5282.58144,,42904.85724,,,19232.31366,77847.46856,61199.51109,59729.93806,19421.98947,84998.03284,21253.69192,1025.67054,26023.25124,728.32936,50657.5571,,60941.47309,,69669.42955,21333.1569,,,,,29955.9994,11075.64421,20885.46308,,,6397.93742,8359.95026,32815.29398,26970.3153,90153.64192,37188.5814,47640.89766,30498.24376,12527.22505,18615.5017,11732.683,7535.19989,10319.06194,,122845.83857,7718.65994,3382.05246,50895.6827,948.86258,21793.60406,889.34286,,,1142.03524,22835.61574,,16343.62859,4160.77613,,74719.09185,77005.36572,,69105.33339,6446.72981,,10238.37353,11904.735,23798.03555,,3319.99369,,22034.36672,28512.75059,,63008.7884,,21746.22462,,,4184.65084,24309.3616,7552.36809,19933.46507,8065.72456,3925.28975,1481.49891,27431.68897,127458.64792,54784.39111,22256.40988,10050.39998,
1962,10236.44687,105333.12004,35880.00496,,86393.74436,,1051.74123,3501.12431,7676.53246,12145.10923,16550.40585,,,89233.99361,87683.47302,16942.87259,2351.96899,3654.7428,4647.60152,4938.28977,,43858.96332,,,19487.09666,80811.04406,65173.4638,62575.41469,19199.30004,86695.57012,21215.20994,973.83914,27809.38893,726.87301,53756.79301,,64361.29641,,70903.94836,21071.26894,,,,,31984.659,10867.89217,21941.53719,,,6158.89437,8401.39619,33344.36123,28402.0155,92775.36385,38129.6583,51242.79411,30889.55654,12584.30854,20329.91219,11411.78408,7595.62023,10255.26238,,128236.64371,6690.77488,3281.83328,51301.68871,929.21727,22025.44343,856.65452,,,1122.00065,22955.84692,,15857.89618,4259.56003,,76978.83991,79616.02084,,69122.49854,6595.13357,,10323.76947,11478.35765,25014.90055,,3457.68958,,20865.14352,27747.52207,,65716.62793,,22000.04756,,,4324.85335,25315.47981,7812.2687,20647.92548,8131.99581,3909.708,1512.16218,28692.60264,129557.98864,54586.1065,22663.48526,9804.97441,
1963,10000.87222,104739.14185,37155.94928,,87631.28233,,1035.09094,3377.2761,7671.65314,12182.55984,16757.3468,,,90122.41196,90911.02379,17205.56783,2326.46403,3604.20081,4494.65607,4862.42051,,43393.01997,,,19543.92121,82814.5338,68394.12259,63981.81605,18985.12767,87670.69028,21017.16308,957.22211,29481.12447,722.18646,55391.28891,,66851.57722,,71781.05969,20342.68511,,,,,34533.80423,10718.84741,23672.57212,,,6089.9231,8421.38004,33829.60656,29566.57389,96281.82912,39140.18871,55241.27103,30855.44697,12413.3444,22081.88435,10945.78342,7654.60749,10130.49556,,132159.8265,6501.18515,3205.75714,51774.83089,908.7522,21976.39136,820.60215,,,1102.37353,22860.62077,,15386.05597,4264.43525,,78843.30527,80855.20522,,69589.92523,6774.13822,,10248.25727,11417.36038,26542.24516,,3632.83781,,19723.39274,27786.38176,,67878.44449,,21692.6081,,,4501.44849,25522.87851,8081.59655,20964.11391,8259.96853,3854.53535,1565.42753,29128.35886,130925.75667,53869.44732,23161.36399,9416.28622,
1964,9955.23971,102998.64007,38266.0475,,89854.81155,,991.44398,3318.09786,7703.44638,11686.97657,16880.6804,,,91494.66315,96526.01134,17894.40765,2212.17997,3593.55268,4440.00478,4627.51901,,43167.94435,,,19322.91174,78786.66583,72632.67336,66736.54448,19004.92847,88548.34276,20958.44173,913.19593,31739.92923,689.40393,58427.05967,,69717.2596,,73705.19253,20966.00225,,,,,38568.5068,10852.81984,25803.89295,,,5860.48957,8628.34666,34705.41499,31099.71075,96968.83503,38202.62552,58465.59469,31058.20933,12326.89009,24047.77468,10566.84224,7719.50515,9911.31139,,135763.33819,6684.94379,3129.19997,52477.11897,901.01888,21064.93152,761.40961,,,1038.0842,22776.698,,15538.55806,4246.21051,,82508.49447,83202.2234,,66773.16612,6804.12253,,10180.97885,11252.24069,27901.81379,,3591.86121,,18861.55295,27961.20449,,69181.31334,,21583.6533,,,4557.99849,25838.78133,8205.45332,20819.13534,8562.82529,3929.55879,1602.92374,27266.92091,132266.60013,54367.19467,23718.12863,8818.74124,
1965,10138.36366,104217.9857,40503.81893,,93356.17003,,1006.82863,3270.39852,7729.34041,11728.31474,17334.67395,,,93909.46468,102183.623,18714.44549,2251.88178,3661.32796,4492.50396,4633.54493,,43239.66728,,,19754.03038,81720.68849,77411.97148,70326.58434,18397.33333,89587.30287,20999.26112,958.03941,34339.27588,692.94403,61638.21465,,74148.36787,,76024.51016,21176.46663,,,,,43750.19404,11051.90422,27945.27834,,,5773.86189,8827.70218,36310.14166,33912.05805,101027.62539,40433.23671,62544.19995,31970.36875,12609.76723,26039.8643,10333.83783,7760.72324,9858.45801,,139567.8839,6702.02048,3096.19147,54355.31106,897.47106,21267.27611,747.67188,,,1057.39519,23077.17203,,15149.20639,4445.236,,86935.86574,86623.50665,,68607.84831,7183.30258,,10317.02163,12178.15655,29657.19059,,3771.17061,,18144.88138,28587.46591,,73052.58271,,21480.04992,,,4799.52817,26646.06106,8585.40969,21396.52009,9150.71793,4065.80714,1695.71297,27611.09992,135300.25465,55331.2019,24875.06379,8894.69053,
1966,10332.89169,106117.48942,43302.18905,,97927.78727,,1027.35743,3246.32833,7828.56726,11948.62658,17907.48162,,,96905.18052,108177.13538,20372.72062,2338.3612,3764.90613,4627.93308,4628.29203,,43082.29484,,,20248.81822,85249.42526,82617.53237,73888.35521,18274.31301,89889.95568,21466.36177,1024.20033,37383.31854,704.361,64936.23307,,79525.56603,,79200.06106,21550.42524,,,,,48927.41883,11149.28941,29615.72108,,,5741.64849,9030.45006,37761.50124,37291.41681,108200.88046,41672.94865,66912.74795,33221.52687,12828.36825,28366.28802,10315.89841,8350.4745,9913.12488,,143737.97304,7346.61039,3087.37891,56606.15936,911.60584,21887.60406,745.03889,,,1105.44489,23513.45307,,14855.10628,4733.74484,,92354.1996,91058.45254,,70509.60462,7513.73291,,10648.81378,12108.73421,31563.97126,,4001.72731,,17522.13886,29145.66132,,77429.3326,,21754.42501,,,5208.50356,27166.58374,8968.83444,22777.40604,9835.83713,4242.08939,1778.66712,27511.36775,138350.38275,56233.83503,26032.27917,9035.92536,
1967,10551.97191,107818.15205,46105.43962,,102911.69404,,1040.38267,3230.99396,7871.56039,12224.64308,18588.55923,,,99199.02532,113240.28168,21597.11238,2354.81576,3812.12935,4700.68107,4584.07513,,43632.23981,,,20726.49504,89225.47798,87677.63823,80606.86531,18358.89007,91737.8668,22434.74787,1079.22022,40252.51035,722.19428,69579.92429,,84594.77814,,83707.03197,20873.85127,,,,,53439.09724,11356.42821,29539.31189,,,5663.68419,9288.24521,39267.9713,40609.7227,118296.64263,41770.76825,69987.09072,34565.54075,12859.22204,31312.94418,10498.55389,8910.97659,9975.60171,,147863.43569,7187.65441,3088.86712,58636.98768,925.39363,22816.54874,739.22839,,,1143.34015,23964.77777,,14569.50964,5186.55497,,98987.89826,95574.99797,,70659.90227,7798.09455,,10877.71095,12204.93738,33967.39455,,4302.7429,,16923.28468,30174.7364,,82397.12838,,21888.75729,,,5619.42618,26983.37835,9298.21482,24145.99975,10505.69098,4464.02155,1883.95993,28540.52744,141503.57028,57051.77057,27524.01332,9209.7927,
1968,10831.54998,111128.22976,48826.95735,,107205.88303,,1052.42937,3251.81383,7889.37527,12639.28299,19583.47666,,,102181.87713,117496.3375,22844.45128,2362.41409,3836.4363,4756.25593,4545.23792,,44110.56912,,,21002.94942,92531.99382,92171.66555,85130.93923,18177.62693,94390.47843,23163.03982,1091.77007,43148.14509,735.6414,73403.44141,,90431.08121,,87810.95407,20580.71979,,,,,58755.90702,11787.44957,29035.47171,,,5640.0734,9483.72751,40839.24882,45089.46488,123215.37849,42933.74672,73926.19525,36377.22403,13312.60454,34901.88809,10452.9305,9714.4673,10080.76116,,150383.97133,6394.34066,3124.63202,61112.7495,931.48048,24083.42523,737.25239,,,1192.78757,24335.80044,,14277.35991,5347.58833,,104942.05943,99507.48283,,71441.82246,7970.4509,,10805.00981,12903.73519,35993.54247,,4595.358,,16359.19404,31191.38352,,85228.48768,,22217.75322,,,6052.32728,27035.14704,9599.3361,25645.47938,11413.79825,4630.61136,1978.57411,28744.27232,144843.6291,58851.67385,28540.72104,9396.88818,
1969,11483.24739,115163.13487,51605.53784,,111329.93706,,1085.8577,3288.53501,7973.65053,13324.02969,20794.56483,,,105617.82426,122055.67393,24450.8485,2400.24188,3955.55705,4832.85357,4689.55808,,45100.71815,,,21691.14364,98437.56708,97801.27937,90985.60142,18608.90946,99368.95415,23757.40693,1085.40158,47086.88726,755.18567,77019.20053,,96173.63805,,92237.6047,19777.2693,,,,,66251.8531,11922.89142,29194.39276,,5137.10292,5707.34334,9826.33051,43627.79004,49531.19888,127573.25455,47260.1706,80087.38952,38770.22647,14694.35639,39804.9361,10599.88897,11244.49409,10372.85686,,153202.06127,7133.89676,3202.88606,63445.78553,948.45944,25920.20064,749.03114,,,1263.01406,24743.30014,,13973.09393,5393.46631,,110663.99787,101949.7997,,74111.17923,8183.92257,18461.28889,10893.69125,13848.44006,38471.05117,,4946.70752,,16017.01322,34088.27874,,88633.88088,,23142.84506,,,6647.70418,26925.58369,9996.54796,27425.61773,12203.23714,4768.40782,2128.42513,29232.30266,148972.38675,61170.78161,30216.13724,9615.97792,
