year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,20.63412,10.41709,7.04633,54.22763,0.23218,9.1065,2.23527,3.33164,0.58937,71.99003,5.32791,2.80868,5.70467,18.23894,0.20073,1.45904,2.98408,7.75458,634.43654,3.07459,15.8784,0.18428,1.05158,1.30904,3.47185,0.57219,15.45592,4.58095,3.29639,4.44065,28.72513,2.67643,0.26233,23.75111,0.39301,4.4293,46.58499,0.45896,0.33313,72.81527,6.87347,8.32759,4.24261,3.44993,0.59967,1.90042,0.17586,445.38129,97.42223,21.40408,2.8444,2.10174,49.88298,1.56903,93.51932,0.94108,8.16055,0.83112,0.31398,5.30613,3.46821,8.42783,4.8902,0.31263,0.98229,0.66111,37.91562,11.95546,7.5919,0.60286,10.03404,11.42115,2.36466,3.53474,42.87169,3.58124,45.53784,1.13171,1.91395,9.92677,26.19932,8.67704,24.17073,18.40341,3.01532,3.10196,1.64608,17.23466,30.56456,9.8631,7.48043,5.27826,4.6122,10.6677,27.38259,1.55459,0.8523,4.16451,27.98498,7.04049,52.38461,10.10929,184.55829,2.51793,7.50216,3.16769,3.78669
1961,20.96898,10.65591,7.08518,55.33641,0.22944,9.15354,2.28613,3.408,0.59873,74.13693,5.35517,2.88724,5.79662,18.60659,0.20724,1.48629,3.03609,7.94674,628.59533,3.16737,16.39936,0.18862,1.07508,1.35998,3.59722,0.57789,15.78508,4.60977,3.40765,4.57162,29.4487,2.76274,0.2668,24.223,0.40701,4.4607,47.12901,0.46357,0.34328,73.42527,7.06632,8.39824,4.3792,3.51161,0.60491,1.96571,0.1789,454.4133,99.59773,22.03297,2.83064,2.17589,50.20654,1.58454,94.36579,0.98354,8.41581,0.84732,0.31685,5.41104,3.55025,8.66272,4.98856,0.31162,0.99499,0.67911,39.15173,12.25658,7.7498,0.61827,10.17551,11.573,2.42518,3.60687,44.13477,3.6098,46.74136,1.16481,1.96356,10.21315,27.00886,8.67175,24.97989,18.56693,3.02934,3.17636,1.70207,17.68326,30.82661,10.13879,7.52003,5.42592,4.76341,11.03038,28.24185,1.59235,0.8728,4.23949,28.79114,7.24377,52.81971,10.4007,187.64327,2.55059,7.79142,3.24849,3.90865
1962,21.30248,10.85312,7.12874,56.42342,0.22859,9.20607,2.34057,3.48671,0.60843,76.3525,5.38686,2.95484,5.89271,18.95693,0.2141,1.51475,3.09012,8.13887,637.01227,3.30444,16.93063,0.19313,1.09955,1.41096,3.73085,0.57519,16.27099,4.64685,3.52279,4.70789,30.14466,2.84863,0.26809,24.71094,0.42151,4.49114,48.0897,0.4689,0.35402,74.06927,7.2656,8.44842,4.51909,3.57539,0.6105,2.0353,0.18205,463.80749,101.56588,22.6845,2.84239,2.268,50.52453,1.60109,95.24885,1.0354,8.68252,0.86461,0.32076,5.52063,3.6473,8.90568,5.09016,0.30962,1.00812,0.69878,40.4149,12.56478,7.91368,0.63415,10.33136,11.73904,2.48111,3.68231,45.43665,3.63892,47.99045,1.19888,2.01446,10.51202,27.84896,8.66081,25.7664,18.68072,3.03465,3.25416,1.74986,18.16484,31.08014,10.41219,7.56162,5.57751,4.91957,11.39251,29.12495,1.63169,0.89926,4.31041,29.54362,7.45441,53.30483,10.70474,190.55152,2.58508,8.08483,3.33026,4.03858
1963,21.63539,11.06075,7.17468,57.79704,0.23058,9.27068,2.39591,3.56793,0.61849,78.63909,5.42307,3.00127,5.99314,19.31338,0.22129,1.54447,3.14625,8.32912,657.43658,3.42012,17.46427,0.19783,1.12502,1.46157,3.88495,0.58148,16.77414,4.68353,3.6409,4.84925,30.83732,2.94029,0.26938,25.21636,0.43608,4.52301,48.80003,0.47476,0.36539,74.72427,7.47164,8.47981,4.66345,3.64098,0.61645,2.10908,0.18548,473.60114,103.57899,23.35568,2.86248,2.36198,50.87741,1.63255,96.22307,1.08086,8.96127,0.88287,0.32411,5.63469,3.74559,9.14773,5.19509,0.30862,1.0217,0.71286,41.70513,12.88115,8.08444,0.65052,10.49962,11.89841,2.53375,3.76083,46.77809,3.66654,49.27723,1.23394,2.06667,10.82119,28.71949,8.72015,26.53783,18.81313,3.11199,3.33554,1.79465,18.65967,31.35123,10.68067,7.60436,5.69859,5.08086,11.7621,30.03101,1.67266,0.91637,4.39882,30.25822,7.67271,53.63791,11.02131,193.3137,2.61856,8.38365,3.41495,4.16573
1964,21.96852,11.27874,7.22266,58.96169,0.23311,9.35447,2.45354,3.65179,0.62884,80.99911,5.46387,3.08145,6.09821,19.68103,0.22878,1.57554,3.20875,8.51628,678.70882,3.5038,18.00571,0.20272,1.15154,1.5106,4.04947,0.58567,17.15144,4.72012,3.76105,4.99549,31.59957,3.03129,0.27067,25.73984,0.45026,4.54824,49.35799,0.48117,0.37745,75.36328,7.68696,8.51062,4.81222,3.70846,0.59345,2.18715,0.18884,484.03704,105.63751,24.05642,2.87654,2.45182,51.27679,1.67212,97.23123,1.12815,9.25174,0.90206,0.32776,5.75335,3.83585,9.39672,5.30349,0.30661,1.03583,0.73383,43.02241,13.20558,8.2574,0.66738,10.67644,12.05865,2.5842,3.84141,48.16306,3.69434,50.60026,1.27014,2.12024,11.13875,29.62052,8.75942,27.29139,18.92708,3.16668,3.44949,1.84124,19.16811,31.66148,10.93973,7.66139,5.79506,5.24743,12.13714,30.95945,1.71517,0.93613,4.49326,30.97045,7.89898,54.004,11.35284,196.01765,2.64989,8.68914,3.50354,4.28359
1965,22.30267,11.50101,7.26974,59.88119,0.23482,9.43546,2.51331,3.73837,0.6385,83.43507,5.50938,3.16308,6.20817,20.04053,0.23639,1.61822,3.28051,8.69981,697.70458,3.59707,18.5593,0.20783,1.17915,1.56034,4.22941,0.58997,17.5449,4.75805,3.88231,5.1464,32.38287,3.12872,0.27197,26.27828,0.46305,4.56343,49.80288,0.48817,0.38991,75.96428,7.91197,8.55052,4.91105,3.77783,0.58712,2.26803,0.19229,494.95031,107.74186,24.78274,2.8886,2.53032,51.66126,1.70904,98.28107,1.17726,9.55354,0.92203,0.33151,5.87557,3.93425,9.64689,5.41547,0.30561,1.05054,0.75312,44.36673,13.5363,8.43439,0.68476,10.86166,12.2226,2.63251,3.92411,49.59594,3.72315,51.96183,1.3076,2.1752,11.46242,30.551,8.76552,27.99455,19.02737,3.24688,3.55178,1.88653,19.69032,32.00427,11.20344,7.73389,5.85018,5.41946,12.51186,31.9103,1.75947,0.9517,4.59116,31.68786,8.13356,54.36308,11.69645,198.48359,2.67926,9.00255,3.59602,4.42333
1966,22.63146,11.71787,7.32091,61.08487,0.23607,9.49508,2.57557,3.82778,0.64783,85.90975,5.5597,3.24584,6.32326,20.41735,0.24405,1.67545,3.35393,8.87974,717.55431,3.62907,19.11227,0.21317,1.20792,1.61366,4.4306,0.59416,17.99887,4.79745,4.00525,5.30213,33.15457,3.24313,0.27575,26.83601,0.4736,4.58056,50.25603,0.49551,0.40279,76.51928,8.14498,8.61384,5.01156,3.84909,0.58161,2.35029,0.19561,506.10963,109.89248,25.53662,2.89663,2.59209,52.0036,1.75008,99.18333,1.22819,9.86814,0.94287,0.3339,6.0014,4.04372,9.89902,5.53118,0.30461,1.06585,0.77169,45.73818,13.87166,8.62229,0.70268,11.05673,12.38448,2.67952,4.00899,51.06853,3.75363,53.3638,1.34625,2.23345,11.79138,31.50305,8.74627,28.70745,19.14078,3.33994,3.65856,1.93402,20.2269,32.37082,11.47486,7.80783,5.90236,5.59714,12.87415,32.8795,1.80546,0.96516,4.70204,32.40892,8.37677,54.65615,12.05213,200.78915,2.70719,9.31969,3.69336,4.56534
1967,22.95437,11.93622,7.37583,62.34575,0.23806,9.54372,2.64016,3.92013,0.65682,88.41239,5.61495,3.32303,6.44385,20.78805,0.25176,1.72371,3.42873,9.05655,736.4865,3.72195,19.67194,0.21902,1.23788,1.6664,4.65066,0.59856,18.55501,4.83875,4.13046,5.46281,33.898,3.3517,0.27954,27.37896,0.48459,4.60544,50.65148,0.50321,0.41608,77.02728,8.38673,8.71664,5.11448,3.92222,0.5847,2.43505,0.19867,517.5723,112.0898,26.3002,2.9128,2.64358,52.337,1.78952,100.212,1.39197,10.19617,0.96455,0.33502,6.13164,4.17296,10.15407,5.65074,0.30461,1.08178,0.78679,47.17086,14.21392,8.81993,0.72115,11.26093,12.5257,2.72,4.09612,52.57246,3.78602,54.80593,1.38601,2.29327,12.12703,32.46945,8.7407,29.38525,19.28481,3.43231,3.76227,1.97721,20.77791,32.76812,11.74677,7.86797,5.96831,5.78063,13.21034,33.86328,1.8532,0.97288,4.81363,33.13644,8.62898,54.97223,12.42255,202.98745,2.73442,9.63975,3.79655,4.71615
1968,23.28094,12.16685,7.41423,63.64357,0.2397,9.57697,2.70718,4.0156,0.66679,90.94203,5.67528,3.39265,6.57021,21.11089,0.25942,1.75296,3.50386,9.23107,756.79971,3.80183,20.22698,0.22513,1.26909,1.71859,4.89144,0.60345,19.14081,4.86725,4.25714,5.62823,34.60064,3.4703,0.28331,27.95971,0.49458,4.62616,51.0355,0.51129,0.42982,77.47828,8.63772,8.74096,5.22073,3.9973,0.5943,2.5231,0.20124,529.34752,114.33424,27.07249,2.92526,2.69599,52.6545,1.82066,101.34049,1.53336,10.5372,0.98683,0.33588,6.26583,4.29471,10.40852,5.7743,0.30361,1.09834,0.80161,48.66793,14.56707,9.0259,0.7402,11.47234,12.65284,2.75075,4.18556,54.1166,3.81898,56.28865,1.42671,2.35469,12.47069,33.45009,8.75227,30.07475,19.72098,3.52864,3.86471,2.0116,21.34408,33.15618,12.02386,7.91225,6.03623,5.97015,13.54854,34.86272,1.90278,0.97585,4.92141,33.88368,8.89056,55.22729,12.79779,205.02436,2.76231,9.96904,3.90266,4.88267
1969,23.62075,12.44607,7.43988,64.97939,0.23916,9.59984,2.77702,4.11437,0.67857,93.49767,5.74084,3.45188,6.70273,21.4154,0.26687,1.78439,3.57949,9.40436,778.72671,3.86301,20.7719,0.23146,1.30147,1.76959,5.14467,0.60854,19.70672,4.89063,4.38445,5.79818,35.27297,3.59663,0.2871,28.4619,0.50557,4.62347,51.47137,0.5184,0.44401,77.86129,8.89924,8.77296,5.33072,4.07442,0.59876,2.61484,0.20292,541.44478,116.62621,27.85943,2.93841,2.76475,52.98283,1.84579,102.54428,1.61211,10.89291,1.00972,0.33751,6.40395,4.4156,10.66146,5.90201,0.30361,1.11559,0.81342,50.2327,14.93265,9.23842,0.75991,11.69123,12.80032,2.78017,4.2778,55.71082,3.85097,57.81374,1.46816,2.41775,12.82364,34.44399,8.73513,30.76328,20.01018,3.63691,3.9775,2.0421,21.92583,33.48214,12.29366,7.96805,6.11498,6.16587,14.06898,35.87941,1.95446,0.97569,5.0241,34.66476,9.16191,55.47435,13.19331,207.03776,2.78743,10.3139,4.01364,5.05354
