year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,0.17085,0.32083,0.20214,0.01571,0.0966,0.27074,0.05928,0.15555,0.10643,0.21583,0.04913,0.04559,0.10716,0.23545,0.77002,0.25821,0.04738,0.11948,0.23804,0.1884,0.26176,0.22721,0.22551,0.09128,0.10431,0.49746,0.11932,0.25464,0.06843,0.24094,0.03631,0.11708,0.05499,0.05538,0.23632,0.41769,0.26588,0.18212,0.06475,0.3933,0.27485,0.24182,0.09982,0.08423,0.47133,0.10622,0.3831,0.18351,0.04566,0.15387,0.12846,0.34032,0.29483,0.21014,0.25244,0.103,0.13123,0.01333,0.25638,0.10402,0.1298,0.18578,0.03224,1.4372,0.27927,0.18679,0.20965,0.07877,0.07204,0.2362,0.02416,0.29768,0.2385,0.12924,0.09104,0.33943,0.11659,0.16628,0.09356,0.13882,0.18551,0.20667,0.11067,0.10519,0.01388,0.02638,0.41269,0.20575,0.16919,0.08114,0.29056,0.36617,0.1578,0.16344,0.16291,0.1263,0.1332,0.11985,0.21092,0.06943,0.20727,0.10423,0.19549,0.15483,0.33455,0.05456,0.20176
1961,0.1769,0.27566,0.19491,0.01813,0.08226,0.2847,0.05586,0.11952,0.12475,0.20064,0.06313,0.0488,0.1031,0.22094,0.6885,0.26803,0.04764,0.13495,0.13713,0.18424,0.26381,0.19682,0.28965,0.09589,0.12477,0.52196,0.11669,0.24315,0.05075,0.23136,0.03971,0.09444,0.06084,0.05488,0.23676,0.40755,0.25434,0.21077,0.06454,0.37624,0.22483,0.29003,0.08143,0.10347,0.42297,0.08895,0.351,0.17115,0.05842,0.16025,0.13625,0.34955,0.29578,0.17998,0.27793,0.09008,0.08303,0.02638,0.27727,0.08328,0.16516,0.18294,0.03168,1.22065,0.55768,0.12715,0.20657,0.0555,0.06837,0.23416,0.02296,0.29914,0.24001,0.12528,0.10307,0.35023,0.1233,0.18314,0.08928,0.13189,0.19892,0.22731,0.12557,0.15149,0.01452,0.02913,0.37433,0.19035,0.18938,0.08756,0.27303,0.38763,0.18735,0.15146,0.15432,0.087,0.1017,0.1515,0.20813,0.07963,0.20371,0.11151,0.18411,0.16056,0.31054,0.04763,0.18752
1962,0.15507,0.29497,0.17862,0.02723,0.07687,0.27491,0.0551,0.19909,0.14587,0.19181,0.06457,0.05134,0.10571,0.22323,0.58896,0.28047,0.03541,0.09776,0.08502,0.21842,0.23164,0.27076,0.14552,0.09743,0.08231,0.5842,0.06508,0.25184,0.07835,0.20792,0.04247,0.08397,0.05552,0.05591,0.19181,0.38565,0.25581,0.19231,0.08077,0.36756,0.21315,0.26555,0.07873,0.13049,0.43126,0.10935,0.30206,0.17928,0.05464,0.17416,0.14685,0.34666,0.29404,0.16241,0.27048,0.09435,0.06931,0.04536,0.29392,0.06611,0.10585,0.20251,0.03559,0.78723,0.61174,0.10548,0.1943,0.06546,0.05951,0.22295,0.02294,0.2912,0.21564,0.17213,0.09361,0.33383,0.13018,0.18462,0.07023,0.13064,0.1806,0.19165,0.11957,0.14377,0.01758,0.02296,0.33792,0.16966,0.20718,0.07823,0.26392,0.37932,0.1943,0.14314,0.18458,0.10676,0.11318,0.19409,0.20567,0.07884,0.19015,0.09396,0.19228,0.13854,0.31503,0.04331,0.13248
1963,0.13217,0.28889,0.17693,0.01958,0.08267,0.26536,0.05718,0.16802,0.16224,0.16312,0.06343,0.04169,0.10531,0.22068,0.46702,0.2892,0.04728,0.113,0.11635,0.26267,0.21799,0.24017,0.0896,0.09385,0.10634,0.55526,0.19142,0.22366,0.11394,0.21004,0.04769,0.08872,0.0484,0.05732,0.19699,0.3539,0.25869,0.1282,0.063,0.35572,0.24029,0.31956,0.09913,0.07714,0.3743,0.12352,0.357,0.18317,0.04547,0.17441,0.1569,0.3222,0.29793,0.14622,0.28235,0.08581,0.08093,0.05651,0.2901,0.08871,0.12388,0.19671,0.04339,-3.90945,0.35299,0.10818,0.20855,0.06601,0.06083,0.22379,0.02734,0.28896,0.22472,0.22104,0.09557,0.32116,0.15612,0.19299,0.07341,0.1214,0.20117,0.20893,0.22338,0.17395,0.01737,0.03147,0.41398,0.19785,0.2103,0.09086,0.26108,0.37566,0.17631,0.15865,0.21832,0.12999,0.08991,0.20006,0.20947,0.09413,0.19073,0.08357,0.19713,0.12752,0.28799,0.03141,0.11549
1964,0.16217,0.31233,0.19976,0.02488,0.08131,0.29997,0.04965,0.17289,0.20144,0.17006,0.06335,0.03823,0.11115,0.22806,0.44466,0.30116,0.04641,0.13178,0.1293,0.26979,0.22867,0.27844,0.07606,0.07908,0.13304,0.48397,0.22791,0.26501,0.13708,0.2081,0.04632,0.12027,0.05242,0.05313,0.20216,0.37219,0.27505,0.10127,0.07189,0.37589,0.27688,0.34031,0.11564,0.09543,0.37935,0.1168,0.40624,0.18913,0.05455,0.2178,0.17045,0.35807,0.26766,0.1703,0.2963,0.09548,0.06247,0.06463,0.29514,0.09499,0.0898,0.18843,0.0762,1.44099,0.13486,0.06966,0.22101,0.05719,0.0618,0.21284,0.04064,0.30863,0.25141,0.19279,0.10584,0.31824,0.16085,0.16812,0.06169,0.12072,0.21821,0.22436,0.15547,0.15363,0.01829,0.03311,0.3648,0.21827,0.2158,0.08148,0.28214,0.3891,0.16195,0.15537,0.20885,0.21568,0.08433,0.215,0.20727,0.12445,0.22746,0.11094,0.20189,0.10572,0.34947,0.02063,0.11954
1965,0.14983,0.29957,0.19601,0.02796,0.08286,0.28704,0.04292,0.15039,0.06893,0.17432,0.0913,0.04048,0.1446,0.24832,0.49201,0.29149,0.03252,0.13207,0.15831,0.26233,0.21894,0.32501,0.08298,0.09422,0.13298,0.54075,0.20125,0.27158,0.06833,0.20499,0.05106,0.10535,0.06059,0.05325,0.24589,0.41495,0.26727,0.0916,0.08552,0.37598,0.27208,0.36616,0.11298,0.1071,0.32656,0.11616,0.40403,0.19578,0.04664,0.23643,0.18307,0.3531,0.23996,0.17751,0.28727,0.09124,0.06304,0.0745,0.27358,0.08476,0.16001,0.19503,0.05777,0.48269,0.10958,0.09333,0.23447,0.06088,0.06786,0.23241,0.03505,0.31049,0.27692,0.15225,0.14007,0.3418,0.17645,0.17195,0.08821,0.12407,0.21898,0.24123,0.15003,0.15059,0.02157,0.03248,0.41494,0.23401,0.23424,0.07543,0.28966,0.36059,0.13934,0.17021,0.20757,0.23475,0.10061,0.20791,0.20023,0.1195,0.22191,0.12625,0.21387,0.09873,0.33683,0.05688,0.13481
1966,0.14037,0.29749,0.20804,0.02869,0.07826,0.29931,0.04344,0.14287,0.24543,0.17618,0.09027,0.04861,0.16585,0.25349,0.4973,0.29386,0.03661,0.1672,0.17955,0.21525,0.22735,0.33922,0.1252,0.09331,0.12826,0.51571,0.17753,0.26012,0.11355,0.20566,0.04169,0.11492,0.05349,0.05651,0.23785,0.39791,0.27503,0.13633,0.09244,0.35752,0.25512,0.33701,0.09307,0.12511,0.35284,0.12613,0.40048,0.19874,0.06381,0.24638,0.16646,0.31922,0.2372,0.1841,0.29291,0.08253,0.08465,0.06165,0.24793,0.08269,0.19131,0.19086,0.07167,0.47595,0.10665,0.05515,0.23746,0.05977,0.0798,0.26337,0.02755,0.32377,0.27606,0.14657,0.14003,0.34823,0.14511,0.21068,0.09553,0.13752,0.20981,0.23781,0.22802,0.15762,0.02086,0.02688,0.392,0.20797,0.24338,0.07784,0.27794,0.35031,0.18556,0.16811,0.23294,0.17768,0.0823,0.1936,0.23171,0.11029,0.21514,0.12956,0.21743,0.09882,0.2911,0.05458,0.15113
1967,0.14014,0.29486,0.19672,0.03342,0.0793,0.28676,0.0549,0.12336,0.28002,0.15129,0.07686,0.04723,0.16143,0.22928,0.37003,0.24539,0.04087,0.1419,0.13757,0.17172,0.22316,0.28988,0.16709,0.0941,0.1139,0.50433,0.17359,0.25562,0.11499,0.22486,0.03528,0.09297,0.05488,0.06599,0.2165,0.36471,0.27486,0.08758,0.09319,0.31803,0.1853,0.32441,0.10776,0.10595,0.34737,0.1562,0.45124,0.18289,0.04803,0.23531,0.16232,0.2632,0.24678,0.19915,0.31573,0.0686,0.08582,0.07319,0.19527,0.08703,0.1501,0.19622,0.07121,0.46708,0.1582,0.07465,0.2336,0.07921,0.06873,0.28006,0.03018,0.32548,0.22603,0.15615,0.13325,0.36652,0.14089,0.20037,0.1038,0.12633,0.22439,0.21881,0.24278,0.17395,0.01563,0.02917,0.41722,0.23606,0.23115,0.08226,0.26842,0.35195,0.15841,0.19232,0.24577,0.13137,0.05978,0.19225,0.22632,0.12505,0.22354,0.14112,0.20108,0.10893,0.28917,0.05284,0.1868
1968,0.14705,0.3055,0.19636,0.04323,0.097,0.2747,0.05471,0.14172,0.38548,0.16256,0.0777,0.05555,0.15441,0.22465,0.41617,0.23624,0.03857,0.14923,0.14326,0.14544,0.24202,0.24463,0.13995,0.08624,0.10181,0.49122,0.17955,0.2554,0.116,0.22524,0.02971,0.06826,0.05891,0.06423,0.27499,0.34563,0.27655,0.08752,0.10227,0.3293,0.15871,0.33799,0.12749,0.10256,0.32831,0.14438,0.40342,0.16591,0.06426,0.2712,0.17525,0.19215,0.242,0.24199,0.3363,0.0977,0.11868,0.06941,0.17764,0.0978,0.19576,0.19182,0.06638,0.51049,0.19468,0.06527,0.2472,0.07054,0.07655,0.29367,0.03094,0.33409,0.18439,0.16287,0.11017,0.32063,0.11685,0.20942,0.09472,0.09376,0.21198,0.20094,0.29328,0.17144,0.01731,0.03116,0.41967,0.21488,0.23019,0.08699,0.25902,0.34191,0.18474,0.20433,0.25448,0.11264,0.06429,0.17888,0.23213,0.12449,0.22972,0.14399,0.2016,0.09444,0.33996,0.05271,0.24735
1969,0.16618,0.30408,0.20096,0.03863,0.08551,0.28634,0.0552,0.13661,0.24241,0.22534,0.09197,0.05848,0.14027,0.23585,0.51898,0.24203,0.04131,0.15052,0.14814,0.13657,0.23396,0.24041,0.12322,0.09507,0.11239,0.53133,0.22464,0.277,0.14322,0.21113,0.0345,0.07426,0.05826,0.0578,0.25499,0.35233,0.29104,0.09262,0.12075,0.34613,0.17044,0.38135,0.09293,0.09881,0.34758,0.14631,0.33044,0.16567,0.07361,0.25222,0.20496,0.24963,0.25588,0.25503,0.35269,0.15097,0.1145,0.06981,0.1798,0.10182,0.22488,0.17616,0.06645,0.52551,0.16617,0.08263,0.22149,0.06962,0.08577,0.2989,0.02577,0.30344,0.21332,0.11145,0.09935,0.29014,0.10415,0.22014,0.09763,0.09624,0.21191,0.19792,0.27244,0.17228,0.01421,0.03694,0.48504,0.22929,0.24619,0.10065,0.26701,0.34374,0.20158,0.20641,0.27627,0.12743,0.04864,0.17902,0.22945,0.13441,0.22699,0.12395,0.20797,0.11351,0.33305,0.04698,0.177
