,deflator inflation - forecast,cpi inflation - forecast,deflator inflation - actual,cpi inflation - actual,nominal interest
1971-04-01,2.9851,,5.065579088844596,4.381443298969079,4.3
1971-07-01,3.7037,,5.272593546014526,4.081632653061207,6.04
1971-10-01,3.5414,,4.763633064150241,3.266331658291466,4.91
1972-01-01,3.5303,,4.768501966392558,3.499999999999992,4.28
1972-04-01,3.4164,,4.0538156153506755,2.9629629629629672,4.96
1972-07-01,3.1359,,3.9910920920483983,3.1862745098039325,4.96
1972-10-01,3.4194,,4.443097176511346,3.406326034063256,5.52
1973-01-01,3.5392,,4.06517937124089,4.8309178743961345,5.89
1973-04-01,3.3858,,5.010810123362597,5.995203836930463,6.85
1973-07-01,3.6128,,6.0424102456434925,7.3634204275534465,8.39
1973-10-01,3.6999,,6.795754208475002,8.94117647058823,7.4
1974-01-01,3.7609,,7.57091326446957,10.138248847926267,7.42
1974-04-01,3.7723,,8.445359492955461,10.859728506787313,8.62
1974-07-01,4.0999,,9.487605923814035,11.946902654867241,8.8
1974-10-01,5.3651,,10.505881896183556,12.095032397408211,8.05
1975-01-01,5.6522,,10.924818046717233,10.460251046025103,6.83
1975-04-01,5.6126,,9.976547667795854,9.183673469387754,6.9
1975-07-01,6.647,,8.734177215189876,7.905138339920947,7.11
1975-10-01,7.6814,,7.395566173628931,7.129094412331405,6.95
1976-01-01,7.2412,,6.118172449330128,6.060606060606055,5.81
1976-04-01,5.5917,,5.615543445147764,5.981308411214958,5.92
1976-07-01,5.9454,,5.122235157159483,5.494505494505497,6.2
1976-10-01,6.2087,,5.247317456163292,5.035971223021574,5.5
1977-01-01,6.1832,,5.823702696578281,6.428571428571428,5.29
1977-04-01,5.9002,,6.246394461893479,6.701940035273357,5.44
1977-07-01,6.055,,6.166745768074677,6.423611111111094,5.94
1977-10-01,5.729,,6.5491731940818365,6.67808219178081,6.97
1978-01-01,5.644,,6.387274395839704,6.375838926174482,7.28
1978-04-01,6.2678,,6.9138185876745695,7.438016528925617,7.45
1978-07-01,5.8989,,7.420873815342421,8.482871125611746,8.39
1978-10-01,5.9557,,7.301846611628093,8.988764044943842,9.14
1979-01-01,5.9044,,7.6887687618609535,10.252365930599371,10.41
1979-04-01,6.5327,,8.258330276782445,11.076923076923073,10.12
1979-07-01,6.9055,,8.778160026634119,11.879699248120312,9.64
1979-10-01,7.0927,,8.574846392257097,13.254786450662737,12.44
1980-01-01,7.3262,,8.872690377015925,14.592274678111572,12.06
1980-04-01,7.9278,,8.79593432369039,14.265927977839322,13.3
1980-07-01,8.0251,,8.850234645990618,12.768817204301076,8.65
1980-10-01,8.1871,,9.650440705128194,12.353706111833551,12.49
1981-01-01,8.6957,,10.221949724095648,10.611735330836458,14.08
