,deflator inflation - 1yr forecast,deflator inflation - 1yr actual,nominal interest - 1yr
1970-01-01,3.40982693021446,5.063045409714745,6.8975
1971-01-01,3.3754794587326495,4.314126712575744,4.88
1972-01-01,3.5594322942828494,5.478538487180495,4.96
1973-01-01,4.249566217361467,9.002440144355656,7.3116666666666665
1974-01-01,6.492398256392168,9.257777275832973,8.181666666666667
1975-01-01,6.246755763032047,5.525817126950167,6.758333333333334
1976-01-01,5.966827624831067,6.196504030157069,5.8741666666666665
1977-01-01,5.941588888487187,7.005953352621197,6.088333333333333
1978-01-01,6.608822348280762,8.325026364383653,8.34
1979-01-01,7.866548333953254,9.042325012956281,10.665
1980-01-01,8.960934341929205,9.477731579622102,12.048333333333334
1981-01-01,8.265561404271237,6.191442843332856,14.778333333333332
1982-01-01,6.180291724421294,3.899414697661946,12.275
1983-01-01,5.076742571297249,3.6187457073136753,9.5725
1984-01-01,4.879398363799014,3.1690174482658096,10.887500000000001
1985-01-01,4.127396074198009,2.0202591169157404,8.425833333333333
1986-01-01,3.053177899353976,2.463115597262522,6.4625
1987-01-01,3.8458681092346403,3.5225425010430245,6.764166666666666
1988-01-01,4.064300937660925,3.9306644734485086,7.6525
1989-01-01,4.359743841191915,3.7497254015091688,8.535
1990-01-01,4.121823925738294,3.377947977839768,7.8825
1991-01-01,3.355644948502734,2.277356591361346,5.858333333333333
1992-01-01,2.963660241544519,2.3723317940443964,3.889166666666666
1993-01-01,2.8553637596360426,2.1343240245830897,3.434166666666667
1994-01-01,2.9525046528964314,2.100435588646593,5.3100000000000005
1995-01-01,2.6868089645104174,1.8289676563986057,5.948333333333333
1996-01-01,2.4836600006052034,1.725737208934669,5.5125
1997-01-01,2.4382646502927874,1.1257910345115252,5.63
1998-01-01,2.042288472782033,1.4072664511267208,5.051666666666667
1999-01-01,1.7413800649669076,2.2661345050969506,5.0775
2000-01-01,2.209241276055324,2.2585316629710475,6.1083333333333325
2001-01-01,2.0045434374428464,1.5569521413570986,3.4808333333333334
2002-01-01,1.8825451091395717,1.967644441686972,2.0016666666666665
2003-01-01,1.7733443733720489,2.6829763855963473,1.2441666666666666
2004-01-01,1.8884277494615742,3.1369391517641065,1.8866666666666667
2005-01-01,2.160394297438273,3.0904249111258384,3.618333333333333
2006-01-01,2.2783162880402608,2.7028500184766213,4.9325
2007-01-01,2.2333177815316017,1.9263883171140361,4.5216666666666665
2008-01-01,2.2012650560105484,0.6387635951426496,1.8225000000000002
2009-01-01,1.4154031340263329,1.1981317095886346,0.4708333333333333
2010-01-01,1.5530238014611397,2.0791939544083426,0.31833333333333336
2011-01-01,1.7734482606252822,1.8721688597507058,0.18166666666666667
2012-01-01,1.8844626391936792,1.7491793273994027,0.175
2013-01-01,1.8536218730180354,1.868828107899384,0.13166666666666665
2014-01-01,1.8864116093001537,1.0048919935341905,0.12083333333333333
2015-01-01,1.8008182186735777,0.9997670560245142,0.3216666666666667
2016-01-01,1.876611998850286,1.8973998844186268,0.6141666666666667
2017-01-01,2.013491836957393,2.4055071823486376,1.2008333333333334
2018-01-01,2.144374111415015,1.7954241313786257,2.331666666666667
2019-01-01,2.0090219248768304,1.2944813141469835,2.0533333333333337
2020-01-01,1.6723705565171332,4.474763627762074,0.3791666666666667
2021-01-01,2.2710752371342293,7.0280354726916405,0.10416666666666666
