date,1-year inflation forecast,1-year actual inflation,1-year nominal interest rate
1970-07-01,2.9851,5.273796398382946,6.936666666666667
1970-10-01,3.7037,4.765143271672101,5.646666666666666
1971-01-01,3.5414,4.765307489616366,4.05
1971-04-01,3.5303,4.051135111307036,4.993333333333333
1971-07-01,3.4164,3.988479664862976,5.75
1971-10-01,3.1359,4.4445406153979405,4.726666666666667
1972-01-01,3.4194,4.066842868104703,4.406666666666667
1972-04-01,3.5392,5.0118623962040365,4.843333333333333
1972-07-01,3.3858,6.042803189257251,5.153333333333333
1972-10-01,3.6128,6.791248860528709,5.4366666666666665
1973-01-01,3.6999,7.570047517614298,6.31
1973-04-01,3.7609,8.443942389155602,7.016666666666666
1973-07-01,3.7723,9.489513256826276,8.506666666666668
1973-10-01,4.0999,10.510999883599116,7.413333333333334
1974-01-01,5.3651,10.925361766945919,7.353333333333334
1974-04-01,5.6522,9.977678571428573,8.69
1974-07-01,5.6126,8.732109295937551,9.01
1974-10-01,6.647,7.3906326802893,7.673333333333333
1975-01-01,7.6814,6.117614748189082,6.3066666666666675
1975-04-01,7.2412,5.615316960963401,6.526666666666666
1975-07-01,5.5917,5.125648185081766,7.5200000000000005
1975-10-01,5.9454,5.24732729591002,6.68
1976-01-01,6.2087,5.823169745398071,5.976666666666667
1976-04-01,6.1832,6.245596054064428,6.28
1976-07-01,5.9002,6.165812938721293,6.013333333333333
1976-10-01,6.055,6.551317097415521,5.226666666666667
1977-01-01,5.729,6.386230931490933,5.419999999999999
1977-04-01,5.644,6.912456288436042,5.693333333333334
1977-07-01,6.2678,7.4189897545866135,6.28
1977-10-01,5.8989,7.302994081805192,6.96
1978-01-01,5.9557,7.689655172413801,7.31
1978-04-01,5.9044,8.258846750317206,7.786666666666666
1978-07-01,6.5327,8.780880028835236,8.446666666666667
1978-10-01,6.9055,8.574688909416949,9.816666666666666
1979-01-01,7.0927,8.872344967445844,10.299999999999999
1979-04-01,7.3262,8.798249726519769,9.936666666666666
1979-07-01,7.9278,8.846918489065603,10.153333333333334
1979-10-01,8.0251,9.649166708372947,12.270000000000001
1980-01-01,8.1871,10.222788657140747,13.933333333333332
1980-04-01,8.6957,9.793641673848509,10.283333333333333
1980-07-01,8.8416,9.415759278772985,10.136666666666667
