date,1-year actual inflation,1-year inflation forecast,1-year nominal interest rate
1970-07-01,5.145062466783555,2.9851,6.936666666666667
1970-10-01,4.66062857466662,3.7037,5.646666666666666
1971-01-01,4.681352672476743,3.5414,4.05
1971-04-01,3.9831820655463903,3.5303,4.993333333333333
1971-07-01,3.908019284467184,3.4164,5.75
1971-10-01,4.342729343201833,3.1359,4.726666666666667
1972-01-01,3.962763900562575,3.4194,4.406666666666667
1972-04-01,4.864623164475083,3.5392,4.843333333333333
1972-07-01,5.819809817108002,3.3858,5.153333333333333
1972-10-01,6.527496439637819,3.6128,5.4366666666666665
1973-01-01,7.2553546045064605,3.6999,6.31
1973-04-01,8.092811794193032,3.7609,7.016666666666666
1973-07-01,9.06114278757922,3.7723,8.506666666666668
1973-10-01,9.994275641790185,4.0999,7.413333333333334
1974-01-01,10.350681252838635,5.3651,7.353333333333334
1974-04-01,9.486596282600045,5.6522,8.69
1974-07-01,8.393328527175212,5.6126,9.01
1974-10-01,7.144283048901305,6.647,7.673333333333333
1975-01-01,5.937628666199368,7.6814,6.3066666666666675
1975-04-01,5.463135317012324,7.2412,6.526666666666666
1975-07-01,4.979590662155823,5.5917,7.5200000000000005
1975-10-01,5.083424507837236,5.9454,6.68
1976-01-01,5.645501825876914,6.2087,5.976666666666667
1976-04-01,6.027487959082317,6.1832,6.28
1976-07-01,5.970004228367365,5.9002,6.013333333333333
1976-10-01,6.3613947762290275,6.055,5.226666666666667
1977-01-01,6.244627016742987,5.729,5.419999999999999
1977-04-01,6.664230244653855,5.644,5.693333333333334
1977-07-01,7.099445831782539,6.2678,6.28
1977-10-01,7.031290118517028,5.8989,6.96
1978-01-01,7.323653624191966,5.9557,7.31
1978-04-01,7.901356295068375,5.9044,7.786666666666666
1978-07-01,8.356117818460335,6.5327,8.446666666666667
1978-10-01,8.250488940776671,6.9055,9.816666666666666
1979-01-01,8.536885850232084,7.0927,10.299999999999999
1979-04-01,8.318309777214603,7.3262,9.936666666666666
1979-07-01,8.479831415714187,7.9278,10.153333333333334
1979-10-01,9.2304667440048,8.0251,12.270000000000001
1980-01-01,9.639348524231345,8.1871,13.933333333333332
1980-04-01,9.325327129714763,8.6957,10.283333333333333
1980-07-01,8.833095469327882,8.8416,10.136666666666667
1980-10-01,7.963834793490425,8.934,13.840000000000002
1981-01-01,6.887138488635027,9.3725,14.12
1981-04-01,6.22663341374524,9.0619,15.126666666666665
1981-07-01,5.873600623540264,8.6787,16.319999999999997
1981-10-01,5.121006287906162,7.8029,13.546666666666667
1982-01-01,4.535512712780828,7.5188,14.333333333333334
1982-04-01,4.012603224616052,7.0197,13.796666666666667
1982-07-01,3.624722926914453,6.2378,11.840000000000002
1982-10-01,3.254209288546691,5.8739,9.13
1983-01-01,3.508154333731191,5.5898,8.86
1983-04-01,3.67155741419145,5.0012,9.180000000000001
1983-07-01,3.4369024405922746,4.8237,10.296666666666665
1983-10-01,3.3730010376693,4.9494,9.953333333333333
1984-01-01,3.458020300995652,5.5327,10.176666666666666
1984-04-01,3.237116321078384,4.9774,11.546666666666667
1984-07-01,3.007891796812592,5.3812,11.81
1984-10-01,2.915412470401438,4.746,10.016666666666666
1985-01-01,2.259037709415848,4.4131,9.389999999999999
1985-04-01,2.0412234204474595,3.993,8.466666666666667
1985-07-01,1.8655679841166184,4.329,7.993333333333333
1985-10-01,1.8447383301190186,4.2132,7.853333333333334
1986-01-01,2.080921070634003,3.9744,7.456666666666667
1986-04-01,2.3497760200159936,3.3333,6.6066666666666665
1986-07-01,2.67060415414981,3.1524,5.989999999999999
1986-10-01,2.9387271392687384,2.6155,5.796666666666667
1987-01-01,2.99815444684821,3.1115,5.923333333333333
1987-04-01,3.2921254561024056,3.7037,6.766666666666667
1987-07-01,3.739745927846723,3.9182,7.126666666666668
1987-10-01,3.7143932578884327,4.142,7.239999999999999
1988-01-01,4.024846376738289,3.6195,6.78
1988-04-01,4.091479763850643,3.761,7.3
1988-07-01,3.6420333080673313,3.9435,8.003333333333332
1988-10-01,3.5368310878296505,4.1838,8.526666666666666
1989-01-01,3.541574695336802,4.3689,9.290000000000001
1989-04-01,3.5390415304702376,4.5564,8.926666666666668
1989-07-01,3.706432480853323,4.5777,8.096666666666666
1989-10-01,3.7670940137180966,4.3205,7.826666666666667
1990-01-01,3.660845511917425,3.9844,8.126666666666667
1990-04-01,3.3177697854520223,4.0217,8.273333333333333
1990-07-01,3.1604809636671427,3.8168,7.826666666666667
1990-10-01,2.944881877197769,4.384,7.303333333333334
1991-01-01,2.3815127457744825,4.2649,6.436666666666667
1991-04-01,2.3342441910268237,3.4944,6.243333333333333
1991-07-01,2.0773362577715404,3.3824,5.886666666666667
1991-10-01,2.212467060058486,3.3528,4.866666666666666
1992-01-01,2.3512542172600894,3.193,4.3566666666666665
1992-04-01,2.321260729902124,3.2498,4.22
1992-07-01,2.4470836563588834,3.1074,3.4166666666666665
1992-10-01,2.293684903809187,2.7909,3.563333333333334
1993-01-01,2.2098515482900947,2.7066,3.4066666666666667
1993-04-01,2.1015524960201084,2.7802,3.3800000000000003
1993-07-01,2.0404411706487946,2.7558,3.4233333333333333
1993-10-01,2.0689596852344003,3.0522,3.526666666666667
1994-01-01,2.1580606306788663,2.8332,3.91
1994-04-01,2.0995640202436237,2.7631,5.133333333333333
1994-07-01,2.0340863761933052,2.8924,5.599999999999999
1994-10-01,1.976940919800778,3.0517,6.596666666666667
1995-01-01,1.944790733442912,3.1029,6.726666666666667
1995-04-01,1.8854303554302965,2.8929,5.97
1995-07-01,1.6931190507127654,2.9362,5.653333333333333
1995-10-01,1.7082144975051485,2.5677,5.4433333333333325
1996-01-01,1.7867015485686006,2.3505,5.123333333333334
1996-04-01,1.6772940638385514,2.3623,5.663333333333333
1996-07-01,1.7519959081996845,2.5023,5.783333333333334
1996-10-01,1.5775286485797533,2.505,5.4799999999999995
