Date,Australia,Austria,Belgium,Canada,Switzerland,Chile,Colombia,Czech Republic,Germany,Denmark,Euro Area (19 countries),Spain,Estonia,European Union (27 countries),European Union (28 countries),Finland,France,G7,Great Britain,Greece,Hungary,Ireland,Iceland,Israel,Italy,Japan,South Korea,Lithuania,Luxemburg,Latvia,Mexico,Netherlands,Norway,New Zealand,OECD,Poland,Portugal,Slovak Republic,Slovenia,Sweden,Turkey,United States
1967-01-01,1.875,,,3.833333,,,,,,,,,,,,,,,,,,,,,,1.258333,,,,,,,,0.09596929,,,,,,,,3.8416669999999997
1968-01-01,1.85,,,4.525,,,,,,,,,,,,,,,,,,,,,,1.183333,,,,,,,,0.7759457,,,,,,,,3.583333
1969-01-01,1.8,,,4.425,,,,,,,,,,,,,,,,,,,,,,1.125,,,,,,,,0.28598670000000004,,,,,,,,3.5083330000000004
1970-01-01,1.625,,,5.675,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,0.09267841,,,,,,,,4.933333
1971-01-01,1.925,,,6.2,,,,,,,,,,,,,,,,,,,,,,1.225,,,,,,,,0.1829826,,,,,,,,5.9583330000000005
1972-01-01,2.625,,,6.233333,,,,,,,,,,,,,,,,,,,,,,1.416667,,,,,,,,0.4508566,,,,,,,,5.616667
1973-01-01,2.325,,,5.566667,,,,,,,,,,,,,,,,,,,,,,1.266667,,,,,,,,0.17467249999999998,,,,,,,,4.891667
1974-01-01,2.7,,,5.3333330000000005,,,,,,,,,,,,,,,,,,,,,,1.375,,,,,,,,0.0838223,,,,,,,,5.591667
1975-01-01,4.925,,,6.9166669999999995,,,,,,,,,,,,,,,,,,,,,,1.8916669999999998,,,,,,,,0.2465078,,,,,,,,8.466666
1976-01-01,4.75,,,7.0833330000000005,,,,,,,,,,,,,,,,,,,,,,2.0083330000000004,,,,,,,,0.322841,,,,,,,,7.716667
1977-01-01,5.65,,,8.058333,,,,,,,,,,,,,,,,,,,,,,2.025,,,,,,,,0.317965,,,,,,,,7.066667
1978-01-01,6.442533,,,8.383333,,,,,,,,,,,,,,,,,,,,,,2.2416669999999996,,,,,,,,1.657459,,,,,,,,6.066667
1979-01-01,6.265499,,,7.55,,,,,,,,,,,,,,,,,,,,,,2.083333,,,,,,,,1.942502,,,,,,,,5.8333330000000005
1980-01-01,6.106246,,,7.55,,,,,,,,,,,,,,,,,,,,,,2.0083330000000004,,,,,,,,2.242846,,,,,,,,7.141667
1981-01-01,5.783571,,,7.633333,,,,,,,,,,,,,,,,,,,,,,2.208333,,,,,,,,3.601532,,,,,,,,7.6
1982-01-01,7.156132,,,11.03333,,,,,,,,,,,,,,,,,,,,,,2.35,,,,,,,,3.5364940000000002,,,,,,,,9.708333
1983-01-01,9.961594,,10.74167,12.03333,,,,,,8.366667,,,,,,,8.758333,,10.775,,,13.90833,,,7.366667,2.6583330000000003,,,3.4083330000000003,,,9.508333,,5.663189,,,8.175,,,3.666667,,9.616667
1984-01-01,8.98968,,10.8,11.35,,,,,,7.9166669999999995,,,,,,,10.05,,10.85,,,15.5,,,7.8333330000000005,2.708333,,,3.041667,,,9.291667,,5.743741,,,8.866667,,,3.266667,,7.525
1985-01-01,8.262986,,10.10833,10.66667,,,,,,6.658333,,,,,,,10.38333,,11.175,,,16.816670000000002,,,8.141666,2.6166669999999996,,,2.875,,,8.45,,4.181687,,,9.15,,,2.8833330000000004,,7.191667
1986-01-01,8.081038000000001,,10.03333,9.675,,12.115,,,,4.991667,,,,,,,10.55,,11.2,,,16.83333,,,8.883333,2.7583330000000004,,,2.5333330000000003,,,7.608333,,4.175,,,8.8,,,2.691667,,6.991667
1987-01-01,8.108039999999999,,9.8,8.833333,,10.9275,,,,5.033333,,19.71667,,,,,10.65,,10.275,,,16.625,,,9.633333,2.85,,,2.45,,3.8833330000000004,7.466667,,4.225,,,7.233333,,,2.191667,,6.191667
1988-01-01,7.2279539999999995,,8.8,7.766667,,9.7525,,,,5.658333,,18.691670000000002,,,,4.2083330000000005,10.06667,,8.45,,,16.225,,,9.7,2.5333330000000003,,,2.0,,3.541667,7.375,,5.8,,,5.841667,,,1.8,,5.491667
1989-01-01,6.179825,,7.383333,7.566667,,7.9025,,,,6.816667,,16.54167,,,,3.108333,9.675,,7.075,,,14.733329999999999,,,9.7,2.266667,2.583333,,1.7833330000000003,,2.925,6.675,4.883333,7.275,,,5.183333,,,1.558333,,5.266667
1990-01-01,6.922999999999999,,6.55,8.15,,7.7575,,,,7.175,,15.458329999999998,,,,3.166667,9.366667,,6.825,,,13.45,,,8.866667,2.108333,2.458333,,1.6583330000000003,,2.7416669999999996,6.0833330000000005,5.216667,7.975,,,4.8,,,1.7166669999999997,,5.616667
1991-01-01,9.576522,,6.441667,10.325,,8.155,,,5.525,7.85,7.840147,15.5,,,,6.608333,9.625,6.366811,8.6,,,14.758329999999999,,,8.516666,2.1,2.45,,1.6583330000000003,,2.691667,5.675,5.45,10.6,,,4.183333,,,3.1,,6.816667
1992-01-01,10.72814,,7.091667,11.19167,,6.665,,,6.566667,8.6,8.50725,17.01667,,,,11.70833,10.64167,7.014071,9.855444,,,15.391670000000001,,,8.791667,2.15,2.525,,2.066667,,2.7833330000000003,5.758333,5.925,10.65,,,4.125,,,5.558333,,7.508333
1993-01-01,10.87467,3.958333,8.625,11.4,,6.5425,,4.308333,7.7916669999999995,9.55,10.16667,20.84167,,,,16.34167,11.825,7.211086,10.39069,,,15.641670000000001,,,9.725,2.5,2.9,,2.583333,,3.425,6.466667,5.95,9.8,,,5.5,,,9.05,,6.9
1994-01-01,9.72219,4.241667,9.75,10.41667,,7.815,,4.2916669999999995,8.45,7.7,10.85833,22.05,,,,16.58333,12.275,7.018174,9.512666000000001,,,14.34167,,,10.65,2.891667,2.475,,3.175,,3.641667,7.191667,5.408333,8.35,,,6.825,,,9.358334,,6.0833330000000005
1995-01-01,8.472281,4.241667,9.675,9.508333,,7.3025,,4.008333,8.25,6.716667,10.65,20.75,,,,15.4,11.95,6.7411080000000005,8.638574,,,12.29167,,6.869636999999999,11.18333,3.15,2.066667,,2.8666669999999996,,6.266667,8.358334,4.933333,6.45,,,7.183333,,,8.8,,5.608333
1996-01-01,8.506114,4.733333,9.541667,9.608334,,6.325,,3.891667,8.941667,6.3333330000000005,10.78333,19.89167,,,,14.566670000000002,12.4,6.773658,8.113807000000001,,9.916667,11.66667,,6.677445,11.16667,3.35,2.058333,,2.925,,5.525,7.675,4.75,6.3,,,7.241667,,6.891667,9.558333,,5.4166669999999995
1997-01-01,8.362488,4.733333,9.216666,9.116667,,6.115,,4.775,9.675,5.241667,10.75833,18.39167,9.625,,,12.64167,12.33333,6.552429,6.98159,,9.05,9.875,,7.6737589999999996,11.21667,3.4,2.6166669999999996,,2.7,,3.735,6.5,3.916667,6.825,,10.86667,6.741667,,6.9166669999999995,9.891666,,4.95
1998-01-01,7.677428999999999,4.725,9.341666,8.283334,,6.395,,6.466667,9.45,4.866667,10.55,16.40833,9.15,,,11.35833,12.05,6.37944,6.26345,,8.708333,7.55,,8.535764,11.3,4.108333,6.95,,2.691667,,3.16,5.133333,3.0916669999999997,7.725,,10.16667,6.0833330000000005,12.70833,7.366667,8.2,,4.508333
1999-01-01,6.873791000000001,4.15,8.4,7.591667,,10.1375,,8.7,8.625,5.1666669999999995,9.816667,13.6,11.35,,,10.21667,11.31667,6.137665,5.979465,11.98333,6.866667,5.9166669999999995,,8.884659,10.86667,4.683333,6.5833330000000005,14.641670000000001,2.4083330000000003,14.066670000000002,2.505,4.233333,3.0333330000000003,7.025,,13.391670000000001,5.55,16.491670000000003,7.408333,6.733333,,4.216667
