country,iso code,observations,inflation,money growth,gdp growth
Benin,BEN,53,0.04924,0.10951,0.03756
Burkina Faso,BFA,53,0.03938,0.10722,0.04278
Burundi,BDI,51,0.09531,0.13716,0.02744
Central African Republic,CAF,54,0.05752,0.08272,0.00688
Chad,TCD,54,0.05044,0.10273,0.035
Comoros,COM,33,0.0392,0.08047,0.0218
"Congo, Dem. Rep.",COD,33,1.27705,1.22443,-0.00239
Eritrea,ERI,19,0.13371,0.20164,-0.01612
Ethiopia,ETH,28,0.06556,0.13217,0.04115
"Gambia, The",GMB,49,0.09401,0.14951,0.03767
Guinea-Bissau,GNB,29,0.23627,0.30128,0.02192
Haiti,HTI,19,0.11026,0.16683,0.01371
Liberia,LBR,16,0.05919,0.11723,-0.02524
Madagascar,MDG,53,0.11439,0.13583,0.01801
Malawi,MWI,50,0.16853,0.21521,0.04226
Mali,MLI,48,0.06219,0.10626,0.03943
Mozambique,MOZ,26,0.17134,0.28193,0.07371
Nepal,NPL,54,0.08327,0.14903,0.03736
Niger,NER,53,0.04545,0.10513,0.02197
Rwanda,RWA,42,0.09833,0.12863,0.03865
Senegal,SEN,53,0.04236,0.082,0.02778
Sierra Leone,SLE,54,0.2105,0.25295,0.02892
Syrian Arab Republic,SYR,47,0.09031,0.15902,0.05387
Tajikistan,TJK,17,0.17741,0.32807,0.07667
Tanzania,TZA,27,0.15503,0.21805,0.05174
Togo,TGO,53,0.04798,0.10174,0.03499
Uganda,UGA,33,0.27816,0.38178,0.05856
"Yemen, Rep.",YEM,24,0.1477,0.13852,0.04008
Zimbabwe,ZWE,32,-0.00128,-0.13307,0.00839
