country,iso code,observations,inflation,money growth,gdp growth
Australia,AUS,54,0.05173,0.10383,0.03527
Canada,CAN,48,0.04551,0.10006,0.03458
Chile,CHL,54,0.32887,0.40657,0.04089
Czech Republic,CZE,22,0.03745,0.11808,0.02511
Denmark,DNK,54,0.04906,0.0873,0.02259
Estonia,EST,20,0.06412,0.21107,0.04196
Hungary,HUN,24,0.09622,0.13269,0.01829
Iceland,ISL,54,0.1614,0.21634,0.03779
Israel,ISR,54,0.24964,0.32656,0.04966
Japan,JPN,54,0.02661,0.09932,0.03634
"Korea, Rep.",KOR,54,0.09093,0.20092,0.07615
New Zealand,NZL,41,0.06688,0.09819,0.02399
Slovak Republic,SVK,22,0.04054,0.10798,0.04155
Slovenia,SVN,20,0.0433,0.2057,0.02497
Sweden,SWE,29,0.07445,0.10985,0.0289
Switzerland,CHE,35,0.01754,0.06243,0.0175
United States,USA,54,0.03442,0.05753,0.0314
