country,iso code,observations,money growth,inflation,gdp growth,nominal interest rate,exchange rate depreciation,income group,oecd
Afghanistan,AFG,12.0,0.17386912193195414,0.050501361314668314,0.07198060692337016,0.1555803240740741,0.028524220346590967,low,no
Albania,ALB,22.0,0.079394097697282,0.02492924524914275,0.03848046601735611,0.11981729305504495,-0.01121649273860692,middle,no
Algeria,DZA,26.0,0.13551100429775764,0.06174798390982805,0.02942949210418533,0.09522435897435896,0.03990684306488035,middle,no
Angola,AGO,26.0,0.7972504275297931,0.7072992562646918,0.051482611740979234,0.5359506609414975,0.6327140554794406,middle,no
Antigua and Barbuda,ATG,39.0,0.07970217186761874,0.027546558616741823,0.02904661214526727,0.11023896464731762,0.0,high,no
Armenia,ARM,26.0,0.1936390182413148,0.045710800227691806,0.05564514726942238,0.26277213011710293,0.0074779513023917055,middle,no
Aruba,ABW,35.0,0.08328422386634116,0.024765566738782496,0.030758090189346055,0.09744761904761909,0.0,high,no
Australia,AUS,60.0,0.1029094690401795,0.04822771541351467,0.03421135851119406,0.0841744861111111,0.008116392952809859,high,yes
Azerbaijan,AZE,23.0,0.2197520907180872,0.06631472137890815,0.07721949504620995,0.18152955497665002,0.03642359057812272,middle,no
"Bahamas, The",BHS,42.0,0.08213787284953167,0.044869325859459686,0.02863945384834854,0.07355654761904759,0.0,high,no
Bahrain,BHR,30.0,0.08736045059545416,0.030395255926917608,0.05132045633472537,0.0892161510903427,0.0,high,no
Bangladesh,BGD,45.0,0.17172914706863196,0.07518607410688638,0.050369953458107464,0.1216410185185186,0.03955365622574614,middle,no
Barbados,BRB,29.0,0.09411422914227052,0.038541984844334465,0.011629359433495301,0.10164367816091956,0.0,high,no
Belarus,BLR,27.0,0.5384947589024283,0.48814973662634076,0.039388087679527395,0.32819211570975326,0.40332068257140397,middle,no
Belize,BLZ,39.0,0.09190950260130659,0.026647061775386227,0.0385030484047979,0.13629242903081962,0.0,middle,no
Benin,BEN,16.0,0.11531933534625605,0.019230828050375903,0.04570622094842447,0.05681307291666667,0.005713040008279435,middle,no
Bhutan,BTN,38.0,0.18494839881341063,0.06568125630478416,0.0651837234740944,0.1495953947368421,0.055341503951121584,middle,no
Bolivia,BOL,34.0,0.16811665800961273,0.06778259574043033,0.0363934789807403,0.2565023078571128,0.03743415769092384,middle,no
Bosnia and Herzegovina,BIH,19.0,0.10011498733159385,0.0256659922901592,0.024738496698352375,0.07128420649354487,-0.010550971960857636,middle,no
Botswana,BWA,41.0,0.16001876272554738,0.08519710563889182,0.052963970004551664,0.12225098170731705,0.0695778121671573,middle,no
Brazil,BRA,24.0,0.14734151770571313,0.072998886900983,0.01927699565645935,0.50609375,0.0704072888956131,middle,no
Brunei Darussalam,BRN,22.0,0.04617833095940993,0.026883347990090067,0.009397401202707378,0.055,-0.009751599156533342,high,no
Bulgaria,BGR,29.0,0.26615774484017773,0.2335249056471782,0.01878187397174136,0.3604111120689656,0.1658964154147915,middle,no
Burkina Faso,BFA,16.0,0.15067825088626963,0.0250193006048145,0.05392671878337696,0.05706411458333333,0.00586365632418806,low,no
Burundi,BDI,23.0,0.18679036592146492,0.10582571989045819,0.02203483750303392,0.15600434782608688,0.06828627789051467,low,no
Cabo Verde,CPV,15.0,0.06511173469385345,0.01610933635663514,0.02187910620775213,0.10019643403409553,0.006888382513501101,middle,no
Canada,CAN,12.0,0.10412198483257873,0.025775263357590283,0.029782708112124023,0.054201388888888896,-0.023401601168136166,high,yes
Chile,CHL,34.0,0.16039315637060558,0.0818834278548699,0.04968980694487923,0.1579409845397842,0.042797360971564835,high,yes
China,CHN,41.0,0.1959804926387072,0.04746181224273771,0.09261842311069035,0.06857560975463416,0.03891936508196858,middle,no
Colombia,COL,31.0,0.16607277613754712,0.0985268452955892,0.030731477936370766,0.21893582855958743,0.06878162408603505,middle,no
Comoros,COM,22.0,0.10946054597140287,0.022466479251248783,0.03035278243676154,0.10845170454545455,-0.003311475903015837,middle,no
"Congo, Dem. Rep.",COD,13.0,0.3024487110070444,0.1546408614255541,0.060823018029100284,0.3481317433241757,0.10910808974264308,low,no
Costa Rica,CRI,39.0,0.17665920541721092,0.1226773235613754,0.04092028186709307,0.21842790258664382,0.0750398400265031,middle,no
Cote d'Ivoire,CIV,13.0,0.14243877281789752,0.021328900487861846,0.05187704703260132,0.05240198717948719,0.008071492743903175,middle,no
Croatia,HRV,20.0,0.1248890297985703,0.035257174771009314,0.020406537644394707,0.12307692500000006,0.004976812430792954,high,no
Czechia,CZE,28.0,0.07767378191359575,0.0343043657618094,0.024603802333127422,0.07095233774031345,-0.008407352020343484,high,yes
Dominica,DMA,39.0,0.07278197317217372,0.029106194527981577,0.01693685240997067,0.1015917176975334,0.0,middle,no
Dominican Republic,DOM,30.0,0.1632372272492939,0.07760151713522268,0.050115263927887455,0.2124824474011111,0.053190182030582456,middle,no
"Egypt, Arab Rep.",EGY,45.0,0.18267931862803644,0.10978947601117772,0.051002641523055336,0.1415137037037037,0.08762132938794687,middle,no
Eswatini,SWZ,46.0,0.13865063666064636,0.08923052673571918,0.04272546129633725,0.13069021739130438,0.07139636648563585,middle,no
Ethiopia,ETH,24.0,0.1426553150126033,0.06265730088861154,0.05116570071113058,0.09024284722222226,0.06897880817396795,low,no
Fiji,FJI,29.0,0.07079316946047776,0.03548608512359741,0.01665320696172201,0.0811150960934217,0.013183259967622263,middle,no
"Gambia, The",GMB,30.0,0.16097744352532017,0.11748361406433827,0.029587641262801112,0.2689805555554445,0.08522701855371917,low,no
Georgia,GEO,18.0,0.2158432357865674,0.060727234354253534,0.04494789883776251,0.15274159935381298,0.02205522524871606,middle,no
Grenada,GRD,39.0,0.08129028577347408,0.028712479624635856,0.027820962930433346,0.10772221247305268,0.0,middle,no
Guatemala,GTM,24.0,0.1312604919560374,0.04276009221620192,0.033233160460104605,0.14636736111111118,0.010553084242992838,middle,no
Guinea-Bissau,GNB,13.0,0.17254941643425936,0.0412276682224062,0.03774318591094272,0.054954230769230755,0.008071492743903175,low,no
Guyana,GUY,40.0,0.1804555829276151,0.15215808350449356,0.02722256436785009,0.16286886021825392,0.11673226687554705,middle,no
Haiti,HTI,27.0,0.14531061509788912,0.13538840786010486,0.019944067685183198,0.1612766203703704,0.0728115378048404,middle,no
Honduras,HND,21.0,0.12585955951519257,0.05494956596887368,0.032177554973904954,0.19627685274684456,0.025553085552961763,middle,no
"Hong Kong SAR, China",HKG,30.0,0.0826919498073384,0.016501502482982655,0.03076457012425715,0.06457291666666665,-6.180544563427759e-05,high,no
Hungary,HUN,30.0,0.12227841372711579,0.08421705913978439,0.02021461202217445,0.12997334707151947,0.050044193150101224,high,yes
Iceland,ISL,26.0,0.10562934400815882,0.04495771933494619,0.030578158728641558,0.12043306741903452,0.02999139952468477,high,yes
India,IND,43.0,0.15768043238263774,0.07230530967133042,0.054704669799177985,0.13364079844961238,0.05383102566661635,middle,no
Indonesia,IDN,35.0,0.17586445649540017,0.10615753453944321,0.047688629883894995,0.1720535714285715,0.07411637411286409,middle,no
"Iran, Islamic Rep.",IRN,13.0,0.2765968633310987,0.16728068750337122,0.02692599119150274,0.13373846153846156,0.11236394499112912,middle,no
Iraq,IRQ,13.0,0.16579277225712352,0.050354024633040284,0.061709884996882236,0.1449172322775263,-0.017078250361125757,middle,no
Jamaica,JAM,45.0,0.1781292447512408,0.15141750737946635,0.00887055702231665,0.2237136767954746,0.12171972776877182,middle,no
Japan,JPN,25.0,0.014359024637901063,-0.004617460567443721,0.00926853204590139,0.020260088888888892,0.00036134462798265155,high,yes
Jordan,JOR,24.0,0.08797560699177787,0.03975413094969893,0.04047903415917942,0.09366215277777779,6.12820299814576e-05,middle,no
Kenya,KEN,50.0,0.15511511060606575,0.10186483347955755,0.04133079182695987,0.16465308130663922,0.05668227530758774,middle,no
"Korea, Rep.",KOR,25.0,0.12784089150955413,0.01940396108522413,0.03879367052484062,0.06383566666666671,0.01610018497877408,high,yes
Kosovo,XKX,11.0,0.08150351471482553,0.018315925280612877,0.046330993521927155,0.11065304226074385,0.022187887152403496,middle,no
Kuwait,KWT,29.0,0.06890434083732466,0.02419368714089387,0.03812939307114127,0.06597653735632183,0.001551715982181845,high,no
Kyrgyz Republic,KGZ,25.0,0.20592201396372123,0.1014542114478374,0.03942833318125927,0.3109709303970281,0.07779876261317309,middle,no
Lao PDR,LAO,13.0,0.3059075596982608,0.16376711542863398,0.07026852337780953,0.28096089743589736,0.079439256506042,middle,no
Lebanon,LBN,19.0,0.08910333900374345,0.023482022686167392,0.03947244209109435,0.10936842105263153,0.0,middle,no
Lesotho,LSO,41.0,0.12724374639095037,0.09073564862165617,0.030961541699764172,0.14546313685636858,0.07925491901594883,middle,no
Liberia,LBR,18.0,0.15169691197657387,0.0586357088756313,0.023027910986251676,0.15729990227716378,0.06143670843696669,low,no
Libya,LBY,16.0,0.14103342040370537,0.11244733370792215,-0.008135851090864232,0.06346354166666666,0.0695938633398343,middle,no
"Macao SAR, China",MAC,35.0,0.12933838390415286,0.05044583640706701,0.03391973010397176,0.07173758515868914,-8.85736197228093e-05,high,no
Madagascar,MDG,32.0,0.15941010604176187,0.10935504641044225,0.021693512951751037,0.3813202690972223,0.08290488842123356,low,no
Malawi,MWI,38.0,0.2606683983822333,0.21370517392079869,0.034319017324108136,0.31354113337300626,0.20106570180446837,low,no
Malaysia,MYS,52.0,0.12747912627689106,0.03750572647400641,0.05979165023188293,0.08267821521386523,0.006237010578530988,middle,no
Maldives,MDV,26.0,0.14303283261764954,0.06464138653506879,0.03836750155413937,0.10511546275494356,0.010761354627328412,middle,no
Mali,MLI,13.0,0.09491314333286871,0.041535013055555625,0.04324882721775114,0.05365583333333334,0.008071492743903175,low,no
Mauritania,MRT,13.0,0.13115913149685787,0.05772523808342167,0.039495556977960034,0.18955128205128202,0.025200245812087685,middle,no
Mauritius,MUS,41.0,0.13841133404663886,0.05869285184153594,0.04241863705231519,0.14933617886178863,0.04167604317293838,middle,no
Mexico,MEX,28.0,0.13338017042400296,0.08467952298614145,0.019242207830383773,0.1284101557037817,0.07413630073349586,middle,yes
"Micronesia, Fed. Sts.",FSM,26.0,0.04007102495801251,0.02294612732770518,0.0017348665320995327,0.15185496794871794,0.0,middle,no
Moldova,MDA,26.0,0.19527463516303367,0.11888447677766911,0.0262644006569952,0.2049067334493052,0.0554349629892128,middle,no
Mongolia,MNG,23.0,0.2543824851535692,0.11385882746131415,0.06120482798523619,0.2565679933299687,0.056431235744850206,middle,no
Montenegro,MNE,16.0,0.12786749199691472,0.038179940549356584,0.01840191849250461,0.08853854166666668,0.00586365632418806,middle,no
Mozambique,MOZ,24.0,0.20241984650655676,0.06490152467788701,0.06520723191160771,0.20247164873752244,0.08115524803226459,low,no
Myanmar,MMR,27.0,0.27619194169339467,0.13831815501224165,0.08967187849046265,0.1847720797720798,0.2328926443973467,middle,no
Namibia,NAM,30.0,0.154668564437618,0.07708146842999697,0.031292656343045344,0.1353801772334471,0.06350107475341904,middle,no
New Zealand,NZL,13.0,0.0666322963567596,0.02572062326069635,0.028647929061143218,0.07626661462680817,-0.024467170338318134,high,yes
Nicaragua,NIC,33.0,0.6109372701542601,0.5902856476011573,0.027533499978540155,30.50592315155265,0.5183462146260702,middle,no
Niger,NER,13.0,0.15281833013738622,0.0322745655391492,0.05584265365071661,0.05528275641025645,0.008071492743903175,low,no
Nigeria,NGA,51.0,0.23589556978397574,0.17713623278630153,0.03250055115985906,0.15311480811358244,0.1324521673968766,middle,no
North Macedonia,MKD,16.0,0.09659393019426799,0.028100671891623685,0.024219054509553972,0.08723968097580097,0.00629037564005408,middle,no
Oman,OMN,34.0,0.09626711817199118,0.030758904600102,0.040905281092839196,0.08215461893642129,0.0032552219909249835,high,no
Pakistan,PAK,17.0,0.14961713086413653,0.09436577565525717,0.03779875577093805,0.11229262993977619,0.06594047294379957,middle,no
Panama,PAN,13.0,0.10346646107669244,0.01984154295458751,0.0600484100477352,0.09875880052151233,0.0,high,no
Papua New Guinea,PNG,37.0,0.10320299723105997,0.06788884648285665,0.0368397802782614,0.11990599099099099,0.039627685323049944,middle,no
Paraguay,PRY,27.0,0.1362641650137162,0.08090609929611436,0.02926438447079094,0.29243427205111017,0.04999040678757183,middle,no
Peru,PER,36.0,0.5827022799499995,0.5002152922594547,0.0309969785665265,2.070123800478527,0.4362486923038764,middle,no
Philippines,PHL,44.0,0.15819979118226835,0.07757707079697096,0.040209114795277445,0.12946918560594697,0.04615930666714241,middle,no
Qatar,QAT,17.0,0.16076169458148803,0.01691784760800119,0.08104521409769672,0.05695818567074935,0.0,high,no
Romania,ROU,28.0,0.28350716127741094,0.22469538849480886,0.0302552124132367,0.29859165009299227,0.16064974641328322,high,no
Russian Federation,RUS,20.0,0.2061546247802315,0.10720108004343665,0.02940636845281075,0.11447708333333331,0.04878595091510585,middle,no
Rwanda,RWA,25.0,0.1620510064019769,0.06047283046947616,0.0738953190421483,0.1660903333333334,0.04790803225768836,low,no
Samoa,WSM,20.0,0.0792375941264829,0.025918481359906265,0.0243542085230235,0.10538796705060356,-0.013916965381571944,middle,no
Sao Tome and Principe,STP,20.0,0.17661159163520201,0.10290937899659647,0.046485191974475315,0.2709125805610185,0.0478934203815522,middle,no
Senegal,SEN,13.0,0.11168678358228878,0.02214209714829063,0.04075053573762499,0.05240198717948719,0.008071492743903175,middle,no
Serbia,SRB,14.0,0.415031599140111,0.2225476413856553,0.03536470913248402,0.14006673849287435,0.21916065637140036,middle,no
Seychelles,SYC,32.0,0.12300766441453126,0.05130857618741258,0.0330134904234467,0.12811736966562684,0.03738978704717044,high,no
Sierra Leone,SLE,56.0,0.26427495143918245,0.21486393037989737,0.022990632946216616,0.20584270833333335,0.18918300390234766,low,no
Singapore,SGP,43.0,0.10486527247575173,0.018540229362043803,0.060971404605136614,0.06520310077488371,-0.011826065953640885,high,no
Solomon Islands,SLB,40.0,0.1404990499479375,0.08810733482290023,0.026555400690978725,0.1247796125867053,0.05924880978278102,middle,no
South Africa,ZAF,56.0,0.13080748950163823,0.09634123004606754,0.024480505651792495,0.1306364583333333,0.058701057931927814,middle,no
Sri Lanka,LKA,19.0,0.1713353741657182,0.08476648223694183,0.054822272465298694,0.11973986842105268,0.03925241039534022,middle,no
St. Kitts and Nevis,KNA,41.0,0.08752414731867497,0.03074998444942545,0.03425736534623258,0.09967262148670868,0.0,high,no
St. Lucia,LCA,40.0,0.07349907629136165,0.028618249403642215,0.02474360080441218,0.11334337550338627,0.0,middle,no
St. Vincent and the Grenadines,VCT,41.0,0.07219995548785585,0.031079552872039562,0.028802702661736346,0.10211599778547516,0.0,middle,no
Suriname,SUR,31.0,0.35347180610019957,0.3366165291816372,0.016907643197664246,0.17680467058852833,0.33017773815617746,middle,no
Sweden,SWE,15.0,0.06801152909142938,0.016298159778714183,0.02955186195804127,0.07360835555555555,0.01704199119717731,high,yes
Tajikistan,TJK,18.0,0.2897292335131674,0.12145924882934378,0.07349471168475352,0.23047140269806662,0.07552528483231802,middle,no
Tanzania,TZA,29.0,0.17832718685311355,0.1201287174805239,0.054013189285972096,0.19784910224956015,0.07565380108038378,middle,no
Thailand,THA,26.0,0.1664382521461074,0.050084338537820905,0.06244290471630354,0.12917467948717942,0.031626527242246905,middle,no
Togo,TGO,13.0,0.14812542136372198,0.048229025342921394,0.04794807933347722,0.05371480769230771,0.008071492743903175,low,no
