country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Algeria,DZA,35,0.11507,0.1476,0.02866,0.07971,0.09367
Angola,AGO,20,0.92232,1.08457,0.07371,0.54953,0.73637
Antigua and Barbuda,ATG,37,0.03921,0.10348,0.03592,0.11409,0.0
Argentina,ARG,21,0.12747,0.1905,0.02424,0.20195,0.11014
Armenia,ARM,20,0.0555,0.18343,0.06507,0.26864,0.00128
Aruba,ABW,29,0.03331,0.10806,0.03487,0.09831,0.0
Australia,AUS,54,0.05173,0.10383,0.0353,0.08475,0.0041
Azerbaijan,AZE,17,0.07777,0.29008,0.1082,0.18197,0.00085
"Bahamas, The",BHS,39,0.04626,0.08693,0.02976,0.07283,0.0
Bahrain,BHR,29,0.03508,0.10058,0.05228,0.08922,0.0
Bangladesh,BGD,39,0.07385,0.14375,0.04812,0.12737,0.04349
Barbados,BRB,29,0.04467,0.09765,0.01156,0.09741,0.0
Belarus,BLR,21,0.62536,0.65668,0.0516,0.34633,0.48737
Belize,BLZ,39,0.02241,0.11457,0.05103,0.13734,-0.00281
Benin,BEN,16,0.04365,0.10336,0.03598,0.10277,0.00498
Bhutan,BTN,32,0.06775,0.19408,0.07391,0.15012,0.05975
Bolivia,BOL,36,0.48241,0.58045,0.02794,0.34694,0.43878
Bosnia and Herzegovina,BIH,17,0.04669,0.21462,0.03812,0.11401,-0.011
Botswana,BWA,35,0.09274,0.15782,0.0656,0.12387,0.07461
Brazil,BRA,18,0.07935,0.12184,0.03016,0.51547,0.04699
Brunei Darussalam,BRN,16,0.05885,0.03078,0.011,0.05545,-0.01921
Bulgaria,BGR,24,0.29592,0.36364,0.02034,0.37703,0.21174
Burkina Faso,BFA,16,0.04346,0.08855,0.03556,0.10307,0.00498
Burundi,BDI,18,0.07186,0.09473,0.01992,0.14316,0.06188
Cabo Verde,CPV,35,0.03225,0.10151,0.06739,0.09794,0.02158
Cameroon,CMR,29,0.05206,0.06302,0.02607,0.16672,0.02939
Canada,CAN,48,0.04384,0.10006,0.03614,0.07396,0.00111
Central African Republic,CAF,29,0.0491,0.04696,0.01276,0.15955,0.02939
Chad,TCD,29,0.0541,0.09241,0.05462,0.15611,0.02939
Chile,CHL,38,0.12915,0.2197,0.04726,0.26014,0.09259
China,CHN,35,0.05266,0.18299,0.09854,0.0692,0.04237
"Congo, Rep.",COG,29,0.06414,0.10378,0.03703,0.15822,0.02939
Costa Rica,CRI,33,0.14221,0.20335,0.04398,0.22243,0.0869
Cote d'Ivoire,CIV,16,0.0388,0.01647,0.00537,0.10243,0.00498
Croatia,HRV,20,0.03526,0.13762,0.02022,1.15367,0.00498
Cyprus,CYP,33,0.0572,0.13187,0.06137,0.07822,0.00452
Czech Republic,CZE,22,0.03745,0.11808,0.02511,0.07234,-0.01604
Denmark,DNK,25,0.03941,0.08195,0.02174,0.12022,0.01506
Dominica,DMA,37,0.03808,0.07989,0.02427,0.09921,0.0
Dominican Republic,DOM,24,0.08946,0.14285,0.05328,0.22332,0.05549
Ecuador,ECU,27,0.00871,0.02338,0.02876,0.26703,-0.11645
"Egypt, Arab Rep.",EGY,39,0.10632,0.15335,0.05187,0.14215,0.07917
El Salvador,SLV,18,0.04582,0.03604,0.02686,0.17017,0.07651
Equatorial Guinea,GNQ,23,0.05422,0.18866,0.21322,0.17813,0.00294
