country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Antigua and Barbuda,ATG,37,0.03921,0.10348,0.03592,0.11409,0.0
Aruba,ABW,29,0.03331,0.10806,0.03487,0.09831,0.0
Australia,AUS,54,0.05173,0.10383,0.0353,0.08475,0.0041
"Bahamas, The",BHS,39,0.04626,0.08693,0.02976,0.07283,0.0
Bahrain,BHR,29,0.03508,0.10058,0.05228,0.08922,0.0
Barbados,BRB,29,0.04467,0.09765,0.01156,0.09741,0.0
Brunei Darussalam,BRN,16,0.05885,0.03078,0.011,0.05545,-0.01921
Canada,CAN,48,0.04384,0.10006,0.03614,0.07396,0.00111
Chile,CHL,38,0.12915,0.2197,0.04726,0.26014,0.09259
Croatia,HRV,20,0.03526,0.13762,0.02022,1.15367,0.00498
Cyprus,CYP,33,0.0572,0.13187,0.06137,0.07822,0.00452
Czech Republic,CZE,22,0.03745,0.11808,0.02511,0.07234,-0.01604
Denmark,DNK,25,0.03941,0.08195,0.02174,0.12022,0.01506
Estonia,EST,18,0.09956,0.20994,0.04023,0.1066,-0.00664
"Hong Kong SAR, China",HKG,24,0.01452,0.10295,0.03778,0.06676,-0.0001
Hungary,HUN,24,0.09623,0.13269,0.0184,0.14213,0.0506
Iceland,ISL,37,0.14074,0.21293,0.0275,0.18764,0.11018
Israel,ISR,36,0.27681,0.38534,0.04022,0.63635,0.23016
Japan,JPN,54,0.02661,0.09932,0.03634,0.04957,-0.02281
"Korea, Rep.",KOR,35,0.04385,0.15966,0.06588,0.08285,0.01631
Kuwait,KWT,23,0.04351,0.10492,0.05297,0.07148,-0.00136
Latvia,LVA,21,0.04443,0.15972,0.06185,0.16212,-0.0121
Lithuania,LTU,18,0.06826,0.17514,0.05265,0.18086,-0.0296
"Macao SAR, China",MAC,29,0.05676,0.14523,0.07587,0.0723,-0.00012
Malta,MLT,33,0.03176,0.13255,0.05142,0.07036,-0.00656
Mauritius,MUS,35,0.06591,0.13245,0.04936,0.15126,0.0415
New Zealand,NZL,13,0.02574,0.09441,0.02867,0.06898,-0.02447
Norway,NOR,28,0.04995,0.12282,0.02979,0.10278,0.00879
Oman,OMN,31,0.03798,0.10261,0.04106,0.08216,0.00358
Panama,PAN,15,0.01119,0.0711,0.03175,0.09621,0.0
Poland,POL,25,0.10757,0.18945,0.0365,0.35927,0.05128
Romania,ROU,22,0.28099,0.34672,0.02947,0.30725,0.19754
Seychelles,SYC,26,0.05859,0.16662,0.03557,0.12851,0.03311
Singapore,SGP,37,0.0199,0.10156,0.06807,0.06551,-0.01611
Slovak Republic,SVK,16,0.05539,0.10839,0.05288,0.11844,-0.02404
Slovenia,SVN,16,0.18378,0.3438,0.03363,0.51236,0.13774
St. Kitts and Nevis,KNA,35,0.03855,0.16084,0.03923,0.10176,0.0
Sweden,SWE,20,0.08562,0.13492,0.02147,0.10846,0.01165
Switzerland,CHE,34,0.01638,0.0645,0.01755,0.0433,-0.02285
Trinidad and Tobago,TTO,36,0.0515,0.11246,0.02947,0.11895,0.02846
United States,USA,54,0.03506,0.05753,0.03086,0.07193,0.0
Uruguay,URY,39,0.32279,0.37847,0.02603,0.61202,0.26255
