country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Benin,BEN,16,0.04365,0.10336,0.03598,0.10461,0.00498
Burkina Faso,BFA,16,0.04346,0.08855,0.03556,0.10491,0.00498
Burundi,BDI,18,0.07186,0.09473,0.01992,0.14268,0.06188
Central African Republic,CAF,29,0.0491,0.04696,0.01276,0.15955,0.02943
Chad,TCD,29,0.0541,0.09241,0.05462,0.15611,0.02943
Ethiopia,ETH,24,0.06266,0.1337,0.05117,0.09024,0.06898
"Gambia, The",GMB,37,0.09922,0.15469,0.03302,0.25338,0.08679
Guinea-Bissau,GNB,11,0.57313,0.55345,0.04684,0.21408,0.03978
Haiti,HTI,19,0.11026,0.16683,0.01371,0.24816,0.06052
Liberia,LBR,10,0.04191,0.14543,-0.04908,0.16541,0.0
Madagascar,MDG,26,0.12375,0.14965,0.02242,0.37271,0.08411
Malawi,MWI,35,0.21618,0.26229,0.03569,0.31756,0.20216
Mali,MLI,16,0.04762,0.06748,0.02487,0.10483,0.00498
Mozambique,MOZ,17,0.06868,0.24271,0.07487,0.19847,0.06256
Nepal,NPL,16,0.08712,0.17096,0.0393,0.1217,0.06764
Niger,NER,16,0.03747,0.0544,0.00799,0.1056,0.00498
Rwanda,RWA,16,0.06248,0.07057,0.02334,0.15451,0.03234
Senegal,SEN,16,0.05047,0.04702,0.01929,0.10426,0.00498
Sierra Leone,SLE,50,0.22825,0.27336,0.02721,0.20848,0.1956
Syrian Arab Republic,SYR,30,0.10616,0.14878,0.04247,0.08983,0.0369
Tajikistan,TJK,17,0.17741,0.32807,0.07667,0.21601,0.12255
Togo,TGO,16,0.04136,0.03039,0.01646,0.10578,0.00498
Uganda,UGA,10,0.88835,0.96409,0.03613,0.22973,1.09591
"Yemen, Rep.",YEM,18,0.11833,0.1225,0.03344,0.20713,0.04974
Zimbabwe,ZWE,29,-0.0046,-0.14583,0.01269,0.70384,0.55739
