country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Algeria,DZA,35,0.11507,0.1476,0.02866,0.07971,0.09367
Angola,AGO,20,0.92232,1.08457,0.07371,0.54953,0.73637
Argentina,ARG,21,0.12747,0.1905,0.02424,0.20195,0.11014
Armenia,ARM,20,0.0555,0.18343,0.06507,0.26864,0.00128
Azerbaijan,AZE,17,0.07777,0.29008,0.1082,0.18197,0.00085
Bangladesh,BGD,39,0.07385,0.14375,0.04812,0.12737,0.04349
Belarus,BLR,21,0.62536,0.65668,0.0516,0.34633,0.48737
Belize,BLZ,39,0.02241,0.11457,0.05103,0.13734,-0.00281
Benin,BEN,16,0.04365,0.10336,0.03598,0.10277,0.00498
Bhutan,BTN,32,0.06775,0.19408,0.07391,0.15012,0.05975
Bolivia,BOL,36,0.48241,0.58045,0.02794,0.34694,0.43878
Bosnia and Herzegovina,BIH,17,0.04669,0.21462,0.03812,0.11401,-0.011
Botswana,BWA,35,0.09274,0.15782,0.0656,0.12387,0.07461
Brazil,BRA,18,0.07935,0.12184,0.03016,0.51547,0.04699
Bulgaria,BGR,24,0.29592,0.36364,0.02034,0.37703,0.21174
Cabo Verde,CPV,35,0.03225,0.10151,0.06739,0.09794,0.02158
Cameroon,CMR,29,0.05206,0.06302,0.02607,0.16672,0.02939
China,CHN,35,0.05266,0.18299,0.09854,0.0692,0.04237
"Congo, Rep.",COG,29,0.06414,0.10378,0.03703,0.15822,0.02939
Costa Rica,CRI,33,0.14221,0.20335,0.04398,0.22243,0.0869
Cote d'Ivoire,CIV,16,0.0388,0.01647,0.00537,0.10243,0.00498
Dominica,DMA,37,0.03808,0.07989,0.02427,0.09921,0.0
Dominican Republic,DOM,24,0.08946,0.14285,0.05328,0.22332,0.05549
Ecuador,ECU,27,0.00871,0.02338,0.02876,0.26703,-0.11645
"Egypt, Arab Rep.",EGY,39,0.10632,0.15335,0.05187,0.14215,0.07917
El Salvador,SLV,18,0.04582,0.03604,0.02686,0.17017,0.07651
Equatorial Guinea,GNQ,23,0.05422,0.18866,0.21322,0.17813,0.00294
Fiji,FJI,23,0.04104,0.11972,0.02284,0.08358,0.0104
Gabon,GAB,29,0.06456,0.07567,0.01703,0.16037,0.02939
Georgia,GEO,19,0.06227,0.20378,0.057,0.21137,0.0188
Ghana,GHA,11,0.46285,0.40305,0.01106,0.20545,0.60683
Grenada,GRD,37,0.03477,0.08072,0.03113,0.10307,0.0
Guatemala,GTM,37,0.09496,0.14786,0.02957,0.15737,0.05846
Guyana,GUY,41,0.15867,0.19528,0.01536,0.15359,0.1199
Haiti,HTI,21,0.11077,0.15667,0.02044,0.23293,0.05658
Honduras,HND,33,0.08865,0.14763,0.03709,0.20518,0.07623
India,IND,37,0.07856,0.14566,0.05666,0.13464,0.05737
Indonesia,IDN,29,0.12416,0.17906,0.04971,0.17431,0.0827
Iraq,IRQ,11,0.10801,0.19514,0.06304,0.14559,-0.02179
Jamaica,JAM,39,0.16844,0.20048,0.01147,0.22606,0.13477
Jordan,JOR,25,0.04308,0.08063,0.05225,0.09726,0.00281
Kenya,KEN,44,0.10421,0.15306,0.04251,0.16642,0.06012
Kyrgyz Republic,KGZ,19,0.11969,0.1914,0.04577,0.31867,0.08283
Lebanon,LBN,10,0.28932,0.29927,0.06857,0.18256,0.1586
