country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Australia,AUS,54,0.05173,0.10383,0.0353,0.08475,0.0041
Canada,CAN,48,0.04384,0.10006,0.03614,0.07396,0.00111
Chile,CHL,38,0.12915,0.2197,0.04726,0.26014,0.09259
Czech Republic,CZE,22,0.03745,0.11808,0.02511,0.07234,-0.01604
Denmark,DNK,25,0.03941,0.08195,0.02174,0.12022,0.01506
Estonia,EST,18,0.09956,0.20994,0.04023,0.1066,-0.00664
Hungary,HUN,24,0.09623,0.13269,0.0184,0.14213,0.0506
Iceland,ISL,37,0.14074,0.21293,0.0275,0.18764,0.11018
Israel,ISR,36,0.27681,0.38534,0.04022,0.63635,0.23016
Japan,JPN,54,0.02661,0.09932,0.03634,0.04957,-0.02281
"Korea, Rep.",KOR,35,0.04385,0.15966,0.06588,0.08285,0.01631
New Zealand,NZL,13,0.02574,0.09441,0.02867,0.06898,-0.02447
Slovak Republic,SVK,16,0.05539,0.10839,0.05288,0.11844,-0.02404
Slovenia,SVN,16,0.18378,0.3438,0.03363,0.51236,0.13774
Sweden,SWE,20,0.08562,0.13492,0.02147,0.10846,0.01165
Switzerland,CHE,34,0.01638,0.0645,0.01755,0.0433,-0.02285
United States,USA,54,0.03506,0.05753,0.03086,0.07193,0.0
