country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Algeria,DZA,35,0.11508,0.1476,0.02864,0.07969,0.09367
Angola,AGO,20,0.88679,1.08457,0.08592,0.57994,0.73637
Antigua and Barbuda,ATG,37,0.03928,0.10348,0.03654,0.1154,0.0
Argentina,ARG,21,0.12747,0.1905,0.02424,0.17494,0.11014
Armenia,ARM,20,0.0555,0.18343,0.06507,0.288,0.00128
Aruba,ABW,16,0.03383,0.08693,0.0088,0.10202,0.0
Australia,AUS,54,0.05173,0.10383,0.03527,0.08591,0.0041
Azerbaijan,AZE,16,0.07991,0.29816,0.11228,0.18198,-0.00329
"Bahamas, The",BHS,39,0.0459,0.08693,0.03022,0.07423,0.0
Bahrain,BHR,29,0.03508,0.10058,0.05228,0.08922,0.0
Bangladesh,BGD,39,0.07385,0.14375,0.04812,0.12886,0.04349
Barbados,BRB,29,0.0386,0.09765,0.01112,0.09835,0.0
Belarus,BLR,21,0.62519,0.65668,0.05171,0.3724,0.48737
Benin,BEN,16,0.04365,0.10336,0.03598,0.10461,0.00498
Bhutan,BTN,32,0.06927,0.19408,0.07331,0.15063,0.05975
Bolivia,BOL,36,0.48241,0.58045,0.02794,0.36052,0.43878
Botswana,BWA,35,0.09274,0.15782,0.0656,0.127,0.07461
Brazil,BRA,18,0.07951,0.12184,0.03001,0.52811,0.04699
Brunei Darussalam,BRN,16,0.05885,0.03078,0.011,0.0555,-0.01921
Bulgaria,BGR,24,0.29591,0.36364,0.02028,0.40142,0.21174
Burkina Faso,BFA,16,0.04346,0.08855,0.03556,0.10491,0.00498
Burundi,BDI,18,0.07186,0.09473,0.01992,0.14268,0.06188
Cabo Verde,CPV,35,0.03225,0.10151,0.06739,0.09806,0.02158
Cameroon,CMR,29,0.05206,0.06302,0.02607,0.16672,0.02943
Canada,CAN,48,0.04551,0.10006,0.03458,0.07479,0.00111
Central African Republic,CAF,29,0.0491,0.04696,0.01276,0.15955,0.02943
Chad,TCD,29,0.0541,0.09241,0.05462,0.15611,0.02943
Chile,CHL,38,0.12915,0.2197,0.04726,0.26546,0.09259
China,CHN,35,0.05279,0.18299,0.09853,0.07056,0.04237
"Congo, Rep.",COG,29,0.06414,0.10378,0.03703,0.15822,0.02943
