country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Algeria,DZA,35,0.11508,0.1476,0.02864,0.07969,0.09367
Angola,AGO,20,0.88679,1.08457,0.08592,0.57994,0.73637
Armenia,ARM,20,0.0555,0.18343,0.06507,0.288,0.00128
Azerbaijan,AZE,16,0.07991,0.29816,0.11228,0.18198,-0.00329
Bangladesh,BGD,39,0.07385,0.14375,0.04812,0.12886,0.04349
Belarus,BLR,21,0.62519,0.65668,0.05171,0.3724,0.48737
Bhutan,BTN,32,0.06927,0.19408,0.07331,0.15063,0.05975
Bolivia,BOL,36,0.48241,0.58045,0.02794,0.36052,0.43878
Botswana,BWA,35,0.09274,0.15782,0.0656,0.127,0.07461
Brazil,BRA,18,0.07951,0.12184,0.03001,0.52811,0.04699
Bulgaria,BGR,24,0.29591,0.36364,0.02028,0.40142,0.21174
Cabo Verde,CPV,35,0.03225,0.10151,0.06739,0.09806,0.02158
Cameroon,CMR,29,0.05206,0.06302,0.02607,0.16672,0.02943
China,CHN,35,0.05279,0.18299,0.09853,0.07056,0.04237
"Congo, Rep.",COG,29,0.06414,0.10378,0.03703,0.15822,0.02943
Costa Rica,CRI,33,0.14178,0.20335,0.04437,0.22927,0.0869
Cote d'Ivoire,CIV,16,0.0388,0.01647,0.00537,0.10425,0.00498
Dominica,DMA,37,0.04415,0.07989,0.02517,0.10046,0.0
Dominican Republic,DOM,24,0.08842,0.14285,0.05353,0.22598,0.05507
Ecuador,ECU,27,0.00871,0.02338,0.02876,0.26703,-0.11645
"Egypt, Arab Rep.",EGY,15,0.13689,0.19209,0.06362,0.13931,0.10332
El Salvador,SLV,18,0.04582,0.03604,0.02686,0.17017,0.07651
Equatorial Guinea,GNQ,23,0.05422,0.18866,0.21322,0.17813,0.00294
Fiji,FJI,22,0.03562,0.11845,0.02292,0.08194,0.00968
Gabon,GAB,29,0.06456,0.07567,0.01703,0.16037,0.02943
Georgia,GEO,19,0.05869,0.20378,0.05672,0.22061,0.0188
Ghana,GHA,11,0.46285,0.40305,0.01106,0.20545,0.60683
Grenada,GRD,37,0.03477,0.08072,0.03113,0.10437,0.0
Guatemala,GTM,37,0.09496,0.14786,0.02957,0.15883,0.05846
Guyana,GUY,41,0.15835,0.19528,0.01563,0.15523,0.1199
