country,iso code,observations,inflation,money growth,gdp growth
Albania,ALB,21,0.0501,0.1223,0.04788
Algeria,DZA,51,0.10684,0.16024,0.03819
Angola,AGO,20,0.85355,1.0094,0.07152
Antigua and Barbuda,ATG,38,0.04139,0.0963,0.03683
Argentina,ARG,54,0.72681,0.77245,0.02646
Armenia,ARM,23,0.44282,0.46411,0.05466
Aruba,ABW,16,0.03169,0.08128,0.00825
Australia,AUS,54,0.05068,0.10181,0.03455
Austria,AUT,16,0.0162,0.07491,0.01414
Azerbaijan,AZE,23,0.42758,0.50149,0.05468
"Bahamas, The",BHS,46,0.04259,0.06965,0.01846
Bahrain,BHR,35,0.02983,0.08263,0.03987
Bangladesh,BGD,41,0.07866,0.13523,0.04486
Barbados,BRB,44,0.06994,0.10833,0.02442
Belarus,BLR,21,0.58539,0.61733,0.04919
Belgium,BEL,16,0.01686,0.06306,0.01428
Belize,BLZ,39,0.02226,0.11148,0.05013
Benin,BEN,53,0.04808,0.10734,0.03679
Bhutan,BTN,32,0.06712,0.18748,0.07085
Bolivia,BOL,54,0.33611,0.4218,0.03016
Bosnia and Herzegovina,BIH,18,0.04049,0.19611,0.04205
Botswana,BWA,39,0.09318,0.15783,0.0693
Brazil,BRA,54,0.86632,0.89717,0.04124
Brunei Darussalam,BRN,16,0.05502,0.02883,0.01039
Bulgaria,BGR,24,0.2817,0.34614,0.01965
Burkina Faso,BFA,53,0.0388,0.10509,0.04205
Burundi,BDI,51,0.09335,0.1343,0.0269
Cabo Verde,CPV,35,0.03082,0.09847,0.06613
Cambodia,KHM,22,0.03449,0.21306,0.07304
Cameroon,CMR,54,0.05296,0.09689,0.03405
Canada,CAN,48,0.04454,0.09787,0.03385
Central African Republic,CAF,54,0.05728,0.08113,0.00581
Chad,TCD,54,0.04948,0.10074,0.03434
Chile,CHL,54,0.32077,0.39771,0.0412
China,CHN,38,0.04957,0.18334,0.09512
Colombia,COL,25,0.17276,0.20659,0.04534
Comoros,COM,33,0.03681,0.07794,0.02113
"Congo, Dem. Rep.",COD,33,inf,1.17119,-0.00232
"Congo, Rep.",COG,54,0.05825,0.10906,0.04123
Costa Rica,CRI,54,0.13051,0.19679,0.04724
Cote d'Ivoire,CIV,53,0.05417,0.09804,0.03607
Croatia,HRV,20,0.03354,0.13031,0.01875
Cyprus,CYP,40,0.04915,0.14386,0.04515
Czech Republic,CZE,22,0.03561,0.11242,0.02367
Denmark,DNK,54,0.04827,0.08561,0.02166
Djibouti,DJI,25,0.03482,0.07611,0.01616
Dominica,DMA,38,0.04453,0.0874,0.02702
Dominican Republic,DOM,54,0.10955,0.15444,0.05212
Ecuador,ECU,54,0.04947,0.0917,0.03995
"Egypt, Arab Rep.",EGY,50,0.09394,0.14228,0.04731
El Salvador,SLV,50,0.04579,0.07121,0.02251
Equatorial Guinea,GNQ,30,0.04698,0.18565,0.1518
Eritrea,ERI,19,0.12624,0.19008,-0.01528
Estonia,EST,20,0.06098,0.19953,0.04017
Ethiopia,ETH,28,0.06315,0.12716,0.03966
Fiji,FJI,54,0.05612,0.10394,0.02958
Finland,FIN,16,0.01645,0.06528,0.01383
France,FRA,16,0.01421,0.06584,0.0119
Gabon,GAB,54,0.06549,0.10463,0.037
"Gambia, The",GMB,49,0.09244,0.14625,0.03692
Georgia,GEO,20,0.07175,0.19998,0.05643
Germany,DEU,16,0.01051,0.07344,0.01117
Ghana,GHA,54,0.25332,0.30504,0.03429
Greece,GRC,14,0.0157,0.01423,-0.00455
Grenada,GRD,38,0.04398,0.08359,0.03218
Guatemala,GTM,54,0.07758,0.13332,0.03792
Guinea-Bissau,GNB,29,0.22946,0.28952,0.02114
Guyana,GUY,54,0.12987,0.16738,0.01877
Haiti,HTI,17,0.10067,0.17025,0.01163
Honduras,HND,54,0.08245,0.13452,0.0392
"Hong Kong SAR, China",HKG,24,0.01395,0.09846,0.0361
Hungary,HUN,24,0.09196,0.12682,0.01725
Iceland,ISL,54,0.15816,0.21194,0.0368
India,IND,54,0.07266,0.13018,0.05127
Indonesia,IDN,46,0.12977,0.21067,0.05812
"Iran, Islamic Rep.",IRN,23,0.11242,0.22241,0.05609
Ireland,IRL,16,0.01436,0.12348,0.03079
Israel,ISR,54,0.24169,0.31963,0.0509
Italy,ITA,16,0.01863,0.04956,0.00147
Jamaica,JAM,49,0.15105,0.18899,0.01426
Japan,JPN,54,0.02545,0.0974,0.03529
Jordan,JOR,40,0.04904,0.09715,0.05526
Kazakhstan,KAZ,22,0.33308,0.33374,0.04217
Kenya,KEN,49,0.09279,0.14652,0.04437
"Korea, Rep.",KOR,54,0.09244,0.19686,0.07197
Kosovo,KSV,14,0.01555,0.08659,0.03341
Kuwait,KWT,23,0.04259,0.10014,0.04986
Kyrgyz Republic,KGZ,20,0.1239,0.17972,0.04475
Lao PDR,LAO,22,0.17816,0.28591,0.06339
Latvia,LVA,22,0.04693,0.16497,0.05732
Lebanon,LBN,27,0.11588,0.15178,0.03651
Lesotho,LSO,35,0.08776,0.13516,0.03816
Liberia,LBR,16,0.05539,0.10952,-0.02368
Libya,LBY,16,0.08728,0.14838,-0.01214
Lithuania,LTU,22,0.0622,0.15478,0.04823
Luxembourg,LUX,15,0.02557,0.10151,0.02475
"Macao SAR, China",MAC,31,0.05314,0.14416,0.07486
"Macedonia, FYR",MKD,22,0.07993,0.14715,0.02264
Madagascar,MDG,53,0.1128,0.1331,0.01763
Malawi,MWI,50,0.1649,0.21048,0.0414
Malaysia,MYS,54,0.03796,0.11221,0.06175
Maldives,MDV,14,0.04489,0.16714,0.06307
Mali,MLI,48,0.04948,0.10394,0.04986
Malta,MLT,44,0.03095,0.13268,0.04781
Mauritania,MRT,30,0.07219,0.12571,0.03319
Mauritius,MUS,39,0.07342,0.12743,0.04296
Mexico,MEX,54,0.19039,0.24859,0.03921
