country,iso code,observations,inflation,money growth,gdp growth
Antigua and Barbuda,ATG,38,0.04139,0.0963,0.03683
Aruba,ABW,16,0.03169,0.08128,0.00825
Australia,AUS,54,0.05068,0.10181,0.03455
Austria,AUT,16,0.0162,0.07491,0.01414
"Bahamas, The",BHS,46,0.04259,0.06965,0.01846
Bahrain,BHR,35,0.02983,0.08263,0.03987
Barbados,BRB,44,0.06994,0.10833,0.02442
Belgium,BEL,16,0.01686,0.06306,0.01428
Brunei Darussalam,BRN,16,0.05502,0.02883,0.01039
Canada,CAN,48,0.04454,0.09787,0.03385
Chile,CHL,54,0.32077,0.39771,0.0412
Croatia,HRV,20,0.03354,0.13031,0.01875
Cyprus,CYP,40,0.04915,0.14386,0.04515
Czech Republic,CZE,22,0.03561,0.11242,0.02367
Denmark,DNK,54,0.04827,0.08561,0.02166
Estonia,EST,20,0.06098,0.19953,0.04017
Finland,FIN,16,0.01645,0.06528,0.01383
France,FRA,16,0.01421,0.06584,0.0119
Germany,DEU,16,0.01051,0.07344,0.01117
Greece,GRC,14,0.0157,0.01423,-0.00455
"Hong Kong SAR, China",HKG,24,0.01395,0.09846,0.0361
Hungary,HUN,24,0.09196,0.12682,0.01725
Iceland,ISL,54,0.15816,0.21194,0.0368
Ireland,IRL,16,0.01436,0.12348,0.03079
Israel,ISR,54,0.24169,0.31963,0.0509
Italy,ITA,16,0.01863,0.04956,0.00147
Japan,JPN,54,0.02545,0.0974,0.03529
"Korea, Rep.",KOR,54,0.09244,0.19686,0.07197
Kuwait,KWT,23,0.04259,0.10014,0.04986
Latvia,LVA,22,0.04693,0.16497,0.05732
Lithuania,LTU,22,0.0622,0.15478,0.04823
Luxembourg,LUX,15,0.02557,0.10151,0.02475
"Macao SAR, China",MAC,31,0.05314,0.14416,0.07486
Malta,MLT,44,0.03095,0.13268,0.04781
Netherlands,NLD,16,0.01806,0.06591,0.01145
New Zealand,NZL,34,0.05409,0.09004,0.02303
Norway,NOR,46,0.05425,0.10957,0.03446
Oman,OMN,43,0.07766,0.14007,0.05232
Poland,POL,25,0.10402,0.18123,0.03488
Portugal,PRT,16,0.02036,0.03117,0.00307
Qatar,QAT,21,0.0282,0.19163,0.1125
Saudi Arabia,SAU,47,0.06309,0.14228,0.04648
Seychelles,SYC,44,0.07764,0.14604,0.03995
Singapore,SGP,52,0.02435,0.10623,0.0733
Slovak Republic,SVK,22,0.03866,0.10283,0.0393
Slovenia,SVN,20,0.04061,0.19448,0.02375
Spain,ESP,16,0.02082,0.08484,0.01455
St. Kitts and Nevis,KNA,36,0.03779,0.14659,0.03854
Sweden,SWE,29,0.07179,0.10587,0.02789
Switzerland,CHE,35,0.01681,0.06059,0.01696
Trinidad and Tobago,TTO,54,0.07089,0.11841,0.02854
United Arab Emirates,ARE,40,0.03538,0.13659,0.04692
United States,USA,54,0.03374,0.05644,0.03075
Uruguay,URY,54,0.36846,0.40479,0.02251
