country,iso code,observations,inflation,money growth,gdp growth
Benin,BEN,53,0.04808,0.10734,0.03679
Burkina Faso,BFA,53,0.0388,0.10509,0.04205
Burundi,BDI,51,0.09335,0.1343,0.0269
Central African Republic,CAF,54,0.05728,0.08113,0.00581
Chad,TCD,54,0.04948,0.10074,0.03434
Comoros,COM,33,0.03681,0.07794,0.02113
"Congo, Dem. Rep.",COD,33,inf,1.17119,-0.00232
Eritrea,ERI,19,0.12624,0.19008,-0.01528
Ethiopia,ETH,28,0.06315,0.12716,0.03966
"Gambia, The",GMB,49,0.09244,0.14625,0.03692
Guinea-Bissau,GNB,29,0.22946,0.28952,0.02114
Haiti,HTI,17,0.10067,0.17025,0.01163
Liberia,LBR,16,0.05539,0.10952,-0.02368
Madagascar,MDG,53,0.1128,0.1331,0.01763
Malawi,MWI,50,0.1649,0.21048,0.0414
Mali,MLI,48,0.04948,0.10394,0.04986
Mozambique,MOZ,26,0.1642,0.26975,0.07078
Nepal,NPL,54,0.08155,0.14608,0.03655
Niger,NER,53,0.0447,0.10305,0.02146
Rwanda,RWA,42,0.09589,0.12538,0.03772
Senegal,SEN,53,0.04198,0.08039,0.0273
Sierra Leone,SLE,54,0.20593,0.24773,0.02859
Tanzania,TZA,27,0.14873,0.20918,0.04978
Togo,TGO,53,0.04704,0.09973,0.03433
Uganda,UGA,33,0.26819,0.36831,0.0568
Zimbabwe,ZWE,32,-0.00124,-0.12919,0.00813
