country,iso code,observations,inflation,money growth,gdp growth
Australia,AUS,54,0.05068,0.10181,0.03455
Canada,CAN,48,0.04454,0.09787,0.03385
Chile,CHL,54,0.32077,0.39771,0.0412
Czech Republic,CZE,22,0.03561,0.11242,0.02367
Denmark,DNK,54,0.04827,0.08561,0.02166
Estonia,EST,20,0.06098,0.19953,0.04017
Hungary,HUN,24,0.09196,0.12682,0.01725
Iceland,ISL,54,0.15816,0.21194,0.0368
Israel,ISR,54,0.24169,0.31963,0.0509
Japan,JPN,54,0.02545,0.0974,0.03529
"Korea, Rep.",KOR,54,0.09244,0.19686,0.07197
New Zealand,NZL,34,0.05409,0.09004,0.02303
Slovak Republic,SVK,22,0.03866,0.10283,0.0393
Slovenia,SVN,20,0.04061,0.19448,0.02375
Sweden,SWE,29,0.07179,0.10587,0.02789
Switzerland,CHE,35,0.01681,0.06059,0.01696
United States,USA,54,0.03374,0.05644,0.03075
