country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Algeria,DZA,21,0.08604,0.15068,0.03449,0.10163,0.04043
Angola,AGO,20,0.85355,1.0094,0.07152,0.62012,0.68912
Antigua and Barbuda,ATG,37,0.04021,0.10055,0.03669,0.1165,0.0
Argentina,ARG,21,0.11296,0.18065,0.02883,0.15976,0.10463
Armenia,ARM,20,0.05286,0.17351,0.06167,0.30031,0.00122
Aruba,ABW,16,0.03169,0.08128,0.00825,0.10713,0.0
Australia,AUS,40,0.04857,0.11052,0.03064,0.1077,0.00937
Azerbaijan,AZE,16,0.0747,0.27716,0.1049,0.18402,-0.00308
"Bahamas, The",BHS,39,0.03775,0.08461,0.02964,0.07498,0.0
Bahrain,BHR,29,0.03431,0.09695,0.05047,0.08922,0.0
Bangladesh,BGD,39,0.07189,0.13982,0.04686,0.13032,0.04235
Barbados,BRB,29,0.03821,0.09413,0.01128,0.09886,0.0
Belarus,BLR,20,0.46575,0.55111,0.0575,0.40402,0.40413
Benin,BEN,16,0.04087,0.0966,0.0337,0.14307,0.00467
Bhutan,BTN,32,0.06712,0.18748,0.07085,0.15012,0.05783
Bolivia,BOL,36,0.46629,0.56048,0.02715,0.37566,0.42431
Botswana,BWA,35,0.08994,0.15298,0.06298,0.13011,0.0724
Brazil,BRA,18,0.0741,0.11469,0.0282,0.53158,0.04432
Brunei Darussalam,BRN,16,0.05502,0.02883,0.01039,0.05556,-0.01802
Bulgaria,BGR,24,0.2817,0.34614,0.01965,0.42884,0.20208
Burkina Faso,BFA,16,0.04069,0.08279,0.0333,0.1431,0.00467
Burundi,BDI,18,0.06774,0.08924,0.0188,0.14253,0.05834
Cabo Verde,CPV,35,0.03082,0.09847,0.06613,0.09819,0.02099
Cameroon,CMR,29,0.04808,0.06078,0.02405,0.1675,0.02841
Canada,CAN,48,0.04454,0.09787,0.03385,0.07566,0.00108
Central African Republic,CAF,29,0.04777,0.0453,0.01194,0.15925,0.02841
Chad,TCD,29,0.05219,0.08909,0.05269,0.15563,0.02841
Chile,CHL,38,0.12488,0.21334,0.04763,0.27648,0.09005
China,CHN,35,0.0512,0.17733,0.09549,0.07206,0.04114
"Congo, Rep.",COG,29,0.06186,0.10002,0.03573,0.15792,0.02841
Costa Rica,CRI,33,0.13457,0.19661,0.04477,0.23599,0.08416
Cote d'Ivoire,CIV,16,0.03633,0.01543,0.00503,0.14307,0.00467
Croatia,HRV,19,0.03533,0.13198,0.01994,1.30085,0.00458
Cyprus,CYP,33,0.05704,0.12763,0.05749,0.08179,0.00438
Czech Republic,CZE,22,0.03561,0.11242,0.02367,0.07852,-0.01532
Denmark,DNK,25,0.03786,0.07855,0.02086,0.12022,0.01446
Dominica,DMA,37,0.04279,0.07765,0.02467,0.10144,0.0
Dominican Republic,DOM,24,0.08193,0.13651,0.05245,0.22898,0.05272
Ecuador,ECU,27,0.00839,0.0225,0.02768,0.26361,0.29155
"Egypt, Arab Rep.",EGY,15,0.12721,0.17821,0.05925,0.13831,0.09611
El Salvador,SLV,18,0.04248,0.034,0.03227,0.17017,0.07211
Equatorial Guinea,GNQ,23,0.04422,0.17976,0.20168,0.17786,0.00281
Estonia,EST,16,0.06762,0.19159,0.0395,0.10928,0.00184
Ethiopia,ETH,24,0.05997,0.12779,0.04898,0.09024,0.06601
Fiji,FJI,22,0.03621,0.11278,0.02015,0.08403,0.00924
Gabon,GAB,29,0.06226,0.07297,0.01644,0.15986,0.02841
"Gambia, The",GMB,37,0.09698,0.15021,0.03216,0.24971,0.08435
Georgia,GEO,19,0.05559,0.19209,0.05358,0.23062,0.0178
Ghana,GHA,11,0.41312,0.36052,0.01005,0.20674,0.53902
