country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Antigua and Barbuda,ATG,37,0.04021,0.10055,0.03669,0.1165,0.0
Aruba,ABW,16,0.03169,0.08128,0.00825,0.10713,0.0
Australia,AUS,40,0.04857,0.11052,0.03064,0.1077,0.00937
"Bahamas, The",BHS,39,0.03775,0.08461,0.02964,0.07498,0.0
Bahrain,BHR,29,0.03431,0.09695,0.05047,0.08922,0.0
Barbados,BRB,29,0.03821,0.09413,0.01128,0.09886,0.0
Brunei Darussalam,BRN,16,0.05502,0.02883,0.01039,0.05556,-0.01802
Canada,CAN,48,0.04454,0.09787,0.03385,0.07566,0.00108
Chile,CHL,38,0.12488,0.21334,0.04763,0.27648,0.09005
Croatia,HRV,19,0.03533,0.13198,0.01994,1.30085,0.00458
Cyprus,CYP,33,0.05704,0.12763,0.05749,0.08179,0.00438
Czech Republic,CZE,22,0.03561,0.11242,0.02367,0.07852,-0.01532
Denmark,DNK,25,0.03786,0.07855,0.02086,0.12022,0.01446
Estonia,EST,16,0.06762,0.19159,0.0395,0.10928,0.00184
"Hong Kong SAR, China",HKG,24,0.01395,0.09846,0.0361,0.06774,-9e-05
Hungary,HUN,24,0.09196,0.12682,0.01725,0.15935,0.04844
Iceland,ISL,37,0.1349,0.20662,0.02703,0.19938,0.10705
Israel,ISR,34,0.28874,0.37995,0.04193,0.73918,0.24041
Japan,JPN,54,0.02545,0.0974,0.03529,0.05171,-0.0224
"Korea, Rep.",KOR,35,0.04296,0.15476,0.06225,0.08757,0.01584
Kuwait,KWT,23,0.04259,0.10014,0.04986,0.0734,-0.0013
Latvia,LVA,21,0.04862,0.15156,0.05895,0.17615,-0.01153
Lithuania,LTU,18,0.07048,0.16465,0.04982,0.17928,-0.02798
"Macao SAR, China",MAC,28,0.05131,0.1337,0.07529,0.07523,-0.0001
Malta,MLT,33,0.03069,0.12829,0.0482,0.07252,-0.00637
New Zealand,NZL,12,0.02608,0.07927,0.02335,0.07011,-0.02539
Norway,NOR,28,0.04811,0.11818,0.02871,0.10278,0.00847
Oman,OMN,31,0.03782,0.09914,0.03891,0.08325,0.00347
Poland,POL,17,0.14318,0.2197,0.03455,0.45329,0.07211
Seychelles,SYC,26,0.05697,0.15973,0.03579,0.1292,0.03182
Singapore,SGP,37,0.01902,0.09868,0.06573,0.06682,-0.01568
Slovak Republic,SVK,16,0.05187,0.10129,0.04949,0.12663,-0.02255
Slovenia,SVN,12,0.05635,0.2621,0.03739,0.68353,0.04058
St. Kitts and Nevis,KNA,34,0.03355,0.12585,0.03808,0.10366,0.0
Sweden,SWE,20,0.08117,0.12776,0.02038,0.10951,0.01107
Switzerland,CHE,34,0.01566,0.06254,0.01699,0.04523,-0.02218
Trinidad and Tobago,TTO,35,0.05081,0.10759,0.02254,0.12288,0.02846
United States,USA,54,0.03374,0.05644,0.03075,0.07393,0.0
Uruguay,URY,39,0.31334,0.36717,0.02536,0.61308,0.25503
