country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Algeria,DZA,21,0.08634,0.15068,0.0342,0.10266,0.04043
Angola,AGO,20,0.85768,1.0094,0.08189,0.64269,0.68912
Armenia,ARM,20,0.05286,0.17351,0.06167,0.30653,0.00122
Azerbaijan,AZE,16,0.0747,0.27716,0.1049,0.18457,-0.00308
Bangladesh,BGD,39,0.07189,0.13982,0.04686,0.13936,0.04235
Belarus,BLR,20,0.46588,0.55111,0.05743,0.40402,0.40413
Bhutan,BTN,32,0.06712,0.18748,0.07085,0.1505,0.05783
Bolivia,BOL,36,0.46629,0.56048,0.02715,0.38385,0.42431
Botswana,BWA,35,0.0895,0.15298,0.0633,0.13156,0.0724
Brazil,BRA,18,0.07251,0.11469,0.02783,0.53669,0.04433
Bulgaria,BGR,24,0.2817,0.34614,0.01965,0.44359,0.20208
Cabo Verde,CPV,35,0.03082,0.09847,0.06613,0.09804,0.02099
Cameroon,CMR,29,0.04808,0.06078,0.02405,0.1675,0.02841
China,CHN,35,0.05121,0.17733,0.09549,0.07287,0.04114
"Congo, Rep.",COG,29,0.06186,0.10002,0.03573,0.15792,0.02841
Costa Rica,CRI,33,0.13457,0.19661,0.04477,0.23883,0.08416
Cote d'Ivoire,CIV,16,0.03633,0.01543,0.00503,0.14307,0.00467
Dominica,DMA,37,0.04276,0.07765,0.02467,0.10184,0.0
Dominican Republic,DOM,24,0.08193,0.13651,0.05245,0.23232,0.05272
Ecuador,ECU,27,0.00839,0.0225,0.02768,0.26361,0.29155
"Egypt, Arab Rep.",EGY,15,0.12721,0.17821,0.05925,0.13889,0.09611
El Salvador,SLV,18,0.04248,0.034,0.03227,0.17017,0.07211
Fiji,FJI,22,0.03621,0.11278,0.02015,0.08522,0.00924
Gabon,GAB,29,0.06198,0.07297,0.01671,0.15986,0.02841
Georgia,GEO,19,0.05572,0.19209,0.05352,0.23619,0.0178
Ghana,GHA,11,0.41312,0.36052,0.01005,0.20674,0.53902
Grenada,GRD,37,0.04002,0.07845,0.03159,0.10583,0.0
Guatemala,GTM,37,0.09231,0.14359,0.02878,0.16106,0.05684
