country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Australia,AUS,54,0.05075,0.10181,0.03461,0.08591,0.00403
Canada,CAN,48,0.04454,0.09787,0.03385,0.07479,0.00108
Chile,CHL,38,0.12555,0.21334,0.04599,0.26546,0.09005
Czech Republic,CZE,22,0.03572,0.11242,0.02396,0.07524,-0.01532
Denmark,DNK,25,0.0378,0.07855,0.02086,0.12022,0.01446
Estonia,EST,16,0.06775,0.19159,0.03937,0.1066,0.00184
Hungary,HUN,24,0.09203,0.12682,0.01752,0.14959,0.04844
Iceland,ISL,37,0.13548,0.20662,0.02694,0.19329,0.10705
Israel,ISR,36,0.26777,0.37286,0.03931,0.66719,0.2231
Japan,JPN,54,0.02611,0.0974,0.03566,0.05028,-0.0224
"Korea, Rep.",KOR,35,0.04257,0.15476,0.06394,0.08476,0.01584
New Zealand,NZL,12,0.02464,0.07927,0.02479,0.069,-0.02539
Slovak Republic,SVK,16,0.05186,0.10129,0.04965,0.11844,-0.02255
Slovenia,SVN,12,0.05635,0.2621,0.03739,0.51236,0.04058
Sweden,SWE,20,0.08117,0.12776,0.02038,0.10951,0.01107
Switzerland,CHE,34,0.01589,0.06254,0.01703,0.04471,-0.02218
United States,USA,54,0.03377,0.05644,0.03081,0.07323,0.0
