,deflator inflation - 1yr forecast,deflator inflation - 1yr actual,interest 1yr
1970-01-01,3.40982693021446,5.070705931799502,6.8975
1971-01-01,3.3754794587326495,4.320006342799809,4.88
1972-01-01,3.5594322942828494,5.441240257566654,4.96
1973-01-01,4.249566217361466,8.987362134620124,7.3116666666666665
1974-01-01,6.492398256392168,9.254447491140327,8.181666666666667
1975-01-01,6.246755763032047,5.513267709316343,6.758333333333334
1976-01-01,5.966827624831067,6.185162060891552,5.8741666666666665
1977-01-01,5.941588888487187,6.994235670622102,6.088333333333334
1978-01-01,6.608822348280763,8.283993072304396,8.34
1979-01-01,7.866548333953254,9.026397577962282,10.665000000000001
1980-01-01,8.960934341929205,9.354423840782966,12.048333333333334
1981-01-01,8.265561404271237,6.214584430278325,14.778333333333332
1982-01-01,6.180291724421294,3.933272605085269,12.275000000000002
1983-01-01,5.076742571297249,3.5593464421303898,9.5725
1984-01-01,4.879398363799015,3.2051245988710173,10.8875
1985-01-01,4.127396074198009,2.022970805792429,8.425833333333333
1986-01-01,3.053177899353976,2.5423105437255566,6.4624999999999995
1987-01-01,3.8458681092346403,3.496315113753778,6.764166666666666
1988-01-01,4.064300937660925,3.89814097594694,7.6525
1989-01-01,4.359743841191916,3.7055930078762125,8.535
1990-01-01,4.121823925738294,3.3254320115828797,7.8825
1991-01-01,3.355644948502734,2.276996200738468,5.858333333333333
1992-01-01,2.963660241544519,2.381247098530409,3.8891666666666667
1993-01-01,2.8553637596360426,2.1275379395851557,3.434166666666667
1994-01-01,2.952504652896432,2.0887004539940692,5.31
1995-01-01,2.6868089645104174,1.8243908176709567,5.948333333333332
1996-01-01,2.4836600006052034,1.712917216610238,5.5125
1997-01-01,2.4382646502927874,1.0848872124265274,5.630000000000001
1998-01-01,2.042288472782033,1.5287880076211458,5.051666666666667
1999-01-01,1.7413800649669076,2.275096551986705,5.0775
2000-01-01,2.209241276055324,2.2849350015796244,6.1083333333333325
2001-01-01,2.0045434374428464,1.5340339109729928,3.4808333333333334
2002-01-01,1.8825451091395717,1.9884947127701447,2.001666666666667
2003-01-01,1.7733443733720489,2.7485097438093744,1.2441666666666666
2004-01-01,1.8884277494615742,3.217206627436547,1.8866666666666667
2005-01-01,2.160394297438273,3.079032839419088,3.618333333333333
2006-01-01,2.2783162880402608,2.6618867444650256,4.9325
2007-01-01,2.2333177815316017,1.9683675012338697,4.5216666666666665
2008-01-01,2.2012650560105484,0.7584343304856245,1.8225
2009-01-01,1.4154031340263329,1.2172045797712194,0.4708333333333333
2010-01-01,1.5530238014611397,2.064951290359568,0.31833333333333336
2011-01-01,1.7734482606252822,1.8451258563461248,0.18166666666666667
2012-01-01,1.8844626391936792,1.6283835603915553,0.17500000000000002
2013-01-01,1.8536218730180354,1.642403888098426,0.13166666666666668
2014-01-01,1.8864116093001537,1.0033782386231593,0.12083333333333333
2015-01-01,1.8008182186735777,,0.32166666666666666
2016-01-01,1.8084940883634104,,0.5766666666666667
