date,1-year nominal interest rate,1-year inflation forecast,1-year actual inflation,1-year ahead consumption growth,1-year population growth
1971-01-01,4.88,3.406,4.2403,5.9543,2.6333
1972-01-01,4.96,3.4893,5.2979,4.8363,2.0639
1973-01-01,7.3117,3.8333,8.6027,-0.8285,2.0102
1974-01-01,8.1817,5.9133,8.8563,2.2452,2.0224
1975-01-01,6.7583,6.6149,5.3454,5.427,1.8262
1976-01-01,5.8742,6.0868,6.0178,4.1278,1.8496
1977-01-01,6.0883,5.8849,6.7859,4.3022,1.789
1978-01-01,8.34,6.3246,7.9318,2.3475,1.8376
1979-01-01,10.665,7.5929,8.6346,-0.3152,1.5413
1980-01-01,12.0483,8.6646,8.9255,1.4747,1.3428
1981-01-01,14.7783,8.729,6.0188,1.4119,1.1807
1982-01-01,12.275,6.6625,3.8732,5.544,1.1036
1983-01-01,9.5725,5.091,3.4874,5.139,1.24
1984-01-01,10.8875,5.1593,3.1483,5.1229,1.0134
1985-01-01,8.4258,4.2371,1.9977,4.1142,1.3503
1986-01-01,6.4625,3.2689,2.5196,3.3266,1.1354
1987-01-01,6.7642,3.7189,3.4418,4.0992,0.9658
1988-01-01,7.6525,3.877,3.8145,2.8765,0.9464
1989-01-01,8.535,4.4559,3.6309,2.0391,1.5123
1990-01-01,7.8825,4.0517,3.275,0.2289,0.9329
1991-01-01,5.8583,3.6236,2.2542,3.6422,1.0301
1992-01-01,3.8892,3.0853,2.3514,3.4159,1.0319
1993-01-01,3.4342,2.8237,2.1051,3.8045,1.0016
1994-01-01,5.31,2.8851,2.0643,2.9476,0.8775
1995-01-01,5.9483,2.8749,1.809,3.4332,1.061
1996-01-01,5.5125,2.43,1.6974,3.6952,1.2136
1997-01-01,5.63,2.5053,1.0799,5.2087,1.0586
1998-01-01,5.0517,2.1534,1.5177,5.1619,1.2344
1999-01-01,5.0775,1.7513,2.2501,4.9525,2.3212
2000-01-01,6.1083,2.0976,2.2544,2.5604,1.1994
2001-01-01,3.4808,2.135,1.5226,2.5465,1.1153
2002-01-01,2.0017,1.8357,1.9748,3.0782,1.7079
2003-01-01,1.2442,1.8159,2.7126,3.769,0.9532
2004-01-01,1.8867,1.8274,3.1674,3.4539,1.2321
2005-01-01,3.6183,2.1133,3.0259,2.9961,1.1728
2006-01-01,4.9325,2.2578,2.6262,2.2142,1.3159
2007-01-01,4.5217,2.2401,1.9422,-0.3432,0.8027
2008-01-01,1.8225,2.2766,0.7569,-1.6138,0.8005
2009-01-01,0.4708,1.5303,1.2136,1.9042,0.826
2010-01-01,0.3183,1.5429,2.0438,2.2385,0.707
2011-01-01,0.1817,1.6714,1.8253,1.448,1.5532
2012-01-01,0.175,1.8687,1.6169,1.6874,0.9754
2013-01-01,0.1317,1.9003,1.6298,2.6583,0.9206
