Year,Fannie Mae,Freddie Mac,Ginnie Mae,Total
1970,0.00,0.00,0.00,0.00
1971,0.00,0.00,0.00,0.00
1972,0.00,0.00,0.00,0.00
1973,0.00,0.00,0.00,0.00
1974,0.00,0.00,0.00,0.00
1975,0.00,0.00,0.00,0.00
1976,0.00,0.00,0.00,0.00
1977,0.00,0.00,0.00,0.00
1978,0.00,0.00,0.00,0.00
1979,0.00,0.00,0.00,0.00
1980,0.00,0.00,0.00,0.00
1981,0.00,0.00,0.00,0.00
1982,0.00,0.00,0.00,0.00
1983,0.00,1685.00,0.00,1685.00
1984,0.00,1805.00,0.00,1805.00
1985,0.00,2625.00,0.00,2625.00
1986,2392.00,2233.00,0.00,4625.00
1987,9696.00,0.00,0.00,9696.00
1988,16752.00,12985.00,0.00,29737.00
1989,40958.00,39754.00,0.00,80712.00
1990,66784.00,40479.00,0.00,107263.00
1991,112688.00,72032.00,0.00,184720.00
1992,164750.00,131284.00,0.00,296034.00
1993,245487.00,143336.00,0.00,388823.00
1994,80862.00,73131.00,3111.00,157103.00
1995,8920.00,15372.00,2226.00,26517.00
1996,33981.00,34145.00,8018.00,76144.00
1997,86966.00,84366.00,8805.00,180136.00
1998,83001.00,135162.00,14761.00,232924.00
1999,58286.00,119565.00,30021.00,207872.00
2000,42154.00,48202.00,18568.00,108924.00
2001,155405.00,192437.00,46330.00,394171.00
2002,199658.00,331672.00,66204.00,597534.00
2003,255428.00,298118.00,72939.00,626485.00
2004,111740.00,215506.00,50748.00,377994.00
2005,125783.00,208450.00,30173.00,364406.00
2006,123857.00,169396.00,22746.00,315999.00
2007,106533.00,133321.00,36718.00,276573.00
2008,95006.00,64305.00,37750.00,197061.00
2009,100846.00,86202.00,101672.00,288720.00
2010,175322.00,124100.00,200584.00,500006.00
2011,136821.00,156200.00,83706.00,376728.00
2012,127700.00,107900.00,49500.00,285100.00
