Year,Fannie Mae,Freddie Mac,Ginnie Mae,Private Non-Agency
1970,0.00,0.00,452.00,0.00
1971,0.00,65.00,2702.00,0.00
1972,0.00,494.00,2662.00,0.00
1973,0.00,323.00,3277.00,0.00
1974,0.00,46.00,5754.00,0.00
1975,0.00,950.00,9350.00,0.00
1976,0.00,1360.00,14340.00,0.00
1977,0.00,4657.00,15843.00,0.00
1978,0.00,6412.00,11888.00,0.00
1979,0.00,4546.00,23554.00,0.00
1980,0.00,2526.00,20600.00,0.00
1981,717.00,3526.00,14300.00,0.00
1982,13403.00,24169.00,16000.00,0.00
1983,13107.00,19691.00,50700.00,0.00
1984,12700.00,18684.00,28097.00,0.00
1985,23126.00,38828.00,45980.00,0.00
1986,61722.00,100198.00,101433.00,0.00
1987,70300.00,75018.00,94890.00,0.00
1988,63279.00,39777.00,55181.00,0.00
1989,83398.00,73518.00,57074.00,0.00
1990,112792.00,73815.00,64395.00,0.00
1991,111539.00,92479.00,62630.00,0.00
1992,193667.00,179207.00,81917.00,0.00
1993,220595.00,208724.00,137989.00,0.00
1994,128629.00,117110.00,111191.00,0.00
1995,103107.00,85877.00,72895.00,0.00
1996,147333.00,119702.00,100900.00,367935.00
1997,145807.00,114258.00,104300.00,364365.00
1998,321236.00,250564.00,150200.00,722000.00
1999,294740.00,233031.00,151500.00,679271.00
2000,204189.00,166901.00,103300.00,474390.00
2001,521971.00,389611.00,174600.00,1086182.00
2002,725742.00,547046.00,174000.00,1446788.00
2003,1199549.00,713280.00,217900.00,2130729.00
2004,524885.00,365148.00,125000.00,1015033.00
2005,498549.00,397867.00,86900.00,983316.00
2006,479773.00,360023.00,83300.00,923096.00
2007,620998.00,470976.00,97010.00,1188984.00
2008,541902.00,357861.00,269980.00,1169743.00
2009,804784.00,475412.00,454030.00,1734226.00
2010,627101.00,393037.00,399750.00,1419888.00
2011,610495.00,301174.00,328459.00,1240128.00
2012,865507.00,466479.00,424899.00,1756885.00
