,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,United States,VA,VT,WA,WI,WV,WY
1840-01-01,961.6935483870968,1233.8709677419356,NaN,NaN,NaN,1651.2096774193549,NaN,1233.8709677419356,1252.016129032258,1034.274193548387,689.516129032258,NaN,852.8225806451613,743.9516129032259,NaN,943.5483870967741,2050.4032258064517,1941.532258064516,1143.1451612903227,1034.274193548387,798.3870967741935,NaN,961.6935483870968,1524.1935483870968,NaN,925.4032258064516,NaN,NaN,1161.2903225806451,1506.0483870967741,NaN,NaN,1451.6129032258063,870.9677419354839,NaN,NaN,1360.8870967741937,2141.1290322580644,1016.1290322580645,NaN,852.8225806451613,NaN,NaN,1179.4354838709678,979.8387096774194,1179.4354838709678,NaN,1451.6129032258063,979.8387096774194,NaN
1880-01-01,1129.032258064516,1249.9999999999998,4778.225806451613,3911.290322580645,4455.645161290322,2943.5483870967737,NaN,2177.4193548387093,967.7419354838709,1129.032258064516,2116.9354838709673,4637.096774193548,2278.2258064516127,1874.9999999999998,1471.7741935483868,1169.3548387096773,1391.1290322580644,2883.0645161290317,1733.8709677419354,1774.1935483870966,2137.0967741935483,1955.6451612903224,1653.2258064516127,1290.3225806451612,4838.709677419354,927.4193548387096,2116.9354838709673,1874.9999999999998,2379.032258064516,2499.9999999999995,1189.516129032258,6411.290322580645,2459.6774193548385,1975.806451612903,NaN,2883.0645161290317,2298.387096774193,3024.1935483870966,1028.2258064516127,2116.9354838709673,1048.3870967741934,1209.6774193548385,1633.0645161290322,1915.322580645161,1028.2258064516127,2096.774193548387,2822.5806451612902,1895.1612903225805,1088.7096774193546,3104.838709677419
1900-01-01,1350.0,1371.774193548387,4354.8387096774195,3941.1290322580644,3810.483870967742,3396.7741935483873,NaN,2721.7741935483873,1458.8709677419356,1219.3548387096773,3004.8387096774195,3766.935483870968,2917.741935483871,2416.935483870968,2656.451612903226,1502.4193548387098,1589.516129032258,3396.7741935483873,2177.4193548387098,2438.7096774193546,2329.8387096774195,2591.1290322580644,2155.6451612903224,1350.0,5900.806451612903,1175.8064516129032,1513.3064516129032,2917.741935483871,3004.8387096774195,3091.935483870968,2242.741935483871,6118.548387096775,3091.935483870968,2700.0,1785.483870967742,3266.1290322580644,3091.935483870968,3505.6451612903224,1241.1290322580646,1513.3064516129032,1328.225806451613,1829.032258064516,2482.2580645161293,2460.483870967742,1437.0967741935483,2569.3548387096776,3941.1290322580644,2329.8387096774195,1720.1612903225807,5160.483870967742
1929-01-01,3384.974533106961,3215.1952461799665,6345.500848896435,10547.538200339559,6695.670628183362,10918.930390492362,14049.23599320883,10940.152801358236,5507.215619694398,3639.6434634974535,6058.998302207131,5294.991511035654,10091.25636672326,6419.779286926995,5581.494057724958,4117.147707979627,4339.9830220713075,9666.808149405773,8223.684210526317,6366.72325976231,8404.074702886248,6303.056027164686,6568.3361629881165,2939.3039049235995,6281.833616298813,3469.8641765704588,4000.424448217318,6196.9439728353145,7300.509337860782,9772.920203735146,4297.538200339559,9274.193548387098,12266.553480475382,8191.850594227505,4764.431239388795,7067.062818336164,8234.295415959254,9348.471986417659,2833.1918505942276,4403.650254668931,3957.979626485569,5029.711375212225,5814.940577249577,7417.23259762309,4615.8743633276745,6685.059422750425,7852.292020373515,7109.507640067913,4870.543293718167,7130.7300509337865
1930-01-01,2896.794801189558,2467.232074016962,5705.474171164225,9791.827293754817,6322.282189668465,10210.375592025552,14472.95957704593,9450.379997797114,5154.752726071153,3337.3719572640157,5518.22887983258,5375.041304108381,8921.687410507764,5639.387597753056,5066.637294856261,3546.646106399383,3888.0934023570876,9274.14913536733,7941.403238242096,6322.282189668465,7247.494217424825,6024.892609318206,6168.080185042405,2169.8424936667034,5518.22887983258,3161.1410948342327,3392.4441017733225,5617.358739949333,7137.349928406212,9373.278995484083,3667.8048243198587,9186.033704152438,11477.034915739618,7313.580790835995,4020.2665491794246,6663.72948562617,7897.3455226346505,8756.470976979843,2632.4485075448833,3932.151117964533,3535.631677497521,4482.872563057605,5441.12787751955,6839.960348055953,4262.5839850203765,6300.253331864742,7236.479788522965,6443.440907588941,4482.872563057605,6410.3976208833565
1931-01-01,2700.7120058924625,2541.1244782715444,5278.664375153449,9243.80063835011,5794.254849005647,9906.702676160077,15381.782469923888,9526.147802602503,4873.55757426958,3118.0947704394794,4861.281610606432,4493.002700712005,8261.723545298306,5340.044193469187,4836.729683280138,3523.2015713233486,3866.92855389148,9403.388165971028,7930.272526393322,6039.774122268598,6629.020378099681,5610.115394058434,6002.946231279155,2074.637859071937,4750.7979376381045,2995.335133808004,2393.8129143137735,5020.869138227351,6874.539651362632,9096.489074392339,3523.2015713233486,8163.515835993125,10913.331696538178,6911.367542352074,3609.1333169653817,6187.085686226368,7426.958016204271,8814.141910139946,2492.020623618954,2970.7832064817085,3351.338080039283,4235.207463785907,4566.658482690891,6481.70881414191,4554.382519027743,5781.978885342499,6555.364596120795,5757.426958016204,4345.691136754235,5855.634667321385
1932-01-01,2210.4824134575283,2113.165577644933,4476.574447379397,8119.004587793689,4963.158626442375,8716.808007785348,15389.962463506188,8216.321423606285,4407.062421798972,2738.7738078687617,4073.4046990129295,3725.8445711108025,6798.276101765606,4281.940775754206,3711.9421659947175,2905.6026692617825,3308.77241762825,8647.295982204922,7257.055470596414,5282.913944112332,5491.450020853608,5018.768246906715,5074.377867371056,1696.0934241623802,4643.403308772418,2544.1401362435704,2474.628110663145,4212.428750173781,5978.034199916586,8244.126233838455,2891.7002641456975,7743.639649659392,9537.049909634368,5602.669261782289,2975.114694842208,5241.206728764077,6325.594327818713,8119.004587793689,2168.775198109273,2627.554566940081,2697.066592520506,3642.430140414292,4226.331155289866,5588.766856666204,3976.087863200334,5046.573057138886,5588.766856666204,5032.6706520228,3572.9181148338666,5213.401918531907
1933-01-01,2345.202345202345,2187.9021879021875,4418.7044187044185,7865.007865007864,5047.9050479050475,8451.30845130845,13513.513513513511,8093.808093808093,4132.7041327041325,2888.6028886028885,3603.6036036036035,3260.40326040326,6306.3063063063055,4204.204204204204,3589.303589303589,2917.202917202917,3231.8032318032315,8122.408122408122,6792.5067925067915,5333.9053339053335,4976.404976404976,4433.004433004433,4776.204776204776,1816.101816101816,4275.7042757042755,2902.9029029029025,2159.302159302159,3903.9039039039035,6006.006006006006,7564.707564707564,3017.303017303017,7135.707135707135,9066.209066209065,5534.1055341055335,3146.003146003146,5105.1051051051045,6048.906048906048,8136.708136708136,2459.6024596024595,1944.8019448019447,2874.302874302874,3632.203632203632,4247.1042471042465,5362.505362505362,4089.8040898040895,4819.1048191048185,5376.805376805376,4776.204776204776,3703.7037037037035,5319.605319605319
1934-01-01,2806.399132321041,2467.462039045553,4907.809110629067,8202.27765726681,5043.383947939262,8961.496746203904,13055.8568329718,8771.691973969631,4718.004338394793,3267.353579175705,3674.0780911062902,5273.861171366594,6887.201735357917,4840.02169197397,3904.555314533622,3145.336225596529,3565.6182212581343,8378.524945770065,7212.581344902385,5667.02819956616,6155.097613882863,4867.136659436008,4989.154013015184,2264.0997830802603,4948.4815618221255,3348.698481561822,2494.577006507592,3579.175704989154,6507.592190889371,7836.225596529283,3335.1409978308025,7592.190889370932,9327.548806941431,6195.770065075922,3389.3709327548804,5924.620390455531,6602.494577006507,8256.507592190888,2806.399132321041,2575.9219088937093,3280.911062906724,3945.227765726681,4257.0498915401295,5789.045553145335,4379.067245119306,5165.401301518437,5992.4078091106285,5151.843817787419,4243.49240780911,5612.798264642082
1935-01-01,2869.287991498406,2709.883103081828,5526.036131774707,8833.687566418703,5911.264612114772,9497.87460148778,13695.536663124336,9378.320935175345,5021.25398512221,3546.758767268863,5552.603613177471,5233.7938363443145,7651.434643995749,5565.887353878852,4782.146652497343,3506.9075451647186,3839.001062699256,8674.282678002126,7412.327311370882,5778.427205100957,7066.950053134963,5964.399574920298,5592.4548352816155,2311.3708820403826,6309.7768331562165,3546.758767268863,3599.893730074389,5379.914984059511,6695.005313496281,8382.040382571733,3892.136025504782,8860.255047821467,9723.698193411265,6894.261424017003,3931.9872476089267,6097.236981934113,6960.68012752391,8700.850159404888,3028.692879914984,4051.5409139213602,3493.623804463337,4317.21572794899,5193.94261424017,6336.34431455898,4702.444208289055,5512.752391073326,6522.316684378321,6123.804463336875,4489.90435706695,6615.302869287992
