Year,GDP [Bil. of 2012 Dollars],Consumption [Bil. of 2012 Dollars],Investment [Bil. of 2012 Dollars],Government Purchases [Bil. of 2012 Dollars],Exports [Bil. of 2012 Dollars],Imports [Bil. of 2012 Dollars],Net Exports [Bil. of 2012 Dollars],Capital [Bil. of 2012 Dollars],Labor [Bil. of Hours]
1950,2291.0,1467.4,432.0,386.0,94.4,88.7,5.6,2111.3,100.064
1951,2475.5,1486.6,447.8,523.1,122.0,104.1,17.9,2246.4,108.525
1952,2576.7,1538.4,401.8,628.4,115.5,107.3,8.2,2378.3,110.757
1953,2697.5,1613.0,418.7,670.6,106.1,111.0,-4.9,2445.7,112.184
1954,2681.8,1645.3,398.8,634.9,108.7,106.0,2.8,2520.5,107.712
1955,2873.1,1744.1,498.0,627.7,119.4,116.1,3.2,2564.8,111.238
1956,2934.5,1770.6,507.3,641.2,139.0,123.6,15.4,2702.2,113.637
1957,2996.3,1809.6,483.6,677.3,151.8,126.0,25.8,2829.5,113.304
1958,2974.0,1826.9,438.5,705.4,127.1,123.7,3.3,2915.2,109.709
1959,3180.2,1933.4,522.3,722.2,138.5,136.1,2.4,2943.7,113.164
1960,3262.1,1991.8,520.1,724.8,162.7,137.4,25.3,3052.1,114.721
1961,3345.7,2032.1,515.3,769.1,164.3,135.0,29.2,3143.0,114.607
1962,3550.6,2131.6,570.2,824.8,170.9,146.8,24.1,3216.3,118.097
1963,3705.2,2220.6,600.3,855.6,180.6,151.9,28.7,3334.2,120.093
1964,3918.8,2351.0,642.1,886.1,200.5,160.9,39.6,3465.7,122.889
1965,4173.4,2490.6,728.9,922.4,208.8,177.3,31.6,3620.5,127.604
1966,4448.8,2624.8,788.6,1014.2,223.8,202.7,21.1,3840.3,133.972
1967,4570.6,2693.0,758.4,1100.3,231.0,212.1,18.9,4088.9,136.172
1968,4795.3,2838.8,800.0,1149.7,244.2,237.3,6.9,4272.4,139.143
1969,4945.2,2933.4,843.4,1161.4,252.3,245.4,7.0,4471.6,143.024
1970,4954.5,2985.4,785.0,1166.0,275.6,257.4,18.2,4686.2,140.823
1971,5117.5,3075.0,864.7,1175.1,276.6,273.9,2.7,4812.3,140.043
1972,5386.6,3234.9,960.8,1205.2,298.3,312.5,-14.2,5000.3,144.127
1973,5690.8,3391.9,1065.7,1216.8,380.4,364.0,16.4,5257.9,150.314
1974,5660.0,3407.1,1005.6,1250.4,463.9,466.9,-3.0,5584.3,150.547
1975,5648.5,3454.8,862.4,1277.7,465.0,411.4,53.6,5804.6,146.463
1976,5952.8,3646.7,1027.1,1284.2,475.1,480.3,-5.2,5850.8,150.687
1977,6228.2,3811.3,1186.5,1299.4,476.7,545.8,-69.1,6055.1,155.78
1978,6572.8,3975.2,1337.1,1331.4,522.3,593.2,-70.9,6390.2,162.941
1979,6780.9,4091.8,1392.8,1354.5,593.9,652.1,-58.2,6828.7,167.633
1980,6763.5,4144.0,1254.8,1395.6,664.6,695.5,-30.9,7261.3,166.633
1981,6935.2,4182.1,1365.0,1415.1,660.1,687.1,-27.1,7495.0,167.767
1982,6810.2,4218.4,1183.4,1449.0,576.8,617.5,-40.7,7806.1,163.779
1983,7122.4,4471.7,1249.5,1502.4,542.9,644.1,-101.2,7891.8,166.077
1984,7637.7,4714.6,1551.3,1566.1,572.0,766.3,-194.3,8031.6,174.211
1985,7956.2,4974.4,1521.3,1669.6,556.0,765.1,-209.1,8453.5,177.608
1986,8231.7,5188.0,1526.3,1754.5,577.0,814.0,-237.0,8786.1,179.575
1987,8516.4,5396.0,1564.9,1809.4,638.4,892.3,-253.9,9077.0,184.787
1988,8872.2,5642.1,1587.5,1827.9,753.3,938.6,-185.3,9365.6,189.67
1989,9198.0,5831.5,1629.9,1878.0,822.2,963.6,-141.4,9636.1,194.925
1990,9371.4,5986.1,1561.3,1946.5,867.3,989.7,-122.4,9911.0,196.442
1991,9361.3,5994.6,1435.5,1974.6,904.4,947.9,-43.5,10078.6,192.286
1992,9691.0,6238.8,1505.6,1998.3,940.9,992.5,-51.6,10097.0,193.316
1993,9957.7,6463.7,1607.0,1981.7,950.7,1045.3,-94.6,10182.8,196.699
1994,10359.0,6711.0,1786.1,1993.4,1024.8,1156.3,-131.5,10357.9,202.067
1995,10636.9,6909.5,1834.4,2018.1,1131.7,1256.7,-125.0,10687.5,207.463
1996,11038.2,7170.8,1958.0,2041.1,1186.2,1318.0,-131.8,11019.1,210.161
