,United States,AL,AZ,AR,CA,CO,CT,DE,DC,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1929,7063.46,3223.52,6042.85,3051.74,10034.36,6366.21,10398.14,10418.35,13369.04,5244.54,3466.05,5042.44,9599.84,6103.48,5759.9,5315.28,3920.78,4132.98,6052.95,7831.45,9205.74,8003.23,6002.43,2799.11,6255.05,5982.22,5901.37,8831.85,6952.3,9296.69,4092.56,11681.49,3304.37,3809.62,7801.13,4537.19,6719.89,7841.55,8902.59,2698.06,4193.61,3769.2,4779.71,5537.59,6366.21,4395.72,7477.77,4628.13,6770.41,6790.62
1930,6512.85,2758.26,5432.62,2349.24,9323.54,6019.93,9711.59,8998.43,13780.81,4897.75,3177.77,5117.99,8495.02,5369.69,5243.84,4824.33,3377.03,3702.15,6009.44,7561.62,8830.62,6890.4,5736.76,2066.07,5873.1,5254.33,5348.72,8746.72,6785.53,8914.53,3481.91,10917.67,3009.96,3230.2,6963.82,3828.0,6345.04,7519.66,8327.22,2506.55,3744.1,3366.54,4268.48,5180.91,5998.95,4058.73,6890.4,4268.48,6124.8,6103.83
1931,6171.83,2571.6,5026.3,2419.64,8801.87,5517.24,9421.39,9059.03,14646.41,4640.56,2969.02,4278.2,7866.74,5084.75,4628.87,4605.49,3354.76,3682.06,5751.02,7551.14,8953.83,6312.1,5341.91,1975.45,5715.96,4523.67,4780.83,7773.23,6545.88,8661.6,3354.76,10379.89,2852.13,2279.37,6592.64,3436.59,5879.6,7071.89,8392.75,2372.88,2828.76,3191.12,4032.73,4348.33,5505.55,4336.65,6241.96,4137.93,5482.17,5575.69
1932,5322.39,2105.12,4249.97,2012.45,7732.03,4713.36,8301.34,7824.71,14656.43,4197.01,2608.24,3548.26,6474.25,4077.85,3879.25,3535.02,2753.87,3151.07,5031.11,6911.16,8221.9,5216.47,4779.56,1615.25,4832.52,4422.08,3998.41,7374.55,5679.86,7837.95,2753.87,9082.48,2422.88,2356.68,5335.63,2820.07,4991.39,6024.1,7718.79,2065.4,2502.32,2568.52,3468.82,4024.89,4792.8,3786.57,5322.39,3389.38,4792.8,4964.91
1933,5105.51,2232.81,4206.94,2083.05,7474.47,4805.99,8032.68,7705.92,12865.9,3934.65,2750.17,3104.15,5990.47,4002.72,3430.91,3417.29,2777.4,3076.92,5078.28,6453.37,7719.54,4737.92,4220.56,1715.45,4547.31,4070.8,3716.81,6793.74,5718.18,7188.56,2872.7,8631.72,2763.78,2055.82,5268.89,2995.23,4860.45,5759.02,7733.15,2341.73,1851.6,2736.56,3458.13,4043.57,4588.16,3893.81,5119.13,3512.59,4533.7,5064.67
1934,5510.39,2671.31,4671.57,2348.69,7807.46,4787.71,8530.13,8349.46,12427.41,4490.9,3110.08,5020.0,6555.68,4607.05,3497.23,3716.61,2993.93,3393.99,5394.24,6852.5,7962.32,5858.82,4632.86,2155.12,4749.0,4710.29,3406.89,7226.74,6181.44,7446.12,3174.6,8878.56,3187.51,2374.5,5897.54,3226.22,5626.53,6284.68,7846.17,2671.31,2439.02,3122.98,3755.32,4052.14,4916.76,4168.28,5703.96,4039.23,4903.86,5342.62
1935,6031.87,2731.41,5260.5,2579.67,8409.21,5627.21,9041.48,8915.02,13037.43,4779.97,3376.33,4982.3,7283.76,5298.43,5285.79,4552.35,3338.39,3654.53,5500.76,7056.15,8257.46,6727.36,5677.79,2200.3,5311.08,6006.58,5108.75,8434.5,6360.65,7979.26,3705.11,9256.45,3376.33,3426.91,6562.97,3743.05,5804.25,6626.2,8282.75,2883.16,3856.85,3325.75,4109.76,4944.36,5235.2,4476.48,6208.9,4274.15,5829.54,6297.42
1936,6736.66,3112.11,5774.28,3037.12,9711.29,6761.65,10186.23,10886.14,14285.71,5661.79,3749.53,5824.27,8173.98,6011.75,4886.89,4836.9,3662.04,4099.49,6361.7,7836.52,9061.37,7761.53,5911.76,2774.65,5836.77,5974.25,4924.38,10561.18,6761.65,8936.38,4286.96,10236.22,3674.54,2974.63,7461.57,4024.5,6824.15,7599.05,9011.37,3199.6,3087.11,3774.53,4649.42,5786.78,5861.77,4924.38,7124.11,4886.89,6474.19,6899.14
1937,6936.62,3186.77,6050.08,3031.03,9608.24,6397.51,10410.93,11441.24,14496.23,5882.35,3737.87,5043.73,8793.58,6541.27,6145.92,5115.61,4061.34,4217.08,6145.92,8074.76,8889.42,8230.5,6445.43,2635.68,6074.04,6157.9,4947.89,9284.77,6828.8,9021.21,4336.89,10159.34,3845.69,3881.63,7799.21,4480.65,6661.08,7703.37,8877.44,3246.68,3845.69,3977.48,5007.79,5355.22,5810.47,5103.63,7200.19,5019.77,6601.17,7260.09
1938,6548.28,2984.34,5907.02,2811.69,9618.94,6264.64,9606.61,9865.58,14070.79,5746.7,3551.61,5191.76,8040.45,5820.69,5549.39,4723.15,3650.27,4279.2,5870.02,7929.46,8422.74,7078.55,6079.66,2417.07,5870.02,6350.97,4957.45,9680.6,6622.27,8681.71,4168.21,9877.91,3588.61,3477.62,6979.9,4254.53,6548.28,7029.23,8422.74,3058.33,3909.24,3674.93,4982.12,5500.06,5635.71,4858.8,7189.54,4575.16,6264.64,6905.91
