Year,GDP [Bil. of 2009 Dollars],Consumption [Bil. of 2009 Dollars],Investment [Bil. of 2009 Dollars],Government Purchases [Bil. of 2009 Dollars],Exports [Bil. of 2009 Dollars],Imports [Bil. of 2009 Dollars],Net Exports [Bil. of 2009 Dollars],Capital [Bil. of 2009 Dollars],Labor [Bil. of Hours]
1948,2019.8,1286.3,369.7,323.4,113.9,74.2,40.4,5049.6,99.119
1949,2008.7,1314.3,287.9,368.2,106.8,67.7,38.3,5300.1,95.61
1950,2184.1,1398.3,411.1,368.9,90.2,84.4,5.1,5462.8,100.064
1951,2360.0,1416.8,426.7,499.5,116.2,99.2,17.0,5744.9,108.525
1952,2455.9,1466.1,382.7,599.8,110.2,102.2,8.0,6036.0,110.757
1953,2571.1,1537.2,398.5,640.0,100.9,105.6,-4.6,6276.2,112.184
1954,2556.5,1568.2,379.8,606.6,103.3,100.7,2.6,6526.5,107.712
1955,2739.3,1662.7,474.3,599.7,113.8,110.5,3.2,6752.2,111.238
1956,2797.2,1687.9,482.9,612.1,132.4,117.5,14.9,7067.0,113.637
1957,2856.5,1724.5,460.2,646.6,144.4,119.7,24.7,7383.1,113.304
1958,2835.1,1741.1,417.0,673.5,121.2,117.6,2.9,7668.9,109.709
1959,3031.3,1842.0,497.2,689.8,131.7,129.4,2.3,7904.8,113.164
1960,3108.8,1897.5,495.0,692.4,154.5,130.5,24.0,8215.3,114.721
1961,3188.1,1935.6,490.1,734.6,156.2,128.5,27.7,8516.3,114.607
1962,3383.1,2030.1,542.3,787.8,162.7,139.8,22.9,8805.4,118.097
1963,3530.5,2114.7,571.1,817.7,171.9,144.3,27.1,9139.8,120.093
1964,3734.1,2238.9,610.9,846.7,190.6,153.0,37.6,9495.0,122.889
1965,3976.6,2371.9,693.0,881.7,198.4,168.4,29.9,9881.7,127.604
1966,4238.8,2499.6,750.0,969.5,212.7,193.0,20.3,10341.4,133.972
1967,4355.1,2564.4,721.2,1051.8,219.9,201.7,18.2,10847.2,136.172
1968,4569.3,2702.3,760.7,1099.5,232.2,225.9,6.8,11312.3,139.143
1969,4712.6,2793.2,802.1,1110.8,239.8,233.3,6.5,11805.8,143.024
1970,4722.2,2842.8,746.6,1115.7,262.0,244.9,17.6,12329.2,140.823
1971,4877.8,2928.0,822.0,1124.8,263.1,260.2,2.5,12784.6,140.043
1972,5134.1,3080.3,913.2,1153.8,283.4,297.1,-13.6,13304.8,144.127
1973,5423.9,3231.6,1013.4,1163.4,361.8,346.3,15.6,13903.8,150.314
1974,5396.0,3247.0,956.3,1195.3,441.4,444.2,-2.8,14588.9,150.547
1975,5385.4,3293.3,820.4,1220.9,442.3,391.3,51.0,15200.7,146.463
1976,5675.4,3476.7,976.9,1226.6,451.9,456.7,-4.8,15662.3,150.687
1977,5937.1,3633.7,1128.8,1240.4,453.7,519.1,-65.7,16269.4,155.78
1978,6267.2,3792.9,1272.3,1269.6,497.0,564.6,-67.5,17014.0,162.941
1979,6466.1,3904.8,1325.8,1291.0,565.3,620.8,-55.3,17884.5,167.633
1980,6450.4,3953.8,1194.5,1331.3,632.8,662.1,-29.5,18788.1,166.633
1981,6617.9,3993.2,1300.9,1349.3,629.0,655.0,-25.8,19538.9,167.767
1982,6491.4,4024.6,1127.5,1377.8,549.6,588.4,-38.8,20378.5,163.779
1983,6791.9,4268.6,1190.1,1429.5,517.1,613.5,-96.3,21024.8,166.077
1984,7285.0,4504.0,1478.6,1487.8,545.2,730.4,-185.2,21718.5,174.211
1985,7593.8,4756.6,1449.3,1587.0,529.7,728.9,-199.2,22684.2,177.608
1986,7860.6,4963.4,1454.1,1668.8,549.7,775.6,-225.9,23597.9,179.575
1987,8132.6,5163.4,1489.9,1721.3,607.7,849.5,-241.8,24494.7,184.785
1988,8474.4,5399.8,1511.7,1739.5,717.3,893.8,-176.5,25406.2,189.67
1989,8786.3,5579.6,1552.5,1788.9,783.2,917.8,-134.6,26318.0,194.925
1990,8955.1,5729.3,1487.9,1854.6,826.5,943.0,-116.7,27249.1,196.442
1991,8948.3,5739.8,1368.6,1881.6,862.2,903.7,-41.5,28093.5,192.286
1992,9266.5,5973.9,1435.5,1906.5,897.1,946.3,-49.2,28798.8,193.316
1993,9521.0,6188.4,1531.9,1890.8,906.3,996.6,-90.2,29554.2,196.699
1994,9905.5,6425.4,1702.9,1902.4,977.0,1102.4,-125.4,30388.3,202.067
1995,10174.8,6617.0,1749.1,1927.9,1079.1,1198.3,-119.2,31373.7,207.463
1996,10561.0,6868.5,1867.2,1951.0,1131.2,1256.9,-125.7,32382.0,210.161
1997,11034.8,7128.0,2045.3,1992.3,1222.6,1353.4,-130.7,33484.5,216.596
1998,11525.9,7485.5,2200.5,2046.1,1208.5,1414.8,-206.3,34739.2,222.346
1999,12065.9,7877.3,2353.3,2155.7,1239.0,1559.5,-320.5,36119.4,226.894
2000,12559.7,8294.8,2483.7,2240.2,1339.4,1798.3,-458.9,37619.8,230.609
2001,12682.1,8480.9,2302.7,2338.8,1225.9,1666.1,-440.2,39215.2,227.725
2002,12908.8,8683.2,2263.7,2463.5,1178.9,1680.4,-501.5,40591.9,225.628
2003,13271.1,8953.1,2338.0,2560.4,1199.4,1780.0,-580.7,41897.1,224.465
2004,13773.5,9268.4,2554.6,2645.2,1325.7,2020.5,-694.8,43245.8,227.051
2005,14234.1,9560.1,2747.2,2710.9,1422.9,2206.9,-784.0,44779.3,230.289
2006,14613.8,9812.9,2827.2,2786.7,1557.0,2370.2,-813.1,46469.1,234.691
2007,14873.7,10017.3,2716.0,2878.6,1710.1,2448.4,-738.2,48199.1,237.05
2008,14830.4,10089.7,2443.2,3026.0,1855.9,2584.5,-728.6,49777.0,234.722
2009,14418.7,9847.0,1878.1,3089.1,1587.7,1983.2,-395.4,51044.8,222.492
2010,14783.9,10079.1,2075.5,3135.7,1830.0,2336.5,-506.5,51717.6,222.194
2011,15020.6,10346.7,2168.1,3067.1,2038.9,2600.3,-561.4,52571.8,225.867
2012,15354.7,10503.0,2387.2,3002.1,2089.3,2626.8,-537.7,53498.6,230.385
2013,15612.2,10626.6,2531.3,2914.6,2129.4,2589.6,-460.2,54622.6,234.143
2014,15982.2,10901.1,2652.4,2896.4,2182.6,2650.1,-467.5,55864.1,239.029
2015,16397.2,11167.2,2778.8,2925.8,2058.5,2533.0,-474.6,57197.3,243.641
