Year,GDP Growth,Consumption Growth,Investment Growth,Government Purchases Growth,Exports Growth,Imports Growth,Capital Growth,Labor Growth
1949,-0.6,2.1,-25.1,13.1,-6.9,-8.2,4.8,-3.6
1950,8.3,6.2,35.6,0.2,-17.2,21.5,3.0,4.6
1951,7.7,1.3,3.6,30.4,25.7,15.9,5.0,8.1
1952,4.0,3.4,-10.9,18.3,-5.5,3.0,4.9,2.0
1953,4.6,4.7,4.1,6.5,-8.4,3.4,3.9,1.3
1954,-0.6,2.0,-4.9,-5.5,2.4,-4.6,3.9,-4.1
1955,6.9,5.8,22.2,-1.1,9.3,9.2,3.4,3.2
1956,2.1,1.5,1.8,2.1,15.2,6.2,4.5,2.1
1957,2.1,2.2,-4.8,5.5,8.8,2.0,4.3,-0.3
1958,-0.7,1.0,-9.8,4.1,-17.8,-1.8,3.8,-3.2
1959,6.7,5.7,17.5,2.4,8.7,9.5,3.0,3.1
1960,2.5,3.0,-0.4,0.4,16.0,0.9,3.8,1.4
1961,2.5,2.0,-0.9,5.9,1.0,-1.7,3.6,-0.1
1962,5.9,4.8,10.1,7.0,4.0,8.4,3.3,3.0
1963,4.3,4.1,5.2,3.7,5.5,3.4,3.7,1.7
1964,5.6,5.7,6.7,3.5,10.4,5.8,3.8,2.3
1965,6.3,5.8,12.7,4.0,4.1,9.7,4.0,3.8
1966,6.4,5.3,7.9,9.5,6.9,13.4,4.5,4.9
1967,2.7,2.6,-3.9,8.1,3.2,4.6,4.8,1.6
1968,4.8,5.3,5.3,4.4,5.6,11.2,4.2,2.2
1969,3.1,3.3,5.3,1.0,3.3,3.3,4.3,2.8
1970,0.2,1.8,-7.2,0.4,8.8,4.8,4.3,-1.6
1971,3.2,3.0,9.7,0.8,0.4,6.2,3.6,-0.6
1972,5.1,5.1,10.5,2.5,7.6,13.2,4.0,2.9
1973,5.5,4.7,10.4,1.0,24.3,15.2,4.4,4.2
1974,-0.5,0.4,-5.8,2.7,19.9,24.9,4.8,0.2
1975,-0.2,1.4,-15.4,2.2,0.2,-12.6,4.1,-2.8
1976,5.3,5.4,17.5,0.5,2.1,15.5,3.0,2.8
1977,4.5,4.4,14.4,1.2,0.3,12.8,3.8,3.3
1978,5.4,4.2,11.9,2.4,9.1,8.3,4.5,4.5
1979,3.1,2.9,4.1,1.7,12.8,9.5,5.0,2.8
1980,-0.3,1.3,-10.4,3.0,11.2,6.4,4.9,-0.6
1981,2.5,0.9,8.4,1.4,-0.7,-1.2,3.9,0.7
1982,-1.8,0.9,-14.3,2.4,-13.5,-10.7,4.2,-2.4
1983,4.5,5.8,5.4,3.6,-6.1,4.2,3.1,1.4
1984,7.0,5.3,21.6,4.2,5.2,17.4,3.2,4.8
1985,4.1,5.4,-2.0,6.4,-2.8,-0.2,4.3,1.9
1986,3.4,4.2,0.3,5.0,3.7,6.2,3.9,1.1
1987,3.4,3.9,2.5,3.1,10.1,9.2,3.7,2.9
1988,4.1,4.5,1.4,1.0,16.6,5.1,3.6,2.6
1989,3.6,3.3,2.6,2.7,8.8,2.6,3.5,2.7
1990,1.9,2.6,-4.3,3.6,5.3,2.7,3.5,0.8
1991,-0.1,0.1,-8.4,1.4,4.2,-4.3,3.0,-2.1
1992,3.5,4.0,4.8,1.2,4.0,4.6,2.5,0.5
1993,2.7,3.5,6.5,-0.8,1.0,5.2,2.6,1.7
1994,3.9,3.8,10.6,0.6,7.5,10.1,2.8,2.7
1995,2.6,2.9,2.7,1.2,9.9,8.3,3.2,2.6
1996,3.7,3.7,6.5,1.1,4.7,4.8,3.1,1.3
1997,4.4,3.7,9.1,1.9,7.8,7.4,3.3,3.0
1998,4.4,4.8,7.4,3.0,-1.2,4.4,3.7,2.6
1999,4.6,5.2,6.9,5.1,2.7,9.8,3.9,2.0
2000,4.0,5.2,5.5,3.8,7.7,14.2,4.1,1.6
2001,1.0,2.2,-7.4,4.3,-8.9,-7.7,4.2,-1.3
2002,1.7,2.3,-1.8,5.3,-4.1,0.7,3.5,-0.9
2003,2.8,3.2,3.0,3.9,1.8,5.9,3.2,-0.5
2004,3.7,3.5,9.2,3.0,10.1,12.8,3.2,1.2
2005,3.5,3.2,7.5,2.6,7.2,9.0,3.5,1.4
2006,2.8,2.7,3.4,2.8,9.1,7.2,3.7,1.9
2007,1.9,2.1,-3.7,3.5,9.4,3.2,3.7,0.8
2008,-0.1,0.8,-9.5,4.7,8.2,5.4,3.3,-1.1
2009,-2.6,-2.1,-25.8,2.3,-15.7,-26.5,2.6,-5.5
2010,2.5,2.3,10.4,1.4,14.3,16.5,1.4,0.2
2011,1.5,2.3,5.4,-2.3,11.0,10.7,1.7,1.8
2012,2.2,1.5,9.8,-2.3,2.2,0.9,1.9,1.9
2013,1.8,1.0,5.8,-1.9,1.9,-1.6,2.2,1.5
2014,2.4,2.5,5.4,-0.8,2.3,2.2,2.4,2.0
2015,2.8,2.8,4.5,1.0,-5.6,-4.3,2.5,2.0
2016,1.6,2.7,-2.4,0.7,-3.2,-2.8,2.6,1.3
2017,2.2,2.4,4.2,0.6,3.9,4.8,2.4,1.2
