Date,GDP [Bil. of 2012 Dollars],Consumption [Bil. of 2012 Dollars],Investment [Bil. of 2012 Dollars],Government Purchases [Bil. of 2012 Dollars],Exports [Bil. of 2012 Dollars],Imports [Bil. of 2012 Dollars],Net Exports [Bil. of 2012 Dollars],Capital [Bil. of 2012 Dollars],Labor [Index: 2012=100]
1947-01-01,2033.1,1305.7,299.8,336.7,153.8,62.9,90.9,5082.9,46.2
1947-04-01,2027.6,1319.2,284.4,330.9,160.7,67.6,93.1,5127.0,46.3
1947-07-01,2023.4,1325.8,283.0,319.1,157.5,62.1,95.4,5166.9,46.4
1947-10-01,2055.1,1326.6,342.2,312.8,139.5,66.0,73.5,5206.3,46.8
1948-01-01,2086.1,1337.4,370.5,320.9,132.8,75.5,57.2,5260.3,47.1
1948-04-01,2120.5,1354.8,391.6,333.6,118.6,78.1,40.5,5321.0,47.1
1948-07-01,2132.6,1352.5,401.1,341.1,117.7,79.9,37.8,5386.6,47.4
1948-10-01,2135.0,1354.9,390.9,354.9,111.4,77.1,34.3,5454.2,47.0
1949-01-01,2105.6,1353.8,330.3,372.0,123.1,73.5,49.6,5518.8,46.2
1949-04-01,2098.5,1380.0,280.3,389.6,121.0,72.4,48.6,5567.9,45.4
1949-07-01,2120.0,1381.3,307.2,391.2,109.7,69.4,40.2,5604.1,45.0
1949-10-01,2102.3,1400.2,291.1,387.7,93.9,70.6,23.3,5646.9,44.8
1950-01-01,2184.9,1423.2,363.7,380.9,91.1,73.9,17.1,5685.4,45.1
1950-04-01,2251.6,1448.4,405.5,384.9,92.1,79.3,12.7,5741.8,46.2
1950-07-01,2338.6,1521.6,445.0,377.5,93.3,98.9,-5.6,5808.4,47.7
1950-10-01,2383.2,1474.5,509.8,400.1,100.8,101.9,-1.1,5884.4,48.1
1951-01-01,2415.7,1504.1,464.3,446.0,108.2,106.9,1.3,5976.1,48.9
1951-04-01,2457.4,1463.7,481.2,498.7,122.3,108.4,13.9,6055.9,49.3
1951-07-01,2508.1,1481.9,442.4,557.1,128.9,102.1,26.7,6139.4,48.9
1951-10-01,2513.6,1493.2,402.9,588.0,128.3,98.7,29.6,6212.8,48.9
1952-01-01,2540.6,1503.7,410.4,600.1,131.9,105.6,26.3,6275.8,49.2
1952-04-01,2546.1,1530.9,373.8,627.6,116.9,103.2,13.8,6340.3,49.0
1952-07-01,2564.3,1531.2,399.1,634.2,106.3,106.4,-0.0,6395.3,49.3
1952-10-01,2648.6,1583.5,422.4,649.7,106.6,113.7,-7.0,6456.2,50.7
1953-01-01,2697.9,1607.8,428.8,665.9,105.2,109.8,-4.6,6522.6,51.2
1953-04-01,2718.8,1616.8,431.1,679.6,105.5,114.1,-8.7,6590.2,51.3
1953-07-01,2703.3,1614.8,424.6,667.7,108.9,112.7,-3.8,6658.0,50.8
1953-10-01,2662.4,1608.0,389.4,667.4,104.7,107.0,-2.3,6723.7,50.0
1954-01-01,2649.7,1617.0,383.1,652.1,99.2,101.6,-2.4,6780.3,49.3
1954-04-01,2652.7,1634.3,380.9,635.7,112.9,111.2,1.7,6834.9,48.9
1954-07-01,2682.6,1648.7,404.6,625.4,108.9,105.0,3.9,6888.6,48.7
1954-10-01,2735.1,1677.0,425.2,625.1,113.6,105.8,7.8,6948.0,49.3
1955-01-01,2813.3,1712.2,467.9,625.7,117.6,110.1,7.5,7012.1,50.1
1955-04-01,2859.0,1739.5,493.0,627.6,114.9,116.0,-1.1,7086.5,50.8
1955-07-01,2897.7,1755.6,503.4,633.8,122.2,117.3,4.9,7166.8,51.3
