,Series Name,Description,Frequency,Start,End
0,FL212090095.Q,"State and local governments, excluding employee retirement funds; net worth (IMA)",Q,12-31-1945,09-30-2014
1,FA213078005.Q,"State and local governments, excluding employee retirement funds; taxes receivable; asset",Q,12-31-1946,09-30-2014
2,FA213096005.A,"State and local governments, excluding employee retirement funds; other accounts receivable; asset (IMA)",A,12-31-1946,12-31-2013
3,FA713068303.Q,Monetary authority; depository institution loans n.e.c. to households (Term Asset-Backed Securities Loan Facility); asset,Q,12-31-1946,09-30-2014
4,FR403062005.A,Government-sponsored enterprises; municipal securities and loans and Sallie Mae public academic facilities financing and Sallie Mae public warehousing advances; asset,A,12-31-1946,12-31-2013
5,FL105013665.Q,"Nonfinancial corporate business; nonresidential structures, current cost basis",Q,12-31-1945,09-30-2014
6,FR263169005.Q,Rest of the world; other loans and advances; liability,Q,12-31-1946,09-30-2014
7,FR153065505.A,Households and nonprofit organizations; commercial mortgages; asset,A,12-31-1946,12-31-2013
8,FR663192003.Q,Security brokers and dealers; foreign direct investment in U.S.; liability,Q,12-31-1946,09-30-2014
9,FL764116205.Q,U.S.-chartered depository institutions; net interbank transactions with foreign affiliates including deposits at foreign banks; liability,Q,12-31-1945,09-30-2014
10,FA365000005.A,General government (consolidated); net lending (+) or borrowing (-) (financial account),A,12-31-1946,12-31-2013
11,FA106006385.Q,Nonfinancial corporate business; net saving excluding foreign earnings retained abroad less net capital transfers paid,Q,12-31-1946,09-30-2014
12,FA844000005.A,"Monetary authority, private depository institutions, and money market mutual funds; total currency and deposits; asset",A,12-31-1946,12-31-2013
13,FA385000005.Q,Domestic nonfinancial sectors; net lending (+) or borrowing (-) (financial account),Q,12-31-1946,09-30-2014
14,FU364135015.A,General government (unconsolidated); total loans including security repurchase agreements; liability,A,12-31-1946,12-31-2013
15,FU105035045.Q,"Nonfinancial corporate business; real estate, historical cost basis",Q,12-31-1946,09-30-2014
16,FR773164105.A,Captive financial institutions and money lenders; corporate equities; liability,A,12-31-1946,12-31-2013
17,FA573064155.Q,"Private defined contribution pension funds, including 403(b) plans; corporate equities; asset",Q,12-31-1946,09-30-2014
18,FL663097005.Q,Security brokers and dealers; securities borrowed (net); asset,Q,12-31-1945,09-30-2014
19,FL793181115.Q,Financial business; other equity; liability (IMA),Q,12-31-1945,09-30-2014
20,FL104001006.A,Nonfinancial corporate business; liquid assets as a percentage of short-term liabilties,A,12-31-1945,12-31-2013
21,FR363069005.A,General government (consolidated); other loans and advances; asset,A,12-31-1946,12-31-2013
22,FR363070005.A,General government (consolidated); trade receivables; asset,A,12-31-1946,12-31-2013
23,FR104150005.Q,Nonfinancial corporate business; total short-term liabilities,Q,12-31-1946,09-30-2014
24,FL318080005.Q,Federal government; financial assets with revaluations (IMA),Q,12-31-1945,09-30-2014
25,FA713068553.A,Monetary authority; depository institution loans n.e.c. to funding corporations (Commercial Paper Funding Facility LLC); asset,A,12-31-1946,12-31-2013
26,FA713068703.A,Monetary authority; loans to domestic banks through the discount window; asset,A,12-31-1946,12-31-2013
27,FL223020005.A,State and local government employee retirement funds; checkable deposits and currency; asset,A,12-31-1945,12-31-2013
28,FA104104005.Q,Nonfinancial corporate business; credit market instruments; liability,Q,12-31-1946,09-30-2014
29,FL803196105.A,Other financial intermediaries except insurance companies and pension funds; miscellaneous and taxes payable; libility (IMA),A,12-31-1945,12-31-2013
30,FA573034043.A,Private defined benefit pension funds; money market mutual fund shares; asset,A,12-31-1946,12-31-2013
31,FA713064103.Q,Monetary authority; corporate equities; asset,Q,12-31-1946,09-30-2014
32,FR763093005.A,"U.S.-chartered depository institutions, including IBFs; unidentified miscellaneous assets",A,12-31-1946,12-31-2013
33,FU644004075.A,Mortgage real estate investment trusts; credit market instruments; asset,A,12-31-1946,12-31-2013
34,FU644004075.Q,Mortgage real estate investment trusts; credit market instruments; asset,Q,12-31-1946,09-30-2014
35,FR604190005.A,Other financial intermediaries except insurance companies and pension funds; total liabilities,A,12-31-1946,12-31-2013
36,FR213070003.A,"State and local governments, excluding employee retirement funds; trade receivables; asset",A,12-31-1946,12-31-2013
37,FA544190005.A,Life insurance companies; total liabilities ,A,12-31-1946,12-31-2013
38,FA544190005.Q,Life insurance companies; total liabilities ,Q,12-31-1946,09-30-2014
39,FA383030005.A,Domestic nonfinancial sectors; total time and savings deposits; asset,A,12-31-1946,12-31-2013
40,FR263027003.Q,Rest of the world; checkable deposits; asset,Q,12-31-1946,09-30-2014
41,FR102000005.Q,Nonfinancial corporate business; total assets,Q,12-31-1946,09-30-2014
42,FR102000115.A,Nonfinancial corporate business; total assets at historical cost,A,12-31-1946,12-31-2013
43,FA215013005.A,"State and local governments, excluding employee retirement funds; gross fixed investment, nonresidential structures, equipment, and intellectual property products",A,12-31-1946,12-31-2013
44,FU113168005.A,Nonfinancial noncorporate business; depository institution loans n.e.c.; liability ,A,12-31-1946,12-31-2013
45,FR165015205.A,"Nonprofit organizations; equipment, current cost basis ",A,12-31-1946,12-31-2013
46,FA573034043.Q,Private defined benefit pension funds; money market mutual fund shares; asset,Q,12-31-1946,09-30-2014
47,FA153065103.Q,Households and nonprofit organizations; home mortgages; asset,Q,12-31-1946,09-30-2014
48,FR604141005.Q,Other financial intermediaries except insurance companies and pension funds; short-term loans including security repurchase agreements; liability,Q,12-31-1946,09-30-2014
49,FR105000005.A,Nonfinancial corporate business; net lending (+) or borrowing (-) (financial account),A,12-31-1946,12-31-2013
50,FR213078005.Q,"State and local governments, excluding employee retirement funds; taxes receivable; asset",Q,12-31-1946,09-30-2014
51,FA713068703.Q,Monetary authority; loans to domestic banks through the discount window; asset,Q,12-31-1946,09-30-2014
52,FL643193005.Q,Real estate investment trusts; unidentified miscellaneous liabilities,Q,12-31-1945,09-30-2014
53,FL103030003.A,Nonfinancial corporate business; total time and savings deposits; asset,A,12-31-1945,12-31-2013
54,FA104102005.A,Nonfinancial corporate business; credit and equity market instruments; liability,A,12-31-1946,12-31-2013
55,FR263020005.Q,Rest of the world; U.S. checkable deposits and currency; asset,Q,12-31-1946,09-30-2014
56,FA905000005.Q,Instrument discrepancies; net lending (+) or borrowing (-) (financial account),Q,12-31-1946,09-30-2014
57,FR763092605.Q,"U.S.-chartered depository institutions, including IBFs; interbank transactions due from foreign affiliates; asset",Q,12-31-1946,09-30-2014
58,FL143034005.A,Nonfinancial business; money market mutual fund shares; asset,A,12-31-1945,12-31-2013
59,FL318200005.Q,Federal government; changes in net worth due to nominal holding gains/losses (IMA),Q,12-31-1945,09-30-2014
60,FL884022005.A,All domestic sectors; debt securities; asset,A,12-31-1945,12-31-2013
61,FU644004005.A,Real estate investment trusts; credit market instruments; asset,A,12-31-1946,12-31-2013
62,FR144141005.Q,Nonfinancial business; short-term loans; liability,Q,12-31-1946,09-30-2014
63,FR213069103.Q,"State and local governments, excluding employee retirement funds; commercial paper; asset",Q,12-31-1946,09-30-2014
64,FR213078005.A,"State and local governments, excluding employee retirement funds; taxes receivable; asset",A,12-31-1946,12-31-2013
65,FA763122605.Q,U.S.-chartered depository institutions; checkable deposits due to rest of the world; liability,Q,12-31-1946,09-30-2014
66,FA383030005.Q,Domestic nonfinancial sectors; total time and savings deposits; asset,Q,12-31-1946,09-30-2014
67,FA104041005.A,Nonfinancial corporate business; short-term loans including security repurchase agreements; asset,A,12-31-1946,12-31-2013
68,FA713068505.A,Monetary authority; depository institution loans n.e.c. to funding corporations; asset,A,12-31-1946,12-31-2013
